"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P21","Todos los días",0.758,0.704,0.794,0.76,0.755,0.729,0.822,0.784,0.736,0.748
"P21","Entre 4 y 6 días a la semana",0.074,0.161,0.071,0.107,0.053,0.096,0.052,0.061,0.121,0.054
"P21","Entre 1 y 3 días a la semana",0.041,0.065,0.047,0.039,0.083,0.025,0.038,0.053,0.052,0.056
"P21","Raramente",0.061,0.042,0.058,0.072,0.033,0.131,0.048,0.057,0.048,0.097
"P21","Nunca",0.066,0.028,0.03,0.022,0.076,0.019,0.04,0.045,0.043,0.045
"P22","Asado",0.893,0.351,0.397,0.345,0.311,0.324,0.3,0.361,0.405,0.36
"P22","Pizza",0.015,0.326,0.07,0.08,0.047,0.032,0.055,0.053,0.051,0.057
"P22","Milanesa",0.044,0.103,0.299,0.176,0.162,0.283,0.091,0.109,0.114,0.144
"P22","Pastas",0.012,0.093,0.093,0.237,0.047,0.022,0.076,0.061,0.04,0.058
"P22","Empanadas",0.006,0.026,0.029,0.034,0.251,0.069,0.029,0.019,0.037,0.037
"P22","Hamburguesa",0,0.006,0.017,0.006,0.044,0.117,0.007,0.011,0.016,0.036
"P22","Ensaladas (de cualquier tipo)",0.014,0.021,0.038,0.052,0.059,0.012,0.348,0.063,0.033,0.048
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.005,0.037,0.044,0.039,0.029,0.06,0.061,0.29,0.1,0.086
"P22","Polenta o similares (de cualquier tipo)",0.005,0.016,0.003,0.016,0.003,0.021,0.008,0.023,0.168,0.021
"P22","Ninguno de los anteriores",0.006,0.021,0.01,0.015,0.047,0.06,0.025,0.01,0.036,0.153
"P24","Helado",0.51,0.375,0.3,0.265,0.308,0.262,0.276,0.225,0.194,0.22
"P24","Tortas, tartas dulces y masas",0.135,0.312,0.158,0.132,0.117,0.095,0.108,0.138,0.081,0.142
"P24","Ensalada de frutas",0.125,0.098,0.284,0.146,0.112,0.178,0.178,0.171,0.147,0.174
"P24","Flan, budín de pan y similares",0.072,0.07,0.09,0.236,0.082,0.15,0.062,0.083,0.097,0.072
"P24","Dulce de batata, membrillo o similares",0.062,0.046,0.054,0.052,0.221,0.069,0.061,0.101,0.033,0.033
"P24","Facturas de todo tipo",0.017,0.036,0.042,0.047,0.056,0.221,0.019,0.04,0.042,0.048
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.015,0.016,0.013,0.009,0.018,0.004,0.13,0.03,0.045,0.024
"P24","Gelatina",0.015,0.007,0.011,0.011,0.01,0.005,0.04,0.104,0.086,0.029
"P24","Panqueques, wafles y similares",0.012,0.012,0.005,0.009,0.027,0,0.024,0.019,0.105,0.022
"P24","Ninguno de los anteriores",0.037,0.028,0.043,0.093,0.049,0.016,0.102,0.089,0.17,0.236
"P25","Helado",0.306,0.21,0.172,0.098,0.104,0.139,0.134,0.079,0.067,0.094
"P25","Tortas, tartas dulces y masas",0.164,0.236,0.186,0.131,0.201,0.149,0.096,0.108,0.034,0.071
"P25","Ensalada de frutas",0.103,0.075,0.132,0.051,0.091,0.127,0.148,0.117,0.067,0.07
"P25","Flan, budín de pan y similares",0.039,0.057,0.042,0.099,0.043,0.102,0.027,0.056,0.058,0.024
"P25","Dulce de batata, membrillo o similares",0.086,0.097,0.125,0.113,0.147,0.066,0.109,0.11,0.072,0.103
"P25","Facturas de todo tipo",0.036,0.11,0.098,0.094,0.112,0.069,0.051,0.047,0.051,0.068
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.016,0.02,0.018,0.019,0.024,0.009,0.043,0.038,0.038,0.015
"P25","Gelatina",0.026,0.034,0.036,0.035,0.048,0,0.07,0.048,0.097,0.041
"P25","Panqueques, wafles y similares",0.021,0.029,0.005,0.015,0.01,0.025,0.008,0.016,0.03,0.012
"P25","Ninguno de los anteriores",0.203,0.132,0.186,0.345,0.22,0.314,0.314,0.381,0.486,0.502
"P26","Vegetariano",0.14,0.086,0.048,0.045,0.044,0.117,0.082,0.033,0.047,0.065
"P26","Vegano",0.076,0.112,0.043,0.023,0.06,0.007,0.016,0.009,0.022,0.005
"P26","Dieta baja en carnes rojas",0.125,0.155,0.161,0.121,0.164,0.069,0.174,0.108,0.155,0.093
"P26","Dieta baja en carbohidratos",0.091,0.057,0.078,0.084,0.139,0.095,0.155,0.063,0.039,0.077
"P26","Dieta baja en azúcares",0.086,0.102,0.116,0.097,0.139,0.097,0.133,0.144,0.077,0.141
"P26","Kosher o Alal",0.024,0.011,0.023,0.004,0.019,0.014,0.004,0.002,0.016,0.005
"P26","Ninguna restricción alimentaria",0.458,0.477,0.531,0.626,0.435,0.601,0.436,0.641,0.644,0.614
"P27","Bajo peso",0.161,0.138,0.048,0.056,0.112,0.115,0.029,0.045,0.19,0.042
"P27","Sobrepeso",0.246,0.312,0.309,0.253,0.276,0.189,0.233,0.221,0.183,0.194
"P27","Obesidad",0.083,0.059,0.077,0.065,0.069,0.057,0.058,0.062,0.049,0.055
"P27","Normal",0.436,0.367,0.483,0.529,0.497,0.491,0.585,0.541,0.398,0.497
"P27","No sabe",0.074,0.124,0.083,0.097,0.046,0.148,0.095,0.131,0.18,0.212
"P28","Diabetes",0.199,0.132,0.091,0.061,0.106,0.059,0.084,0.077,0.089,0.068
"P28","Hipertensión",0.129,0.201,0.196,0.189,0.206,0.084,0.17,0.225,0.165,0.154
"P28","Enfermedades cardiovasculares",0.041,0.034,0.046,0.037,0.061,0.037,0.048,0.018,0.065,0.041
"P28","Celiaquía",0.118,0.024,0.059,0.079,0.072,0.065,0.057,0.093,0.086,0.084
"P28","Ninguna",0.446,0.546,0.544,0.542,0.51,0.62,0.601,0.479,0.396,0.512
"P28","No sabe",0.067,0.063,0.064,0.092,0.045,0.135,0.04,0.108,0.199,0.141
"P29","Todos los días",0.188,0.072,0.034,0.007,0.051,0.078,0.031,0.018,0.017,0.015
"P29","Entre 4 y 6 días a la semana",0.096,0.083,0.032,0.04,0.076,0.031,0.026,0.056,0.014,0.016
"P29","Entre 1 y 3 días a la semana",0.137,0.121,0.162,0.093,0.102,0.232,0.171,0.036,0.029,0.164
"P29","Raramente",0.219,0.399,0.4,0.29,0.255,0.251,0.362,0.243,0.084,0.286
"P29","Nunca",0.36,0.325,0.372,0.57,0.516,0.408,0.41,0.647,0.856,0.519
"P30","Todos los días",0.161,0.101,0.019,0.003,0.046,0,0.011,0.007,0.004,0.019
"P30","Entre 4 y 6 días a la semana",0.033,0.053,0.017,0.024,0.074,0.015,0.027,0.007,0.008,0.008
"P30","Entre 1 y 3 días a la semana",0.143,0.187,0.156,0.076,0.126,0.221,0.083,0.05,0.022,0.112
"P30","Raramente",0.305,0.297,0.426,0.363,0.308,0.36,0.307,0.3,0.131,0.323
"P30","Nunca",0.358,0.362,0.382,0.534,0.446,0.404,0.572,0.636,0.835,0.538
"P31","Todos los días",0.574,0.527,0.6,0.614,0.561,0.503,0.691,0.701,0.666,0.578
"P31","Entre 4 y 6 días a la semana",0.18,0.251,0.201,0.168,0.185,0.218,0.185,0.12,0.074,0.207
"P31","Entre 1 y 3 días a la semana",0.051,0.092,0.075,0.098,0.118,0.037,0.035,0.042,0.087,0.088
"P31","Raramente",0.103,0.055,0.063,0.054,0.071,0.114,0.034,0.069,0.074,0.065
"P31","Nunca",0.092,0.075,0.061,0.066,0.065,0.128,0.055,0.068,0.099,0.062
"P32","Menos de 1 comida al día",0.268,0.205,0.124,0.169,0.135,0.191,0.102,0.167,0.252,0.166
"P32","1 comida",0.204,0.313,0.289,0.331,0.262,0.306,0.251,0.416,0.494,0.286
"P32","2 comidas",0.229,0.203,0.261,0.256,0.386,0.166,0.271,0.202,0.166,0.221
"P32","3 comidas",0.137,0.115,0.149,0.136,0.12,0.176,0.211,0.134,0.055,0.161
"P32","4 comidas",0.106,0.118,0.142,0.105,0.088,0.066,0.131,0.072,0.033,0.137
"P32","Más de 4 comidas",0.056,0.046,0.035,0.003,0.009,0.095,0.034,0.009,0,0.029
"P33","Precio",0.36,0.261,0.215,0.396,0.247,0.128,0.182,0.34,0.577,0.307
"P33","Calidad",0.185,0.209,0.165,0.112,0.168,0.29,0.153,0.156,0.114,0.081
"P33","Ambas",0.343,0.476,0.552,0.417,0.497,0.559,0.592,0.441,0.238,0.522
"P33","Compra sin ningún tipo de consideración",0.112,0.054,0.068,0.075,0.088,0.023,0.073,0.063,0.071,0.09
"P34","Menos de 1 vez a la semana",0.222,0.299,0.164,0.211,0.211,0.19,0.142,0.221,0.373,0.178
"P34","1 vez a la semana",0.307,0.224,0.253,0.29,0.332,0.2,0.299,0.276,0.253,0.317
"P34","Entre 1 a 4 veces a la semana",0.256,0.344,0.359,0.263,0.294,0.333,0.377,0.258,0.188,0.25
"P34","Más de 4 veces a la semana",0.16,0.079,0.144,0.147,0.126,0.09,0.15,0.135,0.109,0.107
"P34","No sabe",0.055,0.054,0.08,0.089,0.037,0.187,0.032,0.11,0.077,0.148
"P35","Hipermercado/Supermercado",0.498,0.484,0.512,0.478,0.57,0.528,0.456,0.405,0.42,0.448
"P35","Almacenes",0.274,0.282,0.261,0.262,0.233,0.148,0.196,0.245,0.269,0.248
"P35","Productores locales/mercados de cercanía/Ferias",0.13,0.207,0.15,0.185,0.17,0.189,0.249,0.228,0.244,0.183
"P35","Vía pública",0.046,0.013,0.029,0.026,0.004,0.017,0.03,0.032,0.026,0.034
"P35","No sabe",0.052,0.014,0.048,0.049,0.023,0.118,0.069,0.09,0.041,0.087
