"var","categoria","Hipermercado/Supermercado","Almacenes","Productores locales/mercados de cercanía/Ferias","Vía pública","No sabe"
"P19","Vino",0.271,0.249,0.259,0.289,0.183
"P19","Cerveza",0.202,0.196,0.154,0.071,0.166
"P19","Destilados (whisky, vodka, ron, etc.)",0.052,0.058,0.044,0.054,0.08
"P19","Espumantes",0.035,0.031,0.037,0.092,0.1
"P19","Otros",0.091,0.099,0.119,0.111,0.116
"P19","No consume bebidas alcohólicas",0.349,0.367,0.387,0.383,0.355
"P20","Todos los días",0.142,0.131,0.092,0.207,0.21
"P20","Entre 4 y 6 días a la semana",0.103,0.13,0.107,0.029,0.099
"P20","Entre 1 y 3 días a la semana",0.178,0.158,0.14,0.072,0.179
"P20","Raramente",0.37,0.324,0.399,0.324,0.293
"P20","Nunca",0.207,0.257,0.262,0.368,0.219
"P21","Todos los días",0.773,0.776,0.806,0.711,0.795
"P21","Entre 4 y 6 días a la semana",0.094,0.093,0.076,0.021,0.027
"P21","Entre 1 y 3 días a la semana",0.041,0.048,0.033,0.083,0.056
"P21","Raramente",0.055,0.053,0.049,0.107,0.075
"P21","Nunca",0.037,0.03,0.036,0.078,0.047
"P22","Asado",0.418,0.458,0.396,0.464,0.376
"P22","Pizza",0.074,0.092,0.055,0.003,0.053
"P22","Milanesa",0.152,0.164,0.179,0.168,0.126
"P22","Pastas",0.108,0.074,0.087,0.011,0.064
"P22","Empanadas",0.05,0.029,0.02,0.118,0.024
"P22","Hamburguesa",0.022,0.005,0.01,0,0.039
"P22","Ensaladas (de cualquier tipo)",0.068,0.061,0.105,0.021,0.109
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.061,0.069,0.096,0.113,0.138
"P22","Polenta o similares (de cualquier tipo)",0.022,0.032,0.019,0.045,0.007
"P22","Ninguno de los anteriores",0.025,0.016,0.033,0.057,0.064
"P23","Asado",0.119,0.124,0.078,0.184,0.106
"P23","Pizza",0.071,0.079,0.077,0.032,0.017
"P23","Milanesa",0.237,0.229,0.175,0.226,0.191
"P23","Pastas",0.159,0.165,0.155,0.143,0.139
"P23","Empanadas",0.056,0.043,0.042,0.006,0.02
"P23","Hamburguesa",0.021,0.011,0.02,0.011,0.041
"P23","Ensaladas (de cualquier tipo)",0.113,0.092,0.155,0.125,0.145
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.096,0.111,0.137,0.127,0.184
"P23","Polenta o similares (de cualquier tipo)",0.067,0.081,0.098,0.068,0.056
"P23","Ninguno de los anteriores",0.061,0.065,0.063,0.078,0.101
"P24","Helado",0.326,0.293,0.26,0.255,0.318
"P24","Tortas, tartas dulces y masas",0.156,0.13,0.149,0.094,0.08
"P24","Ensalada de frutas",0.163,0.193,0.205,0.153,0.125
"P24","Flan, budín de pan y similares",0.09,0.114,0.106,0.14,0.115
"P24","Dulce de batata, membrillo o similares",0.06,0.064,0.064,0.092,0.074
"P24","Facturas de todo tipo",0.043,0.029,0.048,0.039,0.065
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.038,0.019,0.04,0.012,0.037
"P24","Gelatina",0.033,0.037,0.03,0.02,0.032
"P24","Panqueques, wafles y similares",0.02,0.03,0.019,0.026,0.011
"P24","Ninguno de los anteriores",0.071,0.091,0.079,0.169,0.143
"P25","Helado",0.173,0.135,0.105,0.125,0.131
"P25","Tortas, tartas dulces y masas",0.139,0.16,0.113,0.101,0.116
"P25","Ensalada de frutas",0.1,0.091,0.131,0.117,0.048
"P25","Flan, budín de pan y similares",0.05,0.039,0.056,0.115,0.057
"P25","Dulce de batata, membrillo o similares",0.102,0.109,0.123,0.048,0.064
"P25","Facturas de todo tipo",0.074,0.073,0.078,0.062,0.103
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.027,0.02,0.045,0.017,0.011
"P25","Gelatina",0.04,0.039,0.058,0.05,0.047
"P25","Panqueques, wafles y similares",0.013,0.025,0.01,0.006,0.019
"P25","Ninguno de los anteriores",0.282,0.309,0.281,0.359,0.404
"P26","Vegetariano",0.063,0.059,0.049,0.078,0.054
"P26","Vegano",0.03,0.043,0.035,0.044,0.073
"P26","Dieta baja en carnes rojas",0.146,0.111,0.164,0.165,0.085
"P26","Dieta baja en carbohidratos",0.084,0.083,0.11,0.095,0.051
"P26","Dieta baja en azúcares",0.117,0.115,0.12,0.125,0.077
"P26","Kosher o Alal",0.018,0.009,0.01,0.007,0.003
"P26","Ninguna restricción alimentaria",0.542,0.58,0.512,0.486,0.657
"P27","Bajo peso",0.068,0.082,0.08,0.046,0.132
"P27","Sobrepeso",0.267,0.248,0.278,0.118,0.295
"P27","Obesidad",0.067,0.058,0.066,0.137,0.052
"P27","Normal",0.509,0.516,0.483,0.523,0.266
"P27","No sabe",0.089,0.096,0.093,0.176,0.255
"P28","Diabetes",0.115,0.096,0.091,0.086,0.046
"P28","Hipertensión",0.168,0.183,0.211,0.176,0.206
"P28","Enfermedades cardiovasculares",0.049,0.03,0.04,0.056,0.01
"P28","Celiaquía",0.065,0.078,0.062,0.177,0.071
"P28","Ninguna",0.531,0.525,0.535,0.331,0.461
"P28","No sabe",0.072,0.088,0.061,0.174,0.206
"P29","Todos los días",0.045,0.038,0.043,0.072,0.101
"P29","Entre 4 y 6 días a la semana",0.035,0.064,0.038,0.019,0.057
"P29","Entre 1 y 3 días a la semana",0.14,0.111,0.122,0.066,0.063
"P29","Raramente",0.298,0.265,0.344,0.258,0.328
"P29","Nunca",0.482,0.522,0.453,0.585,0.451
"P30","Todos los días",0.038,0.036,0.01,0.072,0.077
"P30","Entre 4 y 6 días a la semana",0.017,0.025,0.027,0.009,0.001
"P30","Entre 1 y 3 días a la semana",0.108,0.132,0.105,0.045,0.127
"P30","Raramente",0.343,0.306,0.343,0.332,0.3
"P30","Nunca",0.494,0.501,0.515,0.542,0.495
"P31","Todos los días",0.645,0.578,0.615,0.602,0.57
"P31","Entre 4 y 6 días a la semana",0.176,0.182,0.192,0.058,0.186
"P31","Entre 1 y 3 días a la semana",0.062,0.101,0.06,0.102,0.028
"P31","Raramente",0.056,0.062,0.08,0.129,0.106
"P31","Nunca",0.061,0.077,0.053,0.109,0.11
"P32","Menos de 1 comida al día",0.177,0.161,0.124,0.366,0.207
"P32","1 comida",0.286,0.35,0.346,0.238,0.308
"P32","2 comidas",0.26,0.234,0.244,0.204,0.124
"P32","3 comidas",0.145,0.123,0.158,0.118,0.157
"P32","4 comidas",0.112,0.101,0.106,0.071,0.083
"P32","Más de 4 comidas",0.02,0.031,0.022,0.003,0.121
"P33","Precio",0.318,0.33,0.227,0.354,0.308
"P33","Calidad",0.143,0.164,0.169,0.069,0.157
"P33","Ambas",0.48,0.439,0.532,0.32,0.364
"P33","Compra sin ningún tipo de consideración",0.059,0.067,0.072,0.257,0.171
"P34","Menos de 1 vez a la semana",0.275,0.136,0.156,0.227,0.193
"P34","1 vez a la semana",0.283,0.343,0.239,0.085,0.163
"P34","Entre 1 a 4 veces a la semana",0.271,0.263,0.462,0.059,0.244
"P34","Más de 4 veces a la semana",0.101,0.177,0.105,0.449,0.17
"P34","No sabe",0.07,0.081,0.038,0.18,0.23
