"var","categoria","Helado","Tortas, tartas dulces y masas","Ensalada de frutas","Flan, budín de pan y similares","Dulce de batata, membrillo o similares","Facturas de todo tipo","Postres lácteos caseros o envasados de cualquier tipo","Gelatina","Panqueques, wafles y similares","Ninguno de los anteriores"
"P14","Raramente",0.151,0.124,0.168,0.183,0.136,0.081,0.178,0.278,0.177,0.24
"P14","Nunca",0.042,0.039,0.047,0.039,0.035,0.045,0.005,0.07,0.011,0.068
"P15","Todos los días",0.153,0.155,0.079,0.126,0.13,0.13,0.12,0.081,0.166,0.105
"P15","Entre 4 y 6 días a la semana",0.169,0.225,0.21,0.18,0.256,0.212,0.283,0.197,0.257,0.183
"P15","Entre 1 y 3 días a la semana",0.424,0.396,0.42,0.45,0.396,0.413,0.394,0.384,0.409,0.372
"P15","Raramente",0.199,0.196,0.243,0.195,0.161,0.217,0.203,0.231,0.08,0.268
"P15","Nunca",0.055,0.028,0.048,0.049,0.057,0.028,0,0.107,0.088,0.072
"P16","Menos de un vaso al día",0.111,0.101,0.046,0.11,0.074,0.108,0.084,0.053,0.12,0.071
"P16","De 1 a 4 vasos al día",0.266,0.362,0.324,0.35,0.37,0.339,0.314,0.329,0.271,0.282
"P16","Más de 4 vasos al día",0.567,0.464,0.573,0.468,0.504,0.516,0.569,0.568,0.604,0.583
"P16","No consume agua",0.056,0.073,0.057,0.072,0.052,0.037,0.033,0.05,0.005,0.064
"P17","Agua embotellada/mineral",0.217,0.266,0.162,0.197,0.18,0.15,0.229,0.09,0.224,0.095
"P17","Agua de la canilla filtrada",0.294,0.319,0.336,0.307,0.301,0.284,0.333,0.268,0.296,0.281
"P17","Agua de la canilla directamente",0.334,0.292,0.331,0.379,0.328,0.41,0.308,0.484,0.399,0.467
"P17","Agua de bidón",0.138,0.102,0.169,0.112,0.182,0.144,0.124,0.138,0.081,0.147
"P17","No consume agua",0.017,0.021,0.002,0.005,0.009,0.012,0.006,0.02,0,0.01
"P18","Todos los días",0.114,0.083,0.052,0.067,0.096,0.055,0.06,0.061,0.05,0.029
"P18","Entre 4 y 6 días a la semana",0.083,0.09,0.096,0.066,0.086,0.041,0.106,0.066,0.039,0.052
"P18","Entre 1 y 3 días a la semana",0.239,0.254,0.177,0.131,0.212,0.216,0.215,0.107,0.227,0.178
"P18","Raramente",0.331,0.323,0.346,0.397,0.291,0.37,0.234,0.306,0.49,0.306
"P18","Nunca",0.233,0.25,0.329,0.339,0.315,0.318,0.385,0.46,0.194,0.435
"P19","Vino",0.31,0.281,0.288,0.174,0.332,0.207,0.231,0.245,0.329,0.202
"P19","Cerveza",0.211,0.213,0.179,0.155,0.178,0.299,0.135,0.079,0.17,0.144
"P19","Destilados (whisky, vodka, ron, etc.)",0.108,0.063,0.069,0.022,0.044,0.035,0.071,0.012,0.056,0.042
"P19","Espumantes",0.048,0.033,0.034,0.102,0.026,0.042,0.025,0.027,0.022,0.041
"P19","Otros",0.097,0.112,0.105,0.121,0.08,0.089,0.131,0.118,0.121,0.117
"P19","No consume bebidas alcohólicas",0.226,0.298,0.325,0.426,0.34,0.328,0.407,0.519,0.302,0.454
"P20","Todos los días",0.23,0.19,0.176,0.122,0.095,0.112,0.146,0.05,0.087,0.075
"P20","Entre 4 y 6 días a la semana",0.11,0.167,0.104,0.08,0.113,0.171,0.137,0.057,0.13,0.069
"P20","Entre 1 y 3 días a la semana",0.168,0.203,0.162,0.183,0.125,0.237,0.148,0.114,0.098,0.127
"P20","Raramente",0.317,0.277,0.337,0.463,0.397,0.34,0.371,0.454,0.423,0.403
"P20","Nunca",0.175,0.163,0.221,0.152,0.27,0.14,0.198,0.325,0.262,0.326
"P21","Todos los días",0.798,0.833,0.785,0.65,0.774,0.826,0.833,0.727,0.762,0.728
"P21","Entre 4 y 6 días a la semana",0.087,0.094,0.074,0.073,0.076,0.087,0.052,0.059,0.043,0.089
"P21","Entre 1 y 3 días a la semana",0.042,0.013,0.05,0.072,0.036,0.017,0.054,0.077,0.062,0.065
"P21","Raramente",0.038,0.028,0.056,0.175,0.035,0.051,0.045,0.086,0.116,0.078
"P21","Nunca",0.035,0.032,0.035,0.03,0.079,0.019,0.016,0.051,0.017,0.04
"P22","Asado",0.562,0.452,0.427,0.449,0.381,0.372,0.304,0.303,0.49,0.4
"P22","Pizza",0.093,0.125,0.063,0.064,0.067,0.125,0.069,0.052,0.057,0.045
"P22","Milanesa",0.136,0.145,0.172,0.13,0.21,0.151,0.169,0.192,0.087,0.162
"P22","Pastas",0.066,0.102,0.088,0.155,0.107,0.085,0.047,0.047,0.122,0.091
"P22","Empanadas",0.025,0.053,0.05,0.022,0.048,0.056,0.042,0.017,0.009,0.028
"P22","Hamburguesa",0.009,0.01,0.014,0.025,0.017,0.05,0.011,0,0.007,0.012
"P22","Ensaladas (de cualquier tipo)",0.038,0.048,0.113,0.051,0.069,0.052,0.12,0.159,0.031,0.083
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.045,0.048,0.055,0.069,0.076,0.067,0.119,0.122,0.073,0.092
"P22","Polenta o similares (de cualquier tipo)",0.009,0.012,0.008,0.028,0.007,0.014,0.088,0.031,0.096,0.038
"P22","Ninguno de los anteriores",0.017,0.005,0.01,0.007,0.018,0.028,0.031,0.077,0.028,0.049
"P23","Asado",0.243,0.137,0.12,0.087,0.094,0.056,0.074,0.068,0.165,0.081
"P23","Pizza",0.104,0.123,0.054,0.079,0.066,0.108,0.06,0.056,0.141,0.033
"P23","Milanesa",0.259,0.294,0.29,0.177,0.259,0.291,0.164,0.18,0.082,0.141
"P23","Pastas",0.103,0.145,0.078,0.291,0.164,0.196,0.12,0.122,0.16,0.183
"P23","Empanadas",0.033,0.066,0.041,0.038,0.063,0.069,0.044,0.05,0.032,0.035
"P23","Hamburguesa",0.018,0.02,0.024,0.037,0.011,0.018,0.007,0,0.032,0.02
"P23","Ensaladas (de cualquier tipo)",0.104,0.078,0.167,0.059,0.115,0.078,0.198,0.179,0.057,0.122
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.06,0.086,0.13,0.118,0.114,0.072,0.173,0.12,0.121,0.146
"P23","Polenta o similares (de cualquier tipo)",0.034,0.018,0.051,0.084,0.051,0.052,0.118,0.165,0.157,0.126
"P23","Ninguno de los anteriores",0.042,0.033,0.045,0.03,0.063,0.06,0.042,0.06,0.053,0.113
"P24","Helado",0.765,0.248,0.111,0.118,0.221,0.24,0.144,0.218,0.344,0.273
"P24","Tortas, tartas dulces y masas",0.065,0.467,0.076,0.074,0.083,0.126,0.094,0.052,0.059,0.115
"P24","Ensalada de frutas",0.068,0.12,0.664,0.087,0.145,0.078,0.131,0.125,0.118,0.153
"P24","Flan, budín de pan y similares",0.049,0.062,0.03,0.577,0.097,0.12,0.097,0.046,0.043,0.103
"P24","Dulce de batata, membrillo o similares",0.01,0.032,0.029,0.059,0.321,0.049,0.049,0.065,0.029,0.034
"P24","Facturas de todo tipo",0.005,0.007,0.016,0.017,0.034,0.305,0.027,0.033,0.028,0.031
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.008,0.024,0.027,0.01,0.033,0.017,0.299,0.053,0.043,0.027
"P24","Gelatina",0.012,0.005,0.009,0.011,0.022,0.009,0.077,0.314,0.031,0.03
"P24","Panqueques, wafles y similares",0.003,0.007,0.02,0.001,0.013,0.023,0.036,0.024,0.269,0.03
"P24","Ninguno de los anteriores",0.015,0.028,0.018,0.046,0.031,0.033,0.046,0.07,0.036,0.204
"P26","Vegetariano",0.194,0.042,0.059,0.049,0.064,0.011,0.027,0.028,0.103,0.038
"P26","Vegano",0.029,0.17,0.02,0.035,0.002,0.001,0.034,0,0.037,0.014
"P26","Dieta baja en carnes rojas",0.137,0.119,0.286,0.152,0.119,0.129,0.107,0.161,0.166,0.105
"P26","Dieta baja en carbohidratos",0.085,0.082,0.104,0.2,0.055,0.05,0.154,0.138,0.093,0.067
"P26","Dieta baja en azúcares",0.084,0.053,0.138,0.109,0.207,0.082,0.123,0.103,0.106,0.123
"P26","Kosher o Alal",0.003,0.005,0.011,0.007,0.006,0.075,0.02,0.034,0.006,0.006
"P26","Ninguna restricción alimentaria",0.468,0.529,0.382,0.448,0.547,0.652,0.535,0.536,0.489,0.647
"P27","Bajo peso",0.125,0.12,0.062,0.1,0.061,0.046,0.017,0.057,0.024,0.071
"P27","Sobrepeso",0.3,0.296,0.21,0.231,0.202,0.327,0.237,0.349,0.222,0.218
"P27","Obesidad",0.071,0.037,0.093,0.052,0.056,0.07,0.101,0.075,0.054,0.071
"P27","Normal",0.449,0.466,0.539,0.564,0.614,0.43,0.606,0.374,0.675,0.46
"P27","No sabe",0.055,0.081,0.096,0.053,0.067,0.127,0.039,0.145,0.025,0.18
"P28","Diabetes",0.104,0.088,0.149,0.029,0.103,0.082,0.097,0.201,0.055,0.083
"P28","Hipertensión",0.193,0.185,0.225,0.222,0.209,0.117,0.209,0.168,0.129,0.158
"P28","Enfermedades cardiovasculares",0.027,0.037,0.058,0.061,0.036,0.026,0.023,0.046,0.009,0.052
"P28","Celiaquía",0.056,0.062,0.077,0.174,0.078,0.071,0.105,0.056,0.108,0.069
"P28","Ninguna",0.558,0.575,0.436,0.444,0.511,0.559,0.528,0.476,0.618,0.506
"P28","No sabe",0.062,0.053,0.055,0.07,0.063,0.145,0.038,0.053,0.081,0.132
"P29","Todos los días",0.093,0.103,0.032,0.007,0.045,0.02,0.013,0.012,0.004,0.027
"P29","Entre 4 y 6 días a la semana",0.056,0.081,0.071,0.044,0.04,0.019,0.031,0.024,0.051,0.029
"P29","Entre 1 y 3 días a la semana",0.218,0.128,0.153,0.125,0.116,0.14,0.129,0.066,0.127,0.061
"P29","Raramente",0.305,0.316,0.324,0.281,0.363,0.411,0.373,0.253,0.321,0.23
"P29","Nunca",0.328,0.372,0.42,0.543,0.436,0.41,0.454,0.645,0.497,0.653
"P30","Todos los días",0.083,0.086,0.04,0.001,0.025,0.02,0,0.004,0,0.01
"P30","Entre 4 y 6 días a la semana",0.017,0.062,0.027,0.022,0.033,0.017,0.01,0.015,0,0.011
"P30","Entre 1 y 3 días a la semana",0.146,0.122,0.101,0.127,0.122,0.212,0.129,0.044,0.103,0.066
"P30","Raramente",0.404,0.37,0.302,0.287,0.316,0.426,0.409,0.269,0.27,0.272
"P30","Nunca",0.35,0.36,0.53,0.563,0.504,0.325,0.452,0.668,0.627,0.641
"P31","Todos los días",0.514,0.608,0.637,0.581,0.692,0.514,0.491,0.774,0.666,0.652
"P31","Entre 4 y 6 días a la semana",0.248,0.18,0.163,0.149,0.178,0.247,0.193,0.089,0.177,0.142
"P31","Entre 1 y 3 días a la semana",0.087,0.066,0.052,0.108,0.053,0.1,0.085,0.053,0.036,0.072
"P31","Raramente",0.055,0.083,0.056,0.075,0.057,0.097,0.169,0.025,0.064,0.054
"P31","Nunca",0.096,0.063,0.092,0.087,0.02,0.042,0.062,0.059,0.057,0.08
"P32","Menos de 1 comida al día",0.198,0.152,0.146,0.157,0.103,0.094,0.109,0.197,0.293,0.211
"P32","1 comida",0.231,0.275,0.279,0.398,0.32,0.311,0.308,0.389,0.123,0.361
"P32","2 comidas",0.267,0.234,0.282,0.244,0.256,0.207,0.261,0.215,0.113,0.231
"P32","3 comidas",0.153,0.155,0.15,0.126,0.214,0.143,0.103,0.137,0.162,0.107
"P32","4 comidas",0.126,0.122,0.138,0.058,0.098,0.191,0.153,0.044,0.293,0.072
"P32","Más de 4 comidas",0.025,0.062,0.005,0.017,0.009,0.054,0.066,0.018,0.016,0.018
"P33","Precio",0.249,0.236,0.213,0.32,0.238,0.276,0.151,0.42,0.262,0.431
"P33","Calidad",0.184,0.158,0.217,0.213,0.144,0.131,0.224,0.181,0.159,0.1
"P33","Ambas",0.477,0.513,0.48,0.389,0.567,0.505,0.52,0.368,0.552,0.405
"P33","Compra sin ningún tipo de consideración",0.09,0.093,0.09,0.078,0.051,0.088,0.105,0.031,0.027,0.064
"P34","Menos de 1 vez a la semana",0.236,0.199,0.194,0.179,0.151,0.163,0.14,0.258,0.125,0.251
"P34","1 vez a la semana",0.273,0.287,0.296,0.31,0.317,0.284,0.255,0.297,0.228,0.251
"P34","Entre 1 a 4 veces a la semana",0.317,0.31,0.349,0.25,0.332,0.353,0.345,0.276,0.466,0.239
"P34","Más de 4 veces a la semana",0.116,0.124,0.128,0.153,0.128,0.143,0.188,0.069,0.131,0.153
"P34","No sabe",0.058,0.08,0.033,0.108,0.072,0.057,0.072,0.1,0.05,0.106
"P35","Hipermercado/Supermercado",0.561,0.482,0.471,0.472,0.467,0.463,0.468,0.436,0.399,0.452
"P35","Almacenes",0.23,0.293,0.225,0.191,0.262,0.244,0.183,0.224,0.406,0.26
"P35","Productores locales/mercados de cercanía/Ferias",0.135,0.157,0.244,0.21,0.224,0.194,0.308,0.249,0.117,0.178
"P35","Vía pública",0.024,0.021,0.033,0.064,0.013,0.023,0.018,0.032,0.011,0.034
"P35","No sabe",0.05,0.047,0.027,0.063,0.034,0.076,0.023,0.059,0.067,0.076
