"var","categoria","Menos de 1 comida al día","1 comida","2 comidas","3 comidas","4 comidas","Más de 4 comidas"
"P10","Raramente",0.417,0.404,0.371,0.318,0.313,0.16
"P10","Nunca",0.13,0.168,0.117,0.066,0.074,0.094
"P11","Todos los días",0.166,0.111,0.165,0.223,0.373,0.525
"P11","Entre 4 y 6 días a la semana",0.113,0.122,0.238,0.243,0.2,0.114
"P11","Entre 1 y 3 días a la semana",0.187,0.3,0.261,0.294,0.248,0.199
"P11","Raramente",0.362,0.349,0.276,0.205,0.137,0.091
"P11","Nunca",0.172,0.118,0.06,0.035,0.042,0.071
"P12","Todos los días",0.211,0.196,0.283,0.368,0.49,0.622
"P12","Entre 4 y 6 días a la semana",0.106,0.173,0.204,0.262,0.229,0.111
"P12","Entre 1 y 3 días a la semana",0.214,0.245,0.285,0.229,0.161,0.15
"P12","Raramente",0.364,0.279,0.185,0.125,0.101,0.093
"P12","Nunca",0.105,0.107,0.043,0.016,0.019,0.024
"P13","Todos los días",0.103,0.059,0.079,0.058,0.079,0.194
"P13","Entre 4 y 6 días a la semana",0.098,0.091,0.108,0.083,0.115,0.172
"P13","Entre 1 y 3 días a la semana",0.227,0.274,0.281,0.397,0.388,0.255
"P13","Raramente",0.413,0.397,0.418,0.355,0.342,0.326
"P13","Nunca",0.159,0.179,0.114,0.107,0.076,0.053
"P14","Todos los días",0.272,0.252,0.27,0.291,0.296,0.392
"P14","Entre 4 y 6 días a la semana",0.183,0.237,0.265,0.278,0.248,0.123
"P14","Entre 1 y 3 días a la semana",0.232,0.263,0.287,0.263,0.283,0.199
"P14","Raramente",0.219,0.198,0.148,0.148,0.14,0.257
"P14","Nunca",0.094,0.05,0.03,0.02,0.033,0.029
"P15","Todos los días",0.183,0.095,0.102,0.087,0.142,0.319
"P15","Entre 4 y 6 días a la semana",0.158,0.207,0.229,0.222,0.221,0.154
"P15","Entre 1 y 3 días a la semana",0.36,0.375,0.409,0.472,0.448,0.327
"P15","Raramente",0.22,0.266,0.224,0.173,0.158,0.166
"P15","Nunca",0.079,0.057,0.036,0.046,0.031,0.034
"P16","Menos de un vaso al día",0.118,0.079,0.069,0.054,0.076,0.144
"P16","De 1 a 4 vasos al día",0.302,0.336,0.349,0.293,0.331,0.115
"P16","Más de 4 vasos al día",0.48,0.523,0.553,0.613,0.553,0.589
"P16","No consume agua",0.1,0.062,0.029,0.04,0.04,0.152
"P17","Agua embotellada/mineral",0.168,0.171,0.173,0.166,0.164,0.147
"P17","Agua de la canilla filtrada",0.274,0.291,0.3,0.323,0.35,0.209
"P17","Agua de la canilla directamente",0.442,0.395,0.369,0.338,0.308,0.411
"P17","Agua de bidón",0.091,0.14,0.151,0.169,0.162,0.159
"P17","No consume agua",0.025,0.003,0.007,0.004,0.016,0.074
"P18","Todos los días",0.111,0.045,0.059,0.048,0.064,0.116
"P18","Entre 4 y 6 días a la semana",0.066,0.066,0.082,0.074,0.103,0.051
"P18","Entre 1 y 3 días a la semana",0.183,0.162,0.22,0.256,0.238,0.245
"P18","Raramente",0.25,0.35,0.338,0.358,0.354,0.372
"P18","Nunca",0.39,0.377,0.301,0.264,0.241,0.216
"P19","Vino",0.232,0.236,0.29,0.258,0.298,0.209
"P19","Cerveza",0.133,0.168,0.184,0.259,0.22,0.235
"P19","Destilados (whisky, vodka, ron, etc.)",0.056,0.041,0.057,0.035,0.071,0.139
"P19","Espumantes",0.031,0.041,0.043,0.079,0.018,0.034
"P19","Otros",0.125,0.098,0.082,0.101,0.115,0.105
"P19","No consume bebidas alcohólicas",0.423,0.416,0.344,0.268,0.278,0.278
"P20","Todos los días",0.193,0.116,0.122,0.106,0.114,0.235
"P20","Entre 4 y 6 días a la semana",0.09,0.11,0.088,0.141,0.155,0.093
"P20","Entre 1 y 3 días a la semana",0.121,0.162,0.163,0.223,0.149,0.068
"P20","Raramente",0.361,0.382,0.389,0.312,0.338,0.315
"P20","Nunca",0.235,0.23,0.238,0.218,0.244,0.289
"P21","Todos los días",0.685,0.792,0.82,0.793,0.8,0.697
"P21","Entre 4 y 6 días a la semana",0.123,0.074,0.074,0.061,0.106,0.1
"P21","Entre 1 y 3 días a la semana",0.038,0.046,0.038,0.074,0.024,0.002
"P21","Raramente",0.093,0.064,0.046,0.028,0.038,0.067
"P21","Nunca",0.061,0.024,0.022,0.044,0.032,0.134
"P22","Asado",0.446,0.407,0.467,0.416,0.392,0.392
"P22","Pizza",0.069,0.07,0.075,0.057,0.108,0.078
"P22","Milanesa",0.144,0.144,0.167,0.201,0.161,0.089
"P22","Pastas",0.043,0.11,0.07,0.09,0.151,0.088
"P22","Empanadas",0.079,0.026,0.041,0.023,0.031,0.025
"P22","Hamburguesa",0.005,0.019,0.011,0.018,0.023,0.05
"P22","Ensaladas (de cualquier tipo)",0.048,0.084,0.081,0.088,0.064,0.034
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.091,0.089,0.048,0.071,0.036,0.144
"P22","Polenta o similares (de cualquier tipo)",0.029,0.031,0.013,0.017,0.017,0.053
"P22","Ninguno de los anteriores",0.046,0.02,0.027,0.019,0.017,0.047
"P23","Asado",0.18,0.074,0.108,0.11,0.112,0.237
"P23","Pizza",0.086,0.072,0.06,0.058,0.078,0.121
"P23","Milanesa",0.16,0.203,0.237,0.23,0.285,0.285
"P23","Pastas",0.158,0.169,0.168,0.153,0.154,0.016
"P23","Empanadas",0.038,0.04,0.075,0.04,0.038,0.016
"P23","Hamburguesa",0.021,0.018,0.013,0.023,0.011,0.067
"P23","Ensaladas (de cualquier tipo)",0.07,0.094,0.132,0.175,0.141,0.148
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.109,0.149,0.093,0.106,0.073,0.037
"P23","Polenta o similares (de cualquier tipo)",0.112,0.119,0.052,0.029,0.023,0
"P23","Ninguno de los anteriores",0.066,0.062,0.062,0.076,0.085,0.073
"P24","Helado",0.323,0.284,0.306,0.318,0.312,0.307
"P24","Tortas, tartas dulces y masas",0.125,0.12,0.164,0.143,0.181,0.24
"P24","Ensalada de frutas",0.158,0.19,0.179,0.171,0.17,0.112
"P24","Flan, budín de pan y similares",0.116,0.102,0.103,0.097,0.102,0.048
"P24","Dulce de batata, membrillo o similares",0.061,0.053,0.075,0.083,0.033,0.084
"P24","Facturas de todo tipo",0.032,0.047,0.028,0.043,0.052,0.061
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.03,0.025,0.03,0.046,0.049,0.031
"P24","Gelatina",0.031,0.049,0.02,0.028,0.021,0.034
"P24","Panqueques, wafles y similares",0.027,0.024,0.016,0.016,0.029,0.01
"P24","Ninguno de los anteriores",0.097,0.106,0.079,0.055,0.051,0.073
"P25","Helado",0.17,0.108,0.161,0.157,0.169,0.136
"P25","Tortas, tartas dulces y masas",0.126,0.124,0.136,0.153,0.157,0.323
"P25","Ensalada de frutas",0.088,0.091,0.119,0.108,0.129,0.021
"P25","Flan, budín de pan y similares",0.047,0.065,0.052,0.046,0.027,0.033
"P25","Dulce de batata, membrillo o similares",0.062,0.105,0.109,0.155,0.092,0.036
"P25","Facturas de todo tipo",0.042,0.075,0.065,0.077,0.133,0.153
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.017,0.026,0.028,0.019,0.037,0.065
"P25","Gelatina",0.053,0.057,0.04,0.044,0.018,0.03
"P25","Panqueques, wafles y similares",0.026,0.006,0.007,0.017,0.041,0.009
"P25","Ninguno de los anteriores",0.369,0.343,0.283,0.224,0.197,0.194
"P26","Vegetariano",0.095,0.052,0.043,0.068,0.064,0.081
"P26","Vegano",0.047,0.044,0.039,0.017,0.035,0.072
"P26","Dieta baja en carnes rojas",0.144,0.135,0.143,0.119,0.148,0.143
"P26","Dieta baja en carbohidratos",0.045,0.075,0.116,0.123,0.09,0.045
"P26","Dieta baja en azúcares",0.084,0.13,0.123,0.113,0.101,0.08
"P26","Kosher o Alal",0.016,0.019,0.009,0.008,0.008,0.003
"P26","Ninguna restricción alimentaria",0.569,0.545,0.527,0.552,0.554,0.576
"P27","Bajo peso",0.14,0.105,0.041,0.031,0.02,0.182
"P27","Sobrepeso",0.209,0.251,0.283,0.269,0.289,0.231
"P27","Obesidad",0.085,0.056,0.069,0.06,0.068,0.073
"P27","Normal",0.389,0.479,0.53,0.594,0.522,0.333
"P27","No sabe",0.177,0.109,0.077,0.046,0.101,0.181
"P28","Diabetes",0.134,0.112,0.096,0.05,0.071,0.136
"P28","Hipertensión",0.174,0.22,0.194,0.14,0.135,0.102
"P28","Enfermedades cardiovasculares",0.04,0.049,0.045,0.026,0.04,0.005
"P28","Celiaquía",0.125,0.064,0.058,0.063,0.051,0.069
"P28","Ninguna",0.412,0.456,0.532,0.662,0.667,0.562
"P28","No sabe",0.115,0.099,0.075,0.059,0.036,0.126
"P29","Todos los días",0.118,0.026,0.029,0.027,0.035,0.15
"P29","Entre 4 y 6 días a la semana",0.046,0.034,0.061,0.038,0.049,0.05
"P29","Entre 1 y 3 días a la semana",0.044,0.087,0.13,0.219,0.191,0.159
"P29","Raramente",0.2,0.27,0.314,0.376,0.382,0.337
"P29","Nunca",0.592,0.583,0.466,0.34,0.343,0.304
"P30","Todos los días",0.102,0.01,0.024,0.014,0.03,0.142
"P30","Entre 4 y 6 días a la semana",0.021,0.024,0.023,0.025,0.02,0.008
"P30","Entre 1 y 3 días a la semana",0.034,0.08,0.126,0.176,0.191,0.179
"P30","Raramente",0.257,0.292,0.35,0.441,0.344,0.331
"P30","Nunca",0.586,0.594,0.477,0.344,0.415,0.34
"P31","Todos los días",0.779,0.625,0.609,0.533,0.483,0.536
"P31","Entre 4 y 6 días a la semana",0.051,0.203,0.183,0.197,0.266,0.174
"P31","Entre 1 y 3 días a la semana",0.038,0.076,0.102,0.06,0.086,0.004
"P31","Raramente",0.044,0.048,0.046,0.148,0.066,0.115
"P31","Nunca",0.088,0.048,0.06,0.062,0.099,0.171
"P33","Precio",0.587,0.335,0.232,0.177,0.16,0.159
"P33","Calidad",0.075,0.23,0.128,0.138,0.13,0.122
"P33","Ambas",0.251,0.384,0.585,0.558,0.64,0.533
"P33","Compra sin ningún tipo de consideración",0.087,0.051,0.055,0.127,0.07,0.186
"P34","Menos de 1 vez a la semana",0.372,0.217,0.153,0.157,0.134,0.23
"P34","1 vez a la semana",0.216,0.295,0.289,0.306,0.275,0.231
"P34","Entre 1 a 4 veces a la semana",0.185,0.246,0.349,0.353,0.433,0.356
"P34","Más de 4 veces a la semana",0.13,0.128,0.141,0.159,0.12,0.105
"P34","No sabe",0.097,0.114,0.068,0.025,0.038,0.078
"P35","Hipermercado/Supermercado",0.497,0.435,0.513,0.486,0.506,0.332
"P35","Almacenes",0.237,0.28,0.243,0.218,0.241,0.279
"P35","Productores locales/mercados de cercanía/Ferias",0.137,0.208,0.191,0.21,0.19,0.147
"P35","Vía pública",0.061,0.022,0.024,0.024,0.019,0.003
"P35","No sabe",0.068,0.055,0.029,0.062,0.044,0.239
