"var","categoria","Menos de un vaso al día","De 1 a 4 vasos al día","Más de 4 vasos al día","No consume agua"
"P26","Ninguna restricción alimentaria",0.524,0.56,0.545,0.515
"P27","Bajo peso",0.216,0.053,0.069,0.154
"P27","Sobrepeso",0.169,0.274,0.253,0.279
"P27","Obesidad",0.067,0.06,0.069,0.074
"P27","Normal",0.483,0.494,0.506,0.322
"P27","No sabe",0.065,0.119,0.103,0.171
"P28","Diabetes",0.15,0.099,0.083,0.155
"P28","Hipertensión",0.132,0.19,0.185,0.158
"P28","Enfermedades cardiovasculares",0.036,0.046,0.039,0.056
"P28","Celiaquía",0.093,0.075,0.071,0.08
"P28","Ninguna",0.476,0.495,0.548,0.435
"P28","No sabe",0.113,0.095,0.074,0.116
"P29","Todos los días",0.154,0.043,0.027,0.103
"P29","Entre 4 y 6 días a la semana",0.048,0.053,0.039,0.063
"P29","Entre 1 y 3 días a la semana",0.053,0.114,0.136,0.117
"P29","Raramente",0.299,0.314,0.296,0.241
"P29","Nunca",0.446,0.476,0.502,0.476
"P30","Todos los días",0.145,0.025,0.025,0.054
"P30","Entre 4 y 6 días a la semana",0.037,0.023,0.022,0.025
"P30","Entre 1 y 3 días a la semana",0.113,0.118,0.107,0.098
"P30","Raramente",0.294,0.326,0.343,0.255
"P30","Nunca",0.411,0.508,0.503,0.568
"P31","Todos los días",0.614,0.593,0.633,0.585
"P31","Entre 4 y 6 días a la semana",0.155,0.195,0.172,0.14
"P31","Entre 1 y 3 días a la semana",0.062,0.071,0.073,0.085
"P31","Raramente",0.089,0.063,0.059,0.099
"P31","Nunca",0.08,0.078,0.063,0.091
"P32","Menos de 1 comida al día",0.247,0.16,0.151,0.294
"P32","1 comida",0.303,0.326,0.301,0.339
"P32","2 comidas",0.205,0.263,0.247,0.124
"P32","3 comidas",0.095,0.129,0.161,0.097
"P32","4 comidas",0.102,0.112,0.111,0.075
"P32","Más de 4 comidas",0.048,0.01,0.029,0.071
"P33","Precio",0.469,0.299,0.276,0.42
"P33","Calidad",0.13,0.171,0.144,0.166
"P33","Ambas",0.32,0.473,0.498,0.318
"P33","Compra sin ningún tipo de consideración",0.081,0.057,0.082,0.096
"P34","Menos de 1 vez a la semana",0.317,0.157,0.207,0.408
"P34","1 vez a la semana",0.198,0.311,0.287,0.117
"P34","Entre 1 a 4 veces a la semana",0.195,0.308,0.317,0.209
"P34","Más de 4 veces a la semana",0.197,0.151,0.118,0.104
"P34","No sabe",0.093,0.073,0.071,0.162
"P35","Hipermercado/Supermercado",0.544,0.47,0.477,0.404
"P35","Almacenes",0.231,0.266,0.243,0.273
"P35","Productores locales/mercados de cercanía/Ferias",0.113,0.186,0.205,0.151
"P35","Vía pública",0.044,0.024,0.026,0.057
"P35","No sabe",0.068,0.054,0.049,0.115
