"var","categoria","Menos de 1 vez a la semana","1 vez a la semana","Entre 1 a 4 veces a la semana","Más de 4 veces a la semana","No sabe"
"P14","Entre 4 y 6 días a la semana",0.196,0.251,0.255,0.262,0.196
"P14","Entre 1 y 3 días a la semana",0.219,0.274,0.308,0.219,0.246
"P14","Raramente",0.266,0.155,0.144,0.161,0.139
"P14","Nunca",0.069,0.042,0.026,0.031,0.114
"P15","Todos los días",0.142,0.112,0.11,0.145,0.118
"P15","Entre 4 y 6 días a la semana",0.223,0.196,0.23,0.186,0.164
"P15","Entre 1 y 3 días a la semana",0.322,0.432,0.435,0.392,0.36
"P15","Raramente",0.228,0.211,0.207,0.215,0.276
"P15","Nunca",0.085,0.049,0.018,0.062,0.082
"P16","Menos de un vaso al día",0.123,0.058,0.053,0.119,0.096
"P16","De 1 a 4 vasos al día",0.239,0.36,0.332,0.36,0.299
"P16","Más de 4 vasos al día",0.531,0.559,0.576,0.478,0.491
"P16","No consume agua",0.107,0.023,0.039,0.043,0.114
"P17","Agua embotellada/mineral",0.148,0.163,0.166,0.237,0.152
"P17","Agua de la canilla filtrada",0.27,0.33,0.321,0.251,0.228
"P17","Agua de la canilla directamente",0.466,0.336,0.368,0.329,0.45
"P17","Agua de bidón",0.094,0.166,0.142,0.175,0.13
"P17","No consume agua",0.022,0.005,0.003,0.008,0.04
"P18","Todos los días",0.07,0.048,0.056,0.083,0.109
"P18","Entre 4 y 6 días a la semana",0.058,0.081,0.094,0.07,0.02
"P18","Entre 1 y 3 días a la semana",0.177,0.194,0.257,0.182,0.111
"P18","Raramente",0.293,0.369,0.339,0.344,0.259
"P18","Nunca",0.402,0.308,0.254,0.321,0.501
"P19","Vino",0.203,0.261,0.336,0.222,0.175
"P19","Cerveza",0.19,0.196,0.19,0.203,0.083
"P19","Destilados (whisky, vodka, ron, etc.)",0.062,0.036,0.057,0.053,0.077
"P19","Espumantes",0.034,0.042,0.039,0.054,0.028
"P19","Otros",0.101,0.11,0.087,0.129,0.074
"P19","No consume bebidas alcohólicas",0.41,0.355,0.291,0.339,0.563
"P20","Todos los días",0.157,0.113,0.116,0.167,0.176
"P20","Entre 4 y 6 días a la semana",0.088,0.115,0.108,0.128,0.09
"P20","Entre 1 y 3 días a la semana",0.148,0.179,0.197,0.125,0.084
"P20","Raramente",0.365,0.359,0.353,0.351,0.384
"P20","Nunca",0.242,0.234,0.226,0.229,0.266
"P21","Todos los días",0.714,0.786,0.812,0.788,0.792
"P21","Entre 4 y 6 días a la semana",0.099,0.093,0.079,0.075,0.046
"P21","Entre 1 y 3 días a la semana",0.07,0.043,0.036,0.028,0.035
"P21","Raramente",0.064,0.051,0.041,0.074,0.086
"P21","Nunca",0.053,0.027,0.032,0.035,0.041
"P22","Asado",0.382,0.436,0.433,0.47,0.372
"P22","Pizza",0.074,0.075,0.074,0.054,0.089
"P22","Milanesa",0.158,0.153,0.183,0.14,0.129
"P22","Pastas",0.086,0.097,0.088,0.103,0.061
"P22","Empanadas",0.059,0.035,0.028,0.034,0.05
"P22","Hamburguesa",0.02,0.025,0.011,0.012,0.001
"P22","Ensaladas (de cualquier tipo)",0.053,0.086,0.09,0.066,0.043
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.082,0.059,0.055,0.085,0.17
"P22","Polenta o similares (de cualquier tipo)",0.056,0.016,0.013,0.007,0.032
"P22","Ninguno de los anteriores",0.03,0.018,0.025,0.029,0.053
"P23","Asado",0.12,0.126,0.098,0.135,0.079
"P23","Pizza",0.1,0.057,0.081,0.041,0.049
"P23","Milanesa",0.171,0.2,0.265,0.236,0.224
"P23","Pastas",0.158,0.165,0.139,0.173,0.178
"P23","Empanadas",0.046,0.055,0.046,0.043,0.022
"P23","Hamburguesa",0.017,0.014,0.021,0.013,0.046
"P23","Ensaladas (de cualquier tipo)",0.08,0.127,0.149,0.131,0.047
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.119,0.112,0.098,0.114,0.158
"P23","Polenta o similares (de cualquier tipo)",0.133,0.069,0.048,0.061,0.073
"P23","Ninguno de los anteriores",0.056,0.075,0.055,0.053,0.124
"P24","Helado",0.281,0.317,0.333,0.269,0.253
"P24","Tortas, tartas dulces y masas",0.146,0.154,0.138,0.115,0.161
"P24","Ensalada de frutas",0.182,0.17,0.176,0.187,0.16
"P24","Flan, budín de pan y similares",0.105,0.094,0.091,0.139,0.098
"P24","Dulce de batata, membrillo o similares",0.056,0.074,0.069,0.059,0.037
"P24","Facturas de todo tipo",0.029,0.032,0.05,0.036,0.081
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.035,0.031,0.035,0.043,0.007
"P24","Gelatina",0.049,0.037,0.017,0.024,0.056
"P24","Panqueques, wafles y similares",0.025,0.011,0.029,0.022,0.024
"P24","Ninguno de los anteriores",0.092,0.08,0.062,0.106,0.123
"P25","Helado",0.164,0.144,0.155,0.126,0.107
"P25","Tortas, tartas dulces y masas",0.13,0.142,0.142,0.126,0.139
"P25","Ensalada de frutas",0.094,0.108,0.119,0.097,0.043
"P25","Flan, budín de pan y similares",0.043,0.057,0.043,0.058,0.07
"P25","Dulce de batata, membrillo o similares",0.074,0.119,0.116,0.099,0.096
"P25","Facturas de todo tipo",0.059,0.077,0.09,0.081,0.055
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.018,0.025,0.032,0.038,0.025
"P25","Gelatina",0.055,0.048,0.041,0.023,0.057
"P25","Panqueques, wafles y similares",0.009,0.013,0.024,0.015,0.01
"P25","Ninguno de los anteriores",0.354,0.267,0.238,0.337,0.398
"P26","Vegetariano",0.084,0.063,0.062,0.04,0.007
"P26","Vegano",0.035,0.034,0.037,0.028,0.067
"P26","Dieta baja en carnes rojas",0.135,0.154,0.159,0.097,0.082
"P26","Dieta baja en carbohidratos",0.051,0.089,0.109,0.121,0.039
"P26","Dieta baja en azúcares",0.1,0.12,0.113,0.127,0.124
"P26","Kosher o Alal",0.022,0.012,0.01,0.008,0.015
"P26","Ninguna restricción alimentaria",0.573,0.528,0.51,0.579,0.666
"P27","Bajo peso",0.118,0.091,0.043,0.035,0.112
"P27","Sobrepeso",0.254,0.238,0.288,0.289,0.233
"P27","Obesidad",0.097,0.056,0.057,0.06,0.06
"P27","Normal",0.379,0.534,0.551,0.491,0.427
"P27","No sabe",0.152,0.081,0.061,0.125,0.168
"P28","Diabetes",0.149,0.089,0.076,0.091,0.121
"P28","Hipertensión",0.145,0.185,0.2,0.182,0.218
"P28","Enfermedades cardiovasculares",0.043,0.038,0.047,0.039,0.027
"P28","Celiaquía",0.058,0.078,0.07,0.069,0.086
"P28","Ninguna",0.498,0.531,0.564,0.51,0.393
"P28","No sabe",0.107,0.079,0.043,0.109,0.155
"P29","Todos los días",0.084,0.023,0.04,0.041,0.067
"P29","Entre 4 y 6 días a la semana",0.038,0.053,0.049,0.04,0.018
"P29","Entre 1 y 3 días a la semana",0.072,0.142,0.166,0.117,0.044
"P29","Raramente",0.198,0.295,0.383,0.295,0.263
"P29","Nunca",0.608,0.487,0.362,0.507,0.608
"P30","Todos los días",0.079,0.017,0.023,0.017,0.056
"P30","Entre 4 y 6 días a la semana",0.01,0.029,0.019,0.027,0.008
"P30","Entre 1 y 3 días a la semana",0.081,0.123,0.153,0.104,0.028
"P30","Raramente",0.232,0.342,0.391,0.364,0.27
"P30","Nunca",0.598,0.489,0.414,0.488,0.638
"P31","Todos los días",0.666,0.599,0.585,0.649,0.607
"P31","Entre 4 y 6 días a la semana",0.127,0.194,0.231,0.141,0.131
"P31","Entre 1 y 3 días a la semana",0.067,0.067,0.08,0.069,0.072
"P31","Raramente",0.052,0.075,0.065,0.077,0.062
"P31","Nunca",0.088,0.065,0.039,0.064,0.128
"P32","Menos de 1 comida al día",0.299,0.132,0.105,0.165,0.21
"P32","1 comida",0.323,0.332,0.258,0.298,0.456
"P32","2 comidas",0.175,0.252,0.283,0.254,0.211
"P32","3 comidas",0.106,0.157,0.168,0.167,0.045
"P32","4 comidas",0.067,0.104,0.153,0.094,0.051
"P32","Más de 4 comidas",0.03,0.023,0.033,0.022,0.027
"P33","Precio",0.547,0.285,0.14,0.306,0.348
"P33","Calidad",0.105,0.196,0.155,0.137,0.137
"P33","Ambas",0.283,0.456,0.645,0.443,0.379
"P33","Compra sin ningún tipo de consideración",0.065,0.063,0.06,0.114,0.136
"P35","Hipermercado/Supermercado",0.618,0.486,0.433,0.358,0.423
"P35","Almacenes",0.161,0.31,0.222,0.329,0.258
"P35","Productores locales/mercados de cercanía/Ferias",0.139,0.162,0.293,0.148,0.091
"P35","Vía pública",0.031,0.009,0.006,0.095,0.065
"P35","No sabe",0.051,0.033,0.046,0.07,0.163
