"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.03,0.023,0.025,0.013,0.052,0.026,0.064,0.045,0.006,0.041
"P24","Gelatina",0.022,0.004,0.022,0.02,0.052,0.026,0.059,0.074,0.158,0.031
"P24","Panqueques, wafles y similares",0.011,0.013,0.016,0.023,0.04,0.012,0.027,0.035,0.121,0.037
"P24","Ninguno de los anteriores",0.055,0.038,0.069,0.079,0.072,0.036,0.118,0.131,0.352,0.313
"P25","Helado",0.194,0.182,0.126,0.108,0.1,0.094,0.077,0.092,0.055,0.089
"P25","Tortas, tartas dulces y masas",0.149,0.233,0.127,0.158,0.204,0.093,0.092,0.093,0.073,0.024
"P25","Ensalada de frutas",0.101,0.084,0.108,0.097,0.137,0.097,0.158,0.077,0.034,0.037
"P25","Flan, budín de pan y similares",0.055,0.044,0.043,0.09,0.031,0.088,0.037,0.05,0.064,0.014
"P25","Dulce de batata, membrillo o similares",0.096,0.095,0.141,0.127,0.14,0.126,0.103,0.114,0.032,0.071
"P25","Facturas de todo tipo",0.065,0.124,0.07,0.069,0.113,0.247,0.053,0.069,0.045,0.077
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.017,0.022,0.026,0.013,0.028,0.018,0.041,0.041,0.093,0.028
"P25","Gelatina",0.032,0.031,0.054,0.023,0.02,0,0.098,0.076,0.06,0.125
"P25","Panqueques, wafles y similares",0.017,0.011,0.008,0.02,0.004,0.007,0.006,0.015,0.061,0.015
"P25","Ninguno de los anteriores",0.274,0.174,0.297,0.295,0.223,0.23,0.335,0.373,0.483,0.52
"P26","Vegetariano",0.07,0.066,0.039,0.075,0.115,0.017,0.099,0.048,0.064,0.027
"P26","Vegano",0.045,0.119,0.008,0.025,0.049,0.021,0.043,0.004,0.009,0
"P26","Dieta baja en carnes rojas",0.127,0.1,0.178,0.127,0.174,0.045,0.203,0.131,0.126,0.129
"P26","Dieta baja en carbohidratos",0.083,0.074,0.088,0.106,0.108,0.033,0.13,0.067,0.01,0.078
"P26","Dieta baja en azúcares",0.108,0.079,0.126,0.075,0.086,0.052,0.185,0.121,0.169,0.139
"P26","Kosher o Alal",0.014,0.004,0.018,0.023,0.007,0.007,0.008,0.006,0.007,0.005
"P26","Ninguna restricción alimentaria",0.553,0.558,0.543,0.569,0.461,0.825,0.332,0.623,0.615,0.622
"P27","Bajo peso",0.094,0.098,0.069,0.058,0.107,0.048,0.048,0.027,0.231,0.061
"P27","Sobrepeso",0.248,0.372,0.271,0.255,0.277,0.352,0.21,0.217,0.131,0.162
"P27","Obesidad",0.067,0.085,0.09,0.045,0.058,0.012,0.061,0.053,0.077,0.027
"P27","Normal",0.484,0.388,0.495,0.54,0.41,0.526,0.592,0.526,0.331,0.507
"P27","No sabe",0.107,0.057,0.075,0.102,0.148,0.062,0.089,0.177,0.23,0.243
"P28","Diabetes",0.112,0.102,0.093,0.052,0.121,0.022,0.089,0.081,0.121,0.103
"P28","Hipertensión",0.179,0.214,0.191,0.14,0.257,0.145,0.196,0.169,0.102,0.169
"P28","Enfermedades cardiovasculares",0.041,0.049,0.044,0.025,0.077,0,0.048,0.024,0.102,0.037
"P28","Celiaquía",0.091,0.031,0.065,0.062,0.079,0.044,0.059,0.085,0.081,0.051
"P28","Ninguna",0.497,0.505,0.546,0.63,0.368,0.672,0.559,0.519,0.41,0.475
"P28","No sabe",0.08,0.099,0.061,0.091,0.098,0.117,0.049,0.122,0.184,0.165
"P29","Todos los días",0.068,0.056,0.025,0.028,0.084,0,0.02,0.01,0.039,0.031
"P29","Entre 4 y 6 días a la semana",0.051,0.072,0.058,0.027,0.019,0.052,0.042,0.01,0.068,0.003
"P29","Entre 1 y 3 días a la semana",0.137,0.138,0.119,0.131,0.074,0.245,0.064,0.107,0.015,0.087
"P29","Raramente",0.289,0.332,0.325,0.304,0.31,0.232,0.335,0.287,0.13,0.301
"P29","Nunca",0.455,0.402,0.473,0.51,0.513,0.471,0.539,0.586,0.748,0.578
"P30","Todos los días",0.05,0.062,0.006,0.022,0.104,0,0.001,0.019,0.038,0.03
"P30","Entre 4 y 6 días a la semana",0.024,0.053,0.028,0.011,0.033,0.005,0.032,0.006,0.004,0.002
"P30","Entre 1 y 3 días a la semana",0.13,0.135,0.104,0.108,0.089,0.319,0.051,0.035,0.079,0.092
"P30","Raramente",0.33,0.334,0.422,0.346,0.273,0.39,0.272,0.282,0.101,0.205
"P30","Nunca",0.466,0.416,0.44,0.513,0.501,0.286,0.644,0.658,0.778,0.671
"P31","Todos los días",0.613,0.603,0.582,0.597,0.605,0.475,0.666,0.722,0.733,0.533
"P31","Entre 4 y 6 días a la semana",0.183,0.182,0.166,0.217,0.105,0.369,0.167,0.149,0.107,0.121
"P31","Entre 1 y 3 días a la semana",0.068,0.106,0.078,0.082,0.092,0.02,0.049,0.033,0.038,0.182
"P31","Raramente",0.072,0.063,0.092,0.032,0.058,0.103,0.039,0.03,0.093,0.038
"P31","Nunca",0.064,0.046,0.082,0.072,0.14,0.033,0.079,0.066,0.029,0.126
"P32","Menos de 1 comida al día",0.177,0.16,0.155,0.081,0.345,0.055,0.11,0.213,0.208,0.294
"P32","1 comida",0.297,0.295,0.284,0.382,0.207,0.379,0.351,0.382,0.413,0.243
"P32","2 comidas",0.264,0.247,0.255,0.187,0.257,0.161,0.265,0.16,0.135,0.246
"P32","3 comidas",0.138,0.111,0.18,0.142,0.086,0.162,0.169,0.138,0.103,0.1
"P32","4 comidas",0.1,0.159,0.111,0.182,0.088,0.157,0.093,0.054,0.08,0.069
"P32","Más de 4 comidas",0.024,0.028,0.015,0.026,0.017,0.086,0.012,0.053,0.061,0.048
"P33","Precio",0.314,0.335,0.261,0.332,0.365,0.344,0.21,0.316,0.45,0.319
"P33","Calidad",0.151,0.168,0.137,0.149,0.139,0.161,0.187,0.168,0.22,0.065
"P33","Ambas",0.467,0.429,0.533,0.466,0.375,0.442,0.516,0.409,0.242,0.508
"P33","Compra sin ningún tipo de consideración",0.068,0.068,0.069,0.053,0.121,0.053,0.087,0.107,0.088,0.108
"P34","Menos de 1 vez a la semana",0.19,0.215,0.209,0.202,0.318,0.256,0.151,0.23,0.5,0.237
"P34","1 vez a la semana",0.286,0.286,0.266,0.3,0.249,0.438,0.322,0.218,0.193,0.182
"P34","Entre 1 a 4 veces a la semana",0.305,0.303,0.342,0.291,0.215,0.205,0.362,0.22,0.159,0.282
"P34","Más de 4 veces a la semana",0.15,0.1,0.119,0.154,0.117,0.096,0.119,0.153,0.041,0.144
"P34","No sabe",0.069,0.096,0.064,0.053,0.101,0.005,0.046,0.179,0.107,0.155
"P35","Hipermercado/Supermercado",0.471,0.493,0.455,0.568,0.603,0.659,0.438,0.385,0.442,0.429
"P35","Almacenes",0.272,0.321,0.259,0.206,0.183,0.085,0.205,0.231,0.335,0.148
"P35","Productores locales/mercados de cercanía/Ferias",0.176,0.144,0.212,0.183,0.096,0.119,0.267,0.239,0.151,0.232
"P35","Vía pública",0.031,0.001,0.03,0.003,0.085,0,0.008,0.043,0.054,0.06
"P35","No sabe",0.05,0.041,0.044,0.04,0.033,0.137,0.082,0.102,0.018,0.131
