"var","categoria","Empleado en relación de dependencia","Jubilado o pensionado","Desempleado","Monotributista o autónomo","Empresario","Estudiante","Otro"
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.299,0.211,0.254,0.233,0.13,0.221,0.24
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.402,0.196,0.372,0.487,0.565,0.548,0.425
"P16","No sabe",0.299,0.593,0.374,0.28,0.305,0.231,0.335
"P17","Porque son mas seguras",0.234,0.157,0.211,0.182,0.152,0.208,0.165
"P17","Porque los costos del servicio son menores",0.245,0.146,0.207,0.272,0.266,0.256,0.218
"P17","Porque tienen mas clientes adheridos",0.155,0.111,0.111,0.16,0.153,0.154,0.12
"P17","Porque la calidad de la aplicación",0.108,0.044,0.084,0.114,0.134,0.193,0.1
"P17","Por la calidad de la atención al cliente",0.028,0.031,0.039,0.015,0.003,0.041,0.031
"P17","Por la eficiencia en la solución de reclamos",0.014,0.021,0.015,0.022,0.086,0.013,0.046
"P17","No sabe",0.216,0.49,0.333,0.235,0.206,0.135,0.32
"P18","Si, las conozco",0.364,0.283,0.391,0.379,0.325,0.496,0.342
"P18","No, no las conozco",0.636,0.717,0.609,0.621,0.675,0.504,0.658
"P19","Si",0.583,0.252,0.488,0.642,0.518,0.578,0.496
"P19","No",0.417,0.748,0.512,0.358,0.482,0.422,0.504
"P20","MODO",0.215,0.225,0.146,0.147,0.146,0.271,0.282
"P20","Cuenta DNI",0.153,0.223,0.113,0.113,0.041,0.05,0.155
"P20","Mercado de Pago",0.496,0.296,0.457,0.532,0.571,0.529,0.308
"P20","Ualá",0.014,0.011,0.042,0.027,0.009,0.048,0.051
"P20","Brubank",0.02,0.001,0.038,0.024,0.059,0,0.002
"P20","Naranja X",0.01,0.013,0.043,0.016,0,0.022,0.021
"P20","Otra",0.092,0.231,0.161,0.141,0.174,0.08,0.181
"P21","Para pagar en comercios con el celular",0.513,0.506,0.274,0.309,0.473,0.392,0.341
"P21","Para transferir / enviar o recibir dinero de terceros",0.256,0.255,0.38,0.298,0.103,0.332,0.434
"P21","Para usarla para trabajar / cobrar / vender",0.116,0.1,0.17,0.245,0.238,0.155,0.074
"P21","Para pagar servicios",0.07,0.069,0.128,0.098,0.146,0.047,0.093
"P21","Para extraer dinero sin tarjeta",0.026,0.013,0.013,0.011,0.031,0,0.005
"P21","Para recargar el celular / tarjeta de transporte",0.019,0.057,0.035,0.039,0.009,0.074,0.053
"P22","Usas más efectivo que antes",0.103,0.131,0.109,0.089,0.181,0.072,0.134
"P22","Usas la misma cantidad de efectivo que antes",0.214,0.301,0.385,0.231,0.366,0.615,0.309
"P22","Usas menos efectivo que antes",0.683,0.568,0.506,0.68,0.453,0.313,0.557
"P23","Tener mayor control de tus gastos",0.389,0.384,0.462,0.37,0.419,0.494,0.375
"P23","Tener igual control de tus gastos",0.465,0.487,0.403,0.48,0.473,0.406,0.514
"P23","Tener menor control de tus gastos",0.146,0.129,0.135,0.15,0.108,0.1,0.111
"P24","Muy de acuerdo",0.401,0.3,0.444,0.337,0.263,0.309,0.288
"P24","De acuerdo",0.216,0.226,0.302,0.216,0.247,0.466,0.373
"P24","Algo de acuerdo",0.202,0.323,0.152,0.254,0.215,0.08,0.25
"P24","Poco de acuerdo",0.096,0.086,0.04,0.095,0.025,0.126,0.07
"P24","Nada de acuerdo",0.085,0.065,0.062,0.098,0.25,0.019,0.019
"P25","Deberían mantenerse y ampliarse aún mas",0.393,0.22,0.316,0.374,0.362,0.476,0.279
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.467,0.473,0.445,0.412,0.437,0.445,0.468
"P25","Deberian limitarse a los estrictamente necesarios",0.075,0.121,0.106,0.092,0.107,0.017,0.06
"P25","Deberian eliminarse y volverse a la situación anterior",0.065,0.186,0.133,0.122,0.094,0.062,0.193
"P26","Sí, compraría",0.224,0.073,0.193,0.239,0.291,0.454,0.217
"P26","No, no tengo suficiente información",0.478,0.556,0.474,0.402,0.346,0.25,0.44
"P26","No, me resulta una inversión riesgosa",0.112,0.123,0.1,0.108,0.189,0.048,0.069
"P26","No, me parece una inversión poco confiable",0.08,0.081,0.062,0.123,0.14,0.114,0.093
"P26","No me interesa",0.106,0.167,0.171,0.128,0.034,0.134,0.181
"P27","Si",0.331,0.093,0.206,0.37,0.451,0.362,0.178
"P27","No",0.669,0.907,0.794,0.63,0.549,0.638,0.822
"P28","Muy seguro",0.298,0.136,0.221,0.263,0.232,0.125,0.11
"P28","Bastante seguro",0.303,0.267,0.243,0.275,0.284,0.397,0.309
"P28","Seguro",0.191,0.147,0.177,0.231,0.191,0.253,0.218
"P28","Poco seguro",0.087,0.097,0.073,0.106,0.136,0.095,0.062
"P28","Nada seguro",0.048,0.093,0.063,0.044,0.064,0.054,0.052
"P28","No hago operaciones online",0.073,0.26,0.223,0.081,0.093,0.076,0.249
"P29","Sí, he sido víctima",0.183,0.137,0.196,0.19,0.204,0.168,0.119
"P29","No, no he sido víctima",0.73,0.746,0.648,0.711,0.741,0.726,0.734
"P29","No sabe",0.087,0.117,0.156,0.099,0.055,0.106,0.147
"P30","Estafa por redes sociales",0.341,0.262,0.353,0.242,0.267,0.399,0.236
"P30","Estafa telefónica",0.126,0.16,0.268,0.177,0.024,0.546,0.152
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.204,0.142,0.092,0.099,0.218,0.055,0.11
"P30","Virus",0.015,0.014,0.009,0.024,0.023,0,0.155
"P30","Otros",0.314,0.422,0.278,0.458,0.468,0,0.347
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.216,0.205,0.189,0.221,0.168,0.176,0.081
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.31,0.258,0.277,0.261,0.294,0.454,0.351
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.287,0.232,0.244,0.37,0.362,0.286,0.276
"P31","No sabe",0.187,0.305,0.29,0.148,0.176,0.084,0.292
"P32","Si, he limitado las operaciones",0.2,0.217,0.218,0.185,0.249,0.14,0.164
"P32","He limitado parcialmente",0.234,0.221,0.223,0.25,0.285,0.318,0.204
"P32","No, continúo operando igual que siempre",0.566,0.562,0.559,0.565,0.466,0.542,0.632
"P33","1",0.251,0.288,0.268,0.271,0.406,0.4,0.27
"P33","2",0.126,0.101,0.102,0.124,0.22,0.04,0.124
"P33","3",0.157,0.135,0.131,0.115,0.089,0.062,0.193
"P33","4",0.062,0.047,0.044,0.061,0.02,0,0.073
"P33","5",0.157,0.179,0.172,0.203,0.102,0.19,0.142
"P33","6",0.055,0.045,0.051,0.052,0.025,0.066,0.039
"P33","7",0.051,0.033,0.035,0.017,0.006,0.097,0.008
"P33","8",0.042,0.037,0.028,0.03,0.067,0.01,0.025
"P33","9",0.099,0.135,0.169,0.127,0.065,0.135,0.126
"P34","1",0.273,0.324,0.321,0.285,0.425,0.268,0.333
"P34","2",0.139,0.093,0.082,0.149,0.166,0.039,0.084
"P34","3",0.086,0.097,0.054,0.083,0.059,0.08,0.044
"P34","4",0.067,0.066,0.07,0.096,0.045,0.08,0.108
"P34","5",0.217,0.186,0.2,0.221,0.091,0.19,0.204
"P34","6",0.052,0.057,0.056,0.03,0.146,0.064,0.041
"P34","7",0.046,0.031,0.058,0.035,0.009,0.019,0.042
"P34","8",0.038,0.034,0.02,0.034,0.016,0,0.044
"P34","9",0.082,0.112,0.139,0.067,0.043,0.26,0.1
"P35","1",0.23,0.299,0.281,0.263,0.414,0.253,0.244
"P35","2",0.083,0.072,0.062,0.116,0.069,0.018,0.07
"P35","3",0.055,0.052,0.032,0.028,0.03,0.013,0.033
"P35","4",0.04,0.024,0.049,0.042,0.036,0.009,0.046
"P35","5",0.182,0.118,0.136,0.153,0.084,0.216,0.17
"P35","6",0.053,0.073,0.042,0.034,0.035,0,0.018
"P35","7",0.044,0.046,0.061,0.046,0.022,0.095,0.058
"P35","8",0.053,0.068,0.077,0.081,0.111,0.045,0.078
"P35","9",0.26,0.248,0.26,0.237,0.199,0.351,0.283
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.337,0.235,0.233,0.374,0.493,0.224,0.196
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.246,0.2,0.248,0.198,0.163,0.241,0.213
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.168,0.245,0.182,0.201,0.211,0.329,0.198
"P36","No sabe",0.249,0.32,0.337,0.227,0.133,0.206,0.393
"P37","Muy buena",0.089,0.097,0.072,0.085,0.102,0.033,0.102
"P37","Buena",0.115,0.14,0.1,0.086,0.071,0.217,0.075
"P37","Ni buena ni mala",0.165,0.14,0.244,0.146,0.095,0.081,0.208
"P37","Mala",0.183,0.173,0.201,0.16,0.179,0.252,0.207
"P37","Muy mala",0.427,0.423,0.333,0.51,0.548,0.341,0.361
"P37","No sabe",0.021,0.027,0.05,0.013,0.005,0.076,0.047
"P38","Gran excedente habitual",0.007,0.002,0.003,0.008,0.083,0,0.005
"P38","Gran excedente excepcional",0.009,0.01,0.009,0.013,0.021,0.021,0.008
"P38","Pequeño excedente habitual",0.072,0.034,0.032,0.103,0.117,0.039,0.032
"P38","Pequeño excedente excepcional",0.077,0.04,0.013,0.085,0.108,0.068,0.037
"P38","Alcanza gastos familia",0.133,0.131,0.046,0.173,0.194,0.216,0.08
"P38","No alcanza gastos familia",0.185,0.168,0.221,0.175,0.157,0.191,0.211
"P38","Solo NBFamiliares",0.254,0.272,0.205,0.224,0.184,0.169,0.247
"P38","No alcanza NBFamiliares",0.25,0.32,0.455,0.193,0.127,0.248,0.338
"P38","No sabe",0.013,0.023,0.016,0.026,0.009,0.048,0.042
"P39","Mejor",0.111,0.093,0.078,0.146,0.127,0.09,0.109
"P39","Igual",0.243,0.233,0.227,0.243,0.178,0.282,0.242
"P39","Peor",0.549,0.574,0.499,0.522,0.629,0.4,0.52
"P39","No sabe",0.097,0.1,0.196,0.089,0.066,0.228,0.129
