"var","categoria","Estafa por redes sociales","Estafa telefónica","Correos electrónicos falsos que dirigían a un sitio web fraudulento","Virus","Otros"
"P33","5",0.145,0.145,0.17,0.096,0.222
"P33","6",0.088,0.013,0.02,0,0.054
"P33","7",0.037,0,0.025,0,0.053
"P33","8",0.039,0.037,0.007,0,0.02
"P33","9",0.122,0.172,0.146,0,0.101
"P34","1",0.381,0.39,0.342,0.533,0.248
"P34","2",0.064,0.095,0.18,0.083,0.115
"P34","3",0.081,0.046,0.024,0.139,0.097
"P34","4",0.057,0.056,0.018,0,0.095
"P34","5",0.189,0.173,0.284,0.183,0.249
"P34","6",0.092,0.039,0.046,0,0.034
"P34","7",0.02,0.026,0.024,0,0.035
"P34","8",0.017,0.06,0.008,0.062,0.024
"P34","9",0.099,0.115,0.074,0,0.103
"P35","1",0.212,0.355,0.264,0.361,0.237
"P35","2",0.077,0.07,0.082,0.081,0.083
"P35","3",0.013,0.004,0.082,0,0.02
"P35","4",0.084,0.012,0.006,0,0.044
"P35","5",0.175,0.089,0.297,0.279,0.142
"P35","6",0.028,0.038,0.039,0,0.087
"P35","7",0.052,0.021,0.046,0,0.031
"P35","8",0.093,0.031,0.069,0.033,0.071
"P35","9",0.266,0.38,0.115,0.246,0.285
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.298,0.253,0.319,0.334,0.44
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.134,0.38,0.361,0.184,0.223
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.31,0.211,0.283,0.35,0.16
"P36","No sabe",0.258,0.156,0.037,0.132,0.177
"P37","Muy buena",0.149,0.048,0.208,0.053,0.112
"P37","Buena",0.067,0.07,0.081,0.233,0.122
"P37","Ni buena ni mala",0.168,0.14,0.137,0,0.115
"P37","Mala",0.187,0.204,0.134,0.323,0.118
"P37","Muy mala",0.429,0.506,0.419,0.391,0.493
"P37","No sabe",0,0.032,0.021,0,0.04
"P38","Gran excedente habitual",0.003,0,0,0.059,0.008
"P38","Gran excedente excepcional",0.004,0.017,0,0,0
"P38","Pequeño excedente habitual",0.111,0.064,0.119,0,0.089
"P38","Pequeño excedente excepcional",0.05,0.061,0.071,0.085,0.103
"P38","Alcanza gastos familia",0.088,0.119,0.113,0.199,0.121
"P38","No alcanza gastos familia",0.152,0.232,0.229,0.19,0.087
"P38","Solo NBFamiliares",0.227,0.226,0.203,0.13,0.292
"P38","No alcanza NBFamiliares",0.363,0.281,0.265,0.337,0.278
"P38","No sabe",0.002,0,0,0,0.022
"P39","Mejor",0.152,0.041,0.172,0.059,0.113
"P39","Igual",0.201,0.288,0.171,0.194,0.176
"P39","Peor",0.521,0.526,0.478,0.747,0.625
"P39","No sabe",0.126,0.145,0.179,0,0.086
