"var","categoria","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá","No sabe"
"P33","9",0.173,0.08,0.149
"P34","1",0.256,0.306,0.34
"P34","2",0.097,0.122,0.108
"P34","3",0.072,0.083,0.078
"P34","4",0.077,0.079,0.066
"P34","5",0.22,0.197,0.195
"P34","6",0.053,0.055,0.049
"P34","7",0.053,0.036,0.038
"P34","8",0.025,0.035,0.034
"P34","9",0.147,0.087,0.092
"P35","1",0.251,0.248,0.302
"P35","2",0.062,0.091,0.075
"P35","3",0.031,0.038,0.057
"P35","4",0.031,0.051,0.029
"P35","5",0.161,0.137,0.155
"P35","6",0.047,0.052,0.048
"P35","7",0.061,0.047,0.045
"P35","8",0.065,0.077,0.062
"P35","9",0.291,0.259,0.227
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.28,0.337,0.227
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.283,0.233,0.169
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.191,0.206,0.206
"P36","No sabe",0.246,0.224,0.398
"P37","Muy buena",0.105,0.086,0.077
"P37","Buena",0.17,0.075,0.127
"P37","Ni buena ni mala",0.193,0.166,0.156
"P37","Mala",0.199,0.162,0.196
"P37","Muy mala",0.324,0.498,0.402
"P37","No sabe",0.009,0.013,0.042
"P38","Gran excedente habitual",0.005,0.006,0.008
"P38","Gran excedente excepcional",0.011,0.009,0.011
"P38","Pequeño excedente habitual",0.058,0.068,0.045
"P38","Pequeño excedente excepcional",0.069,0.054,0.048
"P38","Alcanza gastos familia",0.14,0.122,0.112
"P38","No alcanza gastos familia",0.191,0.188,0.17
"P38","Solo NBFamiliares",0.232,0.225,0.27
"P38","No alcanza NBFamiliares",0.282,0.317,0.314
"P38","No sabe",0.012,0.011,0.022
"P39","Mejor",0.132,0.083,0.099
"P39","Igual",0.291,0.231,0.233
"P39","Peor",0.479,0.573,0.533
"P39","No sabe",0.098,0.113,0.135
