"var","categoria","Informar y asesorar a los usuarios/as sobre esta temática","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual","Generar productos bancarios que aseguren a los clientes ante estas situaciones","No sabe"
"P18","No, no las conozco",0.583,0.597,0.664,0.756
"P19","Si",0.525,0.518,0.49,0.294
"P19","No",0.475,0.482,0.51,0.706
"P20","MODO",0.228,0.238,0.194,0.134
"P20","Cuenta DNI",0.18,0.141,0.132,0.147
"P20","Mercado de Pago",0.369,0.464,0.447,0.461
"P20","Ualá",0.019,0.029,0.037,0.027
"P20","Brubank",0.029,0.011,0.016,0.033
"P20","Naranja X",0.034,0.012,0.015,0.029
"P20","Otra",0.141,0.105,0.159,0.169
"P21","Para pagar en comercios con el celular",0.46,0.415,0.394,0.391
"P21","Para transferir / enviar o recibir dinero de terceros",0.286,0.307,0.285,0.31
"P21","Para usarla para trabajar / cobrar / vender",0.123,0.173,0.151,0.16
"P21","Para pagar servicios",0.089,0.075,0.099,0.072
"P21","Para extraer dinero sin tarjeta",0.012,0.006,0.028,0.024
"P21","Para recargar el celular / tarjeta de transporte",0.03,0.024,0.043,0.043
"P22","Usas más efectivo que antes",0.125,0.149,0.078,0.077
"P22","Usas la misma cantidad de efectivo que antes",0.253,0.271,0.272,0.256
"P22","Usas menos efectivo que antes",0.622,0.58,0.65,0.667
"P23","Tener mayor control de tus gastos",0.53,0.369,0.353,0.349
"P23","Tener igual control de tus gastos",0.347,0.472,0.512,0.546
"P23","Tener menor control de tus gastos",0.123,0.159,0.135,0.105
"P24","Muy de acuerdo",0.442,0.382,0.317,0.297
"P24","De acuerdo",0.221,0.264,0.26,0.273
"P24","Algo de acuerdo",0.22,0.221,0.25,0.224
"P24","Poco de acuerdo",0.052,0.056,0.117,0.099
"P24","Nada de acuerdo",0.065,0.077,0.056,0.107
"P25","Deberían mantenerse y ampliarse aún mas",0.448,0.328,0.305,0.232
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.413,0.534,0.497,0.39
"P25","Deberian limitarse a los estrictamente necesarios",0.087,0.078,0.106,0.112
"P25","Deberian eliminarse y volverse a la situación anterior",0.052,0.06,0.092,0.266
"P26","Sí, compraría",0.21,0.219,0.194,0.109
"P26","No, no tengo suficiente información",0.539,0.476,0.449,0.484
"P26","No, me resulta una inversión riesgosa",0.117,0.129,0.128,0.069
"P26","No, me parece una inversión poco confiable",0.052,0.088,0.13,0.067
"P26","No me interesa",0.082,0.088,0.099,0.271
"P27","Si",0.304,0.272,0.292,0.141
"P27","No",0.696,0.728,0.708,0.859
"P28","Muy seguro",0.343,0.262,0.191,0.123
"P28","Bastante seguro",0.263,0.396,0.285,0.169
"P28","Seguro",0.178,0.162,0.218,0.201
"P28","Poco seguro",0.103,0.059,0.118,0.073
"P28","Nada seguro",0.038,0.028,0.075,0.078
"P28","No hago operaciones online",0.075,0.093,0.113,0.356
"P29","Sí, he sido víctima",0.203,0.115,0.229,0.142
"P29","No, no he sido víctima",0.739,0.85,0.646,0.635
"P29","No sabe",0.058,0.035,0.125,0.223
"P30","Estafa por redes sociales",0.424,0.272,0.294,0.204
"P30","Estafa telefónica",0.121,0.307,0.188,0.17
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.114,0.103,0.186,0.148
"P30","Virus",0.022,0,0.012,0.066
"P30","Otros",0.319,0.318,0.32,0.412
"P32","Si, he limitado las operaciones",0.358,0.165,0.172,0.157
"P32","He limitado parcialmente",0.214,0.302,0.228,0.158
"P32","No, continúo operando igual que siempre",0.428,0.533,0.6,0.685
"P33","1",0.267,0.24,0.28,0.316
"P33","2",0.107,0.143,0.115,0.082
"P33","3",0.101,0.225,0.11,0.1
"P33","4",0.047,0.044,0.054,0.068
"P33","5",0.21,0.146,0.185,0.15
"P33","6",0.033,0.04,0.063,0.059
"P33","7",0.038,0.033,0.035,0.039
"P33","8",0.039,0.026,0.045,0.029
"P33","9",0.158,0.103,0.113,0.157
"P34","1",0.297,0.29,0.305,0.333
"P34","2",0.108,0.116,0.123,0.088
"P34","3",0.081,0.077,0.086,0.069
"P34","4",0.064,0.069,0.086,0.074
"P34","5",0.222,0.189,0.195,0.209
"P34","6",0.035,0.061,0.061,0.046
"P34","7",0.014,0.056,0.033,0.058
"P34","8",0.039,0.033,0.035,0.02
"P34","9",0.14,0.109,0.076,0.103
"P35","1",0.29,0.249,0.218,0.34
"P35","2",0.068,0.094,0.081,0.059
"P35","3",0.034,0.038,0.05,0.048
"P35","4",0.029,0.038,0.05,0.031
"P35","5",0.146,0.159,0.151,0.138
"P35","6",0.031,0.047,0.056,0.061
"P35","7",0.045,0.058,0.044,0.052
"P35","8",0.045,0.066,0.081,0.076
"P35","9",0.312,0.251,0.269,0.195
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.399,0.299,0.263,0.183
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.247,0.269,0.218,0.149
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.188,0.21,0.263,0.122
"P36","No sabe",0.166,0.222,0.256,0.546
"P37","Muy buena",0.094,0.114,0.065,0.085
"P37","Buena",0.148,0.102,0.102,0.104
"P37","Ni buena ni mala",0.136,0.15,0.156,0.207
"P37","Mala",0.176,0.157,0.211,0.2
"P37","Muy mala",0.434,0.461,0.453,0.356
"P37","No sabe",0.012,0.016,0.013,0.048
"P38","Gran excedente habitual",0.003,0.008,0.008,0.001
"P38","Gran excedente excepcional",0.004,0.017,0.015,0.011
"P38","Pequeño excedente habitual",0.061,0.069,0.07,0.04
"P38","Pequeño excedente excepcional",0.043,0.075,0.079,0.046
"P38","Alcanza gastos familia",0.134,0.127,0.159,0.101
"P38","No alcanza gastos familia",0.148,0.184,0.177,0.202
"P38","Solo NBFamiliares",0.286,0.241,0.245,0.256
"P38","No alcanza NBFamiliares",0.32,0.255,0.236,0.324
"P38","No sabe",0.001,0.024,0.011,0.019
"P39","Mejor",0.128,0.11,0.118,0.082
"P39","Igual",0.251,0.242,0.232,0.256
"P39","Peor",0.553,0.537,0.546,0.522
"P39","No sabe",0.068,0.111,0.104,0.14
