"var","categoria","Deberían mantenerse y ampliarse aún mas","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales","Deberian limitarse a los estrictamente necesarios","Deberian eliminarse y volverse a la situación anterior"
"P24","Muy de acuerdo",0.483,0.289,0.139,0.281
"P24","De acuerdo",0.222,0.331,0.222,0.065
"P24","Algo de acuerdo",0.182,0.26,0.437,0.053
"P24","Poco de acuerdo",0.061,0.059,0.072,0.31
"P24","Nada de acuerdo",0.052,0.061,0.13,0.291
"P26","Sí, compraría",0.35,0.13,0.097,0.042
"P26","No, no tengo suficiente información",0.434,0.552,0.378,0.388
"P26","No, me resulta una inversión riesgosa",0.086,0.1,0.241,0.097
"P26","No, me parece una inversión poco confiable",0.055,0.073,0.102,0.186
"P26","No me interesa",0.075,0.145,0.182,0.287
"P27","Si",0.327,0.224,0.2,0.102
"P27","No",0.673,0.776,0.8,0.898
"P28","Muy seguro",0.341,0.187,0.133,0.06
"P28","Bastante seguro",0.304,0.304,0.211,0.171
"P28","Seguro",0.17,0.202,0.211,0.144
"P28","Poco seguro",0.071,0.098,0.121,0.075
"P28","Nada seguro",0.03,0.054,0.096,0.154
"P28","No hago operaciones online",0.084,0.155,0.228,0.396
"P29","Sí, he sido víctima",0.212,0.146,0.193,0.131
"P29","No, no he sido víctima",0.733,0.752,0.627,0.593
"P29","No sabe",0.055,0.102,0.18,0.276
"P30","Estafa por redes sociales",0.294,0.35,0.223,0.261
"P30","Estafa telefónica",0.219,0.168,0.165,0.123
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.099,0.141,0.218,0.218
"P30","Virus",0.015,0.033,0.012,0.004
"P30","Otros",0.373,0.308,0.382,0.394
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.274,0.175,0.18,0.087
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.294,0.33,0.234,0.148
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.259,0.293,0.304,0.217
"P31","No sabe",0.173,0.202,0.282,0.548
"P32","Si, he limitado las operaciones",0.212,0.191,0.239,0.202
"P32","He limitado parcialmente",0.21,0.248,0.264,0.192
"P32","No, continúo operando igual que siempre",0.578,0.561,0.497,0.606
"P33","1",0.272,0.245,0.347,0.334
"P33","2",0.109,0.117,0.1,0.126
"P33","3",0.128,0.157,0.122,0.12
"P33","4",0.054,0.056,0.051,0.037
"P33","5",0.199,0.172,0.132,0.119
"P33","6",0.042,0.054,0.065,0.042
"P33","7",0.035,0.041,0.013,0.034
"P33","8",0.03,0.039,0.034,0.03
"P33","9",0.131,0.119,0.136,0.158
"P34","1",0.305,0.264,0.346,0.436
"P34","2",0.093,0.115,0.162,0.098
"P34","3",0.08,0.09,0.037,0.063
"P34","4",0.08,0.083,0.054,0.037
"P34","5",0.216,0.213,0.211,0.113
"P34","6",0.057,0.053,0.039,0.045
"P34","7",0.033,0.043,0.025,0.073
"P34","8",0.025,0.037,0.037,0.027
"P34","9",0.111,0.102,0.089,0.108
"P35","1",0.283,0.218,0.359,0.353
"P35","2",0.058,0.086,0.083,0.096
"P35","3",0.042,0.042,0.041,0.05
"P35","4",0.036,0.045,0.034,0.02
"P35","5",0.149,0.166,0.13,0.101
"P35","6",0.039,0.055,0.044,0.061
"P35","7",0.037,0.064,0.036,0.042
"P35","8",0.064,0.078,0.08,0.034
"P35","9",0.292,0.246,0.193,0.243
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.356,0.259,0.223,0.222
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.232,0.233,0.187,0.194
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.176,0.214,0.278,0.167
"P36","No sabe",0.236,0.294,0.312,0.417
"P37","Muy buena",0.098,0.082,0.077,0.116
"P37","Buena",0.133,0.127,0.08,0.106
"P37","Ni buena ni mala",0.154,0.163,0.18,0.156
"P37","Mala",0.171,0.195,0.19,0.173
"P37","Muy mala",0.428,0.415,0.435,0.411
"P37","No sabe",0.016,0.018,0.038,0.038
"P38","Gran excedente habitual",0.005,0.01,0.005,0
"P38","Gran excedente excepcional",0.012,0.013,0.014,0.006
"P38","Pequeño excedente habitual",0.067,0.052,0.087,0.017
"P38","Pequeño excedente excepcional",0.07,0.055,0.047,0.035
"P38","Alcanza gastos familia",0.137,0.13,0.104,0.086
"P38","No alcanza gastos familia",0.184,0.153,0.215,0.235
"P38","Solo NBFamiliares",0.255,0.273,0.235,0.223
"P38","No alcanza NBFamiliares",0.26,0.301,0.268,0.373
"P38","No sabe",0.01,0.013,0.025,0.025
"P39","Mejor",0.118,0.104,0.096,0.079
"P39","Igual",0.258,0.259,0.224,0.198
"P39","Peor",0.565,0.523,0.517,0.554
"P39","No sabe",0.059,0.114,0.163,0.169
