"var","categoria","Santander","Galicia","Macro","Frances","ICBC","Patagonia","No sabe"
"P33","6",0.07,0.056,0.07,0.035,0.117,0.03,0.061
"P33","7",0.052,0.021,0.062,0.012,0.019,0,0.034
"P33","8",0.015,0.032,0.025,0.013,0.071,0.043,0.03
"P33","9",0.088,0.111,0.057,0.151,0.038,0.322,0.119
"P34","1",0.239,0.287,0.239,0.287,0.12,0.194,0.331
"P34","2",0.12,0.138,0.106,0.09,0.154,0.078,0.102
"P34","3",0.133,0.056,0.115,0.069,0.078,0.222,0.139
"P34","4",0.086,0.042,0.16,0.103,0.077,0.03,0.08
"P34","5",0.267,0.236,0.161,0.269,0.159,0.186,0.139
"P34","6",0.044,0.062,0.057,0.027,0.12,0.029,0.083
"P34","7",0.034,0.034,0.043,0.026,0.053,0.013,0.014
"P34","8",0.023,0.04,0.031,0.026,0.157,0.033,0.011
"P34","9",0.054,0.105,0.088,0.103,0.082,0.215,0.101
"P35","1",0.24,0.289,0.236,0.266,0.352,0.279,0.28
"P35","2",0.023,0.041,0.032,0.14,0.106,0.065,0.071
"P35","3",0.068,0.06,0.045,0.032,0.004,0.01,0.018
"P35","4",0.03,0.033,0.035,0.031,0.096,0.027,0.03
"P35","5",0.215,0.142,0.102,0.114,0.055,0.182,0.188
"P35","6",0.033,0.027,0.128,0.052,0.108,0.049,0.042
"P35","7",0.02,0.041,0.037,0.025,0.091,0.017,0.038
"P35","8",0.083,0.075,0.074,0.058,0.06,0.064,0.048
"P35","9",0.288,0.292,0.311,0.282,0.128,0.307,0.285
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.412,0.39,0.264,0.369,0.276,0.113,0.328
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.173,0.183,0.217,0.231,0.254,0.194,0.281
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.165,0.184,0.23,0.173,0.236,0.461,0.128
"P36","No sabe",0.25,0.243,0.289,0.227,0.234,0.232,0.263
"P37","Muy buena",0.056,0.097,0.101,0.042,0.112,0.053,0.05
"P37","Buena",0.066,0.076,0.067,0.085,0.074,0.243,0.113
"P37","Ni buena ni mala",0.103,0.09,0.147,0.162,0.087,0.105,0.141
"P37","Mala",0.175,0.171,0.161,0.182,0.067,0.238,0.157
"P37","Muy mala",0.59,0.565,0.524,0.526,0.649,0.355,0.523
"P37","No sabe",0.01,0.001,0,0.003,0.011,0.006,0.016
"P38","Gran excedente habitual",0.006,0.04,0.013,0.006,0.029,0.004,0.006
"P38","Gran excedente excepcional",0.002,0.004,0.033,0.039,0.016,0,0.008
"P38","Pequeño excedente habitual",0.057,0.09,0.032,0.057,0.13,0.132,0.063
"P38","Pequeño excedente excepcional",0.063,0.092,0.042,0.14,0.08,0.046,0.052
"P38","Alcanza gastos familia",0.156,0.161,0.12,0.14,0.093,0.226,0.213
"P38","No alcanza gastos familia",0.213,0.186,0.175,0.12,0.093,0.075,0.153
"P38","Solo NBFamiliares",0.262,0.203,0.33,0.246,0.232,0.166,0.254
"P38","No alcanza NBFamiliares",0.235,0.203,0.231,0.236,0.327,0.351,0.247
"P38","No sabe",0.006,0.021,0.024,0.016,0,0,0.004
"P39","Mejor",0.044,0.101,0.075,0.076,0.158,0.101,0.071
"P39","Igual",0.262,0.209,0.204,0.268,0.248,0.276,0.245
"P39","Peor",0.647,0.637,0.623,0.573,0.573,0.523,0.603
"P39","No sabe",0.047,0.053,0.098,0.083,0.021,0.1,0.081
