"var","categoria","Si, lo tomaría","Probablemente si","Probablemente no","No. no lo tomaría","No sabe"
"P17","Por la eficiencia en la solución de reclamos",0.009,0.023,0.012,0.032,0.014
"P17","No sabe",0.202,0.292,0.365,0.432,0.429
"P18","Si, las conozco",0.41,0.362,0.324,0.338,0.349
"P18","No, no las conozco",0.59,0.638,0.676,0.662,0.651
"P19","Si",0.638,0.483,0.393,0.438,0.393
"P19","No",0.362,0.517,0.607,0.562,0.607
"P20","MODO",0.159,0.24,0.15,0.15,0.158
"P20","Cuenta DNI",0.121,0.141,0.123,0.17,0.144
"P20","Mercado de Pago",0.549,0.462,0.454,0.419,0.477
"P20","Ualá",0.037,0.011,0.033,0.028,0.054
"P20","Brubank",0.021,0.015,0.043,0.027,0
"P20","Naranja X",0.001,0.017,0.013,0.026,0.041
"P20","Otra",0.112,0.114,0.184,0.18,0.126
"P21","Para pagar en comercios con el celular",0.448,0.363,0.374,0.408,0.425
"P21","Para transferir / enviar o recibir dinero de terceros",0.234,0.302,0.383,0.324,0.268
"P21","Para usarla para trabajar / cobrar / vender",0.17,0.204,0.097,0.117,0.163
"P21","Para pagar servicios",0.107,0.1,0.089,0.095,0.097
"P21","Para extraer dinero sin tarjeta",0.016,0.017,0.01,0.016,0.013
"P21","Para recargar el celular / tarjeta de transporte",0.025,0.014,0.047,0.04,0.034
"P22","Usas más efectivo que antes",0.127,0.097,0.079,0.103,0.072
"P22","Usas la misma cantidad de efectivo que antes",0.244,0.305,0.322,0.312,0.469
"P22","Usas menos efectivo que antes",0.629,0.598,0.599,0.585,0.459
"P23","Tener mayor control de tus gastos",0.416,0.373,0.41,0.368,0.525
"P23","Tener igual control de tus gastos",0.473,0.496,0.488,0.458,0.349
"P23","Tener menor control de tus gastos",0.111,0.131,0.102,0.174,0.126
"P24","Muy de acuerdo",0.419,0.352,0.292,0.382,0.244
"P24","De acuerdo",0.227,0.257,0.37,0.221,0.391
"P24","Algo de acuerdo",0.198,0.252,0.218,0.226,0.174
"P24","Poco de acuerdo",0.08,0.081,0.076,0.068,0.108
"P24","Nada de acuerdo",0.076,0.058,0.044,0.103,0.083
"P25","Deberían mantenerse y ampliarse aún mas",0.384,0.318,0.283,0.285,0.307
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.464,0.481,0.467,0.441,0.378
"P25","Deberian limitarse a los estrictamente necesarios",0.063,0.092,0.122,0.1,0.069
"P25","Deberian eliminarse y volverse a la situación anterior",0.089,0.109,0.128,0.174,0.246
"P26","Sí, compraría",0.279,0.168,0.148,0.121,0.146
"P26","No, no tengo suficiente información",0.434,0.543,0.5,0.406,0.417
"P26","No, me resulta una inversión riesgosa",0.158,0.094,0.142,0.116,0.035
"P26","No, me parece una inversión poco confiable",0.069,0.072,0.066,0.123,0.123
"P26","No me interesa",0.06,0.123,0.144,0.234,0.279
"P27","Si",0.37,0.254,0.176,0.18,0.221
"P27","No",0.63,0.746,0.824,0.82,0.779
"P28","Muy seguro",0.288,0.227,0.158,0.189,0.151
"P28","Bastante seguro",0.29,0.31,0.282,0.256,0.275
"P28","Seguro",0.196,0.197,0.18,0.181,0.117
"P28","Poco seguro",0.082,0.094,0.097,0.065,0.043
"P28","Nada seguro",0.076,0.049,0.074,0.064,0.025
"P28","No hago operaciones online",0.068,0.123,0.209,0.245,0.389
"P29","Sí, he sido víctima",0.216,0.172,0.103,0.128,0.076
"P29","No, no he sido víctima",0.714,0.697,0.785,0.734,0.684
"P29","No sabe",0.07,0.131,0.112,0.138,0.24
"P30","Estafa por redes sociales",0.249,0.266,0.354,0.265,0.162
"P30","Estafa telefónica",0.292,0.154,0.08,0.108,0.499
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.083,0.2,0.196,0.11,0.148
"P30","Virus",0.006,0.046,0.004,0.06,0
"P30","Otros",0.37,0.334,0.366,0.457,0.191
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.278,0.177,0.19,0.177,0.105
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.316,0.318,0.255,0.273,0.238
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.284,0.283,0.255,0.264,0.251
"P31","No sabe",0.122,0.222,0.3,0.286,0.406
"P32","Si, he limitado las operaciones",0.249,0.173,0.189,0.21,0.169
"P32","He limitado parcialmente",0.29,0.233,0.213,0.202,0.212
"P32","No, continúo operando igual que siempre",0.461,0.594,0.598,0.588,0.619
"P33","1",0.274,0.219,0.297,0.297,0.289
"P33","2",0.144,0.127,0.091,0.1,0.083
"P33","3",0.137,0.169,0.116,0.134,0.106
"P33","4",0.051,0.047,0.072,0.057,0.04
"P33","5",0.171,0.193,0.173,0.159,0.11
"P33","6",0.046,0.059,0.042,0.054,0.089
"P33","7",0.032,0.025,0.04,0.034,0.087
"P33","8",0.026,0.034,0.036,0.026,0.043
"P33","9",0.119,0.127,0.133,0.139,0.153
"P34","1",0.295,0.239,0.291,0.378,0.24
"P34","2",0.127,0.12,0.127,0.087,0.089
"P34","3",0.074,0.108,0.071,0.071,0.041
"P34","4",0.095,0.074,0.081,0.059,0.048
"P34","5",0.215,0.22,0.19,0.205,0.186
"P34","6",0.041,0.067,0.037,0.047,0.109
"P34","7",0.026,0.041,0.041,0.043,0.104
"P34","8",0.028,0.028,0.039,0.019,0.011
"P34","9",0.099,0.103,0.123,0.091,0.172
"P35","1",0.303,0.207,0.264,0.329,0.206
"P35","2",0.069,0.102,0.1,0.061,0.095
"P35","3",0.028,0.068,0.044,0.042,0.057
"P35","4",0.028,0.053,0.041,0.021,0.012
"P35","5",0.133,0.145,0.124,0.182,0.26
"P35","6",0.046,0.06,0.046,0.045,0.051
"P35","7",0.045,0.042,0.058,0.042,0.08
"P35","8",0.056,0.073,0.08,0.042,0.044
"P35","9",0.292,0.25,0.243,0.236,0.195
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.406,0.265,0.233,0.269,0.153
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.219,0.242,0.228,0.201,0.259
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.173,0.191,0.258,0.178,0.07
"P36","No sabe",0.202,0.302,0.281,0.352,0.518
"P37","Muy buena",0.077,0.074,0.08,0.094,0.064
"P37","Buena",0.068,0.122,0.111,0.132,0.128
"P37","Ni buena ni mala",0.126,0.167,0.224,0.15,0.239
"P37","Mala",0.176,0.181,0.208,0.151,0.186
"P37","Muy mala",0.549,0.426,0.339,0.448,0.305
"P37","No sabe",0.004,0.03,0.038,0.025,0.078
"P38","Gran excedente habitual",0.008,0.011,0.003,0.009,0.002
"P38","Gran excedente excepcional",0.006,0.009,0.005,0.012,0.025
"P38","Pequeño excedente habitual",0.076,0.054,0.048,0.041,0.054
"P38","Pequeño excedente excepcional",0.064,0.055,0.039,0.051,0.047
"P38","Alcanza gastos familia",0.119,0.115,0.125,0.117,0.079
"P38","No alcanza gastos familia",0.197,0.188,0.185,0.194,0.224
"P38","Solo NBFamiliares",0.26,0.227,0.246,0.239,0.198
"P38","No alcanza NBFamiliares",0.254,0.332,0.326,0.31,0.317
"P38","No sabe",0.016,0.009,0.023,0.027,0.054
"P39","Mejor",0.11,0.092,0.101,0.099,0.111
"P39","Igual",0.185,0.223,0.282,0.245,0.229
"P39","Peor",0.613,0.551,0.488,0.538,0.435
"P39","No sabe",0.092,0.134,0.129,0.118,0.225
