"var","categoria","Si, tengo","No, no tengo"
"P21","Para transferir / enviar o recibir dinero de terceros",0.282,0.306
"P21","Para usarla para trabajar / cobrar / vender",0.176,0.142
"P21","Para pagar servicios",0.049,0.097
"P21","Para extraer dinero sin tarjeta",0.003,0.018
"P21","Para recargar el celular / tarjeta de transporte",0.051,0.035
"P22","Usas más efectivo que antes",0.166,0.103
"P22","Usas la misma cantidad de efectivo que antes",0.26,0.298
"P22","Usas menos efectivo que antes",0.574,0.599
"P23","Tener mayor control de tus gastos",0.404,0.405
"P23","Tener igual control de tus gastos",0.413,0.464
"P23","Tener menor control de tus gastos",0.183,0.131
"P24","Muy de acuerdo",0.439,0.361
"P24","De acuerdo",0.241,0.258
"P24","Algo de acuerdo",0.175,0.227
"P24","Poco de acuerdo",0.067,0.079
"P24","Nada de acuerdo",0.078,0.075
"P25","Deberían mantenerse y ampliarse aún mas",0.305,0.325
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.495,0.45
"P25","Deberian limitarse a los estrictamente necesarios",0.089,0.095
"P25","Deberian eliminarse y volverse a la situación anterior",0.111,0.13
"P26","Sí, compraría",0.24,0.18
"P26","No, no tengo suficiente información",0.515,0.471
"P26","No, me resulta una inversión riesgosa",0.088,0.111
"P26","No, me parece una inversión poco confiable",0.064,0.087
"P26","No me interesa",0.093,0.151
"P27","Si",0.262,0.237
"P27","No",0.738,0.763
"P28","Muy seguro",0.261,0.21
"P28","Bastante seguro",0.308,0.274
"P28","Seguro",0.156,0.189
"P28","Poco seguro",0.08,0.09
"P28","Nada seguro",0.057,0.064
"P28","No hago operaciones online",0.138,0.173
"P29","Sí, he sido víctima",0.256,0.158
"P29","No, no he sido víctima",0.652,0.723
"P29","No sabe",0.092,0.119
"P30","Estafa por redes sociales",0.346,0.296
"P30","Estafa telefónica",0.211,0.178
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.13,0.142
"P30","Virus",0.01,0.023
"P30","Otros",0.303,0.361
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.207,0.196
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.342,0.28
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.236,0.28
"P31","No sabe",0.215,0.244
"P32","Si, he limitado las operaciones",0.223,0.201
"P32","He limitado parcialmente",0.212,0.233
"P32","No, continúo operando igual que siempre",0.565,0.566
"P33","1",0.316,0.268
"P33","2",0.129,0.112
"P33","3",0.179,0.134
"P33","4",0.031,0.056
"P33","5",0.127,0.177
"P33","6",0.036,0.051
"P33","7",0.033,0.036
"P33","8",0.037,0.034
"P33","9",0.112,0.132
"P34","1",0.375,0.295
"P34","2",0.087,0.113
"P34","3",0.067,0.08
"P34","4",0.065,0.075
"P34","5",0.178,0.206
"P34","6",0.034,0.055
"P34","7",0.05,0.041
"P34","8",0.057,0.028
"P34","9",0.087,0.107
"P35","1",0.296,0.264
"P35","2",0.065,0.079
"P35","3",0.037,0.044
"P35","4",0.052,0.036
"P35","5",0.142,0.151
"P35","6",0.038,0.051
"P35","7",0.073,0.047
"P35","8",0.07,0.068
"P35","9",0.227,0.26
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.318,0.279
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.249,0.22
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.197,0.202
"P36","No sabe",0.236,0.299
"P37","Muy buena",0.131,0.08
"P37","Buena",0.096,0.115
"P37","Ni buena ni mala",0.158,0.179
"P37","Mala",0.192,0.185
"P37","Muy mala",0.393,0.409
"P37","No sabe",0.03,0.032
"P38","Gran excedente habitual",0.001,0.007
"P38","Gran excedente excepcional",0.007,0.011
"P38","Pequeño excedente habitual",0.041,0.054
"P38","Pequeño excedente excepcional",0.05,0.049
"P38","Alcanza gastos familia",0.099,0.117
"P38","No alcanza gastos familia",0.214,0.187
"P38","Solo NBFamiliares",0.237,0.238
"P38","No alcanza NBFamiliares",0.334,0.316
"P38","No sabe",0.017,0.021
"P39","Mejor",0.1,0.102
"P39","Igual",0.235,0.237
"P39","Peor",0.544,0.533
"P39","No sabe",0.121,0.128
