"var","categoria","Banco Nacion","Banco Provincia","Banco Ciudad","Bancor, Banco de Cordoba","Nuevo Banco de Santa Fe","Credicoop","Otro"
"P07","Si, lo tomaría",0.182,0.16,0.16,0.182,0.296,0.263,0.218
"P07","Probablemente si",0.317,0.295,0.421,0.317,0.294,0.224,0.352
"P07","Probablemente no",0.214,0.245,0.203,0.239,0.188,0.107,0.196
"P07","No. no lo tomaría",0.224,0.244,0.186,0.248,0.198,0.387,0.187
"P07","No sabe",0.063,0.056,0.03,0.014,0.024,0.019,0.047
"P08","Si",0.511,0.534,0.561,0.567,0.683,0.564,0.433
"P08","No",0.489,0.466,0.439,0.433,0.317,0.436,0.567
"P09","1",0.359,0.361,0.306,0.334,0.144,0.339,0.381
"P09","2",0.15,0.115,0.145,0.192,0.184,0.073,0.169
"P09","3",0.042,0.072,0.052,0.029,0.055,0.099,0.043
"P09","4",0.03,0.045,0.023,0.024,0.026,0.015,0.023
"P09","5",0.14,0.125,0.118,0.135,0.234,0.289,0.098
"P09","6",0.024,0.005,0.035,0,0.032,0.033,0.028
"P09","7",0.01,0.019,0.063,0,0.096,0.056,0.022
"P09","8",0.036,0.041,0.085,0.135,0.094,0.045,0.04
"P09","9",0.209,0.217,0.173,0.151,0.135,0.051,0.196
"P10","Muy convenientes",0.087,0.096,0.038,0.018,0.026,0.05,0.093
"P10","Bastante convenientes",0.071,0.036,0.044,0.048,0.078,0.11,0.082
"P10","Algo convenientes",0.14,0.118,0.144,0.136,0.059,0.074,0.134
"P10","Poco convenientes",0.187,0.197,0.158,0.163,0.261,0.274,0.228
"P10","Nada convenientes",0.375,0.416,0.478,0.391,0.468,0.252,0.311
"P10","No sabe",0.14,0.137,0.138,0.244,0.108,0.24,0.152
"P11","No intervenir y quien tomó el crédito debe hacerse cargo",0.205,0.158,0.239,0.111,0.201,0.177,0.16
"P11","Intervenir para asegurar que quien tomó el crédito pueda afrontar los pagos",0.526,0.614,0.492,0.569,0.624,0.609,0.535
"P11","No sabe",0.269,0.228,0.269,0.32,0.175,0.214,0.305
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.487,0.442,0.245,0.303,0.496,0.308,0.171
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.251,0.262,0.406,0.339,0.358,0.308,0.368
"P16","No sabe",0.262,0.296,0.349,0.358,0.146,0.384,0.461
"P17","Porque son mas seguras",0.335,0.235,0.181,0.314,0.19,0.143,0.115
"P17","Porque los costos del servicio son menores",0.189,0.218,0.162,0.162,0.527,0.208,0.256
"P17","Porque tienen mas clientes adheridos",0.113,0.097,0.146,0.1,0.025,0.087,0.132
"P17","Porque la calidad de la aplicación",0.076,0.114,0.169,0.112,0.12,0.179,0.099
"P17","Por la calidad de la atención al cliente",0.029,0.04,0.014,0.007,0,0.026,0.026
"P17","Por la eficiencia en la solución de reclamos",0.018,0.018,0.023,0.023,0,0.037,0.019
"P17","No sabe",0.24,0.278,0.305,0.282,0.138,0.32,0.353
"P18","Si, las conozco",0.414,0.368,0.282,0.451,0.367,0.254,0.353
"P18","No, no las conozco",0.586,0.632,0.718,0.549,0.633,0.746,0.647
"P19","Si",0.618,0.586,0.644,0.541,0.777,0.442,0.42
"P19","No",0.382,0.414,0.356,0.459,0.223,0.558,0.58
"P20","MODO",0.329,0.106,0.262,0.277,0.019,0.133,0.327
"P20","Cuenta DNI",0.107,0.52,0.191,0.021,0.009,0.115,0.054
"P20","Mercado de Pago",0.343,0.327,0.531,0.556,0.486,0.555,0.434
"P20","Ualá",0.022,0.014,0,0.034,0,0.018,0.013
"P20","Brubank",0.015,0.001,0,0.028,0,0,0.041
"P20","Naranja X",0.017,0.008,0,0.066,0,0,0.005
"P20","Otra",0.167,0.024,0.016,0.018,0.486,0.179,0.126
"P21","Para pagar en comercios con el celular",0.434,0.474,0.667,0.237,0.407,0.391,0.391
"P21","Para transferir / enviar o recibir dinero de terceros",0.342,0.34,0.209,0.159,0.332,0.494,0.284
"P21","Para usarla para trabajar / cobrar / vender",0.114,0.075,0.023,0.4,0.22,0.041,0.141
"P21","Para pagar servicios",0.073,0.097,0.085,0.137,0.041,0.074,0.109
"P21","Para extraer dinero sin tarjeta",0.006,0.004,0,0,0,0,0.018
"P21","Para recargar el celular / tarjeta de transporte",0.031,0.01,0.016,0.067,0,0,0.057
"P22","Usas más efectivo que antes",0.139,0.106,0.128,0.125,0.12,0.012,0.193
"P22","Usas la misma cantidad de efectivo que antes",0.256,0.221,0.158,0.236,0.437,0.545,0.251
"P22","Usas menos efectivo que antes",0.605,0.673,0.714,0.639,0.443,0.443,0.556
"P23","Tener mayor control de tus gastos",0.492,0.46,0.391,0.465,0.619,0.248,0.401
"P23","Tener igual control de tus gastos",0.392,0.423,0.449,0.48,0.29,0.627,0.393
"P23","Tener menor control de tus gastos",0.116,0.117,0.16,0.055,0.091,0.125,0.206
"P24","Muy de acuerdo",0.464,0.354,0.389,0.381,0.225,0.168,0.367
"P24","De acuerdo",0.24,0.258,0.152,0.34,0.249,0.146,0.247
"P24","Algo de acuerdo",0.178,0.246,0.175,0.144,0.233,0.479,0.243
"P24","Poco de acuerdo",0.067,0.067,0.124,0,0,0.132,0.086
"P24","Nada de acuerdo",0.051,0.075,0.16,0.135,0.293,0.075,0.057
"P25","Deberían mantenerse y ampliarse aún mas",0.375,0.341,0.32,0.29,0.454,0.264,0.282
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.467,0.499,0.495,0.476,0.448,0.434,0.456
"P25","Deberian limitarse a los estrictamente necesarios",0.091,0.09,0.07,0.163,0,0.13,0.111
"P25","Deberian eliminarse y volverse a la situación anterior",0.067,0.07,0.115,0.071,0.098,0.172,0.151
"P26","Sí, compraría",0.2,0.164,0.222,0.086,0.322,0.202,0.185
"P26","No, no tengo suficiente información",0.504,0.557,0.357,0.577,0.369,0.43,0.479
"P26","No, me resulta una inversión riesgosa",0.119,0.113,0.164,0.214,0.055,0.049,0.13
"P26","No, me parece una inversión poco confiable",0.07,0.072,0.139,0.082,0.095,0.137,0.094
"P26","No me interesa",0.107,0.094,0.118,0.041,0.159,0.182,0.112
"P27","Si",0.226,0.199,0.302,0.458,0.42,0.24,0.236
"P27","No",0.774,0.801,0.698,0.542,0.58,0.76,0.764
"P28","Muy seguro",0.283,0.242,0.39,0.281,0.078,0.242,0.226
"P28","Bastante seguro",0.317,0.326,0.288,0.346,0.534,0.189,0.348
"P28","Seguro",0.176,0.233,0.131,0.173,0.316,0.209,0.172
"P28","Poco seguro",0.062,0.067,0.042,0.091,0.072,0.121,0.113
"P28","Nada seguro",0.061,0.032,0.126,0.064,0,0.081,0.047
"P28","No hago operaciones online",0.101,0.1,0.023,0.045,0,0.158,0.094
"P29","Sí, he sido víctima",0.186,0.145,0.112,0.212,0.031,0.172,0.218
"P29","No, no he sido víctima",0.748,0.78,0.788,0.721,0.763,0.787,0.673
"P29","No sabe",0.066,0.075,0.1,0.067,0.206,0.041,0.109
"P30","Estafa por redes sociales",0.299,0.2,0.188,0.155,0,0.612,0.526
"P30","Estafa telefónica",0.241,0.173,0.104,0.344,0,0.147,0.177
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.085,0.123,0.172,0.206,0.78,0,0.132
"P30","Virus",0,0.03,0,0,0,0,0
"P30","Otros",0.375,0.474,0.536,0.295,0.22,0.241,0.165
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.234,0.215,0.242,0.153,0.375,0.316,0.23
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.306,0.282,0.203,0.235,0.136,0.245,0.316
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.275,0.314,0.342,0.335,0.277,0.298,0.267
"P31","No sabe",0.185,0.189,0.213,0.277,0.212,0.141,0.187
"P32","Si, he limitado las operaciones",0.193,0.194,0.241,0.12,0.081,0.112,0.212
"P32","He limitado parcialmente",0.252,0.266,0.158,0.243,0.147,0.267,0.286
"P32","No, continúo operando igual que siempre",0.555,0.54,0.601,0.637,0.772,0.621,0.502
"P33","1",0.222,0.273,0.294,0.24,0.058,0.2,0.229
"P33","2",0.127,0.094,0.054,0.155,0.216,0.115,0.15
"P33","3",0.12,0.134,0.086,0.072,0.176,0.054,0.149
"P33","4",0.032,0.091,0.054,0.085,0.204,0.053,0.045
"P33","5",0.204,0.15,0.155,0.165,0.111,0.309,0.179
"P33","6",0.049,0.039,0.032,0.118,0.064,0.081,0.014
"P33","7",0.064,0.025,0.053,0.055,0.144,0.094,0.048
"P33","8",0.044,0.055,0.038,0.019,0,0.005,0.02
"P33","9",0.138,0.139,0.234,0.091,0.027,0.089,0.166
"P34","1",0.269,0.353,0.401,0.278,0.155,0.331,0.308
"P34","2",0.104,0.083,0.118,0.05,0.292,0.041,0.133
"P34","3",0.06,0.071,0.081,0.017,0.077,0.05,0.065
"P34","4",0.067,0.095,0.053,0.041,0.065,0.162,0.084
"P34","5",0.228,0.213,0.241,0.267,0.145,0.273,0.172
"P34","6",0.053,0.039,0,0.113,0,0.089,0.052
"P34","7",0.064,0.039,0.061,0.072,0.111,0.013,0.019
"P34","8",0.047,0.036,0.02,0.009,0,0.005,0.022
"P34","9",0.108,0.071,0.025,0.153,0.155,0.036,0.145
"P35","1",0.208,0.199,0.313,0.173,0.2,0.195,0.298
"P35","2",0.07,0.089,0.116,0.073,0.217,0.079,0.056
"P35","3",0.033,0.028,0.045,0.029,0,0.113,0.023
"P35","4",0.027,0.05,0.045,0.049,0.02,0.101,0.061
"P35","5",0.161,0.157,0.096,0.192,0.133,0.204,0.105
"P35","6",0.067,0.061,0.027,0.032,0,0.01,0.055
"P35","7",0.068,0.043,0.099,0.131,0,0.058,0.037
"P35","8",0.079,0.091,0.142,0.042,0.158,0.024,0.051
"P35","9",0.287,0.282,0.117,0.279,0.272,0.216,0.314
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.272,0.213,0.286,0.281,0.367,0.207,0.398
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.232,0.222,0.164,0.358,0.216,0.3,0.165
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.225,0.227,0.396,0.127,0.059,0.34,0.185
"P36","No sabe",0.271,0.338,0.154,0.234,0.358,0.153,0.252
"P37","Muy buena",0.081,0.09,0.063,0.009,0.13,0.022,0.079
"P37","Buena",0.143,0.16,0.065,0.054,0.053,0.152,0.162
"P37","Ni buena ni mala",0.171,0.177,0.216,0.169,0.162,0.143,0.168
"P37","Mala",0.192,0.215,0.169,0.22,0.31,0.168,0.172
"P37","Muy mala",0.394,0.339,0.461,0.512,0.345,0.515,0.413
"P37","No sabe",0.019,0.019,0.026,0.036,0,0,0.006
"P38","Gran excedente habitual",0.002,0.003,0.004,0,0,0,0.016
"P38","Gran excedente excepcional",0.006,0.013,0,0,0,0,0.011
"P38","Pequeño excedente habitual",0.053,0.043,0.094,0.164,0.079,0.018,0.085
"P38","Pequeño excedente excepcional",0.083,0.062,0.056,0.049,0.05,0.028,0.093
"P38","Alcanza gastos familia",0.135,0.124,0.21,0.23,0.421,0.106,0.105
"P38","No alcanza gastos familia",0.147,0.204,0.126,0.258,0.158,0.176,0.188
"P38","Solo NBFamiliares",0.267,0.243,0.315,0.153,0.156,0.305,0.221
"P38","No alcanza NBFamiliares",0.295,0.297,0.195,0.138,0.136,0.367,0.278
"P38","No sabe",0.012,0.011,0,0.008,0,0,0.003
"P39","Mejor",0.123,0.11,0.118,0.097,0.202,0.085,0.104
"P39","Igual",0.268,0.298,0.284,0.307,0.215,0.286,0.242
"P39","Peor",0.522,0.468,0.551,0.485,0.462,0.372,0.57
"P39","No sabe",0.087,0.124,0.047,0.111,0.121,0.257,0.084
