"var","categoria","Muy convenientes","Bastante convenientes","Algo convenientes","Poco convenientes","Nada convenientes","No sabe"
"P14","Bancor, Banco de Cordoba",0.008,0.027,0.038,0.03,0.039,0.06
"P14","Nuevo Banco de Santa Fe",0.004,0.013,0.005,0.014,0.014,0.008
"P14","Credicoop",0.022,0.065,0.022,0.052,0.026,0.061
"P14","Otro",0.241,0.277,0.226,0.247,0.182,0.222
"P15","Santander",0.123,0.103,0.214,0.175,0.2,0.194
"P15","Galicia",0.314,0.296,0.259,0.197,0.232,0.215
"P15","Macro",0.072,0.105,0.071,0.166,0.092,0.149
"P15","Frances",0.118,0.135,0.115,0.104,0.11,0.069
"P15","ICBC",0.18,0.043,0.059,0.043,0.066,0.056
"P15","Patagonia",0.011,0.022,0.026,0.051,0.044,0.047
"P15","No sabe",0.182,0.296,0.256,0.264,0.256,0.27
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.274,0.307,0.269,0.265,0.268,0.149
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.398,0.387,0.401,0.356,0.362,0.33
"P16","No sabe",0.328,0.306,0.33,0.379,0.37,0.521
"P17","Porque son mas seguras",0.291,0.315,0.208,0.216,0.18,0.13
"P17","Porque los costos del servicio son menores",0.273,0.288,0.256,0.219,0.222,0.113
"P17","Porque tienen mas clientes adheridos",0.16,0.114,0.172,0.137,0.115,0.131
"P17","Porque la calidad de la aplicación",0.059,0.063,0.104,0.11,0.084,0.084
"P17","Por la calidad de la atención al cliente",0.018,0.033,0.028,0.034,0.029,0.032
"P17","Por la eficiencia en la solución de reclamos",0.006,0.011,0.024,0.013,0.025,0.025
"P17","No sabe",0.193,0.176,0.208,0.271,0.345,0.485
"P18","Si, las conozco",0.454,0.398,0.38,0.379,0.349,0.263
"P18","No, no las conozco",0.546,0.602,0.62,0.621,0.651,0.737
"P19","Si",0.504,0.444,0.486,0.496,0.5,0.414
"P19","No",0.496,0.556,0.514,0.504,0.5,0.586
"P20","MODO",0.283,0.266,0.22,0.186,0.184,0.148
"P20","Cuenta DNI",0.157,0.116,0.165,0.138,0.164,0.095
"P20","Mercado de Pago",0.375,0.397,0.438,0.455,0.443,0.487
"P20","Ualá",0.01,0,0.009,0.019,0.031,0.048
"P20","Brubank",0.018,0.004,0.037,0.041,0.013,0.007
"P20","Naranja X",0,0.018,0.037,0.01,0.018,0.039
"P20","Otra",0.157,0.199,0.094,0.151,0.147,0.176
"P21","Para pagar en comercios con el celular",0.432,0.45,0.328,0.417,0.441,0.333
"P21","Para transferir / enviar o recibir dinero de terceros",0.277,0.228,0.349,0.316,0.272,0.371
"P21","Para usarla para trabajar / cobrar / vender",0.175,0.172,0.181,0.129,0.137,0.149
"P21","Para pagar servicios",0.03,0.125,0.056,0.091,0.109,0.085
"P21","Para extraer dinero sin tarjeta",0.021,0.009,0.043,0.018,0.011,0.008
"P21","Para recargar el celular / tarjeta de transporte",0.065,0.016,0.043,0.029,0.03,0.054
"P22","Usas más efectivo que antes",0.344,0.249,0.072,0.083,0.093,0.078
"P22","Usas la misma cantidad de efectivo que antes",0.265,0.237,0.311,0.285,0.276,0.371
"P22","Usas menos efectivo que antes",0.391,0.514,0.617,0.632,0.631,0.551
"P23","Tener mayor control de tus gastos",0.468,0.593,0.394,0.436,0.359,0.406
"P23","Tener igual control de tus gastos",0.341,0.311,0.486,0.429,0.487,0.502
"P23","Tener menor control de tus gastos",0.191,0.096,0.12,0.135,0.154,0.092
"P24","Muy de acuerdo",0.531,0.5,0.378,0.335,0.364,0.323
"P24","De acuerdo",0.232,0.267,0.298,0.267,0.235,0.269
"P24","Algo de acuerdo",0.138,0.133,0.231,0.23,0.242,0.205
"P24","Poco de acuerdo",0.045,0.061,0.068,0.097,0.068,0.104
"P24","Nada de acuerdo",0.054,0.039,0.025,0.071,0.091,0.099
"P25","Deberían mantenerse y ampliarse aún mas",0.37,0.393,0.322,0.338,0.326,0.258
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.444,0.459,0.549,0.442,0.444,0.436
"P25","Deberian limitarse a los estrictamente necesarios",0.105,0.071,0.077,0.097,0.086,0.123
"P25","Deberian eliminarse y volverse a la situación anterior",0.081,0.077,0.052,0.123,0.144,0.183
"P26","Sí, compraría",0.318,0.172,0.208,0.177,0.179,0.157
"P26","No, no tengo suficiente información",0.497,0.553,0.607,0.513,0.41,0.462
"P26","No, me resulta una inversión riesgosa",0.061,0.124,0.081,0.121,0.125,0.088
"P26","No, me parece una inversión poco confiable",0.061,0.042,0.038,0.074,0.12,0.071
"P26","No me interesa",0.063,0.109,0.066,0.115,0.166,0.222
"P27","Si",0.276,0.219,0.241,0.263,0.267,0.14
"P27","No",0.724,0.781,0.759,0.737,0.733,0.86
"P28","Muy seguro",0.364,0.278,0.251,0.18,0.233,0.126
"P28","Bastante seguro",0.325,0.334,0.267,0.298,0.263,0.263
"P28","Seguro",0.1,0.15,0.223,0.204,0.178,0.194
"P28","Poco seguro",0.081,0.046,0.102,0.111,0.089,0.066
"P28","Nada seguro",0.055,0.041,0.052,0.052,0.084,0.046
"P28","No hago operaciones online",0.075,0.151,0.105,0.155,0.153,0.305
"P29","Sí, he sido víctima",0.244,0.195,0.194,0.149,0.179,0.125
"P29","No, no he sido víctima",0.674,0.749,0.723,0.743,0.718,0.668
"P29","No sabe",0.082,0.056,0.083,0.108,0.103,0.207
"P30","Estafa por redes sociales",0.311,0.371,0.445,0.32,0.259,0.254
"P30","Estafa telefónica",0.221,0.334,0.148,0.171,0.145,0.279
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.209,0.016,0.162,0.102,0.153,0.14
"P30","Virus",0,0.026,0.037,0.017,0.028,0
"P30","Otros",0.259,0.253,0.208,0.39,0.415,0.327
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.264,0.208,0.276,0.206,0.198,0.105
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.387,0.406,0.265,0.306,0.266,0.26
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.165,0.197,0.283,0.295,0.309,0.222
"P31","No sabe",0.184,0.189,0.176,0.193,0.227,0.413
"P32","Si, he limitado las operaciones",0.312,0.206,0.16,0.226,0.202,0.166
"P32","He limitado parcialmente",0.223,0.281,0.215,0.259,0.232,0.192
"P32","No, continúo operando igual que siempre",0.465,0.513,0.625,0.515,0.566,0.642
"P33","1",0.38,0.208,0.238,0.252,0.283,0.283
"P33","2",0.136,0.193,0.106,0.115,0.124,0.062
"P33","3",0.178,0.13,0.174,0.12,0.133,0.145
"P33","4",0.002,0.022,0.076,0.068,0.05,0.052
"P33","5",0.088,0.155,0.192,0.212,0.161,0.163
"P33","6",0.02,0.043,0.042,0.058,0.045,0.069
"P33","7",0.023,0.031,0.028,0.035,0.038,0.043
"P33","8",0.058,0.039,0.019,0.041,0.032,0.032
"P33","9",0.115,0.179,0.125,0.099,0.134,0.151
"P34","1",0.39,0.203,0.195,0.264,0.351,0.319
"P34","2",0.111,0.117,0.084,0.123,0.126,0.071
"P34","3",0.059,0.043,0.101,0.085,0.086,0.053
"P34","4",0.03,0.077,0.102,0.083,0.071,0.066
"P34","5",0.141,0.261,0.24,0.222,0.181,0.209
"P34","6",0.031,0.042,0.048,0.065,0.052,0.051
"P34","7",0.014,0.03,0.079,0.043,0.026,0.066
"P34","8",0.063,0.05,0.033,0.03,0.028,0.027
"P34","9",0.161,0.177,0.118,0.085,0.079,0.138
"P35","1",0.317,0.239,0.242,0.237,0.286,0.272
"P35","2",0.11,0.1,0.069,0.098,0.069,0.059
"P35","3",0.028,0.016,0.041,0.058,0.038,0.051
"P35","4",0.026,0.027,0.031,0.059,0.038,0.023
"P35","5",0.129,0.124,0.147,0.149,0.157,0.149
"P35","6",0.037,0.039,0.055,0.057,0.04,0.066
"P35","7",0.015,0.031,0.068,0.054,0.047,0.06
"P35","8",0.044,0.112,0.073,0.055,0.068,0.082
"P35","9",0.294,0.312,0.274,0.233,0.257,0.238
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.321,0.333,0.311,0.287,0.295,0.195
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.267,0.244,0.227,0.249,0.229,0.146
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.19,0.151,0.21,0.232,0.21,0.154
"P36","No sabe",0.222,0.272,0.252,0.232,0.266,0.505
"P37","Muy buena",0.08,0.154,0.078,0.069,0.09,0.076
"P37","Buena",0.166,0.134,0.111,0.1,0.126,0.084
"P37","Ni buena ni mala",0.089,0.233,0.189,0.188,0.159,0.194
"P37","Mala",0.238,0.103,0.25,0.198,0.151,0.206
"P37","Muy mala",0.416,0.339,0.35,0.436,0.456,0.382
"P37","No sabe",0.011,0.037,0.022,0.009,0.018,0.058
"P38","Gran excedente habitual",0.013,0.007,0.005,0.009,0.006,0.002
"P38","Gran excedente excepcional",0.006,0.008,0.012,0.013,0.007,0.009
"P38","Pequeño excedente habitual",0.073,0.012,0.054,0.051,0.069,0.047
"P38","Pequeño excedente excepcional",0.032,0.048,0.045,0.07,0.056,0.037
"P38","Alcanza gastos familia",0.075,0.085,0.117,0.133,0.134,0.077
"P38","No alcanza gastos familia",0.199,0.167,0.179,0.178,0.173,0.256
"P38","Solo NBFamiliares",0.214,0.243,0.228,0.245,0.241,0.233
"P38","No alcanza NBFamiliares",0.386,0.425,0.34,0.283,0.299,0.308
"P38","No sabe",0.002,0.005,0.02,0.018,0.015,0.031
"P39","Mejor",0.13,0.117,0.075,0.093,0.114,0.085
"P39","Igual",0.237,0.295,0.325,0.24,0.227,0.209
"P39","Peor",0.538,0.499,0.468,0.591,0.561,0.49
"P39","No sabe",0.095,0.089,0.132,0.076,0.098,0.216
