"var","categoria","Muy de acuerdo","De acuerdo","Algo de acuerdo","Poco de acuerdo","Nada de acuerdo"
"P14","Nuevo Banco de Santa Fe",0.009,0.016,0.017,0,0.065
"P14","Credicoop",0.014,0.019,0.073,0.061,0.035
"P14","Otro",0.133,0.148,0.165,0.177,0.118
"P15","Santander",0.217,0.119,0.211,0.148,0.134
"P15","Galicia",0.221,0.25,0.28,0.313,0.249
"P15","Macro",0.101,0.164,0.05,0.074,0.206
"P15","Frances",0.097,0.099,0.112,0.217,0.022
"P15","ICBC",0.083,0.055,0.048,0.052,0.038
"P15","Patagonia",0.023,0.116,0.021,0.027,0.018
"P15","No sabe",0.258,0.197,0.278,0.169,0.333
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.366,0.356,0.371,0.281,0.317
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.546,0.487,0.423,0.434,0.451
"P16","No sabe",0.088,0.157,0.206,0.285,0.232
"P17","Porque son mas seguras",0.299,0.287,0.263,0.159,0.219
"P17","Porque los costos del servicio son menores",0.309,0.279,0.233,0.214,0.191
"P17","Porque tienen mas clientes adheridos",0.134,0.101,0.172,0.212,0.142
"P17","Porque la calidad de la aplicación",0.131,0.13,0.132,0.129,0.118
"P17","Por la calidad de la atención al cliente",0.039,0.034,0.026,0.021,0.075
"P17","Por la eficiencia en la solución de reclamos",0.019,0.027,0.037,0.035,0.021
"P17","No sabe",0.069,0.142,0.137,0.23,0.234
"P18","Si, las conozco",0.547,0.52,0.432,0.444,0.452
"P18","No, no las conozco",0.453,0.48,0.568,0.556,0.548
"P20","MODO",0.219,0.225,0.165,0.16,0.12
"P20","Cuenta DNI",0.143,0.155,0.136,0.165,0.14
"P20","Mercado de Pago",0.471,0.435,0.415,0.483,0.477
"P20","Ualá",0.022,0.025,0.043,0.016,0.023
"P20","Brubank",0.017,0.019,0.038,0.008,0.017
"P20","Naranja X",0.025,0.017,0.017,0.021,0.044
"P20","Otra",0.103,0.124,0.186,0.147,0.179
"P21","Para pagar en comercios con el celular",0.425,0.387,0.416,0.394,0.37
"P21","Para transferir / enviar o recibir dinero de terceros",0.328,0.312,0.291,0.266,0.261
"P21","Para usarla para trabajar / cobrar / vender",0.129,0.182,0.132,0.156,0.157
"P21","Para pagar servicios",0.077,0.088,0.109,0.104,0.11
"P21","Para extraer dinero sin tarjeta",0.016,0.011,0.02,0.015,0.029
"P21","Para recargar el celular / tarjeta de transporte",0.025,0.02,0.032,0.065,0.073
"P22","Usas más efectivo que antes",0.131,0.142,0.058,0.062,0.105
"P22","Usas la misma cantidad de efectivo que antes",0.24,0.275,0.299,0.425,0.413
"P22","Usas menos efectivo que antes",0.629,0.583,0.643,0.513,0.482
"P23","Tener mayor control de tus gastos",0.619,0.294,0.316,0.175,0.188
"P23","Tener igual control de tus gastos",0.289,0.619,0.495,0.611,0.516
"P23","Tener menor control de tus gastos",0.092,0.087,0.189,0.214,0.296
"P25","Deberían mantenerse y ampliarse aún mas",0.591,0.379,0.354,0.361,0.305
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.335,0.537,0.477,0.331,0.34
"P25","Deberian limitarse a los estrictamente necesarios",0.031,0.07,0.156,0.078,0.14
"P25","Deberian eliminarse y volverse a la situación anterior",0.043,0.014,0.013,0.23,0.215
"P26","Sí, compraría",0.325,0.209,0.186,0.27,0.232
"P26","No, no tengo suficiente información",0.41,0.532,0.439,0.359,0.324
"P26","No, me resulta una inversión riesgosa",0.131,0.091,0.16,0.161,0.054
"P26","No, me parece una inversión poco confiable",0.065,0.059,0.099,0.087,0.177
"P26","No me interesa",0.069,0.109,0.116,0.123,0.213
"P27","Si",0.39,0.264,0.263,0.365,0.284
"P27","No",0.61,0.736,0.737,0.635,0.716
"P28","Muy seguro",0.514,0.198,0.229,0.216,0.297
"P28","Bastante seguro",0.279,0.425,0.282,0.31,0.262
"P28","Seguro",0.14,0.298,0.296,0.278,0.196
"P28","Poco seguro",0.039,0.036,0.103,0.121,0.066
"P28","Nada seguro",0.014,0.009,0.02,0.012,0.127
"P28","No hago operaciones online",0.014,0.034,0.07,0.063,0.052
"P29","Sí, he sido víctima",0.267,0.153,0.187,0.123,0.222
"P29","No, no he sido víctima",0.699,0.749,0.738,0.734,0.69
"P29","No sabe",0.034,0.098,0.075,0.143,0.088
"P30","Estafa por redes sociales",0.36,0.244,0.295,0.279,0.14
"P30","Estafa telefónica",0.257,0.162,0.104,0.078,0.066
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.059,0.082,0.208,0.365,0.024
"P30","Virus",0.014,0.065,0.018,0,0.015
"P30","Otros",0.31,0.447,0.375,0.278,0.755
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.272,0.194,0.214,0.146,0.197
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.344,0.339,0.315,0.229,0.344
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.25,0.292,0.311,0.421,0.218
"P31","No sabe",0.134,0.175,0.16,0.204,0.241
"P32","Si, he limitado las operaciones",0.225,0.138,0.166,0.089,0.187
"P32","He limitado parcialmente",0.205,0.261,0.286,0.211,0.161
"P32","No, continúo operando igual que siempre",0.57,0.601,0.548,0.7,0.652
"P33","1",0.32,0.173,0.243,0.218,0.254
"P33","2",0.089,0.121,0.129,0.07,0.153
"P33","3",0.11,0.215,0.134,0.162,0.18
"P33","4",0.038,0.055,0.089,0.047,0.106
"P33","5",0.162,0.212,0.177,0.254,0.117
"P33","6",0.035,0.04,0.059,0.089,0.037
"P33","7",0.058,0.04,0.037,0.052,0.026
"P33","8",0.034,0.037,0.039,0.038,0.022
"P33","9",0.154,0.107,0.093,0.07,0.105
"P34","1",0.344,0.208,0.237,0.293,0.285
"P34","2",0.094,0.092,0.125,0.089,0.192
"P34","3",0.047,0.111,0.08,0.109,0.12
"P34","4",0.082,0.065,0.133,0.099,0.037
"P34","5",0.168,0.287,0.246,0.227,0.109
"P34","6",0.046,0.028,0.06,0.043,0.079
"P34","7",0.048,0.033,0.024,0.041,0.06
"P34","8",0.039,0.055,0.024,0.026,0.014
"P34","9",0.132,0.121,0.071,0.073,0.104
"P35","1",0.248,0.198,0.206,0.3,0.213
"P35","2",0.069,0.077,0.076,0.11,0.113
"P35","3",0.025,0.034,0.037,0.072,0.035
"P35","4",0.026,0.038,0.081,0.049,0.051
"P35","5",0.105,0.244,0.209,0.137,0.099
"P35","6",0.044,0.032,0.037,0.041,0.076
"P35","7",0.057,0.044,0.042,0.033,0.031
"P35","8",0.079,0.093,0.104,0.02,0.04
"P35","9",0.347,0.24,0.208,0.238,0.342
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.308,0.355,0.285,0.365,0.345
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.252,0.215,0.192,0.166,0.262
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.223,0.191,0.237,0.218,0.14
"P36","No sabe",0.217,0.239,0.286,0.251,0.253
"P37","Muy buena",0.09,0.062,0.088,0.085,0.166
"P37","Buena",0.117,0.18,0.133,0.116,0.11
"P37","Ni buena ni mala",0.134,0.177,0.19,0.207,0.117
"P37","Mala",0.162,0.185,0.146,0.148,0.07
"P37","Muy mala",0.494,0.364,0.437,0.441,0.473
"P37","No sabe",0.003,0.032,0.006,0.003,0.064
"P38","Gran excedente habitual",0.008,0.008,0.015,0,0.012
"P38","Gran excedente excepcional",0.005,0.007,0.007,0.063,0.002
"P38","Pequeño excedente habitual",0.063,0.098,0.043,0.09,0.097
"P38","Pequeño excedente excepcional",0.06,0.077,0.096,0.074,0.053
"P38","Alcanza gastos familia",0.143,0.159,0.152,0.193,0.174
"P38","No alcanza gastos familia",0.206,0.163,0.154,0.151,0.284
"P38","Solo NBFamiliares",0.202,0.267,0.222,0.209,0.208
"P38","No alcanza NBFamiliares",0.307,0.217,0.3,0.171,0.136
"P38","No sabe",0.006,0.004,0.011,0.049,0.034
"P39","Mejor",0.118,0.124,0.131,0.112,0.092
"P39","Igual",0.26,0.282,0.241,0.278,0.169
"P39","Peor",0.574,0.467,0.523,0.491,0.62
"P39","No sabe",0.048,0.127,0.105,0.119,0.119
