"var","categoria","Menos de $50.000 mensuales","Entre $50.000 y $100.000 mensuales","Entre $100.000 y $150.000 mensuales","Entre $150.000 y $200.000 mensuales","Entre $200.000 y $250.000 mensuales","Entre $250.000 y $300.000 mensuales","Más de $300.000"
"P23","Tener mayor control de tus gastos",0.429,0.394,0.406,0.31,0.42,0.37,0.394
"P23","Tener igual control de tus gastos",0.424,0.482,0.467,0.505,0.479,0.488,0.506
"P23","Tener menor control de tus gastos",0.147,0.124,0.127,0.185,0.101,0.142,0.1
"P24","Muy de acuerdo",0.383,0.343,0.401,0.334,0.391,0.401,0.314
"P24","De acuerdo",0.271,0.269,0.22,0.274,0.169,0.215,0.252
"P24","Algo de acuerdo",0.215,0.237,0.216,0.197,0.281,0.248,0.188
"P24","Poco de acuerdo",0.064,0.076,0.09,0.088,0.084,0.105,0.131
"P24","Nada de acuerdo",0.067,0.075,0.073,0.107,0.075,0.031,0.115
"P25","Deberían mantenerse y ampliarse aún mas",0.298,0.303,0.346,0.34,0.457,0.416,0.448
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.438,0.476,0.486,0.507,0.382,0.397,0.424
"P25","Deberian limitarse a los estrictamente necesarios",0.103,0.093,0.087,0.079,0.093,0.091,0.051
"P25","Deberian eliminarse y volverse a la situación anterior",0.161,0.128,0.081,0.074,0.068,0.096,0.077
"P26","Sí, compraría",0.155,0.165,0.221,0.259,0.248,0.304,0.335
"P26","No, no tengo suficiente información",0.486,0.5,0.498,0.424,0.445,0.307,0.338
"P26","No, me resulta una inversión riesgosa",0.112,0.107,0.099,0.099,0.158,0.145,0.072
"P26","No, me parece una inversión poco confiable",0.072,0.083,0.082,0.125,0.095,0.169,0.132
"P26","No me interesa",0.175,0.145,0.1,0.093,0.054,0.075,0.123
"P27","Si",0.167,0.216,0.308,0.394,0.437,0.422,0.462
"P27","No",0.833,0.784,0.692,0.606,0.563,0.578,0.538
"P28","Muy seguro",0.175,0.184,0.312,0.242,0.417,0.259,0.3
"P28","Bastante seguro",0.238,0.291,0.313,0.408,0.279,0.349,0.296
"P28","Seguro",0.177,0.197,0.196,0.197,0.183,0.215,0.148
"P28","Poco seguro",0.084,0.121,0.067,0.073,0.062,0.139,0.049
"P28","Nada seguro",0.077,0.08,0.025,0.019,0.011,0.004,0.082
"P28","No hago operaciones online",0.249,0.127,0.087,0.061,0.048,0.034,0.125
"P29","Sí, he sido víctima",0.164,0.166,0.165,0.201,0.161,0.195,0.222
"P29","No, no he sido víctima",0.673,0.739,0.769,0.731,0.803,0.657,0.743
"P29","No sabe",0.163,0.095,0.066,0.068,0.036,0.148,0.035
"P30","Estafa por redes sociales",0.33,0.269,0.328,0.281,0.278,0.233,0.281
"P30","Estafa telefónica",0.175,0.182,0.208,0.191,0.233,0.11,0.179
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.149,0.179,0.073,0.11,0.048,0.068,0.203
"P30","Virus",0.031,0.011,0,0.006,0,0,0.09
"P30","Otros",0.315,0.359,0.391,0.412,0.441,0.589,0.247
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.195,0.198,0.23,0.143,0.206,0.223,0.17
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.252,0.285,0.339,0.337,0.262,0.367,0.398
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.241,0.311,0.263,0.344,0.316,0.279,0.288
"P31","No sabe",0.312,0.206,0.168,0.176,0.216,0.131,0.144
"P32","Si, he limitado las operaciones",0.213,0.218,0.2,0.16,0.146,0.212,0.159
"P32","He limitado parcialmente",0.202,0.246,0.269,0.253,0.295,0.266,0.196
"P32","No, continúo operando igual que siempre",0.585,0.536,0.531,0.587,0.559,0.522,0.645
"P33","1",0.271,0.288,0.273,0.25,0.213,0.413,0.268
"P33","2",0.099,0.121,0.102,0.164,0.132,0.112,0.155
"P33","3",0.142,0.129,0.149,0.126,0.134,0.105,0.175
"P33","4",0.039,0.073,0.046,0.064,0.085,0.017,0.065
"P33","5",0.165,0.173,0.199,0.191,0.124,0.147,0.13
"P33","6",0.057,0.037,0.046,0.05,0.084,0.043,0.038
"P33","7",0.043,0.026,0.035,0.04,0.022,0.037,0.025
"P33","8",0.027,0.041,0.031,0.04,0.065,0.039,0.048
"P33","9",0.157,0.112,0.119,0.075,0.141,0.087,0.096
"P34","1",0.321,0.289,0.309,0.263,0.261,0.401,0.301
"P34","2",0.09,0.115,0.141,0.164,0.083,0.067,0.117
"P34","3",0.066,0.095,0.073,0.109,0.1,0.069,0.052
"P34","4",0.066,0.088,0.065,0.08,0.094,0.04,0.082
"P34","5",0.201,0.186,0.212,0.2,0.249,0.25,0.212
"P34","6",0.057,0.044,0.052,0.051,0.069,0.047,0.05
"P34","7",0.055,0.029,0.026,0.049,0.024,0.042,0.043
"P34","8",0.027,0.041,0.029,0.038,0.02,0.009,0.042
"P34","9",0.117,0.113,0.093,0.046,0.1,0.075,0.101
"P35","1",0.289,0.275,0.248,0.196,0.125,0.251,0.346
"P35","2",0.073,0.087,0.07,0.109,0.066,0.044,0.066
"P35","3",0.044,0.034,0.046,0.027,0.101,0.051,0.04
"P35","4",0.04,0.029,0.032,0.068,0.067,0.031,0.022
"P35","5",0.154,0.148,0.134,0.172,0.156,0.109,0.147
"P35","6",0.051,0.049,0.051,0.048,0.074,0.038,0.014
"P35","7",0.051,0.036,0.042,0.085,0.065,0.084,0.064
"P35","8",0.06,0.08,0.084,0.05,0.096,0.082,0.03
"P35","9",0.238,0.262,0.293,0.245,0.25,0.31,0.271
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.244,0.28,0.3,0.392,0.317,0.45,0.324
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.211,0.212,0.252,0.236,0.3,0.157,0.236
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.187,0.253,0.185,0.152,0.173,0.218,0.216
"P36","No sabe",0.358,0.255,0.263,0.22,0.21,0.175,0.224
"P37","Muy buena",0.088,0.094,0.068,0.072,0.099,0.056,0.112
"P37","Buena",0.113,0.115,0.121,0.1,0.134,0.089,0.092
"P37","Ni buena ni mala",0.2,0.152,0.176,0.137,0.134,0.189,0.132
"P37","Mala",0.191,0.194,0.188,0.17,0.16,0.145,0.133
"P37","Muy mala",0.36,0.427,0.433,0.507,0.467,0.476,0.505
"P37","No sabe",0.048,0.018,0.014,0.014,0.006,0.045,0.026
"P38","Gran excedente habitual",0.003,0.002,0.002,0.01,0.01,0.001,0.072
"P38","Gran excedente excepcional",0.01,0.01,0.005,0.022,0.004,0,0.019
"P38","Pequeño excedente habitual",0.033,0.04,0.047,0.114,0.155,0.106,0.188
"P38","Pequeño excedente excepcional",0.021,0.042,0.076,0.104,0.168,0.18,0.112
"P38","Alcanza gastos familia",0.062,0.129,0.17,0.231,0.25,0.191,0.145
"P38","No alcanza gastos familia",0.208,0.192,0.183,0.146,0.128,0.127,0.147
"P38","Solo NBFamiliares",0.243,0.259,0.238,0.26,0.162,0.15,0.127
"P38","No alcanza NBFamiliares",0.399,0.308,0.262,0.085,0.113,0.209,0.16
"P38","No sabe",0.021,0.018,0.017,0.028,0.01,0.036,0.03
"P39","Mejor",0.085,0.109,0.104,0.139,0.095,0.15,0.181
"P39","Igual",0.229,0.223,0.25,0.251,0.343,0.275,0.221
"P39","Peor",0.527,0.58,0.526,0.503,0.508,0.418,0.52
"P39","No sabe",0.159,0.088,0.12,0.107,0.054,0.157,0.078
