"var","categoria","Usas más efectivo que antes","Usas la misma cantidad de efectivo que antes","Usas menos efectivo que antes"
"P15","Macro",0.049,0.105,0.116
"P15","Frances",0.046,0.153,0.098
"P15","ICBC",0.017,0.057,0.07
"P15","Patagonia",0.087,0.007,0.05
"P15","No sabe",0.399,0.274,0.214
"P16","Las billeteras virtuales ofertadas por entidades bancarias como MODO o Cuenta DNI",0.398,0.32,0.37
"P16","Las billeteras virtuales ofertadas por entidades no bancarias como Mercado Pago o Ualá",0.426,0.461,0.505
"P16","No sabe",0.176,0.219,0.125
"P17","Porque son mas seguras",0.395,0.275,0.252
"P17","Porque los costos del servicio son menores",0.29,0.283,0.252
"P17","Porque tienen mas clientes adheridos",0.068,0.12,0.161
"P17","Porque la calidad de la aplicación",0.092,0.115,0.149
"P17","Por la calidad de la atención al cliente",0.017,0.033,0.04
"P17","Por la eficiencia en la solución de reclamos",0.035,0.021,0.025
"P17","No sabe",0.103,0.153,0.121
"P18","Si, las conozco",0.574,0.492,0.503
"P18","No, no las conozco",0.426,0.508,0.497
"P20","MODO",0.374,0.177,0.171
"P20","Cuenta DNI",0.162,0.146,0.144
"P20","Mercado de Pago",0.322,0.424,0.485
"P20","Ualá",0,0.035,0.027
"P20","Brubank",0.006,0.02,0.025
"P20","Naranja X",0.001,0.03,0.02
"P20","Otra",0.135,0.168,0.128
"P21","Para pagar en comercios con el celular",0.638,0.308,0.419
"P21","Para transferir / enviar o recibir dinero de terceros",0.146,0.395,0.29
"P21","Para usarla para trabajar / cobrar / vender",0.094,0.148,0.156
"P21","Para pagar servicios",0.065,0.083,0.099
"P21","Para extraer dinero sin tarjeta",0.023,0.016,0.015
"P21","Para recargar el celular / tarjeta de transporte",0.034,0.05,0.021
"P23","Tener mayor control de tus gastos",0.521,0.285,0.441
"P23","Tener igual control de tus gastos",0.376,0.625,0.393
"P23","Tener menor control de tus gastos",0.103,0.09,0.166
"P24","Muy de acuerdo",0.441,0.307,0.388
"P24","De acuerdo",0.329,0.244,0.249
"P24","Algo de acuerdo",0.115,0.228,0.237
"P24","Poco de acuerdo",0.044,0.114,0.066
"P24","Nada de acuerdo",0.071,0.107,0.06
"P25","Deberían mantenerse y ampliarse aún mas",0.442,0.41,0.459
"P25","Deberían  mantenerse pero garantizando también la calidad de los servicios presenciales",0.437,0.423,0.415
"P25","Deberian limitarse a los estrictamente necesarios",0.058,0.097,0.078
"P25","Deberian eliminarse y volverse a la situación anterior",0.063,0.07,0.048
"P26","Sí, compraría",0.294,0.252,0.244
"P26","No, no tengo suficiente información",0.462,0.415,0.444
"P26","No, me resulta una inversión riesgosa",0.132,0.101,0.133
"P26","No, me parece una inversión poco confiable",0.03,0.118,0.074
"P26","No me interesa",0.082,0.114,0.105
"P27","Si",0.316,0.287,0.334
"P27","No",0.684,0.713,0.666
"P28","Muy seguro",0.405,0.251,0.35
"P28","Bastante seguro",0.29,0.326,0.32
"P28","Seguro",0.159,0.231,0.244
"P28","Poco seguro",0.07,0.082,0.05
"P28","Nada seguro",0.048,0.038,0.011
"P28","No hago operaciones online",0.028,0.072,0.025
"P29","Sí, he sido víctima",0.268,0.205,0.193
"P29","No, no he sido víctima",0.65,0.757,0.721
"P29","No sabe",0.082,0.038,0.086
"P30","Estafa por redes sociales",0.63,0.216,0.251
"P30","Estafa telefónica",0.129,0.21,0.178
"P30","Correos electrónicos falsos que dirigían a un sitio web fraudulento",0.07,0.203,0.079
"P30","Virus",0,0.016,0.035
"P30","Otros",0.171,0.355,0.457
"P31","Informar y asesorar a los usuarios/as sobre esta temática",0.251,0.214,0.223
"P31","Incentivar a clientes a desarrollar habilidades para la verificación de la información virtual",0.436,0.334,0.304
"P31","Generar productos bancarios que aseguren a los clientes ante estas situaciones",0.2,0.294,0.298
"P31","No sabe",0.113,0.158,0.175
"P32","Si, he limitado las operaciones",0.31,0.204,0.141
"P32","He limitado parcialmente",0.238,0.222,0.24
"P32","No, continúo operando igual que siempre",0.452,0.574,0.619
"P33","1",0.301,0.29,0.229
"P33","2",0.098,0.138,0.099
"P33","3",0.182,0.149,0.146
"P33","4",0.045,0.078,0.054
"P33","5",0.134,0.157,0.201
"P33","6",0.028,0.039,0.052
"P33","7",0.032,0.048,0.048
"P33","8",0.079,0.035,0.028
"P33","9",0.101,0.066,0.143
"P34","1",0.263,0.256,0.288
"P34","2",0.083,0.12,0.106
"P34","3",0.094,0.09,0.075
"P34","4",0.077,0.099,0.085
"P34","5",0.201,0.188,0.231
"P34","6",0.014,0.067,0.044
"P34","7",0.032,0.034,0.042
"P34","8",0.102,0.033,0.027
"P34","9",0.134,0.113,0.102
"P35","1",0.218,0.215,0.235
"P35","2",0.077,0.087,0.076
"P35","3",0.026,0.048,0.03
"P35","4",0.035,0.068,0.038
"P35","5",0.167,0.143,0.175
"P35","6",0.074,0.037,0.037
"P35","7",0.039,0.049,0.047
"P35","8",0.082,0.068,0.086
"P35","9",0.282,0.285,0.276
"P36","La falta de visión de largo plazo para el desarrollo productivo regional",0.439,0.31,0.305
"P36","Insuficiente coordinación entre los distintos actores que son parte de un proyecto productivo regional",0.218,0.243,0.216
"P36","La ausencia de evaluaciones de impacto productivo de los programas a implementar",0.123,0.219,0.225
"P36","No sabe",0.22,0.228,0.254
"P37","Muy buena",0.085,0.09,0.093
"P37","Buena",0.144,0.136,0.126
"P37","Ni buena ni mala",0.237,0.162,0.155
"P37","Mala",0.089,0.157,0.159
"P37","Muy mala",0.445,0.413,0.463
"P37","No sabe",0,0.042,0.004
"P38","Gran excedente habitual",0.015,0.01,0.007
"P38","Gran excedente excepcional",0.014,0.009,0.01
"P38","Pequeño excedente habitual",0.057,0.069,0.081
"P38","Pequeño excedente excepcional",0.069,0.047,0.085
"P38","Alcanza gastos familia",0.133,0.144,0.173
"P38","No alcanza gastos familia",0.153,0.219,0.165
"P38","Solo NBFamiliares",0.232,0.192,0.237
"P38","No alcanza NBFamiliares",0.304,0.295,0.234
"P38","No sabe",0.023,0.015,0.008
"P39","Mejor",0.127,0.122,0.117
"P39","Igual",0.27,0.246,0.258
"P39","Peor",0.557,0.507,0.536
"P39","No sabe",0.046,0.125,0.089
