"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P45","Mala",0.239,0.028,0.124,0.163,0.21,0.169,0.238,0.126
"P45","Muy mala",0.322,0.06,0.033,0.012,0.237,0.227,0.082,0.264
"P45","No sabe",0.029,0.011,0.036,0,0,0.012,0.041,0.047
"P64","Totalmente de acuerdo",0.628,0.025,0.051,0.113,0.047,0.115,0.218,0.267
"P64","Bastante de acuerdo",0.213,0.055,0.09,0.168,0.299,0.035,0.149,0.168
"P64","Poco de acuerdo",0.085,0.294,0.431,0.628,0.597,0.191,0.169,0.309
"P64","Nada de acuerdo",0.051,0.528,0.38,0.091,0.057,0.625,0.311,0.151
"P64","No sabe",0.023,0.098,0.048,0,0,0.034,0.153,0.105
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.601,0.421,0.358,0.72,0.419,0.539,0.457,0.648
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.253,0.391,0.461,0.254,0.451,0.195,0.337,0.116
"P67","Mas o menos. Es difícil creerle a los que informan",0.137,0.143,0.112,0.026,0.053,0.243,0.123,0.14
"P67","No, la información es escasa y difícil de entender",0.004,0.018,0.018,0,0,0,0,0.067
"P67","No, la información no es confiable y es imposible de entender",0.005,0.015,0.051,0,0.077,0,0.083,0.029
"P67","No sabe",0,0.012,0,0,0,0.023,0,0
"P74","La Pfizer, fabricada en Estados Unidos",0.108,0.646,0.385,0.333,0.294,0.534,0.291,0.194
"P74","La Sputnik, fabricada en Rusia",0.584,0.154,0.105,0.189,0.219,0.112,0.058,0.313
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.025,0.01,0.061,0.052,0.222,0,0.058,0.056
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.003,0.005,0,0.02,0,0.012,0.06,0
"P74","La vacuna China fabricada en China",0.008,0.017,0,0,0.045,0.101,0,0.016
"P74","Me resultan todas confiables",0.185,0.098,0.295,0.129,0.141,0.053,0.498,0.146
"P74","No sabe",0.087,0.07,0.154,0.277,0.079,0.188,0.035,0.275
