"var","categoria","La inflación","El desempleo","La corrupción","La inseguridad","El precio del dólar","La pobreza","El narcotráfico","Las tarifas","Otro","No sabe"
"P25","Muy mala",0.43,0.295,0.283,0.427,0.455,0.619,0.299,0.889,0.375,0.203
"P25","No sabe",0.009,0.019,0.021,0.037,0,0.03,0,0,0.045,0.325
"P26","Muy buena",0.229,0.072,0.212,0.391,0.078,0.078,0.191,0,0.065,0.002
"P26","Buena",0.116,0.342,0.286,0.048,0.314,0.28,0.098,0,0.088,0
"P26","Ni buena ni mala",0.165,0.393,0.223,0.101,0.191,0.127,0.471,0,0.199,0.028
"P26","Mala",0.199,0.085,0.067,0.045,0.284,0.048,0,0.122,0.316,0
"P26","Muy mala",0.28,0.086,0.209,0.399,0.133,0.467,0.24,0.878,0.332,0.321
"P26","No sabe",0.011,0.022,0.003,0.016,0,0,0,0,0,0.649
"P27","Muy buena",0.115,0.199,0.103,0.122,0.014,0.086,0,0,0.029,0.15
"P27","Buena",0.175,0.171,0.083,0.087,0.428,0.187,0.145,0.119,0.248,0
"P27","Ni buena ni mala",0.209,0.451,0.197,0.19,0.186,0.233,0.557,0.302,0.424,0.178
"P27","Mala",0.148,0.074,0.135,0.064,0.167,0.143,0,0,0.074,0
"P27","Muy mala",0.256,0.102,0.433,0.456,0.1,0.31,0.298,0.579,0.225,0.029
"P27","No sabe",0.097,0.003,0.049,0.081,0.105,0.041,0,0,0,0.643
