"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A los candidatos de la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P33","Peor",0.105,0.683,0.68,0.448,0.299,0.609,0.418,0.549
"P33","No sabe",0.211,0.094,0.099,0.236,0.053,0.078,0.324,0.189
"P36","Mejor",0.463,0.032,0.039,0.132,0.126,0.028,0.105,0.043
"P36","Igual",0.248,0.142,0.206,0.318,0.607,0.166,0.156,0.27
"P36","Peor",0.124,0.762,0.702,0.421,0.267,0.806,0.465,0.568
"P36","No sabe",0.165,0.064,0.053,0.129,0,0,0.274,0.119
"P42","Muy buena",0.448,0.029,0,0.021,0.123,0.009,0.129,0.007
"P42","Buena",0.292,0.037,0.034,0.313,0.137,0.009,0.255,0.175
"P42","Ni buena ni mala",0.16,0.026,0.111,0.256,0.143,0,0.228,0.352
"P42","Mala",0.019,0.141,0.103,0.096,0.25,0.185,0.158,0.163
"P42","Muy mala",0.08,0.752,0.752,0.314,0.347,0.797,0.158,0.296
"P42","No sabe",0.001,0.015,0,0,0,0,0.072,0.007
"P43","Muy buena",0.635,0.068,0.004,0.196,0.202,0.008,0.319,0.028
"P43","Buena",0.151,0.018,0.003,0.028,0.134,0.021,0.113,0.093
"P43","Ni buena ni mala",0.084,0.056,0.02,0.177,0.085,0.091,0.148,0.176
"P43","Mala",0.028,0.054,0.119,0.12,0.066,0.105,0.168,0.225
"P43","Muy mala",0.098,0.799,0.838,0.418,0.513,0.775,0.248,0.433
"P43","No sabe",0.004,0.005,0.016,0.061,0,0,0.004,0.045
"P44","Muy buena",0.029,0.308,0.131,0,0,0.055,0.039,0.005
"P44","Buena",0.016,0.284,0.141,0.03,0,0.099,0.101,0.005
"P44","Ni buena ni mala",0.045,0.262,0.345,0.154,0.147,0.173,0.129,0.345
"P44","Mala",0.129,0.097,0.227,0.341,0.192,0.368,0.237,0.234
"P44","Muy mala",0.776,0.049,0.155,0.475,0.661,0.305,0.412,0.363
"P44","No sabe",0.005,0,0.001,0,0,0,0.082,0.048
"P45","Muy buena",0.038,0.552,0.286,0.03,0.273,0.075,0.077,0.024
"P45","Buena",0.071,0.273,0.415,0.546,0.28,0.129,0.139,0.118
"P45","Ni buena ni mala",0.21,0.152,0.28,0.244,0.088,0.542,0.3,0.382
"P45","Mala",0.281,0.004,0.019,0.101,0.234,0.177,0.149,0.162
"P45","Muy mala",0.381,0.005,0,0.033,0.125,0.077,0.179,0.212
"P45","No sabe",0.019,0.014,0,0.046,0,0,0.156,0.102
"P64","Totalmente de acuerdo",0.644,0.064,0.127,0.24,0.39,0.01,0.075,0.009
"P64","Bastante de acuerdo",0.236,0.066,0.055,0.237,0.091,0.109,0.212,0.265
"P64","Poco de acuerdo",0.056,0.254,0.281,0.273,0.196,0.232,0.475,0.377
"P64","Nada de acuerdo",0.061,0.489,0.499,0.25,0.323,0.436,0.232,0.313
"P64","No sabe",0.003,0.127,0.038,0,0,0.213,0.006,0.036
"P67","Si, hay mucha información en los medios y comprendo las medidas preventivas",0.665,0.359,0.492,0.643,0.489,0.56,0.622,0.129
"P67","Si, hay mucha información, aunque muchas veces es contradictoria",0.202,0.405,0.407,0.299,0.247,0.238,0.25,0.498
"P67","Mas o menos. Es difícil creerle a los que informan",0.066,0.143,0.085,0.019,0.092,0.099,0.095,0.295
"P67","No, la información es escasa y difícil de entender",0.041,0.004,0.006,0,0,0,0.033,0
"P67","No, la información no es confiable y es imposible de entender",0.014,0.089,0.01,0.039,0.062,0.017,0,0.025
"P67","No sabe",0.012,0,0,0,0.11,0.086,0,0.053
"P74","La Pfizer, fabricada en Estados Unidos",0.064,0.538,0.397,0.455,0.179,0.591,0.243,0.106
"P74","La Sputnik, fabricada en Rusia",0.513,0.128,0.202,0.393,0.307,0.196,0.483,0.315
"P74","La vacuna de Oxford, fabricada por AstraZeneca en Argentina y México",0.111,0.065,0.064,0.047,0.034,0.086,0.008,0.038
"P74","La vacuna de Oxford, fabricada por AstraZeneca en India",0.007,0.027,0.005,0,0.158,0.085,0,0.1
"P74","La vacuna China fabricada en China",0.017,0.005,0.046,0,0,0.013,0.015,0.04
"P74","Me resultan todas confiables",0.277,0.111,0.212,0.07,0.322,0.018,0.144,0.188
"P74","No sabe",0.011,0.126,0.074,0.035,0,0.011,0.107,0.213
