"var","categoria","El estado nacional","El estado provincial","Ambos de forma coordinada","No sabe"
"P34","Ni buena ni mala",0.063,0,0.313,0.12
"P34","Mala",0.174,0,0.198,0.47
"P34","Muy mala",0.287,0,0.251,0.05
"P34","No sabe",0.038,0,0,0.161
"P35","Muy buena",0.509,0,0.099,0.079
"P35","Buena",0.091,0,0.118,0.235
"P35","Ni buena ni mala",0.256,0,0.393,0.198
"P35","Mala",0.059,0,0.185,0.249
"P35","Muy mala",0.047,0,0.141,0.078
"P35","No sabe",0.038,0,0.064,0.161
"P36","Muy buena",0.321,0,0.121,0.032
"P36","Buena",0.033,0,0.039,0.016
"P36","Ni buena ni mala",0.117,0,0.155,0.211
"P36","Mala",0.119,0,0.204,0.335
"P36","Muy mala",0.41,0,0.467,0.382
"P36","No sabe",0,0,0.014,0.024
"P37","Muy buena",0.561,0,0.138,0.005
"P37","Buena",0.064,0,0.143,0.303
"P37","Ni buena ni mala",0.07,0,0.239,0.131
"P37","Mala",0.094,0,0.213,0.454
"P37","Muy mala",0.211,0,0.267,0.082
"P37","No sabe",0,0,0,0.025
"P38","Muy buena",0.312,0,0.029,0.054
"P38","Buena",0.028,0,0.091,0.041
"P38","Ni buena ni mala",0.037,0,0.191,0.09
"P38","Mala",0.179,0,0.19,0.419
"P38","Muy mala",0.444,0,0.499,0.371
"P38","No sabe",0,0,0,0.025
"P39","Muy buena",0.317,0,0.162,0.033
"P39","Buena",0.03,0,0.035,0
"P39","Ni buena ni mala",0.026,0,0.136,0.063
"P39","Mala",0.12,0,0.128,0.35
"P39","Muy mala",0.497,0,0.513,0.402
"P39","No sabe",0.01,0,0.026,0.152
"P40","Muy buena",0.617,0,0.345,0.377
"P40","Buena",0.099,0,0.122,0.162
"P40","Ni buena ni mala",0.015,0,0.129,0.154
"P40","Mala",0.115,0,0.144,0.185
"P40","Muy mala",0.154,0,0.252,0.096
"P40","No sabe",0,0,0.008,0.026
"P41","Muy buena",0.68,0,0.295,0.379
"P41","Buena",0.103,0,0.238,0.154
"P41","Ni buena ni mala",0.01,0,0.146,0.024
"P41","Mala",0.067,0,0.137,0.357
"P41","Muy mala",0.14,0,0.176,0.06
"P41","No sabe",0,0,0.008,0.026
"P42","Muy buena",0.638,0,0.357,0.443
"P42","Buena",0.104,0,0.127,0.109
"P42","Ni buena ni mala",0.06,0,0.229,0.188
"P42","Mala",0.031,0,0.105,0.187
"P42","Muy mala",0.096,0,0.166,0.039
"P42","No sabe",0.071,0,0.016,0.034
"P43","Muy buena",0.367,0,0.117,0.03
"P43","Buena",0.078,0,0.18,0.124
"P43","Ni buena ni mala",0.286,0,0.408,0.415
"P43","Mala",0.094,0,0.148,0.267
"P43","Muy mala",0.075,0,0.096,0
"P43","No sabe",0.1,0,0.051,0.164
