"var","categoria","Gobierno nacional","Gobierno provincial","No sabe"
"P29","No sabe",0.047,0,0.052
"P30","Peor",0.628,0,0.268
"P30","Igual",0.204,0,0.377
"P30","Mejor",0.111,0,0.263
"P30","No sabe",0.057,0,0.092
"P31","Javier Milei",0.259,0,0.248
"P31","Los gobernadores",0.692,0,0.507
"P31","No sabe",0.049,0,0.245
"P32","Muy buena",0.246,0,0.275
"P32","Buena",0.34,0,0.207
"P32","Ni buena ni mala",0.27,0,0.403
"P32","Mala",0.097,0,0.046
"P32","Muy mala",0.047,0,0.059
"P32","No sabe",0,0,0.01
"P34","Muy buena",0.509,0,0.187
"P34","Buena",0.196,0,0.183
"P34","Ni buena ni mala",0.212,0,0.335
"P34","Mala",0.053,0,0.129
"P34","Muy mala",0.03,0,0.07
"P34","No sabe",0,0,0.096
"P35","Muy buena",0.223,0,0.189
"P35","Buena",0.076,0,0.076
"P35","Ni buena ni mala",0.313,0,0.363
"P35","Mala",0.186,0,0.131
"P35","Muy mala",0.179,0,0.11
"P35","No sabe",0.023,0,0.131
"P36","Muy buena",0.485,0,0.185
"P36","Buena",0.123,0,0.11
"P36","Ni buena ni mala",0.128,0,0.294
"P36","Mala",0.07,0,0.215
"P36","Muy mala",0.174,0,0.185
"P36","No sabe",0.02,0,0.011
"P37","Muy buena",0.208,0,0.06
"P37","Buena",0.038,0,0.093
"P37","Ni buena ni mala",0.097,0,0.29
"P37","Mala",0.232,0,0.327
"P37","Muy mala",0.425,0,0.209
"P37","No sabe",0,0,0.021
"P38","Muy buena",0.307,0,0.167
"P38","Buena",0.192,0,0.094
"P38","Ni buena ni mala",0.297,0,0.23
"P38","Mala",0.049,0,0.33
"P38","Muy mala",0.155,0,0.168
"P38","No sabe",0,0,0.011
"P39","Muy buena",0.5,0,0.194
"P39","Buena",0.16,0,0.035
"P39","Ni buena ni mala",0.176,0,0.223
"P39","Mala",0.047,0,0.275
"P39","Muy mala",0.105,0,0.179
"P39","No sabe",0.012,0,0.094
"P40","Muy buena",0.206,0,0.149
"P40","Buena",0.05,0,0.089
"P40","Ni buena ni mala",0.063,0,0.264
"P40","Mala",0.158,0,0.395
"P40","Muy mala",0.511,0,0.092
"P40","No sabe",0.012,0,0.011
"P41","Muy buena",0.186,0,0.154
"P41","Buena",0.073,0,0.08
"P41","Ni buena ni mala",0.134,0,0.283
"P41","Mala",0.104,0,0.297
"P41","Muy mala",0.503,0,0.161
"P41","No sabe",0,0,0.025
"P42","Muy buena",0.216,0,0.133
"P42","Buena",0.064,0,0.053
"P42","Ni buena ni mala",0.08,0,0.383
"P42","Mala",0.138,0,0.179
"P42","Muy mala",0.468,0,0.199
"P42","No sabe",0.034,0,0.053
"P43","Muy buena",0.1,0,0.066
"P43","Buena",0.067,0,0.033
"P43","Ni buena ni mala",0.374,0,0.449
"P43","Mala",0.151,0,0.246
"P43","Muy mala",0.248,0,0.08
"P43","No sabe",0.06,0,0.126
