"var","categoria","Gustavo Menéndez a intendente por Unión por la Patria","Zencich a intendente por Juntos por el Cambio","Eduardo Varela a intendente por la Libertad Avanza","Raul Othacehé a intendente por el frente vecinal crecer","El candidato a intendente de la Izquierda","En blanco","No sabe"
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.11,0.056,0.018,0.141,0.175,0.074,0.111
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.023,0,0.031,0.022,0.107,0.119,0.027
"P27","No sabe",0.072,0.045,0.048,0.009,0.07,0.262,0.301
"P28","Lo votaría",0.758,0.116,0.145,0.347,0.193,0.204,0.045
"P28","Puede que lo vote",0.079,0.115,0.03,0.151,0.471,0.259,0.187
"P28","Nunca lo votaría",0.113,0.714,0.813,0.339,0.262,0.394,0.503
"P28","No sabe",0.05,0.055,0.012,0.163,0.074,0.143,0.265
"P29","Lo votaría",0.152,0.674,0.077,0.23,0,0.035,0.097
"P29","Puede que lo vote",0.048,0.11,0.232,0.187,0.205,0,0.221
"P29","Nunca lo votaría",0.733,0.188,0.586,0.497,0.742,0.744,0.439
"P29","No sabe",0.067,0.028,0.105,0.086,0.053,0.221,0.243
"P30","Lo votaría",0.11,0.177,0.776,0.213,0.031,0,0.191
"P30","Puede que lo vote",0.051,0.225,0.101,0.214,0.212,0,0.14
"P30","Nunca lo votaría",0.756,0.572,0.123,0.512,0.741,0.797,0.455
"P30","No sabe",0.083,0.026,0,0.061,0.016,0.203,0.214
"P31","Lo votaría",0.074,0.205,0.202,0.8,0.026,0.036,0.059
"P31","Puede que lo vote",0.083,0.166,0.091,0.119,0.275,0.042,0.093
"P31","Nunca lo votaría",0.763,0.55,0.661,0.081,0.582,0.737,0.458
"P31","No sabe",0.08,0.079,0.046,0,0.117,0.185,0.39
"P32","Si",0.396,0.402,0.355,0.435,0.359,0.323,0.338
"P32","No",0.604,0.598,0.645,0.565,0.641,0.677,0.662
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.86,0.113,0.032,0.393,0.434,0.316,0.1
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.059,0.746,0.037,0.13,0.043,0.028,0.103
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.048,0.133,0.905,0.165,0.048,0.004,0.188
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.012,0,0.01,0.033,0.463,0.088,0.097
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.013,0.005,0,0.065,0.003,0.131,0.071
"PRESIDENTE","En blanco",0.005,0,0,0.143,0,0.389,0.061
"PRESIDENTE","No sabe",0.003,0.003,0.016,0.071,0.009,0.044,0.38
"CORTA_PRESIDENTE","Si",0.125,0.135,0.105,0.518,0.238,0.126,0.241
"CORTA_PRESIDENTE","No",0.875,0.865,0.895,0.482,0.762,0.874,0.759
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",0.842,0.095,0.052,0.36,0.499,0.259,0.157
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.071,0.733,0.072,0.189,0,0.028,0.122
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.054,0.156,0.874,0.102,0.031,0,0.072
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.012,0,0,0.124,0.467,0.099,0
"GOBERNADOR","En blanco",0.004,0.008,0,0.176,0.003,0.52,0.168
"GOBERNADOR","No sabe",0.017,0.008,0.002,0.049,0,0.094,0.481
"CORTA_GOBERNADOR","Si",0.145,0.223,0.127,0.644,0.236,0.183,0.428
"CORTA_GOBERNADOR","No",0.855,0.777,0.873,0.356,0.764,0.817,0.572
"CORTA_INTENDENTE","Si",0.154,0.211,0.123,0.643,0.499,0.44,0.593
"CORTA_INTENDENTE","No",0.846,0.789,0.877,0.357,0.501,0.56,0.407
