"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P30","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.019,0,0.025,0.049,0.713,0,0,0.042
"P30","No sabe",0.029,0.004,0.095,0.021,0,0.241,0,0.469
"P31","No estaba enterado del tema",0.192,0.073,0.254,0.074,0,0.054,0,0.083
"P31","Un tema de la vida privada de él",0.191,0.134,0.067,0.059,0,0.11,0.553,0
"P31","Un hecho vergonzoso de exclusiva responsabilidad de él",0.503,0.246,0.49,0.129,0.754,0.241,0,0
"P31","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.045,0.261,0.066,0.217,0.057,0.073,0,0.032
"P31","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.024,0.274,0.123,0.521,0.1,0.522,0.447,0.885
"P31","No sabe",0.045,0.012,0,0,0.089,0,0,0
"P32","Si",0.801,0.561,0.888,0.806,1,0.707,1,0.806
"P32","No",0.199,0.439,0.112,0.194,0,0.293,0,0.194
"P33","Sergio Massa",0.868,0.215,0.583,0.057,0.403,0.148,0.556,0.076
"P33","Patria Bullrich",0.043,0.405,0.108,0.077,0.062,0.104,0.444,0.521
"P33","Javier Milei",0.016,0.142,0.038,0.769,0,0.077,0,0.311
"P33","Myriam Bregman",0.054,0.163,0.232,0.043,0.535,0,0,0.066
"P33","Juan Schiaretti",0.019,0.075,0.039,0.054,0,0.671,0,0.026
"P34","Ha aumentado significativamente",0.234,0.091,0.18,0.041,0.153,0,0,0.03
"P34","Ha aumentado ligeramente",0.263,0.173,0.17,0.143,0.532,0.051,0,0
"P34","Se mantiene igual",0.335,0.198,0.19,0.308,0.16,0.457,0,0.336
"P34","Ha disminuido ligeramente",0.125,0.136,0.397,0.195,0,0,0.557,0.554
"P34","Ha disminuido significativamente",0.043,0.402,0.063,0.313,0.155,0.492,0.443,0.08
"P35","No, ninguna dificultad",0.571,0.241,0.493,0.213,0.312,0.232,0,0.029
"P35","Alguna dificultad ocasional",0.274,0.37,0.35,0.356,0.533,0.051,0.442,0.891
"P35","Sí, dificultades frecuentes",0.155,0.389,0.157,0.431,0.155,0.717,0.558,0.08
"P36","Sí, absolutamente",0.711,0.531,0.444,0.37,0.258,0.528,0.56,0.077
"P36","Sí, en cierta medida",0.245,0.376,0.473,0.288,0.742,0.075,0,0.844
"P36","No, en absoluto",0.044,0.093,0.083,0.342,0,0.397,0.44,0.079
"P37","Reducir la inflación",0.496,0.234,0.583,0.292,0.061,0.3,0.557,0
"P37","Implementar reformas fiscales",0.078,0.167,0.04,0.111,0.256,0,0,0.257
"P37","Establecer políticas de control de precios",0.298,0.079,0.207,0.097,0.525,0.373,0,0.078
"P37","Reducir el gasto público",0.069,0.447,0.17,0.397,0,0.327,0.443,0.665
"P37","Estimular la inversión extranjera",0.025,0.073,0,0.103,0,0,0,0
"P37","Aumentar los subsidios a los servicios públicos",0.034,0,0,0,0.158,0,0,0
"P38","Muy positiva",0.266,0.244,0.277,0.194,0.561,0,0,0.028
"P38","Positiva",0.281,0.161,0.618,0.114,0.229,0.146,0,0.198
"P38","Neutral",0.215,0.305,0.022,0.377,0.15,0.53,0.571,0.683
"P38","Algo negativa",0.023,0.135,0,0.025,0,0.195,0,0
"P38","Negativa",0.03,0.041,0,0.08,0,0.129,0,0
"P38","No sabe",0.185,0.114,0.083,0.21,0.06,0,0.429,0.091
"P39","Muy positiva",0.634,0.224,0.422,0.115,0.94,0.099,0,0.029
"P39","Positiva",0.185,0.215,0.449,0.202,0,0.124,0,0.631
"P39","Neutral",0.119,0.286,0.082,0.273,0,0.198,0.571,0.037
"P39","Algo negativa",0.02,0.055,0,0.156,0,0.247,0,0
"P39","Negativa",0.003,0.22,0.047,0.203,0,0.206,0.429,0.274
"P39","No sabe",0.039,0,0,0.051,0.06,0.126,0,0.029
"P40","Muy positiva",0.417,0.342,0.172,0.108,0.808,0,0,0
"P40","Positiva",0.293,0.066,0.224,0.151,0.131,0.224,0,0
"P40","Neutral",0.092,0.28,0.309,0.249,0,0,0.57,0.07
"P40","Algo negativa",0.032,0.094,0.089,0.17,0,0.25,0,0.585
"P40","Negativa",0.069,0.159,0.127,0.217,0,0.526,0.43,0.275
"P40","No sabe",0.097,0.059,0.079,0.105,0.061,0,0,0.07
"P41","Muy positiva",0.608,0.204,0.214,0.466,0.79,0.099,0,0.222
"P41","Positiva",0.198,0.14,0.56,0.244,0.149,0.32,0,0.07
"P41","Neutral",0.068,0.327,0.034,0.129,0,0.132,0,0.601
"P41","Algo negativa",0.04,0.115,0.134,0.055,0,0.251,0,0.029
"P41","Negativa",0.034,0.204,0,0.094,0,0.198,1,0.078
"P41","No sabe",0.052,0.01,0.058,0.012,0.061,0,0,0
"P42","Muy positiva",0.548,0.39,0.694,0.285,0.769,0.29,0,0.166
"P42","Positiva",0.281,0.111,0.182,0.162,0.166,0,0.408,0.056
"P42","Neutral",0.038,0.226,0.103,0.366,0,0.514,0,0.709
"P42","Algo negativa",0.034,0.207,0.021,0.018,0,0,0,0
"P42","Negativa",0.028,0.026,0,0.157,0,0.196,0.592,0.069
"P42","No sabe",0.071,0.04,0,0.012,0.065,0,0,0
"P43","Lo votaría",0.816,0.314,0.759,0.055,0.771,0.038,0,0
"P43","Puede que lo vote",0.084,0.073,0.052,0.049,0.165,0.18,0,0
"P43","Nunca lo votaría",0.043,0.606,0.189,0.843,0.064,0.782,0.408,0.927
"P43","No sabe",0.057,0.007,0,0.053,0,0,0.592,0.073
"P44","Lo votaría",0.04,0.727,0.079,0.044,0.064,0.43,0,0
"P44","Puede que lo vote",0.108,0.011,0.131,0.178,0,0.365,0,0.835
"P44","Nunca lo votaría",0.759,0.238,0.747,0.67,0.936,0.205,0,0.063
"P44","No sabe",0.093,0.024,0.043,0.108,0,0,1,0.102
"P45","Lo votaría",0.019,0.249,0.54,0.016,0,0.437,0.586,0
"P45","Puede que lo vote",0.212,0.075,0.021,0.108,0,0.103,0,0.725
"P45","Nunca lo votaría",0.575,0.491,0.241,0.706,0.936,0.46,0,0.073
"P45","No sabe",0.194,0.185,0.198,0.17,0.064,0,0.414,0.202
"P46","Lo votaría",0.035,0.205,0.07,0.85,0,0.447,0,0.073
"P46","Puede que lo vote",0.039,0.19,0.415,0.088,0,0,0,0.192
"P46","Nunca lo votaría",0.862,0.605,0.444,0.062,1,0.553,0.586,0.033
"P46","No sabe",0.064,0,0.071,0,0,0,0.414,0.702
"P47","Lo votaría",0.05,0.143,0.032,0.047,0.099,0.301,0,0
"P47","Puede que lo vote",0.199,0.116,0.302,0.055,0.837,0.039,0,0.318
"P47","Nunca lo votaría",0.515,0.703,0.666,0.75,0.064,0.66,1,0.024
"P47","No sabe",0.236,0.038,0,0.148,0,0,0,0.658
"P48","Si",0.365,0.281,0.307,0.563,0.325,0.073,0,0.847
"P48","No",0.635,0.719,0.693,0.437,0.675,0.927,1,0.153
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",1,0,0.448,0,0,0,0,0
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0.084,0,0,0,0,0
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0,0,0.108,1,0,0,0,0
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0,0.042,0,1,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0.115,0,0,1,0,0
"PRESIDENTE","En blanco",0,0,0.1,0,0,0,1,0
"PRESIDENTE","No sabe",0,0,0.103,0,0,0,0,1
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.915,0.139,0,0.055,0.096,0,0,0
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.029,0.667,0,0.098,0.057,0.42,0.453,0.31
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.026,0.112,1,0.115,0,0.099,0,0
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.001,0.04,0,0.401,0,0.272,0,0.447
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0,0,0.002,0.847,0,0,0
"DIPUTADOS","En blanco",0.009,0.016,0,0.148,0,0.209,0.547,0
"DIPUTADOS","No sabe",0.016,0.026,0,0.181,0,0,0,0.243
