"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P33","Javier Milei",0.049,0.198,0.291,0.268,0.529
"P33","Myriam Bregman",0.015,0.085,0.015,0.218,0.065
"P33","Juan Schiaretti",0.007,0.025,0.068,0.041,0.049
"P35","No, ninguna dificultad",0.874,0.521,0.332,0.303,0.089
"P35","Alguna dificultad ocasional",0.086,0.347,0.411,0.36,0.321
"P35","Sí, dificultades frecuentes",0.04,0.132,0.257,0.337,0.59
"P36","Sí, absolutamente",0.628,0.581,0.626,0.524,0.364
"P36","Sí, en cierta medida",0.269,0.352,0.215,0.4,0.302
"P36","No, en absoluto",0.103,0.067,0.159,0.076,0.334
"P37","Reducir la inflación",0.564,0.468,0.355,0.373,0.264
"P37","Implementar reformas fiscales",0.112,0.073,0.088,0.127,0.116
"P37","Establecer políticas de control de precios",0.177,0.302,0.256,0.151,0.066
"P37","Reducir el gasto público",0.092,0.09,0.183,0.342,0.489
"P37","Estimular la inversión extranjera",0.028,0.056,0.08,0.007,0.065
"P37","Aumentar los subsidios a los servicios públicos",0.027,0.011,0.038,0,0
"P38","Muy positiva",0.473,0.21,0.242,0.212,0.095
"P38","Positiva",0.206,0.37,0.215,0.229,0.141
"P38","Neutral",0.282,0.183,0.276,0.307,0.333
"P38","Algo negativa",0,0.03,0.015,0.079,0.056
"P38","Negativa",0.006,0.018,0.04,0.021,0.136
"P38","No sabe",0.033,0.189,0.212,0.152,0.239
"P39","Muy positiva",0.733,0.589,0.438,0.245,0.075
"P39","Positiva",0.209,0.209,0.218,0.299,0.134
"P39","Neutral",0.032,0.121,0.205,0.186,0.306
"P39","Algo negativa",0,0.012,0.065,0.1,0.138
"P39","Negativa",0.016,0.019,0.021,0.167,0.293
"P39","No sabe",0.01,0.05,0.053,0.003,0.054
"P40","Muy positiva",0.531,0.365,0.337,0.112,0.125
"P40","Positiva",0.215,0.324,0.166,0.271,0.126
"P40","Neutral",0.112,0.104,0.18,0.232,0.205
"P40","Algo negativa",0.004,0.068,0.11,0.142,0.131
"P40","Negativa",0.102,0.083,0.082,0.091,0.345
"P40","No sabe",0.036,0.056,0.125,0.152,0.068
"P41","Muy positiva",0.714,0.533,0.562,0.3,0.328
"P41","Positiva",0.073,0.307,0.215,0.301,0.179
"P41","Neutral",0.165,0.041,0.042,0.277,0.175
"P41","Algo negativa",0.018,0.044,0.071,0.079,0.066
"P41","Negativa",0,0.072,0.024,0.023,0.252
"P41","No sabe",0.03,0.003,0.086,0.02,0
"P42","Muy positiva",0.646,0.599,0.46,0.409,0.167
"P42","Positiva",0.296,0.224,0.215,0.203,0.155
"P42","Neutral",0.027,0.043,0.182,0.183,0.418
"P42","Algo negativa",0.022,0.038,0.044,0.04,0.079
"P42","Negativa",0.009,0.004,0.025,0.165,0.155
"P42","No sabe",0,0.092,0.074,0,0.026
"P43","Lo votaría",0.838,0.65,0.539,0.334,0.231
"P43","Puede que lo vote",0.111,0.086,0.096,0.045,0.005
"P43","Nunca lo votaría",0.051,0.187,0.257,0.613,0.764
"P43","No sabe",0,0.077,0.108,0.008,0
"P44","Lo votaría",0.082,0.147,0.064,0.038,0.263
"P44","Puede que lo vote",0.111,0.091,0.176,0.152,0.138
"P44","Nunca lo votaría",0.77,0.67,0.64,0.669,0.572
"P44","No sabe",0.037,0.092,0.12,0.141,0.027
"P45","Lo votaría",0.046,0.039,0.03,0.129,0.135
"P45","Puede que lo vote",0.243,0.043,0.203,0.208,0.153
"P45","Nunca lo votaría",0.63,0.648,0.554,0.503,0.557
"P45","No sabe",0.081,0.27,0.213,0.16,0.155
"P46","Lo votaría",0.051,0.118,0.224,0.288,0.754
"P46","Puede que lo vote",0.106,0.074,0.07,0.214,0.017
"P46","Nunca lo votaría",0.829,0.72,0.692,0.328,0.227
"P46","No sabe",0.014,0.088,0.014,0.17,0.002
"P47","Lo votaría",0.03,0.11,0.018,0.031,0.116
"P47","Puede que lo vote",0.24,0.243,0.152,0.114,0.057
"P47","Nunca lo votaría",0.585,0.447,0.632,0.533,0.768
"P47","No sabe",0.145,0.2,0.198,0.322,0.059
"P48","Si",0.263,0.437,0.499,0.332,0.46
"P48","No",0.737,0.563,0.501,0.668,0.54
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.822,0.665,0.551,0.472,0.124
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.077,0.089,0.089,0.085,0.247
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.086,0.22,0.32,0.365,0.573
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.005,0.014,0.003,0,0.005
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.002,0.016,0,0.04
"PRESIDENTE","En blanco",0.006,0.01,0,0.014,0.002
"PRESIDENTE","No sabe",0.004,0,0.021,0.064,0.009
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.768,0.656,0.454,0.332,0.163
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.047,0.117,0.126,0.124,0.26
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.098,0.1,0.06,0.279,0.032
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.056,0.052,0.183,0.219,0.212
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.013,0.014,0.005,0,0.005
"DIPUTADOS","En blanco",0.011,0.02,0.062,0.016,0.189
"DIPUTADOS","No sabe",0.007,0.041,0.11,0.03,0.139
"P14_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.781,0.635,0.568,0.373,0.124
"P14_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.069,0.089,0.069,0.145,0.247
"P14_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.059,0.04,0.03,0.114,0.018
"P14_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.086,0.22,0.318,0.365,0.582
"P14_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.005,0.014,0.003,0,0.005
"P14_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.002,0.012,0,0.022
"P14_imputada","En blanco",0,0,0,0.003,0.002
"PRESIDENTE_imputada","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.822,0.665,0.572,0.477,0.124
"PRESIDENTE_imputada","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.081,0.089,0.089,0.145,0.247
"PRESIDENTE_imputada","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0.086,0.22,0.32,0.364,0.582
"PRESIDENTE_imputada","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.005,0.014,0.003,0,0.005
"PRESIDENTE_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0.002,0.016,0,0.04
"PRESIDENTE_imputada","En blanco",0.006,0.01,0,0.014,0.002
"DIPUTADOS_imputada","Martín Soria a Diputado Nacional por Unión por la Patria",0.771,0.656,0.497,0.34,0.167
"DIPUTADOS_imputada","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.051,0.117,0.139,0.124,0.298
"DIPUTADOS_imputada","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.098,0.1,0.096,0.279,0.041
"DIPUTADOS_imputada","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.056,0.094,0.201,0.238,0.3
"DIPUTADOS_imputada","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.013,0.014,0.005,0,0.005
"DIPUTADOS_imputada","En blanco",0.011,0.019,0.062,0.019,0.189
