"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P43","Puede que lo vote",0.079,0.086,0.049,0.165,0.104,0.178,0
"P43","Nunca lo votaría",0.048,0.614,0.839,0.064,0.452,0.107,0.927
"P43","No sabe",0.054,0.007,0.053,0,0,0.155,0.073
"P44","Lo votaría",0.041,0.699,0.043,0.064,0.249,0.013,0
"P44","Puede que lo vote",0.102,0.056,0.182,0,0.211,0,0.835
"P44","Nunca lo votaría",0.767,0.223,0.667,0.936,0.54,0.547,0.063
"P44","No sabe",0.09,0.022,0.108,0,0,0.44,0.102
"P45","Lo votaría",0.056,0.279,0.017,0,0.255,0.164,0
"P45","Puede que lo vote",0.2,0.07,0.107,0,0.132,0,0.725
"P45","Nunca lo votaría",0.559,0.46,0.703,0.936,0.269,0.729,0.073
"P45","No sabe",0.185,0.191,0.173,0.064,0.344,0.107,0.202
"P46","Lo votaría",0.036,0.192,0.847,0,0.261,0.43,0.073
"P46","Puede que lo vote",0.064,0.224,0.087,0,0,0,0.192
"P46","Nunca lo votaría",0.837,0.566,0.066,1,0.739,0.463,0.033
"P46","No sabe",0.063,0.018,0,0,0,0.107,0.702
"P47","Lo votaría",0.047,0.134,0.046,0.099,0.176,0.429,0
"P47","Puede que lo vote",0.203,0.109,0.059,0.837,0.366,0,0.318
"P47","Nunca lo votaría",0.528,0.721,0.747,0.064,0.458,0.571,0.024
"P47","No sabe",0.222,0.036,0.148,0,0,0,0.658
"P48","Si",0.363,0.281,0.563,0.325,0.108,0.312,0.847
"P48","No",0.637,0.719,0.437,0.675,0.892,0.688,0.153
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.811,0.123,0.053,0.048,0,0,0
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.025,0.596,0.094,0.029,0.144,0.025,0.159
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.137,0.206,0.154,0.504,0.691,0.945,0.486
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.001,0.037,0.383,0,0.093,0,0.229
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0,0.001,0.419,0,0,0
"DIPUTADOS","En blanco",0.008,0.014,0.142,0,0.072,0.03,0
"DIPUTADOS","No sabe",0.014,0.024,0.173,0,0,0,0.126
