"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P58","Mala",0.116,0.272,0.358,0.107,0.37,0.257
"P58","Muy mala",0.248,0.237,0.126,0.4,0.223,0.19
"P59","Muy buena",0.045,0.034,0.051,0.218,0.008,0.016
"P59","Buena",0.253,0.254,0.189,0.07,0.223,0.304
"P59","Regular",0.369,0.465,0.457,0.253,0.54,0.532
"P59","Mala",0.097,0.168,0.247,0.039,0.141,0.096
"P59","Muy mala",0.236,0.079,0.056,0.42,0.088,0.052
"P60","Ha aumentado significativamente",0.073,0.036,0.028,0.211,0.013,0.009
"P60","Ha aumentado ligeramente",0.156,0.149,0.235,0.07,0.089,0.127
"P60","Se mantiene igual",0.44,0.339,0.28,0.149,0.198,0.226
"P60","Ha disminuido ligeramente",0.258,0.172,0.211,0.135,0.319,0.351
"P60","Ha disminuido significativamente",0.073,0.304,0.246,0.435,0.381,0.287
"P61","Muy baja",0.018,0.02,0.027,0,0.052,0.006
"P61","Baja",0.014,0.024,0.068,0,0.034,0.014
"P61","Moderada",0.082,0.076,0.064,0.027,0.016,0.055
"P61","Alta",0.232,0.159,0.132,0.181,0.105,0.226
"P61","Muy alta",0.654,0.721,0.709,0.792,0.793,0.699
"P62","Muy bajas",0.058,0.069,0.145,0.201,0.05,0.021
"P62","Bajas",0.103,0.261,0.191,0.06,0.203,0.15
"P62","Adecuadas",0.295,0.192,0.194,0,0.267,0.298
"P62","Altas",0.185,0.245,0.225,0.327,0.261,0.388
"P62","Muy altas",0.359,0.233,0.245,0.412,0.219,0.143
"P63","No, ninguna dificultad",0.267,0.423,0.418,0.368,0.388,0.347
"P63","Alguna dificultad ocasional",0.338,0.275,0.291,0.027,0.416,0.355
"P63","Sí, dificultades frecuentes",0.395,0.302,0.291,0.605,0.196,0.298
"P64","Sí, absolutamente",0.45,0.197,0.201,0.24,0.182,0.286
"P64","Sí, en cierta medida",0.399,0.402,0.461,0,0.411,0.431
"P64","No, en absoluto",0.151,0.401,0.338,0.76,0.407,0.283
"P65","Reducir la inflación",0.243,0.308,0.335,0.189,0.331,0.42
"P65","Implementar reformas fiscales",0.251,0.102,0.173,0.026,0.123,0.135
"P65","Establecer políticas de control de precios",0.235,0.074,0.09,0.378,0.037,0.049
"P65","Reducir el gasto público",0.215,0.471,0.37,0.407,0.459,0.318
"P65","Estimular la inversión extranjera",0.044,0.04,0.026,0,0.05,0.078
"P65","Aumentar los subsidios a los servicios públicos",0.012,0.005,0.006,0,0,0
"P66","Fomentar la competencia entre proveedores",0.342,0.465,0.392,0.11,0.37,0.432
"P66","Incrementar la inversión en infraestructura",0.268,0.278,0.257,0.222,0.407,0.253
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.266,0.035,0.093,0.057,0.068,0.072
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.124,0.222,0.258,0.611,0.155,0.243
"P67","Muy positiva",0.112,0.107,0.105,0,0.06,0.086
"P67","Positiva",0.142,0.174,0.107,0.067,0.08,0.089
"P67","Neutral",0.465,0.322,0.316,0.092,0.188,0.286
"P67","Algo negativa",0.116,0.16,0.187,0.364,0.288,0.188
"P67","Negativa",0.154,0.178,0.153,0.422,0.341,0.193
"P67","No sabe",0.011,0.059,0.132,0.055,0.043,0.158
"P68","Muy positivo",0.048,0.093,0.066,0,0.009,0.008
"P68","Positivo",0.108,0.073,0.089,0.064,0.053,0.055
"P68","Neutral",0.519,0.356,0.392,0.087,0.215,0.352
"P68","Algo negativo",0.133,0.203,0.158,0.117,0.238,0.232
"P68","Negativo",0.146,0.226,0.218,0.681,0.393,0.228
"P68","No sabe",0.046,0.049,0.077,0.051,0.092,0.125
"P69","Muy positivo",0.047,0.066,0.024,0,0.007,0
"P69","Positivo",0.056,0.073,0.051,0.061,0.014,0.046
"P69","Neutral",0.646,0.568,0.56,0.156,0.513,0.41
"P69","Algo negativo",0.178,0.144,0.123,0.094,0.094,0.117
"P69","Negativo",0.02,0.102,0.116,0.689,0.276,0.182
"P69","No sabe",0.053,0.047,0.126,0,0.096,0.245
"P70","Muy positiva",0.207,0.144,0.127,0,0.063,0.03
"P70","Positiva",0.246,0.164,0.142,0.066,0.172,0.225
"P70","Neutral",0.214,0.314,0.405,0.092,0.269,0.319
"P70","Algo negativa",0.098,0.133,0.133,0.207,0.158,0.156
"P70","Negativa",0.216,0.242,0.117,0.635,0.311,0.203
"P70","No sabe",0.019,0.003,0.076,0,0.027,0.067
"P71","Muy positivo",0.244,0.148,0.134,0.317,0.04,0.045
"P71","Positivo",0.134,0.166,0.168,0.025,0.19,0.132
"P71","Neutral",0.245,0.301,0.434,0.072,0.247,0.329
"P71","Algo negativo",0.097,0.141,0.106,0.031,0.219,0.222
"P71","Negativo",0.235,0.234,0.127,0.555,0.288,0.224
"P71","No sabe",0.045,0.01,0.031,0,0.016,0.048
"P72","Muy positivo",0.356,0.123,0.073,0.318,0.023,0.022
"P72","Positivo",0.114,0.145,0.223,0.025,0.184,0.191
"P72","Neutral",0.294,0.373,0.504,0.107,0.42,0.432
"P72","Algo negativo",0.049,0.097,0.05,0.173,0.117,0.114
"P72","Negativo",0.16,0.243,0.128,0.354,0.227,0.182
"P72","No sabe",0.027,0.019,0.022,0.023,0.029,0.059
"P73","Muy positiva",0.209,0.075,0.042,0.061,0.01,0
"P73","Positiva",0.093,0.048,0.097,0,0.086,0.008
"P73","Neutral",0.317,0.335,0.327,0.169,0.276,0.333
"P73","Algo negativa",0.177,0.185,0.223,0.492,0.267,0.237
"P73","Negativa",0.071,0.281,0.253,0.278,0.311,0.32
"P73","No sabe",0.133,0.076,0.058,0,0.05,0.102
"P74","Muy positivo",0.075,0.068,0.015,0.053,0.007,0
"P74","Positivo",0.125,0.09,0.04,0,0.089,0
"P74","Neutral",0.37,0.278,0.349,0.298,0.271,0.335
"P74","Algo negativo",0.165,0.177,0.239,0.445,0.204,0.184
"P74","Negativo",0.215,0.305,0.292,0.204,0.378,0.348
"P74","No sabe",0.05,0.082,0.065,0,0.051,0.133
"P75","Muy positivo",0.08,0.076,0.018,0.054,0,0
"P75","Positivo",0.172,0.069,0.026,0,0.079,0.029
"P75","Neutral",0.35,0.308,0.494,0.724,0.412,0.387
"P75","Algo negativo",0.119,0.229,0.145,0,0.177,0.164
"P75","Negativo",0.235,0.234,0.276,0.197,0.271,0.304
"P75","No sabe",0.044,0.084,0.041,0.025,0.061,0.116
"P76","Muy positiva",0.259,0.202,0.105,0.054,0.13,0
"P76","Positiva",0.247,0.146,0.127,0.054,0.168,0.198
"P76","Neutral",0.239,0.196,0.404,0.576,0.153,0.157
"P76","Algo negativa",0.113,0.177,0.17,0.039,0.196,0.124
"P76","Negativa",0.089,0.254,0.131,0.277,0.316,0.4
"P76","No sabe",0.053,0.025,0.063,0,0.037,0.121
"P77","Muy positivo",0.115,0.195,0.118,0.053,0.137,0
"P77","Positivo",0.226,0.165,0.151,0.223,0.094,0.165
"P77","Neutral",0.464,0.174,0.382,0.035,0.171,0.218
"P77","Algo negativo",0.065,0.175,0.147,0.04,0.181,0.082
"P77","Negativo",0.075,0.264,0.167,0.649,0.392,0.382
"P77","No sabe",0.055,0.027,0.035,0,0.025,0.153
"P78","Muy positivo",0.153,0.197,0.115,0.054,0.07,0
"P78","Positivo",0.129,0.157,0.172,0.203,0.116,0.112
"P78","Neutral",0.472,0.267,0.495,0.12,0.377,0.369
"P78","Algo negativo",0.208,0.122,0.1,0.246,0.14,0.049
"P78","Negativo",0.013,0.202,0.102,0.377,0.272,0.318
"P78","No sabe",0.025,0.055,0.016,0,0.025,0.152
"P79","Si",0.3,0.445,0.498,0.233,0.467,0.379
"P79","No",0.7,0.555,0.502,0.767,0.533,0.621
