"var","categoria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P59","Muy buena",0.09,0.289,0.093,0.204,0.181,0.21
"P59","Buena",0.292,0.401,0.504,0.412,0.479,0.409
"P59","Regular",0.439,0.25,0.34,0.327,0.299,0.224
"P59","Mala",0.076,0.029,0.041,0.042,0.041,0.121
"P59","Muy mala",0.103,0.031,0.022,0.015,0,0.036
"P60","Ha aumentado significativamente",0.108,0.204,0.113,0.191,0.29,0.064
"P60","Ha aumentado ligeramente",0.147,0.41,0.347,0.314,0.254,0.391
"P60","Se mantiene igual",0.396,0.271,0.312,0.339,0.231,0.392
"P60","Ha disminuido ligeramente",0.114,0.049,0.113,0.102,0.173,0.153
"P60","Ha disminuido significativamente",0.235,0.066,0.115,0.054,0.052,0
"P61","Muy baja",0.028,0.114,0.047,0.023,0.038,0.113
"P61","Baja",0.068,0.158,0.083,0.088,0.054,0.045
"P61","Moderada",0.251,0.057,0.084,0.16,0.061,0.222
"P61","Alta",0.188,0.26,0.342,0.372,0.495,0.563
"P61","Muy alta",0.465,0.411,0.444,0.357,0.352,0.057
"P62","Muy bajas",0.015,0.016,0.052,0.053,0.007,0.126
"P62","Bajas",0.038,0.313,0.184,0.112,0.074,0.066
"P62","Adecuadas",0.438,0.222,0.357,0.474,0.482,0.482
"P62","Altas",0.203,0.206,0.239,0.288,0.315,0.258
"P62","Muy altas",0.306,0.243,0.168,0.073,0.122,0.068
"P63","No, ninguna dificultad",0.36,0.545,0.498,0.65,0.53,0.428
"P63","Alguna dificultad ocasional",0.28,0.316,0.356,0.215,0.254,0.284
"P63","Sí, dificultades frecuentes",0.36,0.139,0.146,0.135,0.216,0.288
"P64","Sí, absolutamente",0.523,0.401,0.551,0.785,0.763,0.645
"P64","Sí, en cierta medida",0.319,0.42,0.366,0.215,0.226,0.245
"P64","No, en absoluto",0.158,0.179,0.083,0,0.011,0.11
"P65","Reducir la inflación",0.605,0.421,0.595,0.499,0.566,0.448
"P65","Implementar reformas fiscales",0.224,0.189,0.164,0.209,0.084,0.074
"P65","Establecer políticas de control de precios",0.077,0.108,0.214,0.24,0.331,0.39
"P65","Reducir el gasto público",0.088,0.177,0.013,0.003,0.014,0.049
"P65","Estimular la inversión extranjera",0,0.073,0.014,0.029,0.005,0.022
"P65","Aumentar los subsidios a los servicios públicos",0.006,0.032,0,0.02,0,0.017
"P66","Fomentar la competencia entre proveedores",0.155,0.6,0.138,0.214,0.125,0.324
"P66","Incrementar la inversión en infraestructura",0.5,0.328,0.385,0.302,0.267,0.074
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.051,0.011,0.211,0.187,0.227,0.175
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.294,0.061,0.266,0.297,0.381,0.427
"P67","Muy positiva",0.294,0.143,0.192,0.4,0.426,0.447
"P67","Positiva",0.451,0.309,0.431,0.366,0.333,0.208
"P67","Neutral",0.074,0.284,0.3,0.088,0.137,0.275
"P67","Algo negativa",0.134,0.071,0.054,0.069,0.094,0.05
"P67","Negativa",0.025,0.182,0.014,0,0,0.009
"P67","No sabe",0.022,0.011,0.009,0.077,0.01,0.011
"P68","Muy positivo",0.383,0.08,0.206,0.249,0.416,0.547
"P68","Positivo",0.298,0.314,0.396,0.453,0.318,0.284
"P68","Neutral",0.21,0.277,0.318,0.264,0.166,0.118
"P68","Algo negativo",0.046,0.184,0.032,0.007,0.009,0
"P68","Negativo",0.039,0.073,0.015,0,0,0.033
"P68","No sabe",0.024,0.072,0.033,0.027,0.091,0.018
"P69","Muy positivo",0.13,0.198,0.146,0.117,0.277,0.319
"P69","Positivo",0.271,0.123,0.362,0.281,0.225,0.479
"P69","Neutral",0.313,0.405,0.434,0.556,0.37,0.184
"P69","Algo negativo",0.211,0.126,0.017,0.012,0,0
"P69","Negativo",0.032,0.075,0.006,0,0.034,0
"P69","No sabe",0.043,0.073,0.035,0.034,0.094,0.018
"P70","Muy positiva",0.271,0.156,0.744,0.776,0.697,0.512
"P70","Positiva",0.22,0.205,0.103,0.087,0.303,0.455
"P70","Neutral",0.255,0.484,0.137,0.131,0,0.033
"P70","Algo negativa",0.172,0.07,0.016,0,0,0
"P70","Negativa",0.056,0.074,0,0,0,0
"P70","No sabe",0.026,0.011,0,0.006,0,0
"P71","Muy positivo",0.303,0.202,0.674,0.68,0.731,0.522
"P71","Positivo",0.253,0.239,0.199,0.226,0.241,0.23
"P71","Neutral",0.362,0.434,0.049,0.039,0,0.223
"P71","Algo negativo",0.017,0.125,0.042,0.003,0.009,0
"P71","Negativo",0.056,0,0.036,0.034,0,0.025
"P71","No sabe",0.009,0,0,0.018,0.019,0
"P72","Muy positivo",0.158,0.222,0.412,0.589,0.543,0.637
"P72","Positivo",0.345,0.231,0.337,0.266,0.334,0.266
"P72","Neutral",0.408,0.472,0.192,0.125,0.123,0.097
"P72","Algo negativo",0.043,0.075,0.012,0.005,0,0
"P72","Negativo",0.036,0,0.047,0.003,0,0
"P72","No sabe",0.01,0,0,0.012,0,0
"P73","Muy positiva",0.392,0.228,0.32,0.518,0.449,0.475
"P73","Positiva",0.25,0.237,0.408,0.348,0.378,0.293
"P73","Neutral",0.277,0.228,0.222,0.129,0.075,0.207
"P73","Algo negativa",0.049,0.098,0.015,0,0,0
"P73","Negativa",0.014,0.176,0.006,0.005,0.008,0.025
"P73","No sabe",0.018,0.033,0.029,0,0.09,0
"P74","Muy positivo",0.378,0.211,0.275,0.478,0.439,0.585
"P74","Positivo",0.268,0.142,0.423,0.369,0.394,0.268
"P74","Neutral",0.237,0.351,0.244,0.132,0.031,0.121
"P74","Algo negativo",0.067,0.118,0.031,0.005,0.038,0
"P74","Negativo",0.031,0.178,0.006,0,0,0.026
"P74","No sabe",0.019,0,0.021,0.016,0.098,0
"P75","Muy positivo",0.1,0.083,0.187,0.39,0.344,0.3
"P75","Positivo",0.318,0.235,0.466,0.297,0.34,0.268
"P75","Neutral",0.468,0.391,0.205,0.308,0.206,0.345
"P75","Algo negativo",0.068,0.039,0.116,0.005,0,0.042
"P75","Negativo",0.029,0.232,0.006,0,0,0.026
"P75","No sabe",0.017,0.02,0.02,0,0.11,0.019
"P76","Muy positiva",0.318,0.214,0.558,0.566,0.719,0.756
"P76","Positiva",0.199,0.29,0.219,0.259,0.258,0.105
"P76","Neutral",0.451,0.29,0.18,0.138,0.023,0.069
"P76","Algo negativa",0.024,0.066,0.03,0.032,0,0.042
"P76","Negativa",0,0.12,0,0.005,0,0.028
"P76","No sabe",0.008,0.02,0.013,0,0,0
"P77","Muy positivo",0.488,0.28,0.466,0.506,0.64,0.481
"P77","Positivo",0.122,0.112,0.287,0.274,0.332,0.423
"P77","Neutral",0.31,0.386,0.201,0.187,0.014,0.059
"P77","Algo negativo",0.045,0.046,0.038,0.016,0.014,0
"P77","Negativo",0.016,0.109,0.008,0.011,0,0.028
"P77","No sabe",0.019,0.067,0,0.006,0,0.009
"P78","Muy positivo",0.451,0.398,0.506,0.381,0.621,0.587
"P78","Positivo",0.104,0.078,0.06,0.258,0.162,0.263
"P78","Neutral",0.384,0.331,0.325,0.343,0.217,0.144
"P78","Algo negativo",0.037,0,0.109,0.005,0,0
"P78","Negativo",0.016,0.129,0,0,0,0
"P78","No sabe",0.008,0.064,0,0.013,0,0.006
"P79","Si",0.61,0.458,0.535,0.47,0.614,0.431
"P79","No",0.39,0.542,0.465,0.53,0.386,0.569
