"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerables","Realizar auditorías periódicas a las empresas de servicios públicos"
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.246,0.465,0.601,0.465
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.455,0.245,0.155,0.307
"P39","En blanco",0.178,0.205,0.121,0.163
"P39","No sabe",0.121,0.085,0.123,0.065
"P40","Lo votaría",0.221,0.42,0.526,0.447
"P40","Puede que lo vote",0.145,0.109,0.068,0.155
"P40","Nunca lo votaría",0.576,0.447,0.371,0.381
"P40","No sabe",0.058,0.024,0.035,0.017
"P41","Lo votaría",0.457,0.439,0.301,0.306
"P41","Puede que lo vote",0.119,0.101,0.064,0.095
"P41","Nunca lo votaría",0.366,0.425,0.604,0.545
"P41","No sabe",0.058,0.035,0.031,0.054
"P42","Lo votaría",0.358,0.156,0.138,0.201
"P42","Puede que lo vote",0.194,0.173,0.07,0.123
"P42","Nunca lo votaría",0.402,0.607,0.747,0.635
"P42","No sabe",0.046,0.064,0.045,0.041
"P43","Lo votaría",0.103,0.08,0.149,0.165
"P43","Puede que lo vote",0.123,0.255,0.285,0.266
"P43","Nunca lo votaría",0.717,0.599,0.518,0.53
"P43","No sabe",0.057,0.066,0.048,0.039
"P44","Lo votaría",0.091,0.074,0.089,0.066
"P44","Puede que lo vote",0.228,0.287,0.335,0.208
"P44","Nunca lo votaría",0.623,0.559,0.504,0.663
"P44","No sabe",0.058,0.08,0.072,0.063
"P53","Sergio Massa y Javier Milei",0.354,0.403,0.505,0.457
"P53","Patricia Bullrich y Javier Milei",0.492,0.397,0.278,0.349
"P53","Sergio Massa y Patricia Bullrich",0.154,0.2,0.217,0.194
"P54","Muy buena",0.09,0.049,0.168,0.065
"P54","Buena",0.105,0.109,0.098,0.151
"P54","Regular",0.123,0.209,0.263,0.239
"P54","Mala",0.207,0.238,0.216,0.232
"P54","Muy mala",0.475,0.395,0.255,0.313
"P55","Muy buena",0.043,0.033,0.081,0.017
"P55","Buena",0.056,0.159,0.169,0.124
"P55","Regular",0.118,0.235,0.235,0.265
"P55","Mala",0.229,0.184,0.222,0.176
"P55","Muy mala",0.554,0.389,0.293,0.418
"P56","Muy buena",0.1,0.065,0.18,0.102
"P56","Buena",0.147,0.28,0.265,0.205
"P56","Regular",0.344,0.356,0.289,0.344
"P56","Mala",0.21,0.183,0.147,0.172
"P56","Muy mala",0.199,0.116,0.119,0.177
"P57","Muy buena",0.076,0.068,0.113,0.05
"P57","Buena",0.185,0.318,0.312,0.254
"P57","Regular",0.474,0.44,0.408,0.428
"P57","Mala",0.172,0.13,0.091,0.19
"P57","Muy mala",0.093,0.044,0.076,0.078
"P58","Muy buena",0.079,0.085,0.143,0.133
"P58","Buena",0.157,0.288,0.311,0.199
"P58","Regular",0.322,0.342,0.278,0.341
"P58","Mala",0.227,0.174,0.14,0.2
"P58","Muy mala",0.215,0.111,0.128,0.127
"P59","Muy buena",0.143,0.09,0.142,0.1
"P59","Buena",0.223,0.361,0.363,0.345
"P59","Regular",0.423,0.388,0.319,0.355
"P59","Mala",0.126,0.11,0.087,0.118
"P59","Muy mala",0.085,0.051,0.089,0.082
"P60","Ha aumentado significativamente",0.08,0.112,0.122,0.112
"P60","Ha aumentado ligeramente",0.146,0.261,0.279,0.251
"P60","Se mantiene igual",0.298,0.269,0.292,0.28
"P60","Ha disminuido ligeramente",0.225,0.182,0.215,0.165
"P60","Ha disminuido significativamente",0.251,0.176,0.092,0.192
"P61","Muy baja",0.058,0.038,0.052,0.011
"P61","Baja",0.058,0.083,0.095,0.042
"P61","Moderada",0.101,0.093,0.066,0.061
"P61","Alta",0.208,0.241,0.283,0.306
"P61","Muy alta",0.575,0.545,0.504,0.58
"P62","Muy bajas",0.085,0.077,0.06,0.024
"P62","Bajas",0.175,0.21,0.149,0.076
"P62","Adecuadas",0.259,0.34,0.304,0.326
"P62","Altas",0.282,0.21,0.257,0.317
"P62","Muy altas",0.199,0.163,0.23,0.257
"P63","No, ninguna dificultad",0.401,0.492,0.451,0.381
"P63","Alguna dificultad ocasional",0.354,0.336,0.27,0.305
"P63","Sí, dificultades frecuentes",0.245,0.172,0.279,0.314
"P64","Sí, absolutamente",0.314,0.416,0.548,0.513
"P64","Sí, en cierta medida",0.367,0.38,0.317,0.323
"P64","No, en absoluto",0.319,0.204,0.135,0.164
"P65","Reducir la inflación",0.496,0.395,0.321,0.316
"P65","Implementar reformas fiscales",0.09,0.248,0.177,0.097
"P65","Establecer políticas de control de precios",0.106,0.111,0.362,0.167
"P65","Reducir el gasto público",0.269,0.191,0.078,0.377
"P65","Estimular la inversión extranjera",0.039,0.034,0.037,0.024
"P65","Aumentar los subsidios a los servicios públicos",0,0.021,0.025,0.019
"P67","Muy positiva",0.267,0.177,0.224,0.168
"P67","Positiva",0.122,0.401,0.233,0.207
"P67","Neutral",0.288,0.172,0.327,0.198
"P67","Algo negativa",0.14,0.1,0.083,0.234
"P67","Negativa",0.138,0.105,0.082,0.108
"P67","No sabe",0.045,0.045,0.051,0.085
"P68","Muy positivo",0.158,0.155,0.26,0.156
"P68","Positivo",0.123,0.339,0.267,0.217
"P68","Neutral",0.349,0.185,0.258,0.299
"P68","Algo negativo",0.156,0.13,0.054,0.083
"P68","Negativo",0.155,0.132,0.102,0.129
"P68","No sabe",0.059,0.059,0.059,0.116
"P69","Muy positivo",0.106,0.094,0.139,0.077
"P69","Positivo",0.092,0.249,0.227,0.194
"P69","Neutral",0.516,0.411,0.437,0.485
"P69","Algo negativo",0.085,0.084,0.087,0.054
"P69","Negativo",0.118,0.094,0.044,0.086
"P69","No sabe",0.083,0.068,0.066,0.104
"P70","Muy positiva",0.218,0.376,0.437,0.376
"P70","Positiva",0.121,0.22,0.223,0.181
"P70","Neutral",0.351,0.16,0.143,0.225
"P70","Algo negativa",0.127,0.088,0.089,0.061
"P70","Negativa",0.151,0.121,0.079,0.118
"P70","No sabe",0.032,0.035,0.029,0.039
"P71","Muy positivo",0.224,0.35,0.53,0.334
"P71","Positivo",0.156,0.236,0.159,0.244
"P71","Neutral",0.316,0.159,0.07,0.192
"P71","Algo negativo",0.134,0.101,0.076,0.072
"P71","Negativo",0.158,0.12,0.126,0.13
"P71","No sabe",0.012,0.034,0.039,0.028
"P72","Muy positivo",0.209,0.256,0.506,0.272
"P72","Positivo",0.191,0.276,0.198,0.248
"P72","Neutral",0.356,0.281,0.194,0.268
"P72","Algo negativo",0.086,0.039,0.027,0.072
"P72","Negativo",0.128,0.116,0.064,0.117
"P72","No sabe",0.03,0.032,0.011,0.023
"P73","Muy positiva",0.139,0.281,0.413,0.232
"P73","Positiva",0.143,0.247,0.247,0.24
"P73","Neutral",0.278,0.181,0.181,0.198
"P73","Algo negativa",0.146,0.098,0.037,0.099
"P73","Negativa",0.213,0.15,0.047,0.145
"P73","No sabe",0.081,0.043,0.075,0.086
"P74","Muy positivo",0.137,0.255,0.337,0.196
"P74","Positivo",0.101,0.258,0.272,0.246
"P74","Neutral",0.274,0.192,0.14,0.241
"P74","Algo negativo",0.159,0.117,0.065,0.092
"P74","Negativo",0.255,0.135,0.104,0.141
"P74","No sabe",0.074,0.043,0.082,0.084
"P75","Muy positivo",0.107,0.17,0.276,0.138
"P75","Positivo",0.126,0.236,0.251,0.184
"P75","Neutral",0.355,0.313,0.21,0.377
"P75","Algo negativo",0.119,0.105,0.08,0.099
"P75","Negativo",0.213,0.114,0.106,0.129
"P75","No sabe",0.08,0.062,0.077,0.073
"P76","Muy positiva",0.255,0.399,0.509,0.376
"P76","Positiva",0.211,0.213,0.191,0.185
"P76","Neutral",0.264,0.137,0.136,0.169
"P76","Algo negativa",0.099,0.09,0.079,0.114
"P76","Negativa",0.137,0.123,0.058,0.106
"P76","No sabe",0.034,0.038,0.027,0.05
"P77","Muy positivo",0.25,0.402,0.412,0.326
"P77","Positivo",0.203,0.215,0.25,0.226
"P77","Neutral",0.23,0.109,0.163,0.181
"P77","Algo negativo",0.107,0.105,0.06,0.073
"P77","Negativo",0.172,0.13,0.084,0.143
"P77","No sabe",0.038,0.039,0.031,0.051
"P78","Muy positivo",0.264,0.322,0.369,0.289
"P78","Positivo",0.171,0.187,0.312,0.156
"P78","Neutral",0.334,0.316,0.21,0.318
"P78","Algo negativo",0.064,0.058,0.066,0.102
"P78","Negativo",0.117,0.091,0.023,0.097
"P78","No sabe",0.05,0.026,0.02,0.038
"P79","Si",0.538,0.508,0.493,0.463
"P79","No",0.462,0.492,0.507,0.537
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.211,0.399,0.496,0.415
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.407,0.408,0.253,0.309
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.285,0.128,0.131,0.188
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.03,0.009,0.009,0.042
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.024,0.021,0.055,0.029
"PRESIDENTE","En blanco",0.025,0.011,0.056,0.005
"PRESIDENTE","No sabe",0.018,0.024,0,0.012
