"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.471,0.447,0.673,0.099,0.294,0.381
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.238,0.354,0.132,0.55,0.45,0.384
"P39","En blanco",0.184,0.116,0.115,0.254,0.102,0.235
"P39","No sabe",0.107,0.083,0.08,0.097,0.154,0
"P40","Lo votaría",0.443,0.456,0.577,0.077,0.225,0.421
"P40","Puede que lo vote",0.105,0.133,0.152,0.126,0.194,0.153
"P40","Nunca lo votaría",0.412,0.368,0.232,0.772,0.533,0.426
"P40","No sabe",0.04,0.043,0.039,0.025,0.048,0
"P41","Lo votaría",0.347,0.398,0.199,0.591,0.434,0.07
"P41","Puede que lo vote",0.098,0.135,0.057,0.13,0.142,0.162
"P41","Nunca lo votaría",0.509,0.424,0.714,0.221,0.384,0.768
"P41","No sabe",0.046,0.043,0.03,0.058,0.04,0
"P42","Lo votaría",0.18,0.231,0.14,0.387,0.24,0.223
"P42","Puede que lo vote",0.124,0.183,0.075,0.242,0.259,0.162
"P42","Nunca lo votaría",0.641,0.538,0.738,0.328,0.435,0.58
"P42","No sabe",0.055,0.048,0.047,0.043,0.066,0.035
"P43","Lo votaría",0.122,0.12,0.18,0.054,0.081,0.383
"P43","Puede que lo vote",0.227,0.247,0.369,0.064,0.169,0.165
"P43","Nunca lo votaría",0.583,0.587,0.366,0.857,0.696,0.452
"P43","No sabe",0.068,0.046,0.085,0.025,0.054,0
"P44","Lo votaría",0.087,0.106,0.065,0.056,0.08,0.14
"P44","Puede que lo vote",0.268,0.295,0.287,0.192,0.194,0.11
"P44","Nunca lo votaría",0.563,0.555,0.567,0.696,0.638,0.75
"P44","No sabe",0.082,0.044,0.081,0.056,0.088,0
"P53","Sergio Massa y Javier Milei",0.471,0.42,0.578,0.215,0.322,0.673
"P53","Patricia Bullrich y Javier Milei",0.341,0.394,0.224,0.634,0.466,0.141
"P53","Sergio Massa y Patricia Bullrich",0.188,0.186,0.198,0.151,0.212,0.186
"P54","Muy buena",0.097,0.064,0.126,0.02,0.159,0.237
"P54","Buena",0.093,0.15,0.141,0.102,0.101,0.163
"P54","Regular",0.214,0.2,0.349,0.054,0.125,0.083
"P54","Mala",0.246,0.209,0.23,0.202,0.235,0.443
"P54","Muy mala",0.35,0.377,0.154,0.622,0.38,0.074
"P55","Muy buena",0.042,0.04,0.083,0,0.031,0.11
"P55","Buena",0.1,0.225,0.219,0.007,0.048,0.105
"P55","Regular",0.256,0.176,0.319,0.044,0.155,0.118
"P55","Mala",0.232,0.166,0.188,0.213,0.146,0.326
"P55","Muy mala",0.37,0.393,0.191,0.736,0.62,0.341
"P56","Muy buena",0.111,0.091,0.167,0.034,0.04,0.202
"P56","Buena",0.225,0.242,0.344,0.114,0.115,0.33
"P56","Regular",0.343,0.322,0.254,0.398,0.329,0.236
"P56","Mala",0.174,0.217,0.128,0.249,0.166,0.204
"P56","Muy mala",0.147,0.128,0.107,0.205,0.35,0.028
"P57","Muy buena",0.096,0.1,0.066,0.022,0.045,0.075
"P57","Buena",0.24,0.333,0.29,0.198,0.301,0.235
"P57","Regular",0.442,0.374,0.519,0.447,0.426,0.365
"P57","Mala",0.148,0.119,0.078,0.253,0.12,0.233
"P57","Muy mala",0.074,0.074,0.047,0.08,0.108,0.092
"P58","Muy buena",0.116,0.137,0.156,0.019,0.057,0.229
"P58","Buena",0.212,0.306,0.316,0.11,0.234,0.178
"P58","Regular",0.325,0.285,0.383,0.322,0.381,0.312
"P58","Mala",0.22,0.151,0.099,0.27,0.192,0.188
"P58","Muy mala",0.127,0.121,0.046,0.279,0.136,0.093
"P59","Muy buena",0.128,0.144,0.143,0.075,0.111,0.148
"P59","Buena",0.318,0.308,0.374,0.248,0.254,0.385
"P59","Regular",0.376,0.353,0.367,0.428,0.332,0.236
"P59","Mala",0.113,0.125,0.074,0.143,0.181,0.139
"P59","Muy mala",0.065,0.07,0.042,0.106,0.122,0.092
"P60","Ha aumentado significativamente",0.116,0.111,0.129,0.035,0.139,0.146
"P60","Ha aumentado ligeramente",0.197,0.325,0.289,0.133,0.164,0.352
"P60","Se mantiene igual",0.288,0.24,0.366,0.273,0.254,0.184
"P60","Ha disminuido ligeramente",0.217,0.164,0.158,0.242,0.193,0.233
"P60","Ha disminuido significativamente",0.182,0.16,0.058,0.317,0.25,0.085
"P61","Muy baja",0.058,0.039,0.042,0.016,0.031,0.181
"P61","Baja",0.06,0.108,0.086,0.023,0.048,0.187
"P61","Moderada",0.1,0.119,0.104,0.041,0.063,0.118
"P61","Alta",0.257,0.228,0.404,0.157,0.191,0.291
"P61","Muy alta",0.525,0.506,0.364,0.763,0.667,0.223
"P62","Muy bajas",0.063,0.047,0.078,0.073,0.031,0.209
"P62","Bajas",0.11,0.268,0.113,0.211,0.119,0.055
"P62","Adecuadas",0.322,0.313,0.332,0.232,0.237,0.248
"P62","Altas",0.277,0.194,0.327,0.26,0.21,0.27
"P62","Muy altas",0.228,0.178,0.15,0.224,0.403,0.218
"P63","No, ninguna dificultad",0.41,0.45,0.542,0.363,0.425,0.378
"P63","Alguna dificultad ocasional",0.321,0.371,0.238,0.359,0.31,0.226
"P63","Sí, dificultades frecuentes",0.269,0.179,0.22,0.278,0.265,0.396
"P64","Sí, absolutamente",0.555,0.28,0.557,0.192,0.313,0.536
"P64","Sí, en cierta medida",0.314,0.565,0.2,0.382,0.396,0.179
"P64","No, en absoluto",0.131,0.155,0.243,0.426,0.291,0.285
"P66","Fomentar la competencia entre proveedores",0.457,0.232,0.259,0.398,0.431,0
"P66","Incrementar la inversión en infraestructura",0.257,0.455,0.192,0.2,0.265,0.427
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.095,0.148,0.283,0.037,0.129,0.221
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.191,0.165,0.266,0.365,0.175,0.352
"P67","Muy positiva",0.236,0.225,0.381,0.067,0.298,0.125
"P67","Positiva",0.266,0.278,0.293,0.103,0.178,0.385
"P67","Neutral",0.225,0.245,0.175,0.309,0.153,0.322
"P67","Algo negativa",0.148,0.12,0.054,0.217,0.172,0
"P67","Negativa",0.073,0.083,0.06,0.23,0.117,0.168
"P67","No sabe",0.052,0.049,0.037,0.074,0.082,0
"P68","Muy positivo",0.212,0.143,0.304,0.03,0.136,0.233
"P68","Positivo",0.265,0.317,0.291,0.069,0.1,0.112
"P68","Neutral",0.253,0.287,0.206,0.386,0.233,0.283
"P68","Algo negativo",0.109,0.094,0.044,0.195,0.167,0
"P68","Negativo",0.096,0.108,0.092,0.22,0.227,0.372
"P68","No sabe",0.065,0.051,0.063,0.1,0.137,0
"P69","Muy positivo",0.144,0.095,0.149,0.009,0.016,0.2
"P69","Positivo",0.201,0.225,0.298,0.045,0.085,0.125
"P69","Neutral",0.45,0.468,0.352,0.585,0.452,0.442
"P69","Algo negativo",0.054,0.09,0.068,0.107,0.097,0.177
"P69","Negativo",0.076,0.051,0.076,0.149,0.172,0.056
"P69","No sabe",0.075,0.071,0.057,0.105,0.178,0
"P70","Muy positiva",0.388,0.31,0.574,0.089,0.212,0.616
"P70","Positiva",0.181,0.226,0.154,0.159,0.116,0.087
"P70","Neutral",0.27,0.242,0.088,0.314,0.213,0
"P70","Algo negativa",0.053,0.094,0.059,0.169,0.197,0.139
"P70","Negativa",0.073,0.116,0.093,0.222,0.218,0.158
"P70","No sabe",0.035,0.012,0.032,0.047,0.044,0
"P71","Muy positivo",0.374,0.314,0.586,0.082,0.253,0.52
"P71","Positivo",0.211,0.266,0.178,0.17,0.113,0.152
"P71","Neutral",0.216,0.189,0.094,0.309,0.208,0
"P71","Algo negativo",0.07,0.103,0.044,0.184,0.141,0.141
"P71","Negativo",0.097,0.117,0.079,0.232,0.23,0.187
"P71","No sabe",0.032,0.011,0.019,0.023,0.055,0
"P72","Muy positivo",0.305,0.266,0.473,0.102,0.268,0.366
"P72","Positivo",0.249,0.251,0.259,0.181,0.14,0.086
"P72","Neutral",0.308,0.315,0.122,0.376,0.264,0.182
"P72","Algo negativo",0.035,0.046,0.044,0.119,0.116,0.142
"P72","Negativo",0.073,0.093,0.088,0.2,0.143,0.224
"P72","No sabe",0.03,0.029,0.014,0.022,0.069,0
"P73","Muy positiva",0.28,0.277,0.408,0.023,0.175,0.365
"P73","Positiva",0.261,0.27,0.253,0.076,0.111,0.085
"P73","Neutral",0.231,0.173,0.152,0.271,0.252,0.148
"P73","Algo negativa",0.062,0.079,0.052,0.223,0.146,0.256
"P73","Negativa",0.097,0.173,0.09,0.293,0.182,0.146
"P73","No sabe",0.069,0.028,0.045,0.114,0.134,0
"P74","Muy positivo",0.272,0.214,0.345,0.012,0.163,0.192
"P74","Positivo",0.239,0.297,0.25,0.059,0.048,0.357
"P74","Neutral",0.217,0.178,0.144,0.333,0.216,0.164
"P74","Algo negativo",0.1,0.091,0.076,0.191,0.147,0.142
"P74","Negativo",0.095,0.192,0.136,0.319,0.265,0.145
"P74","No sabe",0.077,0.028,0.049,0.086,0.161,0
"P75","Muy positivo",0.201,0.136,0.256,0.011,0.145,0.189
"P75","Positivo",0.213,0.279,0.263,0.058,0.047,0.098
"P75","Neutral",0.331,0.301,0.293,0.391,0.313,0.126
"P75","Algo negativo",0.079,0.081,0.03,0.193,0.159,0.324
"P75","Negativo",0.086,0.171,0.122,0.25,0.291,0.2
"P75","No sabe",0.09,0.032,0.036,0.097,0.045,0.063
"P76","Muy positiva",0.396,0.335,0.592,0.158,0.283,0.379
"P76","Positiva",0.216,0.295,0.142,0.176,0.13,0.113
"P76","Neutral",0.188,0.181,0.172,0.224,0.166,0
"P76","Algo negativa",0.056,0.088,0.042,0.187,0.143,0.411
"P76","Negativa",0.093,0.096,0.041,0.204,0.192,0.097
"P76","No sabe",0.051,0.005,0.011,0.051,0.086,0
"P77","Muy positivo",0.403,0.314,0.475,0.13,0.298,0.322
"P77","Positivo",0.202,0.346,0.281,0.153,0.109,0.054
"P77","Neutral",0.176,0.144,0.132,0.24,0.101,0.104
"P77","Algo negativo",0.065,0.074,0.044,0.151,0.172,0.358
"P77","Negativo",0.096,0.117,0.044,0.281,0.255,0.162
"P77","No sabe",0.058,0.005,0.024,0.045,0.065,0
"P78","Muy positivo",0.34,0.306,0.439,0.14,0.224,0.281
"P78","Positivo",0.19,0.292,0.148,0.156,0.189,0.164
"P78","Neutral",0.297,0.264,0.302,0.369,0.26,0.275
"P78","Algo negativo",0.055,0.046,0.073,0.111,0.075,0.197
"P78","Negativo",0.067,0.078,0.025,0.179,0.215,0.083
"P78","No sabe",0.051,0.014,0.013,0.045,0.037,0
"P79","Si",0.556,0.524,0.476,0.442,0.512,0.226
"P79","No",0.444,0.476,0.524,0.558,0.488,0.774
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.431,0.388,0.595,0.044,0.255,0.374
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.296,0.316,0.213,0.603,0.449,0.118
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.162,0.244,0.083,0.298,0.208,0.341
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.035,0,0.028,0.025,0.012,0.04
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.027,0.033,0.053,0.002,0.022,0.127
"PRESIDENTE","En blanco",0.032,0,0.028,0.009,0.011,0
"PRESIDENTE","No sabe",0.017,0.019,0,0.019,0.043,0
