"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco"
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.123,0.635,0.165,0,0.14
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.142,0.226,0.601,0.159,0.517
"P16_imputada","Los candidatos a presidente de la Izquierda",0.035,0.003,0.06,0.43,0
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.031,0.036,0.114,0.058
"P16_imputada","En blanco",0.022,0,0,0,0.058
"P22_imputada","Fernando Moreira a intendente por Unión por la Patria",0.625,0.287,0.258,0.525,0.272
"P22_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.193,0.597,0.549,0,0.173
"P22_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.146,0.091,0.105,0.248,0
"P22_imputada","El candidato del Frente de Izquierda",0.009,0.002,0.053,0.227,0
"P22_imputada","En blanco",0.027,0.023,0.035,0,0.555
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.288,0.466,0.619,0.274,0.409
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.143,0.317,0.105,0,0.09
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.356,0.112,0.245,0.609,0.266
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.058,0.024,0.013,0.052,0
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.093,0,0.004,0.065,0
"P25","No sabe",0.062,0.081,0.014,0,0.235
"P26","Totalmente seguro",0.601,0.623,0.656,0.634,0.414
"P26","Bastante seguro",0.205,0.178,0.175,0.219,0
"P26","Algo seguro",0.138,0.139,0.054,0.147,0.144
"P26","Para nada seguro",0.056,0.06,0.115,0,0.442
"P27","Tiene Decidido que va a ir a votar",0.825,0.911,0.8,0.916,0.924
"P27","Tiene dudas sobre si va a ir a  votar",0.153,0.05,0.156,0,0.076
"P27","Tiene Decidido que no va a ir a votar",0.022,0.039,0.044,0.084,0
"P28","Lo votaría",0.696,0.131,0.207,0.23,0.241
"P28","Puede que lo vote",0.196,0.115,0.075,0.475,0.434
"P28","Nunca lo votaría",0.09,0.691,0.634,0.295,0.235
"P28","No sabe",0.018,0.063,0.084,0,0.09
"P29","Lo votaría",0.126,0.585,0.204,0.093,0.126
"P29","Puede que lo vote",0.162,0.192,0.408,0.166,0.437
"P29","Nunca lo votaría",0.688,0.17,0.304,0.741,0.185
"P29","No sabe",0.024,0.053,0.084,0,0.252
"P30","Lo votaría",0.075,0.172,0.555,0.257,0.126
"P30","Puede que lo vote",0.084,0.268,0.238,0,0.112
"P30","Nunca lo votaría",0.799,0.486,0.145,0.743,0.274
"P30","No sabe",0.042,0.074,0.062,0,0.488
"P31","Si",0.319,0.383,0.462,0.478,0.054
"P31","No",0.681,0.617,0.538,0.522,0.946
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.669,0.105,0.138,0.297,0.227
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.123,0.635,0.165,0,0.14
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.142,0.226,0.601,0.159,0.517
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.035,0.003,0.06,0.43,0
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.009,0.031,0.036,0.114,0.058
"PRESIDENTE_imputada","En blanco",0.022,0,0,0,0.058
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",1,0,0,0,0
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0,0,0,1,0
"GOBERNADOR_imputada","En blanco",0,0,0,0,1
"INTENDENTE_imputada","Fernando Moreira a intendente por Unión por la Patria",0.625,0.287,0.258,0.525,0.272
"INTENDENTE_imputada","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.193,0.597,0.549,0,0.173
"INTENDENTE_imputada","Hernán Sardella a intendente por la Libertad Avanza",0.146,0.091,0.105,0.248,0
"INTENDENTE_imputada","El candidato del Frente de Izquierda",0.009,0.002,0.053,0.227,0
"INTENDENTE_imputada","En blanco",0.027,0.023,0.035,0,0.555
