"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P14","Sí, dificultades frecuentes",0.279,0.27,0.37,0.468,0.531
"P15","Sí, absolutamente",0.672,0.563,0.444,0.406,0.342
"P15","Sí, en cierta medida",0.18,0.286,0.357,0.352,0.298
"P15","No, en absoluto",0.148,0.151,0.199,0.242,0.36
"P16","Reducir la inflación",0.479,0.486,0.45,0.393,0.366
"P16","Implementar reformas fiscales",0.103,0.111,0.06,0.085,0.093
"P16","Establecer políticas de control de precios",0.245,0.222,0.157,0.14,0.111
"P16","Reducir el gasto público",0.094,0.149,0.269,0.325,0.36
"P16","Estimular la inversión extranjera",0.031,0.029,0.053,0.034,0.053
"P16","Aumentar los subsidios a los servicios públicos",0.048,0.003,0.011,0.023,0.017
"P17","Fomentar la competencia entre proveedores",0.328,0.285,0.347,0.318,0.368
"P17","Incrementar la inversión en infraestructura",0.248,0.223,0.204,0.175,0.209
"P17","Implementar políticas de subsidios focalizados en grupos vulnerable",0.185,0.216,0.159,0.16,0.083
"P17","Realizar auditorías periódicas a las empresas de servicios públicos",0.239,0.276,0.29,0.347,0.34
"P18","Muy positiva",0.41,0.247,0.133,0.127,0.087
"P18","Positiva",0.237,0.282,0.195,0.162,0.138
"P18","Neutral",0.181,0.275,0.4,0.352,0.354
"P18","Algo negativa",0.068,0.092,0.099,0.135,0.15
"P18","Negativa",0.042,0.062,0.092,0.096,0.178
"P18","No sabe",0.062,0.042,0.081,0.128,0.093
"P19","Muy positivo",0.446,0.208,0.096,0.074,0.049
"P19","Positivo",0.214,0.322,0.177,0.138,0.106
"P19","Neutral",0.193,0.31,0.425,0.361,0.362
"P19","Algo negativo",0.028,0.055,0.101,0.166,0.138
"P19","Negativo",0.049,0.054,0.086,0.1,0.211
"P19","No sabe",0.07,0.051,0.115,0.161,0.134
"P20","Muy positivo",0.347,0.129,0.069,0.059,0.036
"P20","Positivo",0.208,0.273,0.152,0.118,0.075
"P20","Neutral",0.298,0.434,0.494,0.495,0.439
"P20","Algo negativo",0.009,0.063,0.089,0.124,0.105
"P20","Negativo",0.047,0.036,0.075,0.074,0.222
"P20","No sabe",0.091,0.065,0.121,0.13,0.123
"P21","Muy positiva",0.655,0.496,0.279,0.231,0.167
"P21","Positiva",0.125,0.242,0.274,0.213,0.149
"P21","Neutral",0.14,0.164,0.257,0.274,0.322
"P21","Algo negativa",0.006,0.032,0.07,0.13,0.101
"P21","Negativa",0.059,0.044,0.085,0.1,0.187
"P21","No sabe",0.015,0.022,0.035,0.052,0.074
"P22","Muy positivo",0.665,0.514,0.272,0.229,0.184
"P22","Positivo",0.123,0.238,0.282,0.268,0.17
"P22","Neutral",0.125,0.133,0.235,0.223,0.278
"P22","Algo negativo",0.027,0.051,0.091,0.123,0.097
"P22","Negativo",0.039,0.046,0.09,0.104,0.213
"P22","No sabe",0.021,0.018,0.03,0.053,0.058
"P23","Muy positivo",0.573,0.427,0.241,0.231,0.144
"P23","Positivo",0.146,0.279,0.282,0.271,0.212
"P23","Neutral",0.131,0.188,0.303,0.286,0.337
"P23","Algo negativo",0.048,0.033,0.056,0.073,0.073
"P23","Negativo",0.058,0.036,0.074,0.09,0.202
"P23","No sabe",0.044,0.037,0.044,0.049,0.032
"P24","Muy positiva",0.447,0.277,0.143,0.166,0.091
"P24","Positiva",0.284,0.339,0.257,0.182,0.14
"P24","Neutral",0.151,0.21,0.332,0.274,0.36
"P24","Algo negativa",0.023,0.057,0.074,0.142,0.094
"P24","Negativa",0.039,0.062,0.113,0.152,0.25
"P24","No sabe",0.056,0.055,0.081,0.084,0.065
"P25","Muy positivo",0.418,0.255,0.136,0.11,0.047
"P25","Positivo",0.227,0.361,0.235,0.189,0.121
"P25","Neutral",0.188,0.204,0.308,0.288,0.374
"P25","Algo negativo",0.058,0.058,0.096,0.168,0.099
"P25","Negativo",0.051,0.055,0.13,0.156,0.277
"P25","No sabe",0.058,0.067,0.095,0.089,0.082
"P26","Muy positivo",0.38,0.206,0.128,0.076,0.042
"P26","Positivo",0.228,0.327,0.218,0.18,0.126
"P26","Neutral",0.239,0.316,0.363,0.405,0.389
"P26","Algo negativo",0.042,0.04,0.073,0.135,0.122
"P26","Negativo",0.059,0.054,0.127,0.102,0.22
"P26","No sabe",0.052,0.057,0.091,0.102,0.101
"P27","Muy positiva",0.663,0.513,0.286,0.272,0.194
"P27","Positiva",0.151,0.246,0.274,0.237,0.156
"P27","Neutral",0.093,0.14,0.255,0.249,0.299
"P27","Algo negativa",0.03,0.052,0.06,0.086,0.079
"P27","Negativa",0.038,0.037,0.084,0.088,0.192
"P27","No sabe",0.025,0.012,0.041,0.068,0.08
"P28","Muy positivo",0.613,0.468,0.293,0.245,0.198
"P28","Positivo",0.205,0.278,0.269,0.214,0.196
"P28","Neutral",0.094,0.142,0.234,0.224,0.275
"P28","Algo negativo",0.03,0.056,0.068,0.145,0.099
"P28","Negativo",0.049,0.037,0.09,0.112,0.157
"P28","No sabe",0.009,0.019,0.046,0.06,0.075
"P29","Muy positivo",0.573,0.411,0.286,0.222,0.19
"P29","Positivo",0.165,0.268,0.201,0.185,0.165
"P29","Neutral",0.2,0.217,0.336,0.346,0.352
"P29","Algo negativo",0.013,0.048,0.055,0.081,0.058
"P29","Negativo",0.027,0.045,0.068,0.113,0.146
"P29","No sabe",0.022,0.011,0.054,0.053,0.089
