"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala"
"P22","Positivo",0.137,0.26,0.264,0.211,0.196
"P22","Neutral",0.147,0.15,0.245,0.269,0.218
"P22","Algo negativo",0.047,0.061,0.086,0.113,0.102
"P22","Negativo",0.044,0.056,0.09,0.135,0.227
"P22","No sabe",0.023,0.022,0.04,0.06,0.061
"P23","Muy positivo",0.537,0.38,0.257,0.179,0.202
"P23","Positivo",0.19,0.281,0.271,0.238,0.206
"P23","Neutral",0.14,0.232,0.293,0.328,0.256
"P23","Algo negativo",0.061,0.026,0.066,0.075,0.097
"P23","Negativo",0.044,0.051,0.067,0.124,0.19
"P23","No sabe",0.028,0.03,0.046,0.056,0.049
"P24","Muy positiva",0.43,0.263,0.166,0.116,0.135
"P24","Positiva",0.245,0.339,0.222,0.178,0.151
"P24","Neutral",0.145,0.21,0.309,0.334,0.328
"P24","Algo negativa",0.063,0.059,0.104,0.123,0.099
"P24","Negativa",0.093,0.062,0.123,0.143,0.228
"P24","No sabe",0.024,0.067,0.076,0.106,0.059
"P25","Muy positivo",0.423,0.249,0.136,0.078,0.085
"P25","Positivo",0.203,0.347,0.207,0.143,0.156
"P25","Neutral",0.166,0.193,0.318,0.355,0.333
"P25","Algo negativo",0.099,0.067,0.119,0.14,0.121
"P25","Negativo",0.082,0.074,0.134,0.145,0.253
"P25","No sabe",0.027,0.07,0.086,0.139,0.052
"P26","Muy positivo",0.364,0.214,0.124,0.066,0.075
"P26","Positivo",0.233,0.288,0.188,0.147,0.152
"P26","Neutral",0.235,0.305,0.398,0.402,0.365
"P26","Algo negativo",0.06,0.046,0.091,0.144,0.11
"P26","Negativo",0.076,0.068,0.104,0.119,0.215
"P26","No sabe",0.032,0.079,0.095,0.122,0.083
"P27","Muy positiva",0.643,0.487,0.288,0.201,0.282
"P27","Positiva",0.12,0.234,0.242,0.282,0.155
"P27","Neutral",0.125,0.155,0.27,0.215,0.244
"P27","Algo negativa",0.044,0.054,0.067,0.095,0.068
"P27","Negativa",0.05,0.043,0.079,0.132,0.195
"P27","No sabe",0.018,0.027,0.054,0.075,0.056
"P28","Muy positivo",0.595,0.452,0.272,0.206,0.313
"P28","Positivo",0.147,0.244,0.258,0.29,0.139
"P28","Neutral",0.152,0.146,0.252,0.204,0.234
"P28","Algo negativo",0.029,0.067,0.081,0.12,0.087
"P28","Negativo",0.06,0.057,0.082,0.118,0.175
"P28","No sabe",0.017,0.034,0.055,0.062,0.052
"P29","Muy positivo",0.545,0.405,0.246,0.212,0.296
"P29","Positivo",0.138,0.229,0.219,0.211,0.123
"P29","Neutral",0.199,0.252,0.343,0.35,0.306
"P29","Algo negativo",0.032,0.036,0.065,0.076,0.029
"P29","Negativo",0.054,0.047,0.064,0.106,0.18
"P29","No sabe",0.032,0.031,0.063,0.045,0.066
