"var","categoria","Bajo peso","Sobrepeso","Obesidad","Normal","No sabe"
"P18","Vino",0.279,0.252,0.148,0.272,0.127
"P18","Cerveza",0.183,0.195,0.091,0.169,0.13
"P18","Destilados (whisky, vodka, ron, etc.)",0.065,0.057,0.099,0.048,0.052
"P18","Espumantes",0.053,0.054,0.093,0.043,0.025
"P18","Otros",0.1,0.132,0.177,0.084,0.165
"P18","No consume bebidas alcohólicas",0.32,0.31,0.392,0.384,0.501
"P19","Todos los días",0.185,0.131,0.136,0.094,0.094
"P19","Entre 4 y 6 días a la semana",0.133,0.12,0.096,0.093,0.095
"P19","Entre 1 y 3 días a la semana",0.166,0.187,0.222,0.171,0.178
"P19","Raramente",0.301,0.38,0.377,0.387,0.425
"P19","Nunca",0.215,0.182,0.169,0.255,0.208
"P20","Todos los días",0.582,0.516,0.373,0.519,0.538
"P20","Entre 4 y 6 días a la semana",0.115,0.104,0.091,0.089,0.072
"P20","Entre 1 y 3 días a la semana",0.067,0.099,0.144,0.103,0.089
"P20","Raramente",0.113,0.159,0.247,0.149,0.173
"P20","Nunca",0.123,0.122,0.145,0.14,0.128
"P21","Todos los días",0.506,0.579,0.414,0.506,0.435
"P21","Entre 4 y 6 días a la semana",0.197,0.139,0.157,0.175,0.214
"P21","Entre 1 y 3 días a la semana",0.126,0.127,0.199,0.146,0.133
"P21","Raramente",0.106,0.109,0.143,0.117,0.175
"P21","Nunca",0.065,0.046,0.087,0.056,0.043
"P22","Asado",0.498,0.455,0.417,0.379,0.348
"P22","Pizza",0.093,0.092,0.126,0.079,0.105
"P22","Milanesa",0.155,0.167,0.19,0.159,0.097
"P22","Pastas",0.064,0.103,0.088,0.12,0.144
"P22","Empanadas",0.055,0.036,0.068,0.051,0.033
"P22","Hamburguesa",0.004,0.005,0.01,0.013,0.037
"P22","Ensaladas (de cualquier tipo)",0.05,0.05,0.022,0.075,0.042
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.039,0.06,0.044,0.075,0.095
"P22","Polenta o similares (de cualquier tipo)",0.025,0.013,0.011,0.024,0.063
"P22","Ninguno de los anteriores",0.017,0.019,0.024,0.025,0.036
"P23","Asado",0.217,0.115,0.129,0.101,0.055
"P23","Pizza",0.091,0.074,0.082,0.068,0.038
"P23","Milanesa",0.15,0.229,0.197,0.204,0.16
"P23","Pastas",0.2,0.184,0.162,0.194,0.216
"P23","Empanadas",0.055,0.033,0.041,0.042,0.025
"P23","Hamburguesa",0.006,0.015,0.022,0.023,0.021
"P23","Ensaladas (de cualquier tipo)",0.096,0.104,0.064,0.119,0.082
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.077,0.095,0.137,0.123,0.142
"P23","Polenta o similares (de cualquier tipo)",0.047,0.063,0.072,0.064,0.107
"P23","Ninguno de los anteriores",0.061,0.088,0.094,0.062,0.154
"P24","Helado",0.316,0.29,0.189,0.248,0.229
"P24","Tortas, tartas dulces y masas",0.14,0.174,0.169,0.142,0.153
"P24","Ensalada de frutas",0.14,0.178,0.203,0.179,0.121
"P24","Flan, budín de pan y similares",0.144,0.121,0.146,0.121,0.116
"P24","Dulce de batata, membrillo o similares",0.095,0.053,0.06,0.088,0.131
"P24","Facturas de todo tipo",0.031,0.024,0.034,0.042,0.039
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.034,0.026,0.035,0.028,0.006
"P24","Gelatina",0.037,0.037,0.066,0.03,0.058
"P24","Panqueques, wafles y similares",0.015,0.019,0.022,0.023,0.023
"P24","Ninguno de los anteriores",0.048,0.078,0.076,0.099,0.124
"P25","Helado",0.217,0.145,0.077,0.092,0.078
"P25","Tortas, tartas dulces y masas",0.122,0.165,0.145,0.142,0.137
"P25","Ensalada de frutas",0.108,0.087,0.133,0.111,0.037
"P25","Flan, budín de pan y similares",0.062,0.064,0.069,0.069,0.021
"P25","Dulce de batata, membrillo o similares",0.167,0.096,0.089,0.108,0.113
"P25","Facturas de todo tipo",0.058,0.078,0.093,0.095,0.114
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.029,0.037,0.024,0.029,0.012
"P25","Gelatina",0.033,0.038,0.043,0.046,0.084
"P25","Panqueques, wafles y similares",0.006,0.009,0.02,0.012,0.007
"P25","Ninguno de los anteriores",0.198,0.281,0.307,0.296,0.397
"P26","Vegetariano",0.132,0.037,0.026,0.04,0.043
"P26","Vegano",0.063,0.036,0.088,0.025,0.039
"P26","Dieta baja en carnes rojas",0.145,0.139,0.071,0.176,0.116
"P26","Dieta baja en carbohidratos",0.097,0.143,0.091,0.065,0.064
"P26","Dieta baja en azúcares",0.144,0.148,0.119,0.117,0.079
"P26","Kosher o Alal",0.021,0.022,0.044,0.017,0.024
"P26","Ninguna restricción alimentaria",0.398,0.475,0.561,0.56,0.635
"P27","Si",0.679,0.601,0.303,0.56,0.426
"P27","Parcialmente",0.159,0.214,0.129,0.172,0.164
"P27","No",0.162,0.185,0.568,0.268,0.41
"P28","Si",0.8,0.696,0.753,0.734,0.631
"P28","Si, pero solo en algunos de ellos",0.167,0.262,0.189,0.227,0.289
"P28","No",0.033,0.042,0.058,0.039,0.08
"P29","Si",0.778,0.573,0.524,0.634,0.628
"P29","No",0.222,0.427,0.476,0.366,0.372
"P30","Muy de acuerdo",0.808,0.498,0.401,0.554,0.598
"P30","Parcialmente de acuerdo",0.126,0.429,0.216,0.308,0.35
"P30","No",0.066,0.073,0.383,0.138,0.052
"P32","Diabetes",0.304,0.107,0.134,0.051,0.06
"P32","Hipertensión",0.135,0.348,0.153,0.112,0.074
"P32","Enfermedades cardiovasculares",0.02,0.05,0.173,0.038,0.037
"P32","Celiaquía",0.038,0.013,0.021,0.159,0.01
"P32","Ninguna",0.436,0.412,0.4,0.59,0.557
"P32","No sabe",0.067,0.07,0.119,0.05,0.262
"P33","Todos los días",0.14,0.029,0.053,0.014,0.044
"P33","Entre 4 y 6 días a la semana",0.081,0.077,0.083,0.028,0.023
"P33","Entre 1 y 3 días a la semana",0.079,0.122,0.109,0.111,0.084
"P33","Raramente",0.243,0.314,0.212,0.354,0.318
"P33","Nunca",0.457,0.458,0.543,0.493,0.531
"P34","Todos los días",0.07,0.014,0.018,0.006,0.039
"P34","Entre 4 y 6 días a la semana",0.051,0.03,0.021,0.02,0.002
"P34","Entre 1 y 3 días a la semana",0.067,0.116,0.122,0.127,0.103
"P34","Raramente",0.307,0.398,0.321,0.328,0.254
"P34","Nunca",0.505,0.442,0.518,0.519,0.602
"P35","Todos los días",0.586,0.627,0.46,0.681,0.623
"P35","Entre 4 y 6 días a la semana",0.151,0.156,0.16,0.128,0.158
"P35","Entre 1 y 3 días a la semana",0.087,0.071,0.108,0.06,0.067
"P35","Raramente",0.062,0.06,0.115,0.067,0.045
"P35","Nunca",0.114,0.086,0.157,0.064,0.107
"P36","Menos de 1 comida al día",0.249,0.184,0.206,0.179,0.147
"P36","1 comida",0.303,0.305,0.33,0.291,0.395
"P36","2 comidas",0.246,0.284,0.259,0.252,0.244
"P36","3 comidas",0.084,0.115,0.115,0.142,0.128
"P36","4 comidas",0.106,0.093,0.074,0.123,0.081
"P36","Más de 4 comidas",0.012,0.019,0.016,0.013,0.005
"P37","Precio",0.353,0.292,0.336,0.268,0.384
"P37","Calidad",0.22,0.199,0.175,0.181,0.154
"P37","Cantidad de sellos presentes en el producto",0.041,0.071,0.146,0.043,0.048
"P37","Precio y calidad",0.219,0.303,0.2,0.334,0.227
"P37","Precio y cantidad de sellos presentes en el producto",0.076,0.051,0.036,0.038,0.008
"P37","Calidad y cantidad de sellos presentes en el producto",0.018,0.007,0.02,0.014,0.028
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.041,0.052,0.036,0.072,0.072
"P37","Compra sin ningún tipo de consideración",0.032,0.025,0.051,0.05,0.079
"P38","Menos de 1 vez a la semana",0.311,0.176,0.255,0.185,0.234
"P38","1 vez a la semana",0.278,0.305,0.288,0.264,0.242
"P38","Entre 1 a 4 veces a la semana",0.165,0.286,0.182,0.299,0.195
"P38","Más de 4 veces a la semana",0.158,0.166,0.184,0.184,0.144
"P38","No sabe",0.088,0.067,0.091,0.068,0.185
"P39","Hipermercado/Supermercado",0.499,0.51,0.383,0.488,0.321
"P39","Almacenes",0.301,0.244,0.287,0.247,0.281
"P39","Productores locales/mercados de cercanía/Ferias",0.124,0.173,0.182,0.177,0.159
"P39","Vía pública",0.025,0.033,0.06,0.043,0.065
"P39","No sabe",0.051,0.04,0.088,0.045,0.174
