"var","categoria","Helado","Tortas, tartas dulces y masas","Ensalada de frutas","Flan, budín de pan y similares","Dulce de batata, membrillo o similares","Facturas de todo tipo","Postres lácteos caseros o envasados de cualquier tipo","Gelatina","Panqueques, wafles y similares","Ninguno de los anteriores"
"P09","Entre 1 y 3 días a la semana",0.287,0.305,0.257,0.281,0.274,0.243,0.2,0.228,0.148,0.179
"P09","Raramente",0.323,0.337,0.407,0.404,0.364,0.392,0.471,0.503,0.424,0.435
"P09","Nunca",0.077,0.072,0.133,0.122,0.162,0.08,0.167,0.218,0.167,0.266
"P10","Todos los días",0.215,0.164,0.23,0.109,0.17,0.12,0.195,0.071,0.139,0.11
"P10","Entre 4 y 6 días a la semana",0.191,0.201,0.214,0.172,0.186,0.138,0.167,0.149,0.115,0.144
"P10","Entre 1 y 3 días a la semana",0.291,0.285,0.285,0.271,0.253,0.29,0.308,0.343,0.266,0.268
"P10","Raramente",0.249,0.288,0.208,0.361,0.288,0.35,0.19,0.313,0.297,0.323
"P10","Nunca",0.054,0.062,0.063,0.087,0.103,0.102,0.14,0.124,0.183,0.155
"P11","Todos los días",0.327,0.289,0.264,0.227,0.27,0.214,0.261,0.124,0.24,0.162
"P11","Entre 4 y 6 días a la semana",0.206,0.2,0.187,0.165,0.118,0.113,0.168,0.097,0.135,0.137
"P11","Entre 1 y 3 días a la semana",0.229,0.242,0.258,0.237,0.299,0.31,0.207,0.309,0.251,0.301
"P11","Raramente",0.19,0.231,0.22,0.297,0.195,0.254,0.239,0.297,0.313,0.243
"P11","Nunca",0.048,0.038,0.071,0.074,0.118,0.109,0.125,0.173,0.061,0.157
"P12","Todos los días",0.086,0.063,0.066,0.032,0.067,0.033,0.094,0.068,0.013,0.06
"P12","Entre 4 y 6 días a la semana",0.115,0.125,0.114,0.081,0.106,0.043,0.077,0.106,0.062,0.094
"P12","Entre 1 y 3 días a la semana",0.325,0.27,0.368,0.341,0.27,0.27,0.393,0.308,0.188,0.275
"P12","Raramente",0.359,0.439,0.358,0.424,0.45,0.451,0.29,0.365,0.605,0.395
"P12","Nunca",0.115,0.103,0.094,0.122,0.107,0.203,0.146,0.153,0.132,0.176
"P13","Todos los días",0.282,0.268,0.254,0.215,0.306,0.35,0.194,0.165,0.254,0.223
"P13","Entre 4 y 6 días a la semana",0.277,0.268,0.199,0.243,0.199,0.257,0.201,0.249,0.256,0.173
"P13","Entre 1 y 3 días a la semana",0.281,0.303,0.319,0.315,0.282,0.256,0.343,0.274,0.266,0.222
"P13","Raramente",0.131,0.141,0.191,0.194,0.138,0.108,0.235,0.241,0.213,0.285
"P13","Nunca",0.029,0.02,0.037,0.033,0.075,0.029,0.027,0.071,0.011,0.097
"P14","Todos los días",0.131,0.125,0.11,0.095,0.119,0.129,0.095,0.148,0.216,0.076
"P14","Entre 4 y 6 días a la semana",0.237,0.224,0.222,0.265,0.189,0.202,0.159,0.234,0.325,0.22
"P14","Entre 1 y 3 días a la semana",0.396,0.364,0.436,0.387,0.403,0.34,0.457,0.344,0.228,0.306
"P14","Raramente",0.171,0.222,0.195,0.214,0.206,0.29,0.25,0.236,0.19,0.304
"P14","Nunca",0.065,0.065,0.037,0.039,0.083,0.039,0.039,0.038,0.041,0.094
"P15","Menos de un vaso al día",0.106,0.101,0.07,0.05,0.082,0.152,0.088,0.053,0.095,0.078
"P15","De 1 a 4 vasos al día",0.349,0.395,0.286,0.391,0.358,0.309,0.246,0.381,0.301,0.284
"P15","Más de 4 vasos al día",0.494,0.457,0.563,0.508,0.506,0.446,0.567,0.498,0.473,0.533
"P15","No consume agua",0.051,0.047,0.081,0.051,0.054,0.093,0.099,0.068,0.131,0.105
"P16","Agua embotellada/mineral",0.19,0.175,0.16,0.119,0.125,0.082,0.13,0.145,0.141,0.113
"P16","Agua de la canilla filtrada",0.32,0.285,0.324,0.334,0.264,0.256,0.333,0.241,0.3,0.284
"P16","Agua de la canilla directamente",0.373,0.426,0.403,0.403,0.466,0.553,0.445,0.461,0.451,0.465
"P16","Agua de bidón",0.108,0.112,0.106,0.122,0.119,0.106,0.076,0.146,0.108,0.114
"P16","No consume agua",0.009,0.002,0.007,0.022,0.026,0.003,0.016,0.007,0,0.024
"P17","Todos los días",0.069,0.07,0.06,0.074,0.083,0.032,0.075,0.051,0.036,0.053
"P17","Entre 4 y 6 días a la semana",0.109,0.078,0.09,0.087,0.075,0.068,0.105,0.076,0.072,0.107
"P17","Entre 1 y 3 días a la semana",0.213,0.215,0.21,0.212,0.195,0.292,0.165,0.158,0.198,0.166
"P17","Raramente",0.338,0.357,0.315,0.312,0.306,0.302,0.352,0.306,0.375,0.266
"P17","Nunca",0.271,0.28,0.325,0.315,0.341,0.306,0.303,0.409,0.319,0.408
"P18","Vino",0.283,0.215,0.261,0.244,0.259,0.217,0.2,0.079,0.179,0.145
"P18","Cerveza",0.206,0.187,0.144,0.152,0.13,0.135,0.136,0.098,0.148,0.142
"P18","Destilados (whisky, vodka, ron, etc.)",0.071,0.052,0.059,0.076,0.032,0.022,0.057,0.072,0.043,0.038
"P18","Espumantes",0.042,0.057,0.048,0.057,0.043,0.062,0.103,0.11,0.034,0.054
"P18","Otros",0.1,0.119,0.099,0.153,0.084,0.157,0.164,0.166,0.212,0.099
"P18","No consume bebidas alcohólicas",0.298,0.37,0.389,0.318,0.452,0.407,0.34,0.475,0.384,0.522
"P19","Todos los días",0.166,0.13,0.094,0.123,0.107,0.099,0.121,0.031,0.079,0.048
"P19","Entre 4 y 6 días a la semana",0.133,0.125,0.113,0.098,0.065,0.094,0.083,0.069,0.114,0.068
"P19","Entre 1 y 3 días a la semana",0.177,0.225,0.198,0.19,0.124,0.219,0.15,0.145,0.078,0.118
"P19","Raramente",0.333,0.355,0.371,0.397,0.408,0.44,0.395,0.49,0.392,0.417
"P19","Nunca",0.191,0.165,0.224,0.192,0.296,0.148,0.251,0.265,0.337,0.349
"P20","Todos los días",0.561,0.511,0.515,0.512,0.515,0.612,0.43,0.309,0.428,0.439
"P20","Entre 4 y 6 días a la semana",0.097,0.105,0.093,0.096,0.095,0.108,0.138,0.081,0.208,0.058
"P20","Entre 1 y 3 días a la semana",0.098,0.099,0.114,0.118,0.084,0.079,0.08,0.109,0.048,0.093
"P20","Raramente",0.113,0.17,0.165,0.173,0.188,0.081,0.187,0.289,0.15,0.185
"P20","Nunca",0.131,0.115,0.113,0.101,0.118,0.12,0.165,0.212,0.166,0.225
"P21","Todos los días",0.549,0.521,0.496,0.483,0.48,0.479,0.512,0.503,0.469,0.45
"P21","Entre 4 y 6 días a la semana",0.153,0.194,0.185,0.174,0.176,0.163,0.121,0.177,0.183,0.141
"P21","Entre 1 y 3 días a la semana",0.147,0.116,0.14,0.168,0.118,0.114,0.122,0.133,0.245,0.11
"P21","Raramente",0.096,0.124,0.123,0.153,0.122,0.182,0.171,0.151,0.044,0.176
"P21","Nunca",0.055,0.045,0.056,0.022,0.104,0.062,0.074,0.036,0.059,0.123
"P22","Asado",0.501,0.412,0.433,0.376,0.303,0.438,0.396,0.389,0.449,0.298
"P22","Pizza",0.084,0.138,0.077,0.079,0.059,0.049,0.128,0.072,0.18,0.065
"P22","Milanesa",0.173,0.18,0.175,0.177,0.142,0.121,0.074,0.095,0.086,0.122
"P22","Pastas",0.096,0.118,0.082,0.151,0.155,0.064,0.113,0.141,0.054,0.127
"P22","Empanadas",0.038,0.046,0.027,0.066,0.068,0.083,0.049,0.016,0,0.059
"P22","Hamburguesa",0.008,0.014,0.008,0.003,0.012,0.014,0.005,0.035,0.034,0.022
"P22","Ensaladas (de cualquier tipo)",0.036,0.033,0.098,0.05,0.036,0.067,0.077,0.061,0.059,0.066
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.05,0.04,0.068,0.067,0.099,0.112,0.111,0.1,0.09,0.083
"P22","Polenta o similares (de cualquier tipo)",0.009,0.012,0.006,0.015,0.095,0.033,0.023,0.062,0.024,0.047
"P22","Ninguno de los anteriores",0.005,0.007,0.026,0.016,0.031,0.019,0.024,0.029,0.024,0.111
"P23","Asado",0.206,0.12,0.124,0.072,0.085,0.043,0.055,0.015,0.056,0.036
"P23","Pizza",0.083,0.157,0.04,0.052,0.061,0.065,0.038,0.021,0.01,0.028
"P23","Milanesa",0.227,0.24,0.34,0.144,0.125,0.224,0.055,0.063,0.04,0.087
"P23","Pastas",0.188,0.165,0.138,0.396,0.222,0.115,0.061,0.063,0.086,0.164
"P23","Empanadas",0.034,0.028,0.021,0.037,0.107,0.051,0.029,0.02,0.045,0.037
"P23","Hamburguesa",0.01,0.012,0.014,0.009,0.009,0.156,0.003,0,0.019,0.047
"P23","Ensaladas (de cualquier tipo)",0.084,0.065,0.114,0.076,0.089,0.038,0.594,0.109,0.078,0.095
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.074,0.092,0.123,0.11,0.125,0.136,0.125,0.533,0.091,0.117
"P23","Polenta o similares (de cualquier tipo)",0.035,0.052,0.039,0.05,0.129,0.124,0.034,0.094,0.497,0.104
"P23","Ninguno de los anteriores",0.059,0.069,0.047,0.054,0.048,0.048,0.006,0.082,0.078,0.285
"P25","Helado",0.347,0.055,0.029,0.042,0.027,0.025,0.022,0.036,0.075,0.024
"P25","Tortas, tartas dulces y masas",0.124,0.433,0.08,0.103,0.072,0.064,0.072,0.087,0.096,0.058
"P25","Ensalada de frutas",0.038,0.038,0.381,0.031,0.046,0.085,0.088,0.041,0.044,0.033
"P25","Flan, budín de pan y similares",0.034,0.027,0.027,0.312,0.035,0.015,0.062,0.009,0,0.023
"P25","Dulce de batata, membrillo o similares",0.067,0.066,0.102,0.102,0.496,0.025,0.122,0.065,0.047,0.041
"P25","Facturas de todo tipo",0.081,0.124,0.053,0.078,0.036,0.383,0.034,0.049,0.082,0.065
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.024,0.018,0.016,0.039,0.043,0.003,0.218,0.031,0.006,0.016
"P25","Gelatina",0.025,0.024,0.039,0.027,0.037,0.041,0.03,0.375,0.046,0.034
"P25","Panqueques, wafles y similares",0.01,0.012,0.01,0.014,0.004,0.032,0,0.004,0.161,0.005
"P25","Ninguno de los anteriores",0.25,0.203,0.263,0.252,0.204,0.327,0.352,0.303,0.443,0.701
"P26","Vegetariano",0.07,0.036,0.032,0.04,0.04,0.012,0.044,0.054,0.08,0.053
"P26","Vegano",0.045,0.054,0.031,0.045,0.056,0.034,0.063,0.074,0.015,0.025
"P26","Dieta baja en carnes rojas",0.12,0.129,0.204,0.114,0.163,0.099,0.2,0.134,0.142,0.14
"P26","Dieta baja en carbohidratos",0.089,0.087,0.098,0.144,0.091,0.048,0.079,0.042,0.005,0.112
"P26","Dieta baja en azúcares",0.117,0.065,0.174,0.113,0.155,0.141,0.142,0.17,0.112,0.139
"P26","Kosher o Alal",0.015,0.026,0.016,0.03,0.018,0.05,0,0.05,0.053,0.008
"P26","Ninguna restricción alimentaria",0.544,0.603,0.445,0.514,0.477,0.616,0.472,0.476,0.593,0.523
"P27","Si",0.619,0.558,0.518,0.521,0.453,0.517,0.531,0.512,0.496,0.462
"P27","Parcialmente",0.177,0.198,0.148,0.19,0.202,0.199,0.175,0.206,0.149,0.211
"P27","No",0.204,0.244,0.334,0.289,0.345,0.284,0.294,0.282,0.355,0.327
"P28","Si",0.768,0.747,0.689,0.72,0.629,0.768,0.758,0.571,0.671,0.694
"P28","Si, pero solo en algunos de ellos",0.187,0.223,0.244,0.237,0.315,0.197,0.208,0.413,0.189,0.28
"P28","No",0.045,0.03,0.067,0.043,0.056,0.035,0.034,0.016,0.14,0.026
"P29","Si",0.623,0.597,0.674,0.624,0.629,0.66,0.716,0.579,0.597,0.567
"P29","No",0.377,0.403,0.326,0.376,0.371,0.34,0.284,0.421,0.403,0.433
"P30","Muy de acuerdo",0.595,0.523,0.612,0.547,0.527,0.53,0.518,0.589,0.457,0.47
"P30","Parcialmente de acuerdo",0.304,0.316,0.292,0.334,0.358,0.319,0.313,0.323,0.473,0.368
"P30","No",0.101,0.161,0.096,0.119,0.115,0.151,0.169,0.088,0.07,0.162
"P31","Bajo peso",0.117,0.086,0.077,0.109,0.115,0.085,0.12,0.091,0.069,0.053
"P31","Sobrepeso",0.307,0.307,0.28,0.263,0.182,0.185,0.259,0.263,0.253,0.244
"P31","Obesidad",0.084,0.124,0.134,0.132,0.087,0.112,0.146,0.195,0.117,0.098
"P31","Normal",0.426,0.409,0.457,0.427,0.493,0.536,0.458,0.339,0.479,0.499
"P31","No sabe",0.066,0.074,0.052,0.069,0.123,0.082,0.017,0.112,0.082,0.106
"P32","Diabetes",0.089,0.07,0.101,0.127,0.116,0.073,0.117,0.176,0.063,0.107
"P32","Hipertensión",0.187,0.142,0.2,0.181,0.202,0.123,0.243,0.185,0.15,0.17
"P32","Enfermedades cardiovasculares",0.049,0.037,0.063,0.056,0.079,0.053,0.098,0.069,0.05,0.047
"P32","Celiaquía",0.066,0.058,0.1,0.104,0.085,0.034,0.168,0.107,0.146,0.06
"P32","Ninguna",0.553,0.609,0.461,0.451,0.467,0.572,0.346,0.308,0.382,0.502
"P32","No sabe",0.056,0.084,0.075,0.081,0.051,0.145,0.028,0.155,0.209,0.114
"P33","Todos los días",0.05,0.015,0.021,0.051,0.046,0.004,0.027,0.079,0.05,0.033
"P33","Entre 4 y 6 días a la semana",0.045,0.048,0.062,0.06,0.056,0.029,0.119,0.046,0.082,0.023
"P33","Entre 1 y 3 días a la semana",0.134,0.123,0.118,0.084,0.073,0.146,0.087,0.044,0.129,0.083
"P33","Raramente",0.315,0.357,0.328,0.306,0.253,0.244,0.353,0.323,0.248,0.298
"P33","Nunca",0.456,0.457,0.471,0.499,0.572,0.577,0.414,0.508,0.491,0.563
"P34","Todos los días",0.025,0.012,0.009,0.029,0.012,0.015,0,0.023,0.014,0.019
"P34","Entre 4 y 6 días a la semana",0.034,0.029,0.022,0.019,0.029,0.023,0.017,0.023,0.002,0.003
"P34","Entre 1 y 3 días a la semana",0.148,0.145,0.098,0.115,0.076,0.112,0.085,0.052,0.09,0.092
"P34","Raramente",0.348,0.379,0.374,0.321,0.298,0.283,0.375,0.3,0.298,0.275
"P34","Nunca",0.445,0.435,0.497,0.516,0.585,0.567,0.523,0.602,0.596,0.611
"P35","Todos los días",0.633,0.582,0.656,0.627,0.665,0.582,0.573,0.61,0.538,0.66
"P35","Entre 4 y 6 días a la semana",0.156,0.194,0.127,0.141,0.102,0.159,0.143,0.111,0.119,0.111
"P35","Entre 1 y 3 días a la semana",0.077,0.088,0.073,0.05,0.049,0.039,0.086,0.081,0.155,0.059
"P35","Raramente",0.065,0.076,0.065,0.083,0.061,0.1,0.072,0.058,0.056,0.058
"P35","Nunca",0.069,0.06,0.079,0.099,0.123,0.12,0.126,0.14,0.132,0.112
"P36","Menos de 1 comida al día",0.199,0.108,0.184,0.237,0.177,0.147,0.269,0.194,0.216,0.218
"P36","1 comida",0.274,0.362,0.29,0.295,0.389,0.246,0.259,0.313,0.301,0.338
"P36","2 comidas",0.275,0.262,0.301,0.2,0.243,0.331,0.229,0.245,0.232,0.228
"P36","3 comidas",0.118,0.123,0.129,0.164,0.131,0.13,0.118,0.144,0.05,0.088
"P36","4 comidas",0.113,0.124,0.092,0.096,0.053,0.131,0.111,0.07,0.201,0.113
"P36","Más de 4 comidas",0.021,0.021,0.004,0.008,0.007,0.015,0.014,0.034,0,0.015
"P37","Precio",0.292,0.324,0.275,0.303,0.248,0.33,0.194,0.397,0.293,0.347
"P37","Calidad",0.19,0.204,0.224,0.161,0.237,0.094,0.159,0.098,0.246,0.134
"P37","Cantidad de sellos presentes en el producto",0.056,0.063,0.082,0.054,0.06,0.052,0.055,0.072,0.078,0.055
"P37","Precio y calidad",0.301,0.279,0.285,0.323,0.279,0.334,0.342,0.347,0.22,0.219
"P37","Precio y cantidad de sellos presentes en el producto",0.052,0.046,0.041,0.016,0.033,0.066,0.081,0.031,0.006,0.053
"P37","Calidad y cantidad de sellos presentes en el producto",0.019,0.01,0.012,0.02,0.012,0.017,0.013,0.002,0.006,0.011
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.055,0.047,0.045,0.08,0.048,0.04,0.095,0.029,0.138,0.1
"P37","Compra sin ningún tipo de consideración",0.035,0.027,0.036,0.043,0.083,0.067,0.061,0.024,0.013,0.081
"P38","Menos de 1 vez a la semana",0.205,0.226,0.156,0.219,0.2,0.189,0.259,0.291,0.195,0.217
"P38","1 vez a la semana",0.266,0.3,0.327,0.254,0.245,0.291,0.26,0.197,0.392,0.241
"P38","Entre 1 a 4 veces a la semana",0.271,0.266,0.273,0.283,0.312,0.232,0.219,0.221,0.12,0.213
"P38","Más de 4 veces a la semana",0.192,0.146,0.172,0.175,0.161,0.182,0.181,0.185,0.103,0.184
"P38","No sabe",0.066,0.062,0.072,0.069,0.082,0.106,0.081,0.106,0.19,0.145
"P39","Hipermercado/Supermercado",0.514,0.447,0.448,0.515,0.405,0.445,0.585,0.434,0.466,0.421
"P39","Almacenes",0.261,0.248,0.256,0.265,0.326,0.294,0.202,0.199,0.218,0.243
"P39","Productores locales/mercados de cercanía/Ferias",0.148,0.156,0.213,0.163,0.17,0.161,0.166,0.191,0.1,0.196
"P39","Vía pública",0.02,0.073,0.049,0.021,0.033,0.06,0.032,0.063,0.107,0.043
"P39","No sabe",0.057,0.076,0.034,0.036,0.066,0.04,0.015,0.113,0.109,0.097
