"var","categoria","Diabetes","Hipertensión","Enfermedades cardiovasculares","Celiaquía","Ninguna","No sabe"
"P17","Entre 1 y 3 días a la semana",0.167,0.18,0.225,0.236,0.217,0.146
"P17","Raramente",0.314,0.342,0.355,0.319,0.334,0.337
"P17","Nunca",0.317,0.298,0.257,0.273,0.317,0.4
"P18","Vino",0.277,0.31,0.27,0.18,0.232,0.183
"P18","Cerveza",0.155,0.128,0.062,0.156,0.191,0.145
"P18","Destilados (whisky, vodka, ron, etc.)",0.06,0.049,0.109,0.045,0.059,0.041
"P18","Espumantes",0.057,0.057,0.096,0.116,0.036,0.022
"P18","Otros",0.092,0.114,0.063,0.183,0.11,0.121
"P18","No consume bebidas alcohólicas",0.359,0.342,0.4,0.32,0.372,0.488
"P19","Todos los días",0.143,0.144,0.086,0.133,0.102,0.118
"P19","Entre 4 y 6 días a la semana",0.106,0.115,0.054,0.093,0.098,0.115
"P19","Entre 1 y 3 días a la semana",0.139,0.16,0.194,0.176,0.201,0.179
"P19","Raramente",0.365,0.37,0.455,0.361,0.386,0.361
"P19","Nunca",0.247,0.211,0.211,0.237,0.213,0.227
"P20","Todos los días",0.506,0.508,0.462,0.442,0.519,0.549
"P20","Entre 4 y 6 días a la semana",0.083,0.106,0.079,0.094,0.089,0.105
"P20","Entre 1 y 3 días a la semana",0.094,0.095,0.171,0.147,0.096,0.086
"P20","Raramente",0.172,0.157,0.159,0.202,0.158,0.14
"P20","Nunca",0.145,0.134,0.129,0.115,0.138,0.12
"P21","Todos los días",0.499,0.529,0.46,0.568,0.504,0.486
"P21","Entre 4 y 6 días a la semana",0.154,0.156,0.139,0.201,0.178,0.141
"P21","Entre 1 y 3 días a la semana",0.159,0.139,0.18,0.098,0.145,0.132
"P21","Raramente",0.12,0.132,0.154,0.082,0.123,0.123
"P21","Nunca",0.068,0.044,0.067,0.051,0.05,0.118
"P22","Asado",0.428,0.406,0.351,0.412,0.412,0.44
"P22","Pizza",0.1,0.101,0.069,0.132,0.082,0.084
"P22","Milanesa",0.124,0.173,0.183,0.161,0.163,0.139
"P22","Pastas",0.086,0.106,0.062,0.075,0.132,0.061
"P22","Empanadas",0.061,0.045,0.088,0.05,0.044,0.039
"P22","Hamburguesa",0.013,0.009,0.003,0.005,0.013,0.021
"P22","Ensaladas (de cualquier tipo)",0.077,0.061,0.068,0.056,0.057,0.031
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.06,0.056,0.058,0.057,0.068,0.099
"P22","Polenta o similares (de cualquier tipo)",0.022,0.023,0.053,0.012,0.015,0.05
"P22","Ninguno de los anteriores",0.029,0.02,0.065,0.04,0.014,0.036
"P23","Asado",0.168,0.114,0.081,0.151,0.103,0.085
"P23","Pizza",0.062,0.072,0.047,0.066,0.079,0.046
"P23","Milanesa",0.134,0.222,0.229,0.235,0.212,0.124
"P23","Pastas",0.147,0.195,0.148,0.162,0.211,0.161
"P23","Empanadas",0.04,0.047,0.065,0.053,0.035,0.024
"P23","Hamburguesa",0.021,0.013,0.012,0.005,0.025,0.019
"P23","Ensaladas (de cualquier tipo)",0.141,0.116,0.138,0.115,0.094,0.075
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.131,0.091,0.084,0.108,0.108,0.226
"P23","Polenta o similares (de cualquier tipo)",0.068,0.054,0.093,0.047,0.058,0.133
"P23","Ninguno de los anteriores",0.088,0.076,0.103,0.058,0.075,0.107
"P24","Helado",0.227,0.265,0.228,0.205,0.28,0.176
"P24","Tortas, tartas dulces y masas",0.108,0.122,0.105,0.111,0.187,0.159
"P24","Ensalada de frutas",0.176,0.194,0.198,0.214,0.159,0.161
"P24","Flan, budín de pan y similares",0.162,0.128,0.128,0.163,0.114,0.128
"P24","Dulce de batata, membrillo o similares",0.091,0.089,0.113,0.082,0.073,0.049
"P24","Facturas de todo tipo",0.026,0.024,0.034,0.015,0.04,0.064
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.032,0.037,0.049,0.056,0.019,0.009
"P24","Gelatina",0.069,0.04,0.049,0.052,0.024,0.075
"P24","Panqueques, wafles y similares",0.013,0.017,0.019,0.037,0.015,0.053
"P24","Ninguno de los anteriores",0.096,0.084,0.077,0.065,0.089,0.126
"P25","Helado",0.132,0.108,0.065,0.08,0.125,0.076
"P25","Tortas, tartas dulces y masas",0.111,0.137,0.105,0.187,0.158,0.119
"P25","Ensalada de frutas",0.127,0.091,0.155,0.142,0.096,0.064
"P25","Flan, budín de pan y similares",0.066,0.082,0.11,0.06,0.058,0.039
"P25","Dulce de batata, membrillo o similares",0.109,0.127,0.167,0.132,0.093,0.104
"P25","Facturas de todo tipo",0.102,0.057,0.054,0.047,0.108,0.076
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.015,0.039,0.049,0.014,0.032,0.005
"P25","Gelatina",0.049,0.06,0.041,0.05,0.036,0.07
"P25","Panqueques, wafles y similares",0.008,0.008,0.003,0.018,0.011,0.031
"P25","Ninguno de los anteriores",0.281,0.291,0.251,0.27,0.283,0.416
"P26","Vegetariano",0.078,0.038,0.041,0.049,0.042,0.036
"P26","Vegano",0.071,0.057,0.05,0.048,0.027,0.021
"P26","Dieta baja en carnes rojas",0.173,0.156,0.231,0.157,0.142,0.073
"P26","Dieta baja en carbohidratos",0.108,0.111,0.093,0.087,0.09,0.054
"P26","Dieta baja en azúcares",0.325,0.161,0.15,0.166,0.072,0.078
"P26","Kosher o Alal",0.018,0.024,0.035,0.037,0.021,0.009
"P26","Ninguna restricción alimentaria",0.227,0.453,0.4,0.456,0.606,0.729
"P27","Si",0.518,0.573,0.46,0.564,0.562,0.409
"P27","Parcialmente",0.178,0.185,0.167,0.162,0.186,0.128
"P27","No",0.304,0.242,0.373,0.274,0.252,0.463
"P28","Si",0.708,0.697,0.644,0.75,0.745,0.683
"P28","Si, pero solo en algunos de ellos",0.248,0.254,0.274,0.24,0.209,0.286
"P28","No",0.044,0.049,0.082,0.01,0.046,0.031
"P29","Si",0.689,0.623,0.692,0.66,0.61,0.574
"P29","No",0.311,0.377,0.308,0.34,0.39,0.426
"P30","Muy de acuerdo",0.608,0.532,0.628,0.576,0.561,0.509
"P30","Parcialmente de acuerdo",0.279,0.389,0.308,0.348,0.285,0.387
"P30","No",0.113,0.079,0.064,0.076,0.154,0.104
"P31","Bajo peso",0.281,0.069,0.034,0.043,0.08,0.076
"P31","Sobrepeso",0.293,0.525,0.245,0.043,0.222,0.235
"P31","Obesidad",0.153,0.097,0.36,0.029,0.091,0.169
"P31","Normal",0.227,0.278,0.31,0.876,0.524,0.277
"P31","No sabe",0.046,0.031,0.051,0.009,0.083,0.243
"P33","Todos los días",0.233,0.022,0.021,0.006,0.014,0.007
"P33","Entre 4 y 6 días a la semana",0.075,0.175,0.019,0.018,0.018,0.014
"P33","Entre 1 y 3 días a la semana",0.06,0.074,0.269,0.148,0.114,0.067
"P33","Raramente",0.239,0.309,0.257,0.369,0.33,0.299
"P33","Nunca",0.393,0.42,0.434,0.459,0.524,0.613
"P34","Todos los días",0.078,0.012,0.022,0.003,0.011,0.01
"P34","Entre 4 y 6 días a la semana",0.039,0.028,0.019,0.016,0.021,0.033
"P34","Entre 1 y 3 días a la semana",0.077,0.099,0.17,0.137,0.128,0.069
"P34","Raramente",0.291,0.365,0.291,0.343,0.359,0.241
"P34","Nunca",0.515,0.496,0.498,0.501,0.481,0.647
"P35","Todos los días",0.609,0.651,0.597,0.635,0.62,0.653
"P35","Entre 4 y 6 días a la semana",0.162,0.14,0.128,0.139,0.147,0.125
"P35","Entre 1 y 3 días a la semana",0.052,0.048,0.17,0.07,0.071,0.091
"P35","Raramente",0.067,0.078,0.021,0.058,0.076,0.046
"P35","Nunca",0.11,0.083,0.084,0.098,0.086,0.085
"P36","Menos de 1 comida al día",0.236,0.22,0.237,0.353,0.135,0.183
"P36","1 comida",0.306,0.327,0.312,0.225,0.301,0.399
"P36","2 comidas",0.248,0.27,0.269,0.157,0.277,0.248
"P36","3 comidas",0.082,0.099,0.104,0.151,0.145,0.097
"P36","4 comidas",0.109,0.071,0.071,0.105,0.126,0.063
"P36","Más de 4 comidas",0.019,0.013,0.007,0.009,0.016,0.01
"P37","Precio",0.405,0.262,0.212,0.294,0.278,0.454
"P37","Calidad",0.202,0.23,0.155,0.154,0.192,0.092
"P37","Cantidad de sellos presentes en el producto",0.054,0.066,0.154,0.056,0.057,0.045
"P37","Precio y calidad",0.194,0.264,0.261,0.335,0.322,0.246
"P37","Precio y cantidad de sellos presentes en el producto",0.065,0.049,0.044,0.054,0.035,0.033
"P37","Calidad y cantidad de sellos presentes en el producto",0.016,0.015,0.009,0.013,0.015,0.012
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.031,0.063,0.094,0.082,0.059,0.048
"P37","Compra sin ningún tipo de consideración",0.033,0.051,0.071,0.012,0.042,0.07
"P38","Menos de 1 vez a la semana",0.212,0.2,0.199,0.228,0.195,0.266
"P38","1 vez a la semana",0.315,0.308,0.26,0.249,0.27,0.245
"P38","Entre 1 a 4 veces a la semana",0.238,0.287,0.254,0.219,0.287,0.124
"P38","Más de 4 veces a la semana",0.13,0.145,0.151,0.243,0.181,0.188
"P38","No sabe",0.105,0.06,0.136,0.061,0.067,0.177
"P39","Hipermercado/Supermercado",0.525,0.512,0.484,0.465,0.47,0.309
"P39","Almacenes",0.283,0.252,0.139,0.217,0.26,0.358
"P39","Productores locales/mercados de cercanía/Ferias",0.13,0.178,0.221,0.197,0.169,0.143
"P39","Vía pública",0.023,0.032,0.07,0.056,0.038,0.083
"P39","No sabe",0.039,0.026,0.086,0.065,0.063,0.107
