"var","categoria","Muy de acuerdo","Parcialmente de acuerdo","No"
"P26","Ninguna restricción alimentaria",0.518,0.519,0.61
"P28","Si",0.733,0.675,0.803
"P28","Si, pero solo en algunos de ellos",0.228,0.27,0.152
"P28","No",0.039,0.055,0.045
"P29","Si",0.897,0.325,0.165
"P29","No",0.103,0.675,0.835
"P31","Bajo peso",0.166,0.045,0.063
"P31","Sobrepeso",0.275,0.413,0.185
"P31","Obesidad",0.05,0.047,0.222
"P31","Normal",0.44,0.425,0.503
"P31","No sabe",0.069,0.07,0.027
"P32","Diabetes",0.111,0.09,0.095
"P32","Hipertensión",0.181,0.235,0.125
"P32","Enfermedades cardiovasculares",0.056,0.049,0.026
"P32","Celiaquía",0.085,0.091,0.051
"P32","Ninguna",0.512,0.46,0.651
"P32","No sabe",0.055,0.075,0.052
"P33","Todos los días",0.046,0.029,0.021
"P33","Entre 4 y 6 días a la semana",0.044,0.069,0.055
"P33","Entre 1 y 3 días a la semana",0.144,0.097,0.094
"P33","Raramente",0.354,0.314,0.263
"P33","Nunca",0.412,0.491,0.567
"P34","Todos los días",0.014,0.015,0.042
"P34","Entre 4 y 6 días a la semana",0.029,0.014,0.02
"P34","Entre 1 y 3 días a la semana",0.134,0.128,0.1
"P34","Raramente",0.378,0.352,0.27
"P34","Nunca",0.445,0.491,0.568
"P35","Todos los días",0.643,0.645,0.614
"P35","Entre 4 y 6 días a la semana",0.159,0.148,0.201
"P35","Entre 1 y 3 días a la semana",0.069,0.066,0.048
"P35","Raramente",0.051,0.06,0.04
"P35","Nunca",0.078,0.081,0.097
"P36","Menos de 1 comida al día",0.166,0.209,0.184
"P36","1 comida",0.266,0.279,0.327
"P36","2 comidas",0.286,0.271,0.209
"P36","3 comidas",0.12,0.122,0.15
"P36","4 comidas",0.141,0.111,0.106
"P36","Más de 4 comidas",0.021,0.008,0.024
"P37","Precio",0.255,0.285,0.344
"P37","Calidad",0.187,0.16,0.237
"P37","Cantidad de sellos presentes en el producto",0.061,0.062,0.061
"P37","Precio y calidad",0.288,0.377,0.271
"P37","Precio y cantidad de sellos presentes en el producto",0.066,0.045,0.028
"P37","Calidad y cantidad de sellos presentes en el producto",0.017,0.007,0
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.099,0.025,0.023
"P37","Compra sin ningún tipo de consideración",0.027,0.039,0.036
"P38","Menos de 1 vez a la semana",0.189,0.21,0.22
"P38","1 vez a la semana",0.271,0.276,0.275
"P38","Entre 1 a 4 veces a la semana",0.296,0.274,0.274
"P38","Más de 4 veces a la semana",0.185,0.175,0.169
"P38","No sabe",0.059,0.065,0.062
"P39","Hipermercado/Supermercado",0.51,0.531,0.525
"P39","Almacenes",0.227,0.227,0.275
"P39","Productores locales/mercados de cercanía/Ferias",0.18,0.15,0.132
"P39","Vía pública",0.033,0.032,0.043
"P39","No sabe",0.05,0.06,0.025
