"var","categoria","Menos de 1 vez a la semana","1 vez a la semana","Entre 1 a 4 veces a la semana","Más de 4 veces a la semana","No sabe"
"P13","Raramente",0.193,0.153,0.147,0.145,0.255
"P13","Nunca",0.063,0.042,0.016,0.032,0.058
"P14","Todos los días",0.137,0.115,0.089,0.134,0.114
"P14","Entre 4 y 6 días a la semana",0.174,0.242,0.25,0.237,0.262
"P14","Entre 1 y 3 días a la semana",0.393,0.38,0.441,0.391,0.276
"P14","Raramente",0.223,0.211,0.184,0.199,0.282
"P14","Nunca",0.073,0.052,0.036,0.039,0.066
"P15","Menos de un vaso al día",0.11,0.075,0.051,0.105,0.086
"P15","De 1 a 4 vasos al día",0.339,0.372,0.352,0.309,0.301
"P15","Más de 4 vasos al día",0.489,0.497,0.562,0.529,0.485
"P15","No consume agua",0.062,0.056,0.035,0.057,0.128
"P16","Agua embotellada/mineral",0.141,0.183,0.145,0.169,0.098
"P16","Agua de la canilla filtrada",0.277,0.342,0.31,0.283,0.316
"P16","Agua de la canilla directamente",0.466,0.37,0.419,0.395,0.458
"P16","Agua de bidón",0.102,0.102,0.121,0.136,0.101
"P16","No consume agua",0.014,0.003,0.005,0.017,0.027
"P17","Todos los días",0.076,0.076,0.052,0.083,0.045
"P17","Entre 4 y 6 días a la semana",0.062,0.104,0.099,0.089,0.057
"P17","Entre 1 y 3 días a la semana",0.209,0.182,0.223,0.224,0.16
"P17","Raramente",0.318,0.312,0.355,0.343,0.339
"P17","Nunca",0.335,0.326,0.271,0.261,0.399
"P18","Vino",0.258,0.225,0.266,0.252,0.179
"P18","Cerveza",0.073,0.187,0.197,0.206,0.133
"P18","Destilados (whisky, vodka, ron, etc.)",0.043,0.052,0.087,0.045,0.05
"P18","Espumantes",0.07,0.041,0.045,0.052,0.03
"P18","Otros",0.126,0.099,0.094,0.14,0.184
"P18","No consume bebidas alcohólicas",0.43,0.396,0.311,0.305,0.424
"P19","Todos los días",0.131,0.096,0.098,0.167,0.119
"P19","Entre 4 y 6 días a la semana",0.054,0.117,0.118,0.106,0.12
"P19","Entre 1 y 3 días a la semana",0.181,0.179,0.219,0.184,0.084
"P19","Raramente",0.372,0.372,0.366,0.359,0.505
"P19","Nunca",0.262,0.236,0.199,0.184,0.172
"P20","Todos los días",0.483,0.493,0.482,0.564,0.56
"P20","Entre 4 y 6 días a la semana",0.105,0.106,0.099,0.063,0.078
"P20","Entre 1 y 3 días a la semana",0.106,0.105,0.113,0.113,0.072
"P20","Raramente",0.179,0.162,0.152,0.122,0.187
"P20","Nunca",0.127,0.134,0.154,0.138,0.103
"P21","Todos los días",0.488,0.515,0.532,0.554,0.461
"P21","Entre 4 y 6 días a la semana",0.169,0.154,0.203,0.173,0.174
"P21","Entre 1 y 3 días a la semana",0.131,0.165,0.12,0.124,0.11
"P21","Raramente",0.138,0.123,0.094,0.096,0.206
"P21","Nunca",0.074,0.043,0.051,0.053,0.049
"P22","Asado",0.405,0.427,0.404,0.445,0.376
"P22","Pizza",0.09,0.103,0.098,0.083,0.077
"P22","Milanesa",0.16,0.145,0.166,0.191,0.134
"P22","Pastas",0.095,0.108,0.115,0.094,0.086
"P22","Empanadas",0.053,0.055,0.056,0.024,0.041
"P22","Hamburguesa",0.006,0.011,0.017,0.006,0.039
"P22","Ensaladas (de cualquier tipo)",0.062,0.062,0.064,0.051,0.035
"P22","Guiso (de lentejas, de arroz, locro o similares)",0.072,0.056,0.05,0.08,0.093
"P22","Polenta o similares (de cualquier tipo)",0.038,0.01,0.011,0.018,0.054
"P22","Ninguno de los anteriores",0.019,0.023,0.019,0.008,0.065
"P23","Asado",0.097,0.116,0.089,0.146,0.142
"P23","Pizza",0.069,0.075,0.07,0.079,0.04
"P23","Milanesa",0.182,0.197,0.254,0.211,0.056
"P23","Pastas",0.188,0.191,0.187,0.171,0.231
"P23","Empanadas",0.032,0.036,0.062,0.036,0.015
"P23","Hamburguesa",0.01,0.016,0.023,0.016,0.067
"P23","Ensaladas (de cualquier tipo)",0.12,0.107,0.123,0.094,0.055
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.119,0.129,0.101,0.105,0.124
"P23","Polenta o similares (de cualquier tipo)",0.101,0.061,0.035,0.06,0.119
"P23","Ninguno de los anteriores",0.082,0.072,0.056,0.082,0.151
"P24","Helado",0.252,0.243,0.261,0.281,0.204
"P24","Tortas, tartas dulces y masas",0.168,0.166,0.156,0.13,0.118
"P24","Ensalada de frutas",0.135,0.209,0.185,0.175,0.157
"P24","Flan, budín de pan y similares",0.132,0.113,0.134,0.125,0.105
"P24","Dulce de batata, membrillo o similares",0.076,0.069,0.093,0.072,0.079
"P24","Facturas de todo tipo",0.034,0.039,0.033,0.039,0.049
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.034,0.026,0.023,0.029,0.027
"P24","Gelatina",0.053,0.026,0.031,0.04,0.048
"P24","Panqueques, wafles y similares",0.02,0.03,0.01,0.012,0.05
"P24","Ninguno de los anteriores",0.096,0.079,0.074,0.097,0.163
"P25","Helado",0.116,0.116,0.097,0.139,0.083
"P25","Tortas, tartas dulces y masas",0.133,0.142,0.161,0.146,0.127
"P25","Ensalada de frutas",0.067,0.121,0.126,0.088,0.097
"P25","Flan, budín de pan y similares",0.056,0.053,0.079,0.055,0.029
"P25","Dulce de batata, membrillo o similares",0.103,0.097,0.116,0.103,0.137
"P25","Facturas de todo tipo",0.079,0.086,0.11,0.105,0.039
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.035,0.021,0.031,0.03,0.017
"P25","Gelatina",0.044,0.051,0.037,0.036,0.061
"P25","Panqueques, wafles y similares",0.004,0.027,0.01,0.006,0.011
"P25","Ninguno de los anteriores",0.363,0.286,0.233,0.292,0.399
"P26","Vegetariano",0.05,0.052,0.028,0.034,0.048
"P26","Vegano",0.049,0.051,0.03,0.035,0.044
"P26","Dieta baja en carnes rojas",0.135,0.147,0.167,0.14,0.112
"P26","Dieta baja en carbohidratos",0.08,0.095,0.115,0.072,0.046
"P26","Dieta baja en azúcares",0.101,0.131,0.138,0.118,0.168
"P26","Kosher o Alal",0.016,0.015,0.022,0.049,0.006
"P26","Ninguna restricción alimentaria",0.569,0.509,0.5,0.552,0.576
"P27","Si",0.533,0.536,0.614,0.571,0.344
"P27","Parcialmente",0.164,0.167,0.197,0.183,0.179
"P27","No",0.303,0.297,0.189,0.246,0.477
"P28","Si",0.777,0.666,0.756,0.745,0.64
"P28","Si, pero solo en algunos de ellos",0.198,0.263,0.217,0.216,0.34
"P28","No",0.025,0.071,0.027,0.039,0.02
"P29","Si",0.61,0.634,0.647,0.62,0.655
"P29","No",0.39,0.366,0.353,0.38,0.345
"P30","Muy de acuerdo",0.535,0.559,0.582,0.579,0.543
"P30","Parcialmente de acuerdo",0.33,0.317,0.3,0.306,0.332
"P30","No",0.135,0.124,0.118,0.115,0.125
"P31","Bajo peso",0.141,0.094,0.059,0.085,0.101
"P31","Sobrepeso",0.229,0.294,0.292,0.256,0.22
"P31","Obesidad",0.141,0.118,0.079,0.12,0.128
"P31","Normal",0.402,0.427,0.513,0.475,0.376
"P31","No sabe",0.087,0.067,0.057,0.064,0.175
"P32","Diabetes",0.101,0.112,0.089,0.074,0.127
"P32","Hipertensión",0.172,0.198,0.195,0.148,0.131
"P32","Enfermedades cardiovasculares",0.052,0.051,0.053,0.047,0.091
"P32","Celiaquía",0.091,0.074,0.069,0.115,0.062
"P32","Ninguna",0.482,0.496,0.557,0.531,0.418
"P32","No sabe",0.102,0.069,0.037,0.085,0.171
"P33","Todos los días",0.05,0.037,0.016,0.039,0.033
"P33","Entre 4 y 6 días a la semana",0.049,0.07,0.058,0.026,0.02
"P33","Entre 1 y 3 días a la semana",0.076,0.096,0.165,0.103,0.083
"P33","Raramente",0.258,0.306,0.355,0.352,0.289
"P33","Nunca",0.567,0.491,0.406,0.48,0.575
"P34","Todos los días",0.031,0.015,0.004,0.023,0.012
"P34","Entre 4 y 6 días a la semana",0.02,0.033,0.018,0.017,0.037
"P34","Entre 1 y 3 días a la semana",0.092,0.109,0.16,0.124,0.065
"P34","Raramente",0.299,0.323,0.37,0.407,0.262
"P34","Nunca",0.558,0.52,0.448,0.429,0.624
"P35","Todos los días",0.637,0.611,0.64,0.622,0.658
"P35","Entre 4 y 6 días a la semana",0.117,0.185,0.134,0.159,0.098
"P35","Entre 1 y 3 días a la semana",0.075,0.064,0.084,0.064,0.067
"P35","Raramente",0.065,0.057,0.078,0.07,0.069
"P35","Nunca",0.106,0.083,0.064,0.085,0.108
"P36","Menos de 1 comida al día",0.259,0.145,0.144,0.183,0.292
"P36","1 comida",0.343,0.366,0.21,0.311,0.368
"P36","2 comidas",0.217,0.254,0.344,0.263,0.153
"P36","3 comidas",0.089,0.139,0.15,0.11,0.106
"P36","4 comidas",0.086,0.082,0.136,0.118,0.07
"P36","Más de 4 comidas",0.006,0.014,0.016,0.015,0.011
"P37","Precio",0.533,0.28,0.21,0.162,0.371
"P37","Calidad",0.124,0.264,0.205,0.147,0.134
"P37","Cantidad de sellos presentes en el producto",0.038,0.07,0.091,0.032,0.076
"P37","Precio y calidad",0.186,0.251,0.327,0.506,0.145
"P37","Precio y cantidad de sellos presentes en el producto",0.032,0.032,0.043,0.025,0.123
"P37","Calidad y cantidad de sellos presentes en el producto",0.012,0.01,0.013,0.022,0.009
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.042,0.055,0.074,0.053,0.065
"P37","Compra sin ningún tipo de consideración",0.033,0.038,0.037,0.053,0.077
"P39","Hipermercado/Supermercado",0.655,0.46,0.45,0.365,0.335
"P39","Almacenes",0.18,0.341,0.2,0.325,0.217
"P39","Productores locales/mercados de cercanía/Ferias",0.093,0.131,0.308,0.151,0.101
"P39","Vía pública",0.037,0.025,0.013,0.115,0.047
"P39","No sabe",0.035,0.043,0.029,0.044,0.3
