"var","categoria","Asado","Pizza","Milanesa","Pastas","Empanadas","Hamburguesa","Ensaladas (de cualquier tipo)","Guiso (de lentejas, de arroz, locro o similares)","Polenta o similares (de cualquier tipo)","Ninguno de los anteriores"
"P24","Ensalada de frutas",0.179,0.097,0.284,0.124,0.095,0.121,0.193,0.173,0.093,0.103
"P24","Flan, budín de pan y similares",0.077,0.09,0.088,0.26,0.122,0.055,0.095,0.114,0.088,0.087
"P24","Dulce de batata, membrillo o similares",0.057,0.068,0.048,0.092,0.222,0.039,0.07,0.082,0.144,0.049
"P24","Facturas de todo tipo",0.014,0.035,0.042,0.023,0.052,0.305,0.015,0.043,0.066,0.024
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.013,0.014,0.007,0.009,0.021,0.004,0.16,0.028,0.013,0.002
"P24","Gelatina",0.005,0.012,0.013,0.013,0.022,0,0.044,0.178,0.054,0.043
"P24","Panqueques, wafles y similares",0.011,0.004,0.005,0.011,0.029,0.023,0.019,0.018,0.169,0.024
"P24","Ninguno de los anteriores",0.028,0.035,0.039,0.078,0.088,0.219,0.085,0.087,0.132,0.331
"P25","Helado",0.294,0.134,0.144,0.095,0.074,0.069,0.065,0.061,0.035,0.093
"P25","Tortas, tartas dulces y masas",0.182,0.189,0.227,0.146,0.184,0.161,0.086,0.097,0.041,0.062
"P25","Ensalada de frutas",0.127,0.092,0.121,0.076,0.126,0.131,0.176,0.057,0.022,0.07
"P25","Flan, budín de pan y similares",0.06,0.044,0.063,0.084,0.129,0.08,0.049,0.074,0.01,0.054
"P25","Dulce de batata, membrillo o similares",0.07,0.172,0.101,0.114,0.127,0.055,0.144,0.099,0.122,0.064
"P25","Facturas de todo tipo",0.077,0.099,0.092,0.099,0.116,0.159,0.041,0.079,0.06,0.098
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.015,0.019,0.021,0.038,0.03,0.004,0.039,0.036,0.04,0.025
"P25","Gelatina",0.013,0.024,0.022,0.036,0.061,0.004,0.06,0.062,0.141,0.056
"P25","Panqueques, wafles y similares",0.013,0.022,0.009,0.008,0.014,0.019,0.007,0.014,0.038,0.016
"P25","Ninguno de los anteriores",0.149,0.205,0.2,0.304,0.139,0.318,0.333,0.421,0.491,0.462
"P26","Vegetariano",0.076,0.063,0.021,0.055,0.052,0.051,0.073,0.035,0.022,0.044
"P26","Vegano",0.083,0.059,0.041,0.044,0.059,0,0.025,0.04,0.014,0.035
"P26","Dieta baja en carnes rojas",0.148,0.209,0.135,0.155,0.147,0.099,0.196,0.107,0.091,0.102
"P26","Dieta baja en carbohidratos",0.101,0.072,0.119,0.064,0.143,0.059,0.163,0.041,0.043,0.124
"P26","Dieta baja en azúcares",0.109,0.073,0.141,0.1,0.14,0.182,0.168,0.166,0.095,0.126
"P26","Kosher o Alal",0.027,0.019,0.026,0.035,0.027,0.016,0.003,0.021,0.007,0.007
"P26","Ninguna restricción alimentaria",0.456,0.505,0.517,0.547,0.432,0.593,0.372,0.59,0.728,0.562
"P27","Si",0.546,0.578,0.591,0.577,0.452,0.638,0.619,0.421,0.397,0.499
"P27","Parcialmente",0.17,0.189,0.198,0.188,0.219,0.16,0.139,0.192,0.186,0.178
"P27","No",0.284,0.233,0.211,0.235,0.329,0.202,0.242,0.387,0.417,0.323
"P28","Si",0.709,0.692,0.766,0.737,0.775,0.743,0.739,0.65,0.654,0.675
"P28","Si, pero solo en algunos de ellos",0.238,0.265,0.188,0.221,0.187,0.195,0.217,0.32,0.265,0.294
"P28","No",0.053,0.043,0.046,0.042,0.038,0.062,0.044,0.03,0.081,0.031
"P29","Si",0.662,0.558,0.628,0.636,0.635,0.655,0.675,0.57,0.601,0.594
"P29","No",0.338,0.442,0.372,0.364,0.365,0.345,0.325,0.43,0.399,0.406
"P30","Muy de acuerdo",0.594,0.553,0.584,0.553,0.575,0.525,0.576,0.522,0.4,0.583
"P30","Parcialmente de acuerdo",0.302,0.287,0.33,0.301,0.274,0.296,0.334,0.361,0.388,0.331
"P30","No",0.104,0.16,0.086,0.146,0.151,0.179,0.09,0.117,0.212,0.086
"P31","Bajo peso",0.179,0.122,0.071,0.101,0.134,0.032,0.088,0.065,0.067,0.073
"P31","Sobrepeso",0.273,0.283,0.311,0.264,0.227,0.221,0.275,0.227,0.258,0.302
"P31","Obesidad",0.127,0.131,0.111,0.097,0.117,0.132,0.071,0.136,0.124,0.135
"P31","Normal",0.386,0.424,0.448,0.453,0.474,0.531,0.507,0.479,0.43,0.345
"P31","No sabe",0.035,0.04,0.059,0.085,0.048,0.084,0.059,0.093,0.121,0.145
"P32","Diabetes",0.148,0.087,0.066,0.077,0.1,0.109,0.133,0.113,0.104,0.111
"P32","Hipertensión",0.182,0.183,0.197,0.184,0.211,0.125,0.199,0.141,0.148,0.173
"P32","Enfermedades cardiovasculares",0.039,0.036,0.062,0.043,0.09,0.035,0.072,0.04,0.078,0.071
"P32","Celiaquía",0.109,0.077,0.095,0.069,0.108,0.02,0.089,0.076,0.058,0.06
"P32","Ninguna",0.461,0.564,0.53,0.558,0.442,0.633,0.449,0.472,0.448,0.476
"P32","No sabe",0.061,0.053,0.05,0.069,0.049,0.078,0.058,0.158,0.164,0.109
"P33","Todos los días",0.081,0.061,0.023,0.025,0.037,0.01,0.045,0.019,0.044,0.029
"P33","Entre 4 y 6 días a la semana",0.076,0.045,0.073,0.051,0.055,0.029,0.053,0.027,0.033,0.025
"P33","Entre 1 y 3 días a la semana",0.147,0.09,0.155,0.064,0.262,0.143,0.126,0.033,0.054,0.112
"P33","Raramente",0.294,0.313,0.381,0.295,0.288,0.265,0.369,0.307,0.172,0.297
"P33","Nunca",0.402,0.491,0.368,0.565,0.358,0.553,0.407,0.614,0.697,0.537
"P34","Todos los días",0.071,0.023,0.005,0.011,0.007,0.016,0.018,0.004,0.008,0.017
"P34","Entre 4 y 6 días a la semana",0.061,0.02,0.027,0.014,0.047,0.081,0.008,0.018,0.015,0.005
"P34","Entre 1 y 3 días a la semana",0.134,0.106,0.2,0.096,0.279,0.068,0.078,0.046,0.024,0.097
"P34","Raramente",0.354,0.388,0.412,0.343,0.312,0.251,0.352,0.288,0.175,0.31
"P34","Nunca",0.38,0.463,0.356,0.536,0.355,0.584,0.544,0.644,0.778,0.571
"P35","Todos los días",0.555,0.574,0.596,0.695,0.571,0.528,0.689,0.659,0.657,0.594
"P35","Entre 4 y 6 días a la semana",0.14,0.228,0.202,0.132,0.158,0.082,0.115,0.106,0.061,0.127
"P35","Entre 1 y 3 días a la semana",0.112,0.07,0.088,0.038,0.129,0.084,0.042,0.055,0.053,0.1
"P35","Raramente",0.095,0.07,0.063,0.064,0.08,0.094,0.041,0.097,0.065,0.044
"P35","Nunca",0.098,0.058,0.051,0.071,0.062,0.212,0.113,0.083,0.164,0.135
"P36","Menos de 1 comida al día",0.213,0.205,0.185,0.154,0.17,0.286,0.159,0.196,0.234,0.191
"P36","1 comida",0.238,0.312,0.258,0.367,0.271,0.22,0.24,0.336,0.458,0.355
"P36","2 comidas",0.263,0.256,0.297,0.237,0.245,0.302,0.261,0.282,0.217,0.222
"P36","3 comidas",0.139,0.134,0.117,0.14,0.235,0.122,0.129,0.102,0.062,0.109
"P36","4 comidas",0.128,0.086,0.128,0.091,0.076,0.07,0.173,0.083,0.029,0.092
"P36","Más de 4 comidas",0.019,0.007,0.015,0.011,0.003,0,0.038,0.001,0,0.031
"P37","Precio",0.219,0.384,0.219,0.308,0.309,0.313,0.202,0.419,0.487,0.307
"P37","Calidad",0.279,0.19,0.231,0.19,0.179,0.081,0.192,0.099,0.13,0.132
"P37","Cantidad de sellos presentes en el producto",0.056,0.105,0.063,0.077,0.078,0.063,0.033,0.045,0.087,0.035
"P37","Precio y calidad",0.292,0.22,0.361,0.315,0.303,0.233,0.342,0.268,0.124,0.23
"P37","Precio y cantidad de sellos presentes en el producto",0.074,0.03,0.051,0.024,0.022,0.075,0.068,0.025,0.006,0.058
"P37","Calidad y cantidad de sellos presentes en el producto",0.025,0.008,0.016,0.003,0.012,0.007,0.017,0.015,0.012,0.025
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.042,0.055,0.035,0.049,0.056,0.022,0.111,0.076,0.038,0.119
"P37","Compra sin ningún tipo de consideración",0.013,0.008,0.024,0.034,0.041,0.206,0.035,0.053,0.116,0.094
"P38","Menos de 1 vez a la semana",0.178,0.202,0.188,0.205,0.163,0.095,0.23,0.214,0.311,0.217
"P38","1 vez a la semana",0.287,0.296,0.273,0.28,0.248,0.219,0.276,0.31,0.251,0.257
"P38","Entre 1 a 4 veces a la semana",0.208,0.259,0.333,0.259,0.401,0.289,0.3,0.23,0.137,0.187
"P38","Más de 4 veces a la semana",0.225,0.196,0.183,0.157,0.157,0.134,0.152,0.158,0.156,0.182
"P38","No sabe",0.102,0.047,0.023,0.099,0.031,0.263,0.042,0.088,0.145,0.157
"P39","Hipermercado/Supermercado",0.504,0.476,0.542,0.503,0.381,0.357,0.5,0.431,0.287,0.405
"P39","Almacenes",0.252,0.251,0.233,0.292,0.323,0.334,0.244,0.237,0.294,0.228
"P39","Productores locales/mercados de cercanía/Ferias",0.115,0.163,0.169,0.122,0.219,0.28,0.206,0.216,0.211,0.17
"P39","Vía pública",0.039,0.066,0.033,0.024,0.019,0,0.021,0.055,0.126,0.049
"P39","No sabe",0.09,0.044,0.023,0.059,0.058,0.029,0.029,0.061,0.082,0.148
