"var","categoria","Precio","Calidad","Cantidad de sellos presentes en el producto","Precio y calidad","Precio y cantidad de sellos presentes en el producto","Calidad y cantidad de sellos presentes en el producto","Precio, calidad y cantidad de sellos presentes en el producto","Compra sin ningún tipo de consideración"
"P23","Ensaladas (de cualquier tipo)",0.072,0.11,0.056,0.126,0.17,0.13,0.198,0.085
"P23","Guiso (de lentejas, de arroz, locro o similares)",0.161,0.061,0.083,0.106,0.068,0.123,0.145,0.137
"P23","Polenta o similares (de cualquier tipo)",0.112,0.048,0.095,0.029,0.01,0.06,0.043,0.18
"P23","Ninguno de los anteriores",0.08,0.055,0.044,0.062,0.106,0.138,0.156,0.167
"P24","Helado",0.247,0.257,0.226,0.262,0.305,0.345,0.232,0.201
"P24","Tortas, tartas dulces y masas",0.165,0.167,0.154,0.146,0.164,0.109,0.119,0.094
"P24","Ensalada de frutas",0.163,0.214,0.233,0.174,0.17,0.148,0.133,0.146
"P24","Flan, budín de pan y similares",0.127,0.108,0.108,0.139,0.048,0.177,0.166,0.123
"P24","Dulce de batata, membrillo o similares",0.066,0.101,0.076,0.076,0.061,0.068,0.064,0.151
"P24","Facturas de todo tipo",0.04,0.018,0.031,0.042,0.056,0.042,0.025,0.055
"P24","Postres lácteos caseros o envasados de cualquier tipo",0.018,0.024,0.025,0.033,0.054,0.027,0.045,0.039
"P24","Gelatina",0.049,0.019,0.042,0.044,0.027,0.006,0.018,0.02
"P24","Panqueques, wafles y similares",0.021,0.028,0.026,0.016,0.003,0.009,0.048,0.006
"P24","Ninguno de los anteriores",0.104,0.064,0.079,0.068,0.112,0.069,0.15,0.165
"P25","Helado",0.087,0.155,0.114,0.121,0.107,0.256,0.052,0.063
"P25","Tortas, tartas dulces y masas",0.098,0.17,0.149,0.166,0.199,0.13,0.187,0.077
"P25","Ensalada de frutas",0.069,0.14,0.159,0.114,0.13,0.076,0.116,0.041
"P25","Flan, budín de pan y similares",0.058,0.064,0.062,0.067,0.025,0.159,0.035,0.029
"P25","Dulce de batata, membrillo o similares",0.109,0.102,0.144,0.101,0.07,0.076,0.104,0.151
"P25","Facturas de todo tipo",0.088,0.058,0.037,0.109,0.186,0.078,0.112,0.082
"P25","Postres lácteos caseros o envasados de cualquier tipo",0.035,0.017,0.014,0.027,0.017,0.008,0.039,0.093
"P25","Gelatina",0.068,0.027,0.048,0.034,0.038,0.006,0.051,0.017
"P25","Panqueques, wafles y similares",0.011,0.007,0.014,0.017,0,0.008,0.021,0.02
"P25","Ninguno de los anteriores",0.377,0.26,0.259,0.244,0.228,0.203,0.283,0.427
"P26","Vegetariano",0.043,0.053,0.035,0.034,0.056,0.051,0.07,0.041
"P26","Vegano",0.03,0.052,0.086,0.024,0.084,0.029,0.076,0.028
"P26","Dieta baja en carnes rojas",0.119,0.215,0.189,0.125,0.138,0.23,0.149,0.107
"P26","Dieta baja en carbohidratos",0.051,0.127,0.111,0.096,0.174,0.085,0.087,0.029
"P26","Dieta baja en azúcares",0.105,0.143,0.123,0.135,0.157,0.118,0.167,0.064
"P26","Kosher o Alal",0.025,0.008,0.025,0.025,0.069,0.044,0.008,0.002
"P26","Ninguna restricción alimentaria",0.627,0.402,0.431,0.561,0.322,0.443,0.443,0.729
"P27","Si",0.49,0.57,0.471,0.598,0.595,0.404,0.688,0.36
"P27","Parcialmente",0.161,0.14,0.204,0.204,0.283,0.193,0.126,0.183
"P27","No",0.349,0.29,0.325,0.198,0.122,0.403,0.186,0.457
"P28","Si",0.734,0.769,0.595,0.747,0.632,0.574,0.682,0.743
"P28","Si, pero solo en algunos de ellos",0.225,0.173,0.328,0.221,0.344,0.346,0.28,0.217
"P28","No",0.041,0.058,0.077,0.032,0.024,0.08,0.038,0.04
"P29","Si",0.588,0.628,0.631,0.607,0.736,0.904,0.876,0.524
"P29","No",0.412,0.372,0.369,0.393,0.264,0.096,0.124,0.476
"P30","Muy de acuerdo",0.524,0.573,0.564,0.519,0.681,0.814,0.838,0.486
"P30","Parcialmente de acuerdo",0.324,0.271,0.316,0.376,0.256,0.186,0.12,0.379
"P30","No",0.152,0.156,0.12,0.105,0.063,0,0.042,0.135
"P31","Bajo peso",0.113,0.112,0.063,0.072,0.171,0.118,0.065,0.069
"P31","Sobrepeso",0.26,0.284,0.302,0.278,0.319,0.128,0.234,0.153
"P31","Obesidad",0.129,0.108,0.269,0.079,0.099,0.164,0.069,0.134
"P31","Normal",0.399,0.432,0.307,0.511,0.396,0.44,0.539,0.506
"P31","No sabe",0.099,0.064,0.059,0.06,0.015,0.15,0.093,0.138
"P32","Diabetes",0.135,0.108,0.085,0.066,0.153,0.113,0.052,0.076
"P32","Hipertensión",0.155,0.219,0.187,0.161,0.204,0.188,0.186,0.206
"P32","Enfermedades cardiovasculares",0.039,0.046,0.136,0.049,0.057,0.034,0.086,0.089
"P32","Celiaquía",0.08,0.067,0.073,0.094,0.103,0.073,0.112,0.023
"P32","Ninguna",0.473,0.522,0.464,0.564,0.423,0.527,0.502,0.483
"P32","No sabe",0.118,0.038,0.055,0.066,0.06,0.065,0.062,0.123
"P33","Todos los días",0.041,0.041,0.05,0.011,0.084,0.177,0.008,0.048
"P33","Entre 4 y 6 días a la semana",0.032,0.103,0.053,0.041,0.057,0.094,0.029,0.029
"P33","Entre 1 y 3 días a la semana",0.038,0.119,0.175,0.154,0.183,0.124,0.127,0.082
"P33","Raramente",0.234,0.347,0.23,0.402,0.274,0.208,0.38,0.208
"P33","Nunca",0.655,0.39,0.492,0.392,0.402,0.397,0.456,0.633
"P34","Todos los días",0.032,0.016,0.014,0.004,0,0.118,0.009,0.011
"P34","Entre 4 y 6 días a la semana",0.013,0.049,0.007,0.021,0.044,0.078,0.005,0.025
"P34","Entre 1 y 3 días a la semana",0.054,0.126,0.207,0.153,0.181,0.212,0.095,0.056
"P34","Raramente",0.26,0.405,0.311,0.393,0.375,0.153,0.346,0.327
"P34","Nunca",0.641,0.404,0.461,0.429,0.4,0.439,0.545,0.581
"P35","Todos los días",0.724,0.573,0.483,0.626,0.459,0.468,0.681,0.595
"P35","Entre 4 y 6 días a la semana",0.103,0.172,0.077,0.188,0.144,0.176,0.157,0.098
"P35","Entre 1 y 3 días a la semana",0.051,0.083,0.161,0.061,0.13,0.113,0.061,0.039
"P35","Raramente",0.04,0.091,0.11,0.068,0.112,0.075,0.026,0.094
"P35","Nunca",0.082,0.081,0.169,0.057,0.155,0.168,0.075,0.174
"P36","Menos de 1 comida al día",0.293,0.13,0.081,0.152,0.127,0.22,0.148,0.191
"P36","1 comida",0.371,0.441,0.137,0.247,0.146,0.095,0.214,0.354
"P36","2 comidas",0.207,0.233,0.728,0.248,0.164,0.278,0.277,0.273
"P36","3 comidas",0.072,0.093,0.04,0.224,0.048,0.095,0.163,0.066
"P36","4 comidas",0.053,0.095,0.013,0.114,0.473,0.204,0.179,0.082
"P36","Más de 4 comidas",0.004,0.008,0.001,0.015,0.042,0.108,0.019,0.034
"P38","Menos de 1 vez a la semana",0.365,0.136,0.125,0.131,0.161,0.183,0.15,0.161
"P38","1 vez a la semana",0.259,0.388,0.31,0.237,0.218,0.203,0.265,0.245
"P38","Entre 1 a 4 veces a la semana",0.183,0.284,0.379,0.292,0.273,0.259,0.334,0.23
"P38","Más de 4 veces a la semana",0.093,0.135,0.088,0.3,0.105,0.301,0.159,0.217
"P38","No sabe",0.1,0.057,0.098,0.04,0.243,0.054,0.092,0.147
"P39","Hipermercado/Supermercado",0.46,0.531,0.375,0.5,0.461,0.378,0.452,0.281
"P39","Almacenes",0.282,0.278,0.24,0.251,0.191,0.2,0.159,0.298
"P39","Productores locales/mercados de cercanía/Ferias",0.134,0.121,0.263,0.177,0.268,0.18,0.274,0.221
"P39","Vía pública",0.057,0.026,0.052,0.033,0.03,0.113,0.038,0.043
"P39","No sabe",0.067,0.044,0.07,0.039,0.05,0.129,0.077,0.157
