"var","categoria","Menos de un vaso al día","De 1 a 4 vasos al día","Más de 4 vasos al día","No consume agua"
"P26","Dieta baja en carnes rojas",0.099,0.15,0.144,0.149
"P26","Dieta baja en carbohidratos",0.063,0.086,0.106,0.073
"P26","Dieta baja en azúcares",0.093,0.125,0.138,0.095
"P26","Kosher o Alal",0.045,0.027,0.016,0.009
"P26","Ninguna restricción alimentaria",0.525,0.527,0.52,0.545
"P27","Si",0.456,0.551,0.556,0.47
"P27","Parcialmente",0.233,0.183,0.18,0.144
"P27","No",0.311,0.266,0.264,0.386
"P28","Si",0.727,0.719,0.726,0.666
"P28","Si, pero solo en algunos de ellos",0.205,0.252,0.228,0.235
"P28","No",0.068,0.029,0.046,0.099
"P29","Si",0.574,0.648,0.623,0.558
"P29","No",0.426,0.352,0.377,0.442
"P30","Muy de acuerdo",0.58,0.547,0.568,0.49
"P30","Parcialmente de acuerdo",0.256,0.343,0.307,0.417
"P30","No",0.164,0.11,0.125,0.093
"P31","Bajo peso",0.186,0.087,0.081,0.136
"P31","Sobrepeso",0.178,0.278,0.285,0.273
"P31","Obesidad",0.153,0.096,0.114,0.161
"P31","Normal",0.375,0.452,0.46,0.349
"P31","No sabe",0.108,0.087,0.06,0.081
"P32","Diabetes",0.078,0.099,0.1,0.135
"P32","Hipertensión",0.129,0.195,0.175,0.198
"P32","Enfermedades cardiovasculares",0.068,0.049,0.055,0.07
"P32","Celiaquía",0.111,0.061,0.092,0.065
"P32","Ninguna",0.534,0.497,0.515,0.4
"P32","No sabe",0.08,0.099,0.063,0.132
"P33","Todos los días",0.106,0.035,0.026,0.04
"P33","Entre 4 y 6 días a la semana",0.026,0.058,0.049,0.08
"P33","Entre 1 y 3 días a la semana",0.083,0.1,0.129,0.027
"P33","Raramente",0.255,0.337,0.312,0.275
"P33","Nunca",0.53,0.47,0.484,0.578
"P34","Todos los días",0.084,0.017,0.009,0.011
"P34","Entre 4 y 6 días a la semana",0.021,0.024,0.025,0.021
"P34","Entre 1 y 3 días a la semana",0.103,0.123,0.123,0.038
"P34","Raramente",0.28,0.34,0.349,0.321
"P34","Nunca",0.512,0.496,0.494,0.609
"P35","Todos los días",0.696,0.598,0.653,0.477
"P35","Entre 4 y 6 días a la semana",0.149,0.16,0.139,0.085
"P35","Entre 1 y 3 días a la semana",0.029,0.073,0.077,0.083
"P35","Raramente",0.05,0.065,0.065,0.146
"P35","Nunca",0.076,0.104,0.066,0.209
"P36","Menos de 1 comida al día",0.34,0.159,0.18,0.218
"P36","1 comida",0.309,0.321,0.295,0.346
"P36","2 comidas",0.169,0.277,0.272,0.18
"P36","3 comidas",0.091,0.133,0.123,0.136
"P36","4 comidas",0.079,0.097,0.114,0.106
"P36","Más de 4 comidas",0.012,0.013,0.016,0.014
"P37","Precio",0.465,0.291,0.272,0.35
"P37","Calidad",0.112,0.176,0.201,0.23
"P37","Cantidad de sellos presentes en el producto",0.047,0.088,0.048,0.066
"P37","Precio y calidad",0.235,0.304,0.305,0.165
"P37","Precio y cantidad de sellos presentes en el producto",0.018,0.039,0.047,0.057
"P37","Calidad y cantidad de sellos presentes en el producto",0.024,0.013,0.013,0.015
"P37","Precio, calidad y cantidad de sellos presentes en el producto",0.03,0.047,0.073,0.065
"P37","Compra sin ningún tipo de consideración",0.069,0.042,0.041,0.052
"P38","Menos de 1 vez a la semana",0.276,0.203,0.195,0.222
"P38","1 vez a la semana",0.253,0.301,0.267,0.269
"P38","Entre 1 a 4 veces a la semana",0.163,0.269,0.285,0.157
"P38","Más de 4 veces a la semana",0.223,0.156,0.177,0.172
"P38","No sabe",0.085,0.071,0.076,0.18
"P39","Hipermercado/Supermercado",0.492,0.462,0.479,0.414
"P39","Almacenes",0.205,0.3,0.233,0.314
"P39","Productores locales/mercados de cercanía/Ferias",0.114,0.163,0.184,0.173
"P39","Vía pública",0.061,0.03,0.048,0.036
"P39","No sabe",0.128,0.045,0.056,0.063
