"var","categoria","Javier Milei","Los gobernadores","No sabe"
"P39","Mala",0.216,0,0.252
"P39","Muy mala",0.647,0,0.306
"P39","No sabe",0.013,0,0.056
"P40","Muy buena",0.605,0,0.102
"P40","Buena",0.206,0,0.232
"P40","Ni buena ni mala",0.071,0,0.292
"P40","Mala",0.035,0,0.184
"P40","Muy mala",0.081,0,0.106
"P40","No sabe",0.002,0,0.084
"P41","Muy buena",0.505,0,0.22
"P41","Buena",0.309,0,0.217
"P41","Ni buena ni mala",0.081,0,0.2
"P41","Mala",0.048,0,0.199
"P41","Muy mala",0.045,0,0.119
"P41","No sabe",0.012,0,0.045
"P42","Muy buena",0.61,0,0.146
"P42","Buena",0.203,0,0.216
"P42","Ni buena ni mala",0.114,0,0.338
"P42","Mala",0.036,0,0.116
"P42","Muy mala",0.029,0,0.125
"P42","No sabe",0.008,0,0.059
"P43","Muy buena",0.16,0,0.038
"P43","Buena",0.233,0,0.242
"P43","Ni buena ni mala",0.408,0,0.413
"P43","Mala",0.1,0,0.181
"P43","Muy mala",0.073,0,0.061
"P43","No sabe",0.026,0,0.065
