"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P18","En blanco",0.013,0.014,0.051,0.089
"P18","No sabe",0.009,0.006,0.026,0.158
"P21","Totalmente seguro",0.766,0.707,0.679,0.451
"P21","Bastante seguro",0.121,0.147,0.127,0.182
"P21","Algo seguro",0.09,0.113,0.093,0.12
"P21","Para nada seguro",0.023,0.033,0.101,0.247
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.084,0.331,0.123,0.144
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.053,0.424,0.107,0.149
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.249,0.199,0.107,0.21
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.242,0,0.295,0.28
"P32","En blanco",0.229,0,0.293,0.115
"P32","No sabe",0.143,0.046,0.075,0.102
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.39,0.054,0.043,0.051
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.146,0.735,0.084,0.225
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.195,0.088,0.18,0.206
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.009,0.009,0.003,0.032
"P33","En blanco",0.118,0.046,0.643,0.041
"P33","No sabe",0.142,0.068,0.047,0.445
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.588,0.072,0.103,0.095
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.286,0.479,0.324,0.393
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.096,0.144,0.138,0.05
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.004,0.025,0.211,0.108
"P34","En blanco",0.015,0.224,0.224,0
"P34","No sabe",0.011,0.056,0,0.354
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.152,0.616,0.406,0.378
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.125,0.248,0.191,0.23
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.43,0.058,0.197,0.163
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.156,0.028,0.068,0.085
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.076,0.016,0.092,0.011
"P36","No sabe",0.061,0.034,0.046,0.133
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.862,0.072,0.165,0.074
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.072,0.705,0.617,0.438
"P37","En blanco",0.045,0.176,0.191,0.07
"P37","No sabe",0.021,0.047,0.027,0.418
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.374,0.606,0.475
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.576,0.078,0.074
"P38","En blanco",0.465,0.032,0.286,0.041
"P38","No sabe",0.229,0.018,0.03,0.41
"P45","Lo votaría",0.856,0.058,0.153,0.109
"P45","Puede que lo vote",0.045,0.157,0.044,0.075
"P45","Nunca lo votaría",0.083,0.759,0.783,0.561
"P45","No sabe",0.016,0.026,0.02,0.255
"P46","Lo votaría",0.146,0.41,0.628,0.479
"P46","Puede que lo vote",0.07,0.238,0.039,0.118
"P46","Nunca lo votaría",0.74,0.323,0.299,0.183
"P46","No sabe",0.044,0.029,0.034,0.22
"P47","Lo votaría",0.043,0.52,0.071,0.109
"P47","Puede que lo vote",0.068,0.307,0.051,0.175
"P47","Nunca lo votaría",0.848,0.142,0.809,0.475
"P47","No sabe",0.041,0.031,0.069,0.241
"P48","Lo votaría",0.177,0.092,0.053,0.098
"P48","Puede que lo vote",0.361,0.261,0.225,0.245
"P48","Nunca lo votaría",0.388,0.624,0.692,0.436
"P48","No sabe",0.074,0.023,0.03,0.221
"P49","Lo votaría",0.109,0.065,0.069,0.105
"P49","Puede que lo vote",0.284,0.301,0.217,0.221
"P49","Nunca lo votaría",0.532,0.567,0.669,0.398
"P49","No sabe",0.075,0.067,0.045,0.276
"P50","Si",0.385,0.528,0.432,0.531
"P50","No",0.615,0.472,0.568,0.469
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.594,0.184,0.18,0.132
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.11,0.209,0.296,0.294
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.125,0.577,0.348,0.334
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.143,0.026,0.089,0.035
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.026,0.004,0,0.042
"P51","En blanco",0.002,0,0.044,0.05
"P51","No sabe",0,0,0.043,0.113
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.641,0.376,0.279,0.269
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.17,0.488,0.4,0.394
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.016,0.099,0.132,0.028
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.123,0.019,0.062,0.1
"P52","En blanco",0.013,0.003,0.009,0.098
"P52","No sabe",0.037,0.015,0.118,0.111
"P53","Sergio Massa y Javier Milei",0.727,0.34,0.209,0.273
"P53","Patricia Bullrich y Javier Milei",0.147,0.637,0.671,0.588
"P53","Sergio Massa y Patricia Bullrich",0.126,0.023,0.12,0.139
"P54","Muy buena",0.062,0.041,0.032,0.047
"P54","Buena",0.159,0.053,0.038,0.114
"P54","Regular",0.439,0.039,0.107,0.088
"P54","Mala",0.222,0.226,0.233,0.338
"P54","Muy mala",0.118,0.641,0.59,0.413
"P55","Muy buena",0.108,0.026,0.009,0.052
"P55","Buena",0.282,0.017,0.026,0.055
"P55","Regular",0.342,0.042,0.143,0.081
"P55","Mala",0.147,0.204,0.167,0.295
"P55","Muy mala",0.121,0.711,0.655,0.517
"P56","Muy buena",0.223,0.086,0.029,0.059
"P56","Buena",0.375,0.146,0.143,0.143
"P56","Regular",0.273,0.388,0.372,0.404
"P56","Mala",0.081,0.234,0.273,0.254
"P56","Muy mala",0.048,0.146,0.183,0.14
"P57","Muy buena",0.076,0.022,0.021,0.01
"P57","Buena",0.33,0.088,0.126,0.072
"P57","Regular",0.424,0.467,0.38,0.489
"P57","Mala",0.13,0.255,0.284,0.305
"P57","Muy mala",0.04,0.168,0.189,0.124
"P58","Muy buena",0.131,0.02,0.038,0.025
"P58","Buena",0.337,0.066,0.093,0.079
"P58","Regular",0.365,0.293,0.238,0.294
"P58","Mala",0.12,0.313,0.298,0.432
"P58","Muy mala",0.047,0.308,0.333,0.17
"P59","Muy buena",0.17,0.077,0.036,0.038
"P59","Buena",0.423,0.21,0.176,0.187
"P59","Regular",0.319,0.425,0.484,0.459
"P59","Mala",0.066,0.168,0.221,0.218
"P59","Muy mala",0.022,0.12,0.083,0.098
"P60","Ha aumentado significativamente",0.126,0.032,0.029,0.016
"P60","Ha aumentado ligeramente",0.293,0.137,0.115,0.132
"P60","Se mantiene igual",0.319,0.272,0.24,0.319
"P60","Ha disminuido ligeramente",0.158,0.224,0.211,0.287
"P60","Ha disminuido significativamente",0.104,0.335,0.405,0.246
"P61","Muy baja",0.048,0.043,0.043,0.05
"P61","Baja",0.089,0.039,0.077,0.044
"P61","Moderada",0.143,0.049,0.061,0.079
"P61","Alta",0.416,0.127,0.154,0.265
"P61","Muy alta",0.304,0.742,0.665,0.562
"P62","Muy bajas",0.026,0.087,0.033,0.02
"P62","Bajas",0.091,0.101,0.095,0.062
"P62","Adecuadas",0.36,0.19,0.233,0.25
"P62","Altas",0.345,0.3,0.278,0.398
"P62","Muy altas",0.178,0.322,0.361,0.27
"P63","No, ninguna dificultad",0.416,0.241,0.191,0.157
"P63","Alguna dificultad ocasional",0.296,0.327,0.306,0.409
"P63","Sí, dificultades frecuentes",0.288,0.432,0.503,0.434
"P64","Sí, absolutamente",0.692,0.231,0.258,0.378
"P64","Sí, en cierta medida",0.238,0.366,0.37,0.38
"P64","No, en absoluto",0.07,0.403,0.372,0.242
"P65","Reducir la inflación",0.507,0.351,0.461,0.473
"P65","Implementar reformas fiscales",0.12,0.108,0.065,0.083
"P65","Establecer políticas de control de precios",0.206,0.077,0.105,0.09
"P65","Reducir el gasto público",0.076,0.432,0.295,0.283
"P65","Estimular la inversión extranjera",0.072,0.026,0.072,0.04
"P65","Aumentar los subsidios a los servicios públicos",0.019,0.006,0.002,0.031
"P66","Fomentar la competencia entre proveedores",0.221,0.486,0.313,0.367
"P66","Incrementar la inversión en infraestructura",0.187,0.208,0.25,0.201
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.239,0.071,0.135,0.108
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.353,0.235,0.302,0.324
"P67","Muy positiva",0.408,0.145,0.168,0.121
"P67","Positiva",0.275,0.164,0.14,0.177
"P67","Neutral",0.164,0.356,0.297,0.297
"P67","Algo negativa",0.059,0.105,0.122,0.17
"P67","Negativa",0.025,0.15,0.21,0.09
"P67","No sabe",0.069,0.08,0.063,0.145
"P68","Muy positivo",0.322,0.044,0.103,0.098
"P68","Positivo",0.307,0.147,0.092,0.182
"P68","Neutral",0.2,0.42,0.327,0.338
"P68","Algo negativo",0.05,0.121,0.13,0.111
"P68","Negativo",0.023,0.164,0.227,0.098
"P68","No sabe",0.098,0.104,0.121,0.173
"P69","Muy positivo",0.226,0.04,0.054,0.141
"P69","Positivo",0.251,0.099,0.078,0.117
"P69","Neutral",0.337,0.513,0.469,0.467
"P69","Algo negativo",0.044,0.103,0.111,0.068
"P69","Negativo",0.02,0.121,0.171,0.068
"P69","No sabe",0.122,0.124,0.117,0.139
"P70","Muy positiva",0.62,0.119,0.158,0.3
"P70","Positiva",0.219,0.224,0.156,0.23
"P70","Neutral",0.071,0.324,0.36,0.245
"P70","Algo negativa",0.029,0.119,0.159,0.122
"P70","Negativa",0.032,0.164,0.152,0.056
"P70","No sabe",0.029,0.05,0.015,0.047
"P71","Muy positivo",0.611,0.098,0.16,0.235
"P71","Positivo",0.222,0.229,0.159,0.152
"P71","Neutral",0.068,0.317,0.333,0.349
"P71","Algo negativo",0.042,0.126,0.173,0.109
"P71","Negativo",0.021,0.196,0.16,0.114
"P71","No sabe",0.036,0.034,0.015,0.041
"P72","Muy positivo",0.564,0.102,0.179,0.247
"P72","Positivo",0.227,0.267,0.144,0.223
"P72","Neutral",0.137,0.367,0.369,0.383
"P72","Algo negativo",0.025,0.062,0.116,0.058
"P72","Negativo",0.03,0.154,0.15,0.065
"P72","No sabe",0.017,0.048,0.042,0.024
"P73","Muy positiva",0.462,0.049,0.093,0.147
"P73","Positiva",0.322,0.172,0.147,0.174
"P73","Neutral",0.11,0.298,0.32,0.373
"P73","Algo negativa",0.041,0.14,0.112,0.148
"P73","Negativa",0.025,0.269,0.231,0.099
"P73","No sabe",0.04,0.072,0.097,0.059
"P74","Muy positivo",0.396,0.054,0.092,0.079
"P74","Positivo",0.35,0.134,0.133,0.221
"P74","Neutral",0.149,0.303,0.322,0.376
"P74","Algo negativo",0.032,0.167,0.151,0.146
"P74","Negativo",0.021,0.27,0.216,0.1
"P74","No sabe",0.052,0.072,0.086,0.078
"P75","Muy positivo",0.331,0.074,0.073,0.081
"P75","Positivo",0.326,0.103,0.102,0.203
"P75","Neutral",0.235,0.401,0.406,0.381
"P75","Algo negativo",0.029,0.118,0.143,0.094
"P75","Negativo",0.03,0.216,0.185,0.097
"P75","No sabe",0.049,0.088,0.091,0.144
"P76","Muy positiva",0.586,0.225,0.206,0.281
"P76","Positiva",0.229,0.199,0.179,0.19
"P76","Neutral",0.112,0.251,0.261,0.232
"P76","Algo negativa",0.016,0.096,0.095,0.095
"P76","Negativa",0.022,0.168,0.243,0.118
"P76","No sabe",0.035,0.061,0.016,0.084
"P77","Muy positivo",0.552,0.244,0.205,0.297
"P77","Positivo",0.261,0.227,0.167,0.182
"P77","Neutral",0.1,0.235,0.251,0.213
"P77","Algo negativo",0.049,0.086,0.152,0.126
"P77","Negativo",0.016,0.156,0.211,0.12
"P77","No sabe",0.022,0.052,0.014,0.062
"P78","Muy positivo",0.463,0.243,0.208,0.184
"P78","Positivo",0.224,0.212,0.147,0.279
"P78","Neutral",0.231,0.305,0.314,0.306
"P78","Algo negativo",0.027,0.067,0.1,0.047
"P78","Negativo",0.015,0.125,0.184,0.089
"P78","No sabe",0.04,0.048,0.047,0.095
"P79","Si",0.606,0.564,0.546,0.437
"P79","No",0.394,0.436,0.454,0.563
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.76,0.113,0.171,0.139
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.092,0.285,0.54,0.414
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.546,0.152,0.152
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.044,0.021,0.042,0.017
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.012,0.014,0.009,0.061
"PRESIDENTE","En blanco",0.007,0.013,0.038,0.087
"PRESIDENTE","No sabe",0.006,0.008,0.048,0.13
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.777,0.185,0.193,0.167
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.113,0.427,0.599,0.479
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.042,0.347,0.087,0.042
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.041,0.016,0.025,0.085
"GOBERNADOR","En blanco",0.009,0.015,0.038,0.102
"GOBERNADOR","No sabe",0.018,0.01,0.058,0.125
"CORTA_PRESIDENTE","Si",0.151,0.246,0.248,0.336
"CORTA_PRESIDENTE","No",0.849,0.754,0.752,0.664
"CORTA_GOBERNADOR","Si",0.138,0.293,0.256,0.318
"CORTA_GOBERNADOR","No",0.862,0.707,0.744,0.682
