"var","categoria","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda","En blanco","No sabe"
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.209,0.276,0.032,0.015,0.013,0.008
"P37","En blanco",0.072,0.022,0.048,0.094,0.029,0.029
"P37","No sabe",0.048,0.064,0.022,0.015,0.018,0.033
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.459,0.328,0.2,0.16,0.14,0.066
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.191,0.442,0.072,0.003,0.022,0.016
"P38","En blanco",0.215,0.185,0.508,0.647,0.695,0.294
"P38","No sabe",0.135,0.045,0.22,0.19,0.143,0.624
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.734,0.599,0.911,0.91,0.926,0.936
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.172,0.286,0.044,0,0,0.018
"P39","En blanco",0.052,0.059,0.019,0.054,0.058,0.024
"P39","No sabe",0.042,0.056,0.026,0.036,0.016,0.022
"P45","Lo votaría",0.598,0.613,0.906,0.948,0.934,0.966
"P45","Puede que lo vote",0.157,0.095,0.02,0.013,0.009,0.022
"P45","Nunca lo votaría",0.245,0.254,0.045,0.017,0.033,0.005
"P45","No sabe",0,0.038,0.029,0.022,0.024,0.007
"P46","Lo votaría",0.281,0.278,0.061,0.085,0.061,0.043
"P46","Puede que lo vote",0.301,0.042,0.07,0.018,0.033,0.046
"P46","Nunca lo votaría",0.339,0.622,0.817,0.845,0.877,0.834
"P46","No sabe",0.079,0.058,0.052,0.052,0.029,0.077
"P47","Lo votaría",0.064,0.173,0.014,0.007,0.004,0.027
"P47","Puede que lo vote",0.296,0.197,0.043,0.009,0.043,0.005
"P47","Nunca lo votaría",0.577,0.55,0.889,0.929,0.939,0.927
"P47","No sabe",0.063,0.08,0.054,0.055,0.014,0.041
"P48","Lo votaría",0.172,0.095,0.141,0.328,0.088,0.05
"P48","Puede que lo vote",0.374,0.255,0.414,0.456,0.306,0.369
"P48","Nunca lo votaría",0.331,0.588,0.386,0.148,0.571,0.397
"P48","No sabe",0.123,0.062,0.059,0.068,0.035,0.184
"P49","Lo votaría",0.1,0.078,0.207,0.046,0.076,0.106
"P49","Puede que lo vote",0.287,0.173,0.484,0.262,0.208,0.178
"P49","Nunca lo votaría",0.52,0.705,0.263,0.595,0.639,0.596
"P49","No sabe",0.093,0.044,0.046,0.097,0.077,0.12
"P50","Si",0.404,0.561,0.398,0.358,0.351,0.213
"P50","No",0.596,0.439,0.602,0.642,0.649,0.787
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.398,0.628,0.737,0.598,0.726,0.77
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.132,0.11,0.015,0.041,0.084,0.014
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.334,0.203,0.112,0.049,0.088,0.072
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.129,0.017,0.131,0.248,0.06,0.144
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.007,0.042,0.002,0,0.008,0
"P51","En blanco",0,0,0.003,0.032,0.011,0
"P51","No sabe",0,0,0,0.032,0.023,0
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.665,0.705,0.757,0.663,0.771,0.842
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.171,0.278,0.033,0.073,0.092,0.014
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.056,0,0.041,0.004,0.021,0
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.087,0.017,0.09,0.196,0.06,0.144
"P52","En blanco",0,0,0,0.026,0,0
"P52","No sabe",0.021,0,0.079,0.038,0.056,0
"P53","Sergio Massa y Javier Milei",0.613,0.658,0.733,0.78,0.793,0.712
"P53","Patricia Bullrich y Javier Milei",0.283,0.316,0.09,0.12,0.111,0.115
"P53","Sergio Massa y Patricia Bullrich",0.104,0.026,0.177,0.1,0.096,0.173
"P54","Muy buena",0.048,0.161,0.039,0.057,0.043,0.017
"P54","Buena",0.131,0.121,0.132,0.171,0.18,0.274
"P54","Regular",0.227,0.279,0.476,0.543,0.508,0.437
"P54","Mala",0.447,0.248,0.2,0.171,0.187,0.245
"P54","Muy mala",0.147,0.191,0.153,0.058,0.082,0.027
"P55","Muy buena",0.119,0.106,0.071,0.077,0.13,0.114
"P55","Buena",0.093,0.094,0.306,0.406,0.348,0.401
"P55","Regular",0.226,0.438,0.362,0.394,0.347,0.292
"P55","Mala",0.31,0.147,0.206,0.105,0.087,0.177
"P55","Muy mala",0.252,0.215,0.055,0.018,0.088,0.016
"P56","Muy buena",0.083,0.249,0.199,0.219,0.349,0.267
"P56","Buena",0.312,0.421,0.365,0.462,0.365,0.424
"P56","Regular",0.349,0.255,0.33,0.268,0.214,0.236
"P56","Mala",0.199,0.036,0.065,0.041,0.046,0.049
"P56","Muy mala",0.057,0.039,0.041,0.01,0.026,0.024
"P57","Muy buena",0.079,0.032,0.045,0.058,0.133,0.008
"P57","Buena",0.238,0.256,0.305,0.378,0.403,0.382
"P57","Regular",0.54,0.478,0.461,0.482,0.315,0.504
"P57","Mala",0.115,0.234,0.163,0.061,0.147,0.084
"P57","Muy mala",0.028,0,0.026,0.021,0.002,0.022
"P58","Muy buena",0.116,0.06,0.084,0.138,0.149,0.07
"P58","Buena",0.193,0.219,0.334,0.369,0.433,0.427
"P58","Regular",0.398,0.435,0.439,0.406,0.3,0.349
"P58","Mala",0.204,0.282,0.115,0.073,0.088,0.128
"P58","Muy mala",0.089,0.004,0.028,0.014,0.03,0.026
"P59","Muy buena",0.267,0.204,0.16,0.143,0.166,0.19
"P59","Buena",0.33,0.462,0.455,0.525,0.499,0.416
"P59","Regular",0.295,0.247,0.325,0.297,0.324,0.328
"P59","Mala",0.098,0.087,0.046,0.033,0.006,0.014
"P59","Muy mala",0.01,0,0.014,0.002,0.005,0.052
"P60","Ha aumentado significativamente",0.184,0.181,0.143,0.087,0.132,0.103
"P60","Ha aumentado ligeramente",0.216,0.458,0.263,0.312,0.295,0.329
"P60","Se mantiene igual",0.261,0.199,0.31,0.45,0.444,0.382
"P60","Ha disminuido ligeramente",0.134,0.157,0.131,0.101,0.106,0.14
"P60","Ha disminuido significativamente",0.205,0.005,0.153,0.05,0.023,0.046
"P61","Muy baja",0.109,0.065,0.042,0.018,0.085,0.008
"P61","Baja",0.125,0.188,0.114,0.046,0.073,0.106
"P61","Moderada",0.11,0.054,0.167,0.175,0.142,0.316
"P61","Alta",0.299,0.425,0.383,0.503,0.377,0.384
"P61","Muy alta",0.357,0.268,0.294,0.258,0.323,0.186
"P62","Muy bajas",0.034,0.088,0.059,0.004,0.008,0
"P62","Bajas",0.123,0.068,0.118,0.047,0.131,0.061
"P62","Adecuadas",0.33,0.37,0.327,0.407,0.4,0.408
"P62","Altas",0.324,0.373,0.356,0.403,0.3,0.374
"P62","Muy altas",0.189,0.101,0.14,0.139,0.161,0.157
"P63","No, ninguna dificultad",0.454,0.183,0.345,0.463,0.475,0.551
"P63","Alguna dificultad ocasional",0.227,0.333,0.386,0.289,0.301,0.238
"P63","Sí, dificultades frecuentes",0.319,0.484,0.269,0.248,0.224,0.211
"P64","Sí, absolutamente",0.74,0.526,0.689,0.775,0.763,0.737
"P64","Sí, en cierta medida",0.181,0.273,0.284,0.21,0.206,0.255
"P64","No, en absoluto",0.079,0.201,0.027,0.015,0.031,0.008
"P65","Reducir la inflación",0.596,0.355,0.523,0.502,0.575,0.526
"P65","Implementar reformas fiscales",0.034,0.04,0.151,0.197,0.09,0.086
"P65","Establecer políticas de control de precios",0.12,0.19,0.145,0.261,0.264,0.285
"P65","Reducir el gasto público",0.156,0.236,0.049,0.03,0.014,0.032
"P65","Estimular la inversión extranjera",0.086,0.1,0.132,0.007,0.036,0.036
"P65","Aumentar los subsidios a los servicios públicos",0.008,0.079,0,0.003,0.021,0.035
"P66","Fomentar la competencia entre proveedores",0.236,0.365,0.311,0.209,0.101,0.12
"P66","Incrementar la inversión en infraestructura",0.248,0.113,0.2,0.193,0.157,0.13
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.187,0.164,0.203,0.251,0.236,0.38
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.329,0.358,0.286,0.347,0.506,0.37
"P67","Muy positiva",0.466,0.522,0.329,0.457,0.441,0.383
"P67","Positiva",0.127,0.09,0.331,0.308,0.276,0.283
"P67","Neutral",0.308,0.154,0.142,0.12,0.137,0.191
"P67","Algo negativa",0.04,0.224,0.072,0.065,0.086,0.075
"P67","Negativa",0.015,0.01,0.011,0,0.002,0.006
"P67","No sabe",0.044,0,0.115,0.05,0.058,0.062
"P68","Muy positivo",0.363,0.282,0.363,0.367,0.353,0.233
"P68","Positivo",0.181,0.28,0.332,0.416,0.364,0.409
"P68","Neutral",0.312,0.303,0.156,0.146,0.207,0.228
"P68","Algo negativo",0.088,0,0.031,0.026,0.005,0.04
"P68","Negativo",0.012,0.102,0.013,0,0,0.007
"P68","No sabe",0.044,0.033,0.105,0.045,0.071,0.083
"P69","Muy positivo",0.146,0.109,0.319,0.274,0.223,0.256
"P69","Positivo",0.291,0.39,0.259,0.313,0.31,0.205
"P69","Neutral",0.282,0.365,0.282,0.336,0.323,0.431
"P69","Algo negativo",0.16,0.006,0.023,0.001,0.003,0.046
"P69","Negativo",0.024,0.098,0.01,0,0,0
"P69","No sabe",0.097,0.032,0.107,0.076,0.141,0.062
"P70","Muy positiva",0.551,0.329,0.694,0.774,0.704,0.607
"P70","Positiva",0.195,0.451,0.232,0.164,0.254,0.248
"P70","Neutral",0.17,0.156,0.043,0.057,0.034,0.052
"P70","Algo negativa",0.07,0.007,0.011,0.004,0.008,0.072
"P70","Negativa",0.01,0.046,0.018,0,0,0
"P70","No sabe",0.004,0.011,0.002,0.001,0,0.021
"P71","Muy positivo",0.699,0.371,0.667,0.696,0.719,0.567
"P71","Positivo",0.115,0.47,0.237,0.242,0.213,0.29
"P71","Neutral",0.095,0.107,0.076,0.03,0.057,0.045
"P71","Algo negativo",0.082,0,0.015,0.006,0.011,0.071
"P71","Negativo",0.005,0.052,0.002,0,0,0.006
"P71","No sabe",0.004,0,0.003,0.026,0,0.021
"P72","Muy positivo",0.604,0.456,0.62,0.63,0.622,0.596
"P72","Positivo",0.227,0.363,0.254,0.259,0.231,0.287
"P72","Neutral",0.095,0.065,0.106,0.103,0.105,0.09
"P72","Algo negativo",0.06,0,0.004,0.003,0.032,0
"P72","Negativo",0.014,0.107,0.005,0,0,0.003
"P72","No sabe",0,0.009,0.011,0.005,0.01,0.024
"P73","Muy positiva",0.599,0.297,0.479,0.507,0.569,0.388
"P73","Positiva",0.12,0.351,0.45,0.317,0.328,0.334
"P73","Neutral",0.166,0.102,0.026,0.111,0.068,0.196
"P73","Algo negativa",0.106,0.132,0.009,0.039,0.024,0.007
"P73","Negativa",0.009,0.109,0.003,0.004,0,0
"P73","No sabe",0,0.009,0.033,0.022,0.011,0.075
"P74","Muy positivo",0.327,0.214,0.507,0.448,0.442,0.309
"P74","Positivo",0.281,0.318,0.366,0.397,0.451,0.482
"P74","Neutral",0.211,0.277,0.076,0.084,0.095,0.194
"P74","Algo negativo",0.121,0.132,0.018,0.013,0.001,0.007
"P74","Negativo",0.023,0.048,0.001,0,0,0
"P74","No sabe",0.037,0.011,0.032,0.058,0.011,0.008
"P75","Muy positivo",0.31,0.087,0.422,0.379,0.38,0.312
"P75","Positivo",0.094,0.477,0.374,0.36,0.404,0.462
"P75","Neutral",0.348,0.24,0.164,0.223,0.176,0.222
"P75","Algo negativo",0.127,0.02,0.01,0.002,0.002,0
"P75","Negativo",0.006,0.052,0.005,0,0,0
"P75","No sabe",0.115,0.124,0.025,0.036,0.038,0.004
"P76","Muy positiva",0.384,0.421,0.656,0.655,0.596,0.681
"P76","Positiva",0.234,0.161,0.268,0.264,0.217,0.285
"P76","Neutral",0.266,0.233,0.028,0.063,0.179,0.03
"P76","Algo negativa",0.068,0.012,0.022,0.005,0,0
"P76","Negativa",0.01,0.048,0.01,0.002,0,0.004
"P76","No sabe",0.038,0.125,0.016,0.011,0.008,0
"P77","Muy positivo",0.57,0.65,0.596,0.618,0.593,0.628
"P77","Positivo",0.162,0.132,0.302,0.267,0.238,0.26
"P77","Neutral",0.178,0.192,0.061,0.1,0.125,0.033
"P77","Algo negativo",0.079,0.006,0.017,0.013,0.042,0.059
"P77","Negativo",0.011,0.02,0.006,0.002,0,0.012
"P77","No sabe",0,0,0.018,0,0.002,0.008
"P78","Muy positivo",0.589,0.527,0.519,0.538,0.523,0.5
"P78","Positivo",0.19,0.221,0.331,0.177,0.202,0.272
"P78","Neutral",0.148,0.193,0.124,0.257,0.228,0.224
"P78","Algo negativo",0,0.022,0.01,0.002,0.044,0
"P78","Negativo",0.012,0.025,0.002,0.021,0,0.004
"P78","No sabe",0.061,0.012,0.014,0.005,0.003,0
"P79","Si",0.612,0.361,0.604,0.612,0.642,0.495
"P79","No",0.388,0.639,0.396,0.388,0.358,0.505
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.828,0.853,0.92,0.87,0.93,0.956
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.037,0.047,0.004,0.017,0.022,0.002
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.097,0.075,0.041,0.017,0.025,0.011
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.036,0.007,0.033,0.076,0.01,0.031
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.002,0.018,0.001,0,0.002,0
"PRESIDENTE","En blanco",0,0,0.001,0.01,0.006,0
"PRESIDENTE","No sabe",0,0,0,0.01,0.005,0
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.898,0.882,0.932,0.887,0.943,0.967
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.052,0.111,0.01,0.027,0.024,0.003
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.017,0,0.011,0.001,0.005,0
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.025,0.007,0.023,0.062,0.01,0.03
"GOBERNADOR","En blanco",0,0,0,0.01,0,0
"GOBERNADOR","No sabe",0.008,0,0.024,0.013,0.018,0
"CORTA_PRESIDENTE","Si",0.248,0.203,0.103,0.141,0.087,0.057
"CORTA_PRESIDENTE","No",0.752,0.797,0.897,0.859,0.913,0.943
"CORTA_GOBERNADOR","Si",0.136,0.166,0.096,0.124,0.069,0.043
"CORTA_GOBERNADOR","No",0.864,0.834,0.904,0.876,0.931,0.957
