"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerables","Realizar auditorías periódicas a las empresas de servicios públicos"
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.047,0.089,0.144,0.101
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.038,0.076,0.055,0.09
"P36","No sabe",0.038,0.049,0.034,0.062
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.289,0.355,0.67,0.498
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.485,0.506,0.179,0.333
"P37","En blanco",0.131,0.091,0.074,0.116
"P37","No sabe",0.095,0.048,0.077,0.053
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.408,0.458,0.191,0.316
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.318,0.197,0.133,0.176
"P38","En blanco",0.157,0.235,0.457,0.343
"P38","No sabe",0.117,0.11,0.219,0.165
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.298,0.412,0.675,0.518
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.468,0.327,0.143,0.246
"P39","En blanco",0.127,0.165,0.116,0.133
"P39","No sabe",0.107,0.096,0.066,0.103
"P45","Lo votaría",0.272,0.394,0.692,0.489
"P45","Puede que lo vote",0.133,0.076,0.04,0.064
"P45","Nunca lo votaría",0.554,0.501,0.259,0.412
"P45","No sabe",0.041,0.029,0.009,0.035
"P46","Lo votaría",0.369,0.411,0.18,0.286
"P46","Puede que lo vote",0.155,0.14,0.08,0.1
"P46","Nunca lo votaría",0.438,0.425,0.713,0.571
"P46","No sabe",0.038,0.024,0.027,0.043
"P47","Lo votaría",0.327,0.206,0.078,0.152
"P47","Puede que lo vote",0.162,0.158,0.102,0.156
"P47","Nunca lo votaría",0.45,0.595,0.793,0.628
"P47","No sabe",0.061,0.041,0.027,0.064
"P48","Lo votaría",0.128,0.126,0.111,0.159
"P48","Puede que lo vote",0.223,0.327,0.293,0.333
"P48","Nunca lo votaría",0.609,0.492,0.528,0.45
"P48","No sabe",0.04,0.055,0.068,0.058
"P49","Lo votaría",0.071,0.085,0.074,0.082
"P49","Puede que lo vote",0.252,0.345,0.263,0.27
"P49","Nunca lo votaría",0.595,0.516,0.574,0.544
"P49","No sabe",0.082,0.054,0.089,0.104
"P50","Si",0.504,0.385,0.363,0.482
"P50","No",0.496,0.615,0.637,0.518
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.296,0.289,0.364,0.396
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.161,0.216,0.248,0.123
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.399,0.356,0.253,0.312
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.074,0.097,0.103,0.098
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.012,0.022,0,0.036
"P51","En blanco",0.031,0,0.008,0.021
"P51","No sabe",0.027,0.02,0.024,0.014
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.367,0.483,0.474,0.551
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.415,0.339,0.309,0.233
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.062,0.027,0.066,0.081
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.09,0.091,0.084,0.071
"P52","En blanco",0.009,0.009,0.067,0.025
"P52","No sabe",0.057,0.051,0,0.039
"P53","Sergio Massa y Javier Milei",0.466,0.369,0.618,0.524
"P53","Patricia Bullrich y Javier Milei",0.472,0.492,0.284,0.364
"P53","Sergio Massa y Patricia Bullrich",0.062,0.139,0.098,0.112
"P54","Muy buena",0.07,0.036,0.053,0.032
"P54","Buena",0.087,0.08,0.124,0.124
"P54","Regular",0.128,0.215,0.415,0.236
"P54","Mala",0.188,0.268,0.184,0.265
"P54","Muy mala",0.527,0.401,0.224,0.343
"P55","Muy buena",0.067,0.014,0.103,0.08
"P55","Buena",0.093,0.121,0.211,0.158
"P55","Regular",0.119,0.214,0.29,0.216
"P55","Mala",0.168,0.228,0.159,0.156
"P55","Muy mala",0.553,0.423,0.237,0.39
"P56","Muy buena",0.13,0.093,0.203,0.13
"P56","Buena",0.204,0.249,0.319,0.246
"P56","Regular",0.324,0.389,0.294,0.359
"P56","Mala",0.218,0.168,0.094,0.147
"P56","Muy mala",0.124,0.101,0.09,0.118
"P57","Muy buena",0.05,0.025,0.057,0.059
"P57","Buena",0.168,0.209,0.279,0.182
"P57","Regular",0.476,0.463,0.378,0.413
"P57","Mala",0.208,0.202,0.146,0.221
"P57","Muy mala",0.098,0.101,0.14,0.125
"P58","Muy buena",0.087,0.055,0.109,0.067
"P58","Buena",0.142,0.175,0.299,0.176
"P58","Regular",0.297,0.352,0.286,0.336
"P58","Mala",0.242,0.265,0.158,0.245
"P58","Muy mala",0.232,0.153,0.148,0.176
"P59","Muy buena",0.125,0.088,0.135,0.122
"P59","Buena",0.268,0.311,0.38,0.259
"P59","Regular",0.372,0.454,0.255,0.424
"P59","Mala",0.153,0.115,0.149,0.115
"P59","Muy mala",0.082,0.032,0.081,0.08
"P60","Ha aumentado significativamente",0.075,0.048,0.106,0.086
"P60","Ha aumentado ligeramente",0.173,0.204,0.286,0.211
"P60","Se mantiene igual",0.271,0.311,0.314,0.274
"P60","Ha disminuido ligeramente",0.19,0.257,0.187,0.178
"P60","Ha disminuido significativamente",0.291,0.18,0.107,0.251
"P61","Muy baja",0.025,0.02,0.029,0.086
"P61","Baja",0.054,0.093,0.087,0.043
"P61","Moderada",0.068,0.086,0.145,0.105
"P61","Alta",0.232,0.287,0.363,0.241
"P61","Muy alta",0.621,0.514,0.376,0.525
"P62","Muy bajas",0.08,0.037,0.008,0.045
"P62","Bajas",0.119,0.117,0.096,0.05
"P62","Adecuadas",0.229,0.314,0.35,0.269
"P62","Altas",0.316,0.352,0.322,0.329
"P62","Muy altas",0.256,0.18,0.224,0.307
"P63","No, ninguna dificultad",0.308,0.333,0.382,0.262
"P63","Alguna dificultad ocasional",0.336,0.339,0.272,0.327
"P63","Sí, dificultades frecuentes",0.356,0.328,0.346,0.411
"P64","Sí, absolutamente",0.334,0.378,0.635,0.512
"P64","Sí, en cierta medida",0.325,0.362,0.247,0.295
"P64","No, en absoluto",0.341,0.26,0.118,0.193
"P65","Reducir la inflación",0.495,0.418,0.472,0.377
"P65","Implementar reformas fiscales",0.098,0.193,0.068,0.077
"P65","Establecer políticas de control de precios",0.087,0.091,0.318,0.154
"P65","Reducir el gasto público",0.27,0.244,0.046,0.311
"P65","Estimular la inversión extranjera",0.039,0.048,0.065,0.068
"P65","Aumentar los subsidios a los servicios públicos",0.011,0.006,0.031,0.013
"P67","Muy positiva",0.334,0.145,0.327,0.225
"P67","Positiva",0.144,0.341,0.221,0.195
"P67","Neutral",0.257,0.282,0.306,0.215
"P67","Algo negativa",0.08,0.064,0.041,0.156
"P67","Negativa",0.128,0.102,0.025,0.096
"P67","No sabe",0.057,0.066,0.08,0.113
"P68","Muy positivo",0.166,0.147,0.232,0.19
"P68","Positivo",0.148,0.183,0.298,0.265
"P68","Neutral",0.357,0.35,0.323,0.199
"P68","Algo negativo",0.107,0.108,0.039,0.086
"P68","Negativo",0.122,0.133,0.027,0.103
"P68","No sabe",0.1,0.079,0.081,0.157
"P69","Muy positivo",0.115,0.129,0.221,0.116
"P69","Positivo",0.135,0.16,0.235,0.168
"P69","Neutral",0.474,0.428,0.381,0.389
"P69","Algo negativo",0.081,0.065,0.039,0.091
"P69","Negativo",0.105,0.09,0.027,0.062
"P69","No sabe",0.09,0.128,0.097,0.174
"P70","Muy positiva",0.303,0.336,0.44,0.42
"P70","Positiva",0.167,0.205,0.27,0.241
"P70","Neutral",0.286,0.212,0.116,0.165
"P70","Algo negativa",0.107,0.079,0.072,0.069
"P70","Negativa",0.11,0.097,0.045,0.095
"P70","No sabe",0.027,0.071,0.057,0.01
"P71","Muy positivo",0.25,0.354,0.461,0.4
"P71","Positivo",0.2,0.156,0.217,0.251
"P71","Neutral",0.271,0.233,0.152,0.159
"P71","Algo negativo",0.109,0.101,0.081,0.074
"P71","Negativo",0.144,0.113,0.044,0.088
"P71","No sabe",0.026,0.043,0.045,0.028
"P72","Muy positivo",0.263,0.295,0.464,0.365
"P72","Positivo",0.236,0.218,0.176,0.26
"P72","Neutral",0.314,0.319,0.215,0.202
"P72","Algo negativo",0.066,0.045,0.038,0.048
"P72","Negativo",0.113,0.081,0.081,0.072
"P72","No sabe",0.008,0.042,0.026,0.053
"P73","Muy positiva",0.182,0.19,0.376,0.303
"P73","Positiva",0.176,0.238,0.33,0.256
"P73","Neutral",0.286,0.267,0.096,0.191
"P73","Algo negativa",0.11,0.107,0.103,0.058
"P73","Negativa",0.204,0.147,0.048,0.102
"P73","No sabe",0.042,0.051,0.047,0.09
"P74","Muy positivo",0.19,0.167,0.317,0.231
"P74","Positivo",0.143,0.228,0.386,0.281
"P74","Neutral",0.27,0.26,0.166,0.241
"P74","Algo negativo",0.136,0.142,0.051,0.06
"P74","Negativo",0.203,0.142,0.031,0.102
"P74","No sabe",0.058,0.061,0.049,0.085
"P75","Muy positivo",0.187,0.155,0.259,0.189
"P75","Positivo",0.129,0.2,0.338,0.256
"P75","Neutral",0.345,0.319,0.266,0.333
"P75","Algo negativo",0.102,0.121,0.036,0.045
"P75","Negativo",0.173,0.121,0.036,0.087
"P75","No sabe",0.064,0.084,0.065,0.09
"P76","Muy positiva",0.356,0.325,0.457,0.451
"P76","Positiva",0.191,0.239,0.253,0.186
"P76","Neutral",0.205,0.18,0.175,0.177
"P76","Algo negativa",0.073,0.09,0.018,0.045
"P76","Negativa",0.15,0.116,0.046,0.078
"P76","No sabe",0.025,0.05,0.051,0.063
"P77","Muy positivo",0.352,0.307,0.475,0.428
"P77","Positivo",0.21,0.245,0.307,0.204
"P77","Neutral",0.202,0.186,0.175,0.13
"P77","Algo negativo",0.069,0.127,0.023,0.094
"P77","Negativo",0.146,0.103,0.017,0.077
"P77","No sabe",0.021,0.032,0.003,0.067
"P78","Muy positivo",0.325,0.295,0.417,0.327
"P78","Positivo",0.205,0.248,0.178,0.226
"P78","Neutral",0.254,0.275,0.292,0.28
"P78","Algo negativo",0.059,0.055,0.019,0.055
"P78","Negativo",0.121,0.085,0.01,0.062
"P78","No sabe",0.036,0.042,0.084,0.05
"P79","Si",0.548,0.601,0.651,0.522
"P79","No",0.452,0.399,0.349,0.478
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.317,0.362,0.576,0.476
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.274,0.34,0.196,0.195
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.33,0.206,0.151,0.24
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.033,0.03,0.04,0.045
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.011,0.008,0.004,0.026
"PRESIDENTE","En blanco",0.017,0.016,0.02,0.009
"PRESIDENTE","No sabe",0.018,0.038,0.013,0.009
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.331,0.417,0.605,0.527
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.411,0.397,0.231,0.258
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.172,0.099,0.084,0.143
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.041,0.032,0.032,0.042
"GOBERNADOR","En blanco",0.011,0.021,0.043,0.013
"GOBERNADOR","No sabe",0.034,0.034,0.005,0.017
"CORTA_PRESIDENTE","Si",0.274,0.196,0.129,0.234
"CORTA_PRESIDENTE","No",0.726,0.804,0.871,0.766
"CORTA_GOBERNADOR","Si",0.277,0.203,0.146,0.247
"CORTA_GOBERNADOR","No",0.723,0.797,0.854,0.753
