"var","categoria","Sergio Massa y Javier Milei","Patricia Bullrich y Javier Milei","Sergio Massa y Patricia Bullrich"
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.508,0.324,0.53
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.243,0.549,0.243
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.077,0.041,0.055
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.094,0.04,0.085
"P52","En blanco",0.021,0.019,0.008
"P52","No sabe",0.057,0.027,0.079
"P54","Muy buena",0.089,0.015,0.003
"P54","Buena",0.111,0.083,0.151
"P54","Regular",0.33,0.093,0.297
"P54","Mala",0.215,0.256,0.257
"P54","Muy mala",0.255,0.553,0.292
"P55","Muy buena",0.099,0.024,0.041
"P55","Buena",0.234,0.029,0.128
"P55","Regular",0.243,0.099,0.324
"P55","Mala",0.163,0.199,0.214
"P55","Muy mala",0.261,0.649,0.293
"P56","Muy buena",0.206,0.057,0.117
"P56","Buena",0.314,0.166,0.237
"P56","Regular",0.266,0.408,0.39
"P56","Mala",0.139,0.224,0.145
"P56","Muy mala",0.075,0.145,0.111
"P57","Muy buena",0.07,0.02,0.026
"P57","Buena",0.272,0.116,0.162
"P57","Regular",0.403,0.468,0.486
"P57","Mala",0.179,0.252,0.183
"P57","Muy mala",0.076,0.144,0.143
"P58","Muy buena",0.12,0.024,0.033
"P58","Buena",0.263,0.104,0.184
"P58","Regular",0.333,0.282,0.387
"P58","Mala",0.167,0.328,0.214
"P58","Muy mala",0.117,0.262,0.182
"P59","Muy buena",0.162,0.051,0.087
"P59","Buena",0.376,0.198,0.321
"P59","Regular",0.325,0.471,0.36
"P59","Mala",0.086,0.19,0.155
"P59","Muy mala",0.051,0.09,0.077
"P60","Ha aumentado significativamente",0.114,0.031,0.028
"P60","Ha aumentado ligeramente",0.274,0.124,0.177
"P60","Se mantiene igual",0.306,0.264,0.355
"P60","Ha disminuido ligeramente",0.143,0.255,0.24
"P60","Ha disminuido significativamente",0.163,0.326,0.2
"P61","Muy baja",0.055,0.031,0.06
"P61","Baja",0.072,0.062,0.06
"P61","Moderada",0.119,0.058,0.134
"P61","Alta",0.337,0.186,0.318
"P61","Muy alta",0.417,0.663,0.428
"P62","Muy bajas",0.051,0.044,0.033
"P62","Bajas",0.096,0.091,0.072
"P62","Adecuadas",0.318,0.237,0.243
"P62","Altas",0.314,0.321,0.413
"P62","Muy altas",0.221,0.307,0.239
"P63","No, ninguna dificultad",0.394,0.213,0.232
"P63","Alguna dificultad ocasional",0.271,0.354,0.408
"P63","Sí, dificultades frecuentes",0.335,0.433,0.36
"P64","Sí, absolutamente",0.584,0.269,0.59
"P64","Sí, en cierta medida",0.264,0.385,0.233
"P64","No, en absoluto",0.152,0.346,0.177
"P65","Reducir la inflación",0.503,0.393,0.407
"P65","Implementar reformas fiscales",0.105,0.101,0.118
"P65","Establecer políticas de control de precios",0.177,0.079,0.207
"P65","Reducir el gasto público",0.146,0.364,0.182
"P65","Estimular la inversión extranjera",0.051,0.058,0.059
"P65","Aumentar los subsidios a los servicios públicos",0.018,0.005,0.027
"P66","Fomentar la competencia entre proveedores",0.317,0.38,0.21
"P66","Incrementar la inversión en infraestructura",0.154,0.242,0.286
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.201,0.109,0.157
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.328,0.269,0.347
"P67","Muy positiva",0.364,0.148,0.235
"P67","Positiva",0.26,0.133,0.31
"P67","Neutral",0.204,0.328,0.22
"P67","Algo negativa",0.067,0.124,0.094
"P67","Negativa",0.042,0.164,0.081
"P67","No sabe",0.063,0.103,0.06
"P68","Muy positivo",0.262,0.084,0.192
"P68","Positivo",0.275,0.123,0.313
"P68","Neutral",0.261,0.363,0.24
"P68","Algo negativo",0.056,0.132,0.078
"P68","Negativo",0.051,0.169,0.076
"P68","No sabe",0.095,0.129,0.101
"P69","Muy positivo",0.188,0.076,0.127
"P69","Positivo",0.202,0.099,0.278
"P69","Neutral",0.405,0.449,0.409
"P69","Algo negativo",0.049,0.108,0.056
"P69","Negativo",0.033,0.132,0.059
"P69","No sabe",0.123,0.136,0.071
"P70","Muy positiva",0.513,0.178,0.438
"P70","Positiva",0.216,0.199,0.266
"P70","Neutral",0.15,0.279,0.192
"P70","Algo negativa",0.038,0.144,0.067
"P70","Negativa",0.049,0.159,0.018
"P70","No sabe",0.034,0.041,0.019
"P71","Muy positivo",0.486,0.158,0.484
"P71","Positivo",0.225,0.186,0.232
"P71","Neutral",0.155,0.293,0.139
"P71","Algo negativo",0.046,0.143,0.115
"P71","Negativo",0.054,0.182,0.026
"P71","No sabe",0.034,0.038,0.004
"P72","Muy positivo",0.444,0.178,0.447
"P72","Positivo",0.253,0.207,0.203
"P72","Neutral",0.198,0.341,0.279
"P72","Algo negativo",0.033,0.08,0.029
"P72","Negativo",0.044,0.154,0.035
"P72","No sabe",0.028,0.04,0.007
"P73","Muy positiva",0.37,0.114,0.239
"P73","Positiva",0.292,0.153,0.324
"P73","Neutral",0.167,0.304,0.158
"P73","Algo negativa",0.059,0.118,0.156
"P73","Negativa",0.072,0.226,0.079
"P73","No sabe",0.04,0.085,0.044
"P74","Muy positivo",0.326,0.092,0.208
"P74","Positivo",0.307,0.128,0.389
"P74","Neutral",0.198,0.313,0.165
"P74","Algo negativo",0.057,0.153,0.1
"P74","Negativo",0.063,0.222,0.107
"P74","No sabe",0.049,0.092,0.031
"P75","Muy positivo",0.277,0.097,0.163
"P75","Positivo",0.276,0.11,0.351
"P75","Neutral",0.287,0.369,0.315
"P75","Algo negativo",0.044,0.131,0.029
"P75","Negativo",0.063,0.185,0.087
"P75","No sabe",0.053,0.108,0.055
"P76","Muy positiva",0.538,0.229,0.35
"P76","Positiva",0.212,0.169,0.375
"P76","Neutral",0.151,0.245,0.122
"P76","Algo negativa",0.031,0.094,0.052
"P76","Negativa",0.036,0.192,0.094
"P76","No sabe",0.032,0.071,0.007
"P77","Muy positivo",0.521,0.223,0.378
"P77","Positivo",0.259,0.181,0.3
"P77","Neutral",0.11,0.251,0.164
"P77","Algo negativo",0.049,0.123,0.068
"P77","Negativo",0.028,0.18,0.085
"P77","No sabe",0.033,0.042,0.005
"P78","Muy positivo",0.427,0.222,0.328
"P78","Positivo",0.246,0.165,0.282
"P78","Neutral",0.235,0.324,0.244
"P78","Algo negativo",0.031,0.077,0.042
"P78","Negativo",0.026,0.142,0.074
"P78","No sabe",0.035,0.07,0.03
"P79","Si",0.581,0.538,0.628
"P79","No",0.419,0.462,0.372
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.575,0.179,0.519
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.089,0.461,0.281
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.239,0.304,0.09
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.05,0.016,0.038
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.016,0.006,0.036
"PRESIDENTE","En blanco",0.01,0.021,0.003
"PRESIDENTE","No sabe",0.021,0.013,0.033
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.624,0.207,0.533
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.161,0.563,0.288
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.119,0.177,0.058
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.049,0.016,0.072
"GOBERNADOR","En blanco",0.012,0.026,0.003
"GOBERNADOR","No sabe",0.035,0.011,0.046
"CORTA_PRESIDENTE","Si",0.251,0.181,0.151
"CORTA_PRESIDENTE","No",0.749,0.819,0.849
"CORTA_GOBERNADOR","Si",0.269,0.178,0.159
"CORTA_GOBERNADOR","No",0.731,0.822,0.841
