"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P39","En blanco",0.057,0.296,0.086,0.171,0.07,0.234,0.247
"P39","No sabe",0.038,0.188,0.071,0.057,0.39,0.448,0.556
"P45","Lo votaría",0.825,0.135,0.126,0.526,0.407,0.175,0.21
"P45","Puede que lo vote",0.025,0.102,0.155,0.196,0.091,0.111,0.057
"P45","Nunca lo votaría",0.128,0.733,0.654,0.241,0.272,0.536,0.402
"P45","No sabe",0.022,0.03,0.065,0.037,0.23,0.178,0.331
"P46","Lo votaría",0.147,0.711,0.253,0.161,0.074,0.158,0.205
"P46","Puede que lo vote",0.057,0.056,0.305,0.086,0.107,0.208,0.228
"P46","Nunca lo votaría",0.74,0.187,0.392,0.733,0.712,0.349,0.345
"P46","No sabe",0.056,0.046,0.05,0.02,0.107,0.285,0.222
"P47","Lo votaría",0.054,0.171,0.525,0.097,0.018,0.054,0.074
"P47","Puede que lo vote",0.075,0.229,0.183,0.05,0.062,0.244,0.209
"P47","Nunca lo votaría",0.818,0.537,0.236,0.834,0.794,0.472,0.465
"P47","No sabe",0.053,0.063,0.056,0.019,0.126,0.23,0.252
"P48","Lo votaría",0.148,0.042,0.124,0.391,0.466,0.041,0.264
"P48","Puede que lo vote",0.364,0.256,0.273,0.27,0.064,0.095,0.229
"P48","Nunca lo votaría",0.409,0.661,0.562,0.311,0.251,0.443,0.276
"P48","No sabe",0.079,0.041,0.041,0.028,0.219,0.421,0.231
"P49","Lo votaría",0.107,0.067,0.05,0.167,0.168,0.01,0.232
"P49","Puede que lo vote",0.269,0.268,0.303,0.277,0.248,0.152,0.164
"P49","Nunca lo votaría",0.531,0.589,0.579,0.501,0.383,0.389,0.446
"P49","No sabe",0.093,0.076,0.068,0.055,0.201,0.449,0.158
"P50","Si",0.349,0.32,0.569,0.933,0.474,0.417,0.55
"P50","No",0.651,0.68,0.431,0.067,0.526,0.583,0.45
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",1,0,0,0,0,0,0
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0,0,0,0
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0,0,0,0
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0,0,0,1,0,0,0
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0,0,0,1,0,0
"P51","En blanco",0,0,0,0,0,1,0
"P51","No sabe",0,0,0,0,0,0,1
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.9,0,0.336,0.225,0.364,0.116,0.045
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.004,0.923,0.43,0,0.526,0.002,0.178
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.004,0.042,0.155,0,0,0.218,0.026
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.008,0,0.013,0.775,0,0,0.32
"P52","En blanco",0.023,0,0.02,0,0.11,0.07,0.17
"P52","No sabe",0.061,0.035,0.046,0,0,0.594,0.261
"P53","Sergio Massa y Javier Milei",0.695,0.167,0.464,0.701,0.567,0.36,0.554
"P53","Patricia Bullrich y Javier Milei",0.183,0.731,0.502,0.193,0.182,0.617,0.282
"P53","Sergio Massa y Patricia Bullrich",0.122,0.102,0.034,0.106,0.251,0.023,0.164
"P54","Muy buena",0.064,0.051,0.031,0.106,0.037,0,0
"P54","Buena",0.155,0.072,0.063,0.087,0.189,0.106,0.012
"P54","Regular",0.443,0.049,0.1,0.147,0.228,0.248,0.115
"P54","Mala",0.218,0.274,0.195,0.323,0.244,0.265,0.284
"P54","Muy mala",0.12,0.554,0.611,0.337,0.302,0.381,0.589
"P55","Muy buena",0.113,0.024,0.033,0.042,0.03,0.008,0.009
"P55","Buena",0.276,0.02,0.049,0.178,0.066,0.131,0.117
"P55","Regular",0.339,0.07,0.071,0.411,0.405,0.105,0.083
"P55","Mala",0.16,0.229,0.165,0.144,0.084,0.191,0.321
"P55","Muy mala",0.112,0.657,0.682,0.225,0.415,0.565,0.47
"P56","Muy buena",0.228,0.038,0.121,0.104,0.029,0.009,0
"P56","Buena",0.382,0.154,0.151,0.267,0.145,0.264,0.127
"P56","Regular",0.263,0.396,0.4,0.341,0.426,0.368,0.256
"P56","Mala",0.095,0.243,0.185,0.234,0.137,0.289,0.374
"P56","Muy mala",0.032,0.169,0.143,0.054,0.263,0.07,0.243
"P57","Muy buena",0.073,0.01,0.041,0.08,0.029,0.009,0
"P57","Buena",0.32,0.146,0.075,0.171,0.036,0.178,0.118
"P57","Regular",0.42,0.435,0.473,0.484,0.33,0.601,0.303
"P57","Mala",0.156,0.25,0.231,0.249,0.318,0.172,0.326
"P57","Muy mala",0.031,0.159,0.18,0.016,0.287,0.04,0.253
"P58","Muy buena",0.137,0.02,0.027,0.099,0.029,0.173,0
"P58","Buena",0.32,0.089,0.106,0.182,0.065,0.09,0.039
"P58","Regular",0.351,0.294,0.285,0.357,0.648,0.384,0.195
"P58","Mala",0.144,0.343,0.261,0.264,0.14,0.261,0.378
"P58","Muy mala",0.048,0.254,0.321,0.098,0.118,0.092,0.388
"P59","Muy buena",0.167,0.061,0.093,0.126,0.01,0.009,0
"P59","Buena",0.445,0.17,0.218,0.269,0.18,0.276,0.182
"P59","Regular",0.289,0.482,0.433,0.407,0.619,0.397,0.368
"P59","Mala",0.072,0.196,0.152,0.188,0.115,0.184,0.173
"P59","Muy mala",0.027,0.091,0.104,0.01,0.076,0.134,0.277
"P60","Ha aumentado significativamente",0.124,0.021,0.044,0.156,0.025,0,0.032
"P60","Ha aumentado ligeramente",0.285,0.13,0.161,0.233,0.063,0.191,0.174
"P60","Se mantiene igual",0.334,0.26,0.255,0.359,0.214,0.259,0.308
"P60","Ha disminuido ligeramente",0.145,0.279,0.209,0.138,0.059,0.218,0.272
"P60","Ha disminuido significativamente",0.112,0.31,0.331,0.114,0.639,0.332,0.214
"P61","Muy baja",0.054,0.042,0.033,0.012,0.229,0,0.038
"P61","Baja",0.093,0.065,0.04,0.017,0.019,0,0.013
"P61","Moderada",0.14,0.046,0.083,0.107,0.034,0.076,0.055
"P61","Alta",0.414,0.177,0.157,0.333,0.094,0.266,0.36
"P61","Muy alta",0.299,0.67,0.687,0.531,0.624,0.658,0.534
"P62","Muy bajas",0.027,0.053,0.075,0.016,0,0,0.014
"P62","Bajas",0.085,0.109,0.096,0.045,0.041,0.04,0.089
"P62","Adecuadas",0.361,0.236,0.208,0.292,0.064,0.055,0.089
"P62","Altas",0.363,0.312,0.278,0.382,0.137,0.362,0.464
"P62","Muy altas",0.164,0.29,0.343,0.265,0.758,0.543,0.344
"P63","No, ninguna dificultad",0.401,0.236,0.22,0.294,0.087,0.245,0.462
"P63","Alguna dificultad ocasional",0.287,0.392,0.332,0.35,0.194,0.18,0.124
"P63","Sí, dificultades frecuentes",0.312,0.372,0.448,0.356,0.719,0.575,0.414
"P64","Sí, absolutamente",0.699,0.245,0.288,0.533,0.789,0.134,0.323
"P64","Sí, en cierta medida",0.233,0.375,0.339,0.321,0.048,0.469,0.417
"P64","No, en absoluto",0.068,0.38,0.373,0.146,0.163,0.397,0.26
"P65","Reducir la inflación",0.528,0.397,0.368,0.498,0.291,0.51,0.397
"P65","Implementar reformas fiscales",0.105,0.1,0.105,0.183,0.009,0.02,0.155
"P65","Establecer políticas de control de precios",0.2,0.084,0.101,0.15,0.365,0.099,0.122
"P65","Reducir el gasto público",0.079,0.365,0.383,0.134,0.1,0.057,0.326
"P65","Estimular la inversión extranjera",0.073,0.041,0.036,0.028,0.023,0.314,0
"P65","Aumentar los subsidios a los servicios públicos",0.015,0.013,0.007,0.007,0.212,0,0
"P66","Fomentar la competencia entre proveedores",0.25,0.36,0.438,0.294,0.262,0.368,0.321
"P66","Incrementar la inversión en infraestructura",0.176,0.275,0.168,0.166,0.114,0.213,0.416
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.226,0.128,0.099,0.176,0.052,0.224,0.115
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.348,0.237,0.295,0.364,0.572,0.195,0.148
"P67","Muy positiva",0.43,0.154,0.167,0.161,0.108,0.073,0.114
"P67","Positiva",0.269,0.124,0.185,0.216,0.081,0.365,0.447
"P67","Neutral",0.167,0.34,0.314,0.383,0.387,0.35,0.183
"P67","Algo negativa",0.057,0.119,0.111,0.102,0.063,0.1,0.167
"P67","Negativa",0.019,0.174,0.134,0.057,0.236,0.038,0.016
"P67","No sabe",0.058,0.089,0.089,0.081,0.125,0.074,0.073
"P68","Muy positivo",0.343,0.032,0.076,0.243,0.092,0.262,0.11
"P68","Positivo",0.307,0.118,0.154,0.253,0.129,0.125,0.305
"P68","Neutral",0.214,0.392,0.367,0.326,0.197,0.353,0.233
"P68","Algo negativo",0.037,0.139,0.13,0.086,0.014,0.094,0
"P68","Negativo",0.019,0.19,0.15,0.052,0.233,0.039,0.098
"P68","No sabe",0.08,0.129,0.123,0.04,0.335,0.127,0.254
"P69","Muy positivo",0.248,0.045,0.045,0.095,0.022,0.246,0.311
"P69","Positivo",0.255,0.083,0.124,0.125,0.135,0.132,0.097
"P69","Neutral",0.35,0.484,0.458,0.649,0.386,0.372,0.24
"P69","Algo negativo",0.028,0.116,0.121,0.039,0.046,0.022,0
"P69","Negativo",0.017,0.128,0.127,0.072,0.064,0.026,0.091
"P69","No sabe",0.102,0.144,0.125,0.02,0.347,0.202,0.261
"P70","Muy positiva",0.649,0.095,0.177,0.366,0.609,0.257,0.443
"P70","Positiva",0.231,0.172,0.234,0.269,0.194,0.002,0
"P70","Neutral",0.075,0.351,0.265,0.244,0.03,0.504,0.309
"P70","Algo negativa",0.025,0.154,0.121,0.057,0.075,0.022,0.115
"P70","Negativa",0.014,0.162,0.151,0.039,0.092,0.202,0.02
"P70","No sabe",0.006,0.066,0.052,0.025,0,0.013,0.113
"P71","Muy positivo",0.629,0.111,0.177,0.326,0.225,0.218,0.157
"P71","Positivo",0.238,0.134,0.253,0.165,0.293,0.013,0.113
"P71","Neutral",0.079,0.333,0.274,0.302,0.043,0.464,0.359
"P71","Algo negativo",0.033,0.177,0.119,0.057,0.033,0.009,0.009
"P71","Negativo",0.015,0.192,0.141,0.098,0.094,0.282,0.235
"P71","No sabe",0.006,0.053,0.036,0.052,0.312,0.014,0.127
"P72","Muy positivo",0.58,0.12,0.19,0.246,0.206,0.233,0.287
"P72","Positivo",0.241,0.147,0.278,0.331,0.239,0.048,0.104
"P72","Neutral",0.124,0.423,0.312,0.308,0.406,0.504,0.301
"P72","Algo negativo",0.02,0.098,0.068,0.012,0,0,0.123
"P72","Negativo",0.016,0.16,0.125,0.083,0.149,0.202,0.028
"P72","No sabe",0.019,0.052,0.027,0.02,0,0.013,0.157
"P73","Muy positiva",0.474,0.046,0.126,0.269,0.103,0.136,0.121
"P73","Positiva",0.322,0.144,0.171,0.349,0.164,0.057,0.071
"P73","Neutral",0.108,0.303,0.293,0.169,0.549,0.508,0.573
"P73","Algo negativa",0.033,0.2,0.103,0.038,0.034,0,0.203
"P73","Negativa",0.024,0.223,0.236,0.156,0.098,0.285,0
"P73","No sabe",0.039,0.084,0.071,0.019,0.052,0.014,0.032
"P74","Muy positivo",0.422,0.041,0.093,0.18,0.086,0.071,0.084
"P74","Positivo",0.359,0.11,0.149,0.366,0.19,0.132,0.138
"P74","Neutral",0.138,0.33,0.306,0.149,0.472,0.439,0.63
"P74","Algo negativo",0.025,0.197,0.137,0.042,0.064,0.279,0.11
"P74","Negativo",0.019,0.23,0.24,0.117,0.115,0.079,0
"P74","No sabe",0.037,0.092,0.075,0.146,0.073,0,0.038
"P75","Muy positivo",0.359,0.031,0.11,0.16,0.084,0.066,0
"P75","Positivo",0.339,0.078,0.122,0.235,0.485,0.113,0.23
"P75","Neutral",0.222,0.385,0.403,0.369,0.234,0.499,0.716
"P75","Algo negativo",0.02,0.174,0.079,0.041,0.043,0.241,0.014
"P75","Negativo",0.015,0.218,0.198,0.102,0.065,0.081,0
"P75","No sabe",0.045,0.114,0.088,0.093,0.089,0,0.04
"P76","Muy positiva",0.628,0.163,0.247,0.246,0.533,0.587,0.2
"P76","Positiva",0.216,0.161,0.203,0.41,0.17,0.188,0.221
"P76","Neutral",0.106,0.242,0.271,0.204,0.097,0.117,0.525
"P76","Algo negativa",0.022,0.106,0.069,0.032,0.051,0.108,0.014
"P76","Negativa",0.017,0.239,0.155,0.034,0.097,0,0
"P76","No sabe",0.011,0.089,0.055,0.074,0.052,0,0.04
"P77","Muy positivo",0.621,0.142,0.262,0.257,0.26,0.61,0.205
"P77","Positivo",0.236,0.18,0.252,0.314,0.131,0.12,0.336
"P77","Neutral",0.09,0.242,0.246,0.17,0.052,0.16,0.403
"P77","Algo negativo",0.031,0.148,0.096,0.134,0.076,0.027,0.014
"P77","Negativo",0.016,0.213,0.123,0.042,0.13,0.083,0
"P77","No sabe",0.006,0.075,0.021,0.083,0.351,0,0.042
"P78","Muy positivo",0.54,0.11,0.249,0.254,0.187,0.601,0.204
"P78","Positivo",0.228,0.16,0.255,0.163,0.127,0.13,0.272
"P78","Neutral",0.182,0.338,0.291,0.449,0.506,0.269,0.44
"P78","Algo negativo",0.02,0.089,0.074,0.017,0.053,0,0
"P78","Negativo",0.014,0.181,0.103,0.043,0.076,0,0
"P78","No sabe",0.016,0.122,0.028,0.074,0.051,0,0.084
"P79","Si",0.62,0.542,0.574,0.304,0.267,0.747,0.566
"P79","No",0.38,0.458,0.426,0.696,0.733,0.253,0.434
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.939,0.002,0.149,0.255,0.078,0.019,0.008
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.033,0.971,0.188,0,0.121,0.001,0.05
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.009,0.021,0.632,0,0,0.029,0.006
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.002,0,0.006,0.676,0.765,0,0.038
"GOBERNADOR","En blanco",0.004,0,0.007,0.069,0.036,0.856,0.027
"GOBERNADOR","No sabe",0.013,0.006,0.018,0,0,0.095,0.871
"CORTA_PRESIDENTE","Si",0.12,0.096,0.36,0.928,0.305,0.249,0.402
"CORTA_PRESIDENTE","No",0.88,0.904,0.64,0.072,0.695,0.751,0.598
"CORTA_GOBERNADOR","Si",0.087,0.104,0.365,0.775,0.4,0.401,0.379
"CORTA_GOBERNADOR","No",0.913,0.896,0.635,0.225,0.6,0.599,0.621
