"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.295,0.552,0.24
"P38","En blanco",0.477,0.031,0.304,0.071
"P38","No sabe",0.222,0.023,0.051,0.6
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.873,0.079,0.177,0.126
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.578,0.511,0.205
"P39","En blanco",0.054,0.221,0.243,0.052
"P39","No sabe",0.019,0.122,0.069,0.617
"P45","Lo votaría",0.854,0.06,0.235,0.131
"P45","Puede que lo vote",0.041,0.129,0.08,0.089
"P45","Nunca lo votaría",0.083,0.794,0.626,0.434
"P45","No sabe",0.022,0.017,0.059,0.346
"P46","Lo votaría",0.12,0.648,0.139,0.115
"P46","Puede que lo vote",0.059,0.183,0.132,0.178
"P46","Nunca lo votaría",0.774,0.146,0.645,0.423
"P46","No sabe",0.047,0.023,0.084,0.284
"P47","Lo votaría",0.04,0.318,0.452,0.202
"P47","Puede que lo vote",0.06,0.264,0.098,0.16
"P47","Nunca lo votaría",0.853,0.369,0.387,0.384
"P47","No sabe",0.047,0.049,0.063,0.254
"P48","Lo votaría",0.189,0.058,0.105,0.138
"P48","Puede que lo vote",0.347,0.283,0.189,0.248
"P48","Nunca lo votaría",0.391,0.637,0.612,0.362
"P48","No sabe",0.073,0.022,0.094,0.252
"P49","Lo votaría",0.116,0.065,0.048,0.127
"P49","Puede que lo vote",0.271,0.309,0.188,0.213
"P49","Nunca lo votaría",0.534,0.559,0.672,0.377
"P49","No sabe",0.079,0.067,0.092,0.283
"P50","Si",0.362,0.509,0.532,0.561
"P50","No",0.638,0.491,0.468,0.439
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.623,0.166,0.205,0.159
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.062,0.346,0.131,0.106
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.112,0.473,0.479,0.459
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.176,0.01,0.052,0.064
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.027,0.005,0.002,0.048
"P51","En blanco",0,0,0.07,0.039
"P51","No sabe",0,0,0.061,0.125
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.676,0.304,0.433,0.259
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.109,0.608,0.219,0.243
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.015,0.059,0.147,0.149
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.15,0.006,0.028,0.156
"P52","En blanco",0.012,0.008,0.004,0.124
"P52","No sabe",0.038,0.015,0.169,0.069
"P53","Sergio Massa y Javier Milei",0.746,0.161,0.639,0.47
"P53","Patricia Bullrich y Javier Milei",0.142,0.767,0.288,0.397
"P53","Sergio Massa y Patricia Bullrich",0.112,0.072,0.073,0.133
"P54","Muy buena",0.072,0.018,0.076,0.049
"P54","Buena",0.157,0.06,0.047,0.118
"P54","Regular",0.447,0.029,0.148,0.155
"P54","Mala",0.213,0.255,0.257,0.237
"P54","Muy mala",0.111,0.638,0.472,0.441
"P55","Muy buena",0.111,0.017,0.036,0.063
"P55","Buena",0.283,0.007,0.092,0.08
"P55","Regular",0.345,0.044,0.168,0.14
"P55","Mala",0.152,0.206,0.173,0.249
"P55","Muy mala",0.109,0.726,0.531,0.468
"P56","Muy buena",0.236,0.04,0.092,0.149
"P56","Buena",0.387,0.121,0.245,0.108
"P56","Regular",0.258,0.426,0.338,0.3
"P56","Mala",0.077,0.268,0.181,0.211
"P56","Muy mala",0.042,0.145,0.144,0.232
"P57","Muy buena",0.084,0.007,0.04,0.035
"P57","Buena",0.316,0.102,0.18,0.049
"P57","Regular",0.406,0.47,0.445,0.439
"P57","Mala",0.158,0.265,0.163,0.276
"P57","Muy mala",0.036,0.156,0.172,0.201
"P58","Muy buena",0.137,0.013,0.051,0.051
"P58","Buena",0.325,0.071,0.144,0.123
"P58","Regular",0.37,0.267,0.356,0.221
"P58","Mala",0.124,0.341,0.224,0.367
"P58","Muy mala",0.044,0.308,0.225,0.238
"P59","Muy buena",0.173,0.042,0.134,0.063
"P59","Buena",0.446,0.163,0.265,0.223
"P59","Regular",0.307,0.491,0.4,0.279
"P59","Mala",0.052,0.199,0.152,0.25
"P59","Muy mala",0.022,0.105,0.049,0.185
"P60","Ha aumentado significativamente",0.139,0.017,0.036,0.034
"P60","Ha aumentado ligeramente",0.307,0.103,0.222,0.117
"P60","Se mantiene igual",0.323,0.26,0.324,0.256
"P60","Ha disminuido ligeramente",0.137,0.259,0.175,0.263
"P60","Ha disminuido significativamente",0.094,0.361,0.243,0.33
"P61","Muy baja",0.043,0.03,0.116,0.033
"P61","Baja",0.091,0.05,0.047,0.05
"P61","Moderada",0.152,0.038,0.092,0.088
"P61","Alta",0.417,0.127,0.247,0.282
"P61","Muy alta",0.297,0.755,0.498,0.547
"P62","Muy bajas",0.025,0.054,0.104,0.037
"P62","Bajas",0.091,0.104,0.064,0.075
"P62","Adecuadas",0.35,0.231,0.244,0.152
"P62","Altas",0.351,0.29,0.279,0.467
"P62","Muy altas",0.183,0.321,0.309,0.269
"P63","No, ninguna dificultad",0.411,0.214,0.262,0.231
"P63","Alguna dificultad ocasional",0.301,0.358,0.23,0.337
"P63","Sí, dificultades frecuentes",0.288,0.428,0.508,0.432
"P64","Sí, absolutamente",0.706,0.198,0.403,0.472
"P64","Sí, en cierta medida",0.23,0.408,0.249,0.342
"P64","No, en absoluto",0.064,0.394,0.348,0.186
"P65","Reducir la inflación",0.513,0.381,0.405,0.504
"P65","Implementar reformas fiscales",0.122,0.097,0.077,0.092
"P65","Establecer políticas de control de precios",0.219,0.065,0.095,0.151
"P65","Reducir el gasto público",0.055,0.407,0.346,0.24
"P65","Estimular la inversión extranjera",0.07,0.039,0.077,0.01
"P65","Aumentar los subsidios a los servicios públicos",0.021,0.011,0,0.003
"P66","Fomentar la competencia entre proveedores",0.226,0.409,0.398,0.453
"P66","Incrementar la inversión en infraestructura",0.169,0.261,0.17,0.14
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.249,0.072,0.108,0.176
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.356,0.258,0.324,0.231
"P67","Muy positiva",0.412,0.112,0.263,0.196
"P67","Positiva",0.27,0.132,0.238,0.263
"P67","Neutral",0.177,0.34,0.285,0.233
"P67","Algo negativa",0.049,0.139,0.071,0.137
"P67","Negativa",0.028,0.176,0.111,0.043
"P67","No sabe",0.064,0.101,0.032,0.128
"P68","Muy positivo",0.334,0.016,0.211,0.119
"P68","Positivo",0.319,0.101,0.231,0.189
"P68","Neutral",0.2,0.42,0.258,0.325
"P68","Algo negativo",0.039,0.148,0.081,0.092
"P68","Negativo",0.022,0.183,0.15,0.074
"P68","No sabe",0.086,0.132,0.069,0.201
"P69","Muy positivo",0.242,0.018,0.129,0.143
"P69","Positivo",0.265,0.06,0.179,0.124
"P69","Neutral",0.342,0.521,0.409,0.416
"P69","Algo negativo",0.029,0.122,0.062,0.102
"P69","Negativo",0.012,0.139,0.128,0.044
"P69","No sabe",0.11,0.14,0.093,0.171
"P70","Muy positiva",0.647,0.093,0.245,0.347
"P70","Positiva",0.213,0.214,0.233,0.182
"P70","Neutral",0.087,0.329,0.254,0.2
"P70","Algo negativa",0.014,0.157,0.055,0.165
"P70","Negativa",0.02,0.16,0.158,0.058
"P70","No sabe",0.019,0.047,0.055,0.048
"P71","Muy positivo",0.634,0.057,0.33,0.244
"P71","Positivo",0.234,0.192,0.206,0.153
"P71","Neutral",0.076,0.345,0.215,0.297
"P71","Algo negativo",0.02,0.174,0.058,0.143
"P71","Negativo",0.011,0.19,0.16,0.124
"P71","No sabe",0.025,0.042,0.031,0.039
"P72","Muy positivo",0.574,0.079,0.31,0.252
"P72","Positivo",0.248,0.216,0.195,0.246
"P72","Neutral",0.137,0.399,0.256,0.359
"P72","Algo negativo",0.019,0.091,0.043,0.06
"P72","Negativo",0.009,0.168,0.151,0.049
"P72","No sabe",0.013,0.047,0.045,0.034
"P73","Muy positiva",0.465,0.034,0.211,0.144
"P73","Positiva",0.342,0.13,0.231,0.165
"P73","Neutral",0.114,0.317,0.256,0.364
"P73","Algo negativa",0.032,0.177,0.039,0.096
"P73","Negativa",0.015,0.252,0.209,0.168
"P73","No sabe",0.032,0.09,0.054,0.063
"P74","Muy positivo",0.409,0.018,0.166,0.163
"P74","Positivo",0.361,0.109,0.213,0.238
"P74","Neutral",0.16,0.335,0.222,0.304
"P74","Algo negativo",0.023,0.197,0.107,0.06
"P74","Negativo",0.008,0.25,0.224,0.146
"P74","No sabe",0.039,0.091,0.068,0.089
"P75","Muy positivo",0.34,0.034,0.147,0.174
"P75","Positivo",0.343,0.085,0.132,0.235
"P75","Neutral",0.253,0.394,0.322,0.407
"P75","Algo negativo",0.013,0.151,0.12,0.028
"P75","Negativo",0.01,0.215,0.22,0.074
"P75","No sabe",0.041,0.121,0.059,0.082
"P76","Muy positiva",0.601,0.148,0.373,0.425
"P76","Positiva",0.22,0.193,0.246,0.161
"P76","Neutral",0.134,0.244,0.199,0.202
"P76","Algo negativa",0.017,0.11,0.043,0.085
"P76","Negativa",0.004,0.226,0.125,0.069
"P76","No sabe",0.024,0.079,0.014,0.058
"P77","Muy positivo",0.592,0.146,0.344,0.433
"P77","Positivo",0.227,0.201,0.346,0.236
"P77","Neutral",0.105,0.26,0.147,0.177
"P77","Algo negativo",0.044,0.14,0.056,0.035
"P77","Negativo",0.009,0.202,0.092,0.075
"P77","No sabe",0.023,0.051,0.015,0.044
"P78","Muy positivo",0.503,0.139,0.305,0.368
"P78","Positivo",0.206,0.191,0.32,0.259
"P78","Neutral",0.234,0.333,0.229,0.25
"P78","Algo negativo",0.021,0.09,0.049,0.026
"P78","Negativo",0.011,0.162,0.084,0.037
"P78","No sabe",0.025,0.085,0.013,0.06
"P79","Si",0.607,0.508,0.636,0.527
"P79","No",0.393,0.492,0.364,0.473
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.764,0.104,0.189,0.19
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.078,0.519,0.123,0.132
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.079,0.346,0.479,0.314
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.054,0.007,0.048,0.03
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.012,0.006,0.032,0.081
"PRESIDENTE","En blanco",0.007,0.01,0.067,0.096
"PRESIDENTE","No sabe",0.006,0.008,0.062,0.157
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.787,0.149,0.297,0.189
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.089,0.638,0.175,0.193
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.048,0.182,0.357,0.208
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.048,0.007,0.027,0.129
"GOBERNADOR","En blanco",0.01,0.014,0.052,0.129
"GOBERNADOR","No sabe",0.018,0.01,0.092,0.152
"CORTA_PRESIDENTE","Si",0.143,0.237,0.273,0.434
"CORTA_PRESIDENTE","No",0.857,0.763,0.727,0.566
"CORTA_GOBERNADOR","Si",0.14,0.223,0.405,0.435
"CORTA_GOBERNADOR","No",0.86,0.777,0.595,0.565
