"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda","En blanco","No sabe"
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0,0.005,0.002,0.031,0.094,0
"P36","No sabe",0.067,0.012,0.053,0.031,0.042,0.316
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.56,0.085,0.162,0.397,0.014,0.019
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.086,0.797,0.436,0.376,0.201,0.181
"P37","En blanco",0.313,0.071,0.373,0.073,0.777,0.1
"P37","No sabe",0.041,0.047,0.029,0.154,0.008,0.7
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.129,0.156,0.046,0.074,0.047,0.108
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.524,0.754,0.768,0.897,0.852,0.782
"P38","En blanco",0.308,0.076,0.099,0,0.101,0.018
"P38","No sabe",0.039,0.014,0.087,0.029,0,0.092
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.596,0.105,0.114,0.019,0.013,0.032
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.339,0.815,0.8,0.489,0.897,0.781
"P39","En blanco",0.048,0.055,0.076,0.412,0.09,0
"P39","No sabe",0.017,0.025,0.01,0.08,0,0.187
"P45","Lo votaría",0.556,0.072,0.148,0.387,0.011,0.023
"P45","Puede que lo vote",0.085,0.125,0.134,0.054,0.105,0.015
"P45","Nunca lo votaría",0.287,0.749,0.636,0.445,0.874,0.904
"P45","No sabe",0.072,0.054,0.082,0.114,0.01,0.058
"P46","Lo votaría",0.122,0.238,0.206,0.071,0.03,0.086
"P46","Puede que lo vote",0.162,0.511,0.24,0.043,0.192,0.155
"P46","Nunca lo votaría",0.716,0.246,0.494,0.702,0.748,0.702
"P46","No sabe",0,0.005,0.06,0.184,0.03,0.057
"P47","Lo votaría",0.299,0.745,0.673,0.198,0.758,0.708
"P47","Puede que lo vote",0.203,0.109,0.135,0.124,0.105,0.254
"P47","Nunca lo votaría",0.462,0.131,0.192,0.573,0.133,0.038
"P47","No sabe",0.036,0.015,0,0.105,0.004,0
"P48","Lo votaría",0.047,0.215,0.034,0.549,0.048,0.116
"P48","Puede que lo vote",0.268,0.308,0.184,0.132,0.191,0.265
"P48","Nunca lo votaría",0.652,0.466,0.691,0.238,0.759,0.619
"P48","No sabe",0.033,0.011,0.091,0.081,0.002,0
"P49","Lo votaría",0.035,0.079,0.079,0.604,0.006,0
"P49","Puede que lo vote",0.222,0.363,0.336,0.03,0.207,0.134
"P49","Nunca lo votaría",0.71,0.531,0.552,0.311,0.769,0.813
"P49","No sabe",0.033,0.027,0.033,0.055,0.018,0.053
"P50","Si",0.477,0.512,0.429,0.775,0.428,0.463
"P50","No",0.523,0.488,0.571,0.225,0.572,0.537
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.165,0.194,0.024,0.052,0.054,0.109
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.185,0.105,0.04,0.017,0.205,0.087
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.426,0.649,0.895,0.204,0.741,0.804
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.224,0.018,0.041,0.727,0,0
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.009,0,0,0,0
"P51","En blanco",0,0,0,0,0,0
"P51","No sabe",0,0.025,0,0,0,0
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.421,0.291,0.095,0,0.335,0.215
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.321,0.522,0.471,0.15,0.124,0.761
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.034,0.081,0.382,0.123,0.24,0.024
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.224,0.004,0.041,0.727,0,0
"P52","En blanco",0,0.008,0,0,0,0
"P52","No sabe",0,0.094,0.011,0,0.301,0
"P53","Sergio Massa y Javier Milei",0.848,0.285,0.511,0.195,0.566,0.566
"P53","Patricia Bullrich y Javier Milei",0.152,0.676,0.458,0.805,0.414,0.434
"P53","Sergio Massa y Patricia Bullrich",0,0.039,0.031,0,0.02,0
"P54","Muy buena",0.072,0.056,0.009,0.644,0.026,0
"P54","Buena",0.102,0.033,0.05,0,0.017,0.11
"P54","Regular",0.398,0.048,0.114,0,0.04,0
"P54","Mala",0.131,0.182,0.181,0,0.165,0.281
"P54","Muy mala",0.297,0.681,0.646,0.356,0.752,0.609
"P55","Muy buena",0.079,0.046,0.024,0,0.022,0.023
"P55","Buena",0.201,0.017,0.088,0,0.021,0
"P55","Regular",0.392,0.052,0.031,0.645,0.01,0.023
"P55","Mala",0.087,0.184,0.105,0,0.092,0.175
"P55","Muy mala",0.241,0.701,0.752,0.355,0.855,0.779
"P56","Muy buena",0.193,0.099,0.145,0,0.066,0.201
"P56","Buena",0.494,0.146,0.158,0,0.147,0.196
"P56","Regular",0.223,0.424,0.443,0.207,0.503,0.557
"P56","Mala",0.044,0.145,0.227,0.615,0.07,0.009
"P56","Muy mala",0.046,0.186,0.027,0.178,0.214,0.037
"P57","Muy buena",0.23,0.052,0.005,0,0.029,0
"P57","Buena",0.182,0.064,0.099,0.037,0.022,0.061
"P57","Regular",0.435,0.509,0.346,0.131,0.503,0.567
"P57","Mala",0.057,0.23,0.26,0.653,0.206,0.338
"P57","Muy mala",0.096,0.145,0.29,0.179,0.24,0.034
"P58","Muy buena",0.123,0.05,0.049,0,0.023,0.024
"P58","Buena",0.284,0.1,0.082,0,0.038,0.024
"P58","Regular",0.299,0.223,0.428,0.138,0.195,0.221
"P58","Mala",0.135,0.358,0.123,0.71,0.277,0.616
"P58","Muy mala",0.159,0.269,0.318,0.152,0.467,0.115
"P59","Muy buena",0.282,0.03,0.042,0,0.092,0.123
"P59","Buena",0.448,0.178,0.249,0,0.227,0.243
"P59","Regular",0.256,0.482,0.364,0.481,0.544,0.221
"P59","Mala",0.012,0.175,0.186,0.21,0.027,0.376
"P59","Muy mala",0.002,0.135,0.159,0.309,0.11,0.037
"P60","Ha aumentado significativamente",0.209,0.001,0.051,0,0.05,0
"P60","Ha aumentado ligeramente",0.193,0.11,0.225,0,0.263,0.031
"P60","Se mantiene igual",0.268,0.247,0.232,0.332,0.163,0.369
"P60","Ha disminuido ligeramente",0.237,0.346,0.296,0.206,0.181,0.367
"P60","Ha disminuido significativamente",0.093,0.296,0.196,0.462,0.343,0.233
"P61","Muy baja",0.011,0.075,0.04,0,0.215,0
"P61","Baja",0.102,0.036,0.027,0,0.002,0.091
"P61","Moderada",0.121,0.074,0,0.245,0.054,0.019
"P61","Alta",0.281,0.145,0.299,0.141,0.143,0.008
"P61","Muy alta",0.485,0.67,0.634,0.614,0.586,0.882
"P62","Muy bajas",0.039,0.041,0.026,0.14,0.31,0.004
"P62","Bajas",0.1,0.101,0.023,0,0.081,0
"P62","Adecuadas",0.086,0.197,0.394,0.272,0.097,0.074
"P62","Altas",0.336,0.346,0.218,0.241,0.175,0.357
"P62","Muy altas",0.439,0.315,0.339,0.347,0.337,0.565
"P63","No, ninguna dificultad",0.267,0.217,0.128,0.231,0.3,0.045
"P63","Alguna dificultad ocasional",0.198,0.399,0.424,0,0.031,0.342
"P63","Sí, dificultades frecuentes",0.535,0.384,0.448,0.769,0.669,0.613
"P64","Sí, absolutamente",0.7,0.246,0.364,0.343,0.103,0.658
"P64","Sí, en cierta medida",0.121,0.398,0.479,0.229,0.153,0.09
"P64","No, en absoluto",0.179,0.356,0.157,0.428,0.744,0.252
"P65","Reducir la inflación",0.563,0.322,0.589,0.221,0.184,0.214
"P65","Implementar reformas fiscales",0.028,0.108,0.064,0,0.028,0.345
"P65","Establecer políticas de control de precios",0.167,0.101,0.053,0.132,0.027,0.029
"P65","Reducir el gasto público",0.095,0.428,0.211,0.647,0.757,0.412
"P65","Estimular la inversión extranjera",0.125,0.037,0.083,0,0.004,0
"P65","Aumentar los subsidios a los servicios públicos",0.022,0.004,0,0,0,0
"P66","Fomentar la competencia entre proveedores",0.346,0.503,0.429,0.531,0.289,0.422
"P66","Incrementar la inversión en infraestructura",0.214,0.177,0.084,0,0.157,0.06
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.358,0.062,0.35,0,0.002,0.031
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.082,0.258,0.137,0.469,0.552,0.487
"P67","Muy positiva",0.291,0.09,0.103,0.25,0.282,0.167
"P67","Positiva",0.237,0.195,0.191,0,0.155,0.121
"P67","Neutral",0.383,0.367,0.395,0,0.307,0.479
"P67","Algo negativa",0.025,0.048,0.041,0.237,0.034,0.021
"P67","Negativa",0.045,0.138,0.232,0.161,0.141,0.014
"P67","No sabe",0.019,0.162,0.038,0.352,0.081,0.198
"P68","Muy positivo",0.231,0.052,0.065,0,0.083,0.03
"P68","Positivo",0.22,0.123,0.279,0.144,0.23,0.01
"P68","Neutral",0.424,0.414,0.343,0,0.194,0.171
"P68","Algo negativo",0.05,0.144,0.06,0.368,0.109,0.042
"P68","Negativo",0.049,0.125,0.177,0.132,0.272,0.107
"P68","No sabe",0.026,0.142,0.076,0.356,0.112,0.64
"P69","Muy positivo",0.212,0.013,0.009,0.164,0.121,0.027
"P69","Positivo",0.05,0.054,0.286,0.143,0.13,0
"P69","Neutral",0.481,0.574,0.406,0.132,0.378,0.78
"P69","Algo negativo",0.028,0.121,0.035,0.156,0.004,0.109
"P69","Negativo",0.047,0.117,0.187,0.222,0.28,0
"P69","No sabe",0.182,0.121,0.077,0.183,0.087,0.084
"P70","Muy positiva",0.246,0.153,0.307,0.355,0.155,0.019
"P70","Positiva",0.352,0.164,0.336,0.272,0.212,0.038
"P70","Neutral",0.09,0.286,0.074,0.156,0.341,0.456
"P70","Algo negativa",0.046,0.143,0.022,0,0.146,0.047
"P70","Negativa",0.041,0.165,0.261,0.217,0.122,0.44
"P70","No sabe",0.225,0.089,0,0,0.024,0
"P71","Muy positivo",0.611,0.121,0.185,0.357,0.16,0.02
"P71","Positivo",0.071,0.204,0.442,0.136,0.327,0.087
"P71","Neutral",0.215,0.234,0.094,0.507,0.228,0.794
"P71","Algo negativo",0.02,0.199,0.028,0,0.088,0.014
"P71","Negativo",0.027,0.154,0.251,0,0.168,0.085
"P71","No sabe",0.056,0.088,0,0,0.029,0
"P72","Muy positivo",0.689,0.129,0.157,0.356,0.08,0.02
"P72","Positivo",0.065,0.213,0.501,0,0.382,0.041
"P72","Neutral",0.198,0.399,0.114,0.644,0.32,0.855
"P72","Algo negativo",0.025,0.088,0.003,0,0.084,0
"P72","Negativo",0.023,0.123,0.218,0,0.112,0.084
"P72","No sabe",0,0.048,0.007,0,0.022,0
"P73","Muy positiva",0.439,0.088,0.143,0.175,0.006,0
"P73","Positiva",0.348,0.094,0.309,0,0.47,0
"P73","Neutral",0.087,0.42,0.27,0.356,0.169,0.644
"P73","Algo negativa",0.059,0.137,0.004,0,0.034,0
"P73","Negativa",0.067,0.199,0.27,0.469,0.221,0.32
"P73","No sabe",0,0.062,0.004,0,0.1,0.036
"P74","Muy positivo",0.18,0.05,0.14,0.209,0.005,0
"P74","Positivo",0.555,0.11,0.263,0,0.283,0.092
"P74","Neutral",0.112,0.478,0.133,0.434,0.122,0.602
"P74","Algo negativo",0.005,0.099,0.133,0,0.102,0.047
"P74","Negativo",0.068,0.197,0.326,0.357,0.403,0.223
"P74","No sabe",0.08,0.066,0.005,0,0.085,0.036
"P75","Muy positivo",0.169,0.064,0.146,0,0.006,0
"P75","Positivo",0.133,0.108,0.294,0,0.032,0
"P75","Neutral",0.316,0.472,0.269,0.651,0.475,0.93
"P75","Algo negativo",0.202,0.065,0.029,0,0.053,0.049
"P75","Negativo",0.13,0.181,0.257,0.349,0.345,0
"P75","No sabe",0.05,0.11,0.005,0,0.089,0.021
"P76","Muy positiva",0.504,0.208,0.257,0.442,0.273,0.099
"P76","Positiva",0.294,0.247,0.221,0,0.243,0.02
"P76","Neutral",0.044,0.313,0.29,0.208,0.266,0.412
"P76","Algo negativa",0,0.072,0.043,0,0.017,0.094
"P76","Negativa",0.105,0.126,0.189,0.35,0.186,0
"P76","No sabe",0.053,0.034,0,0,0.015,0.375
"P77","Muy positivo",0.316,0.203,0.263,0,0.243,0.115
"P77","Positivo",0.577,0.235,0.431,0.238,0.199,0.373
"P77","Neutral",0.041,0.326,0.252,0.454,0.227,0.186
"P77","Algo negativo",0,0.102,0.047,0.308,0.02,0
"P77","Negativo",0.066,0.113,0.007,0,0.29,0
"P77","No sabe",0,0.021,0,0,0.021,0.326
"P78","Muy positivo",0.321,0.176,0.14,0,0.167,0.08
"P78","Positivo",0.319,0.19,0.583,0.535,0.131,0.248
"P78","Neutral",0.304,0.445,0.209,0.465,0.465,0.296
"P78","Algo negativo",0,0.03,0.037,0,0.051,0
"P78","Negativo",0.056,0.119,0.031,0,0.171,0
"P78","No sabe",0,0.04,0,0,0.015,0.376
"P79","Si",0.647,0.547,0.643,0.213,0.731,0.785
"P79","No",0.353,0.453,0.357,0.787,0.269,0.215
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.065,0.076,0.012,0.016,0.021,0.027
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.045,0.018,0.008,0.077,0.02
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.798,0.854,0.958,0.634,0.902,0.953
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.067,0.009,0.012,0.342,0,0
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.002,0,0,0,0
"PRESIDENTE","En blanco",0,0,0,0,0,0
"PRESIDENTE","No sabe",0,0.014,0,0,0,0
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.146,0.111,0.047,0,0.105,0.046
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.112,0.211,0.179,0.052,0.024,0.207
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.673,0.64,0.757,0.626,0.791,0.747
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.069,0.002,0.012,0.322,0,0
"GOBERNADOR","En blanco",0,0.003,0,0,0,0
"GOBERNADOR","No sabe",0,0.033,0.005,0,0.08,0
"CORTA_PRESIDENTE","Si",0.284,0.176,0.047,0.625,0.103,0.089
"CORTA_PRESIDENTE","No",0.716,0.824,0.953,0.375,0.897,0.911
"CORTA_GOBERNADOR","Si",0.452,0.457,0.29,0.677,0.275,0.428
"CORTA_GOBERNADOR","No",0.548,0.543,0.71,0.323,0.725,0.572
