"var","categoria","Unión por la Patria","Juntos por el Cambio ","Liberales","Izquierda","Hacemos por Nuestro país","No sabe"
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.123,0.013,0.048,0.169,0.056,0.112
"P52","En blanco",0.014,0.008,0.003,0.095,0.01,0.063
"P52","No sabe",0.031,0.043,0.057,0.066,0.058,0.094
"P53","Sergio Massa y Javier Milei",0.743,0.118,0.456,0.675,0.438,0.452
"P53","Patricia Bullrich y Javier Milei",0.141,0.784,0.518,0.235,0.448,0.419
"P53","Sergio Massa y Patricia Bullrich",0.116,0.098,0.026,0.09,0.114,0.129
"P54","Muy buena",0.073,0.012,0.068,0.025,0.036,0.032
"P54","Buena",0.177,0.057,0.045,0.136,0.09,0.023
"P54","Regular",0.479,0.027,0.05,0.171,0.159,0.161
"P54","Mala",0.205,0.29,0.203,0.228,0.178,0.346
"P54","Muy mala",0.066,0.614,0.634,0.44,0.537,0.438
"P55","Muy buena",0.124,0.02,0.009,0.083,0.034,0.025
"P55","Buena",0.314,0.017,0.022,0.077,0.013,0.052
"P55","Regular",0.374,0.038,0.053,0.183,0.197,0.137
"P55","Mala",0.145,0.232,0.175,0.279,0.096,0.242
"P55","Muy mala",0.043,0.693,0.741,0.378,0.66,0.544
"P56","Muy buena",0.257,0.02,0.103,0.086,0.09,0.047
"P56","Buena",0.426,0.122,0.164,0.092,0.09,0.127
"P56","Regular",0.235,0.423,0.372,0.316,0.504,0.373
"P56","Mala",0.061,0.31,0.156,0.309,0.174,0.262
"P56","Muy mala",0.021,0.125,0.205,0.197,0.142,0.191
"P57","Muy buena",0.084,0.012,0.032,0.021,0.043,0.002
"P57","Buena",0.364,0.118,0.064,0.096,0.093,0.057
"P57","Regular",0.416,0.446,0.459,0.342,0.467,0.504
"P57","Mala",0.118,0.279,0.241,0.362,0.233,0.271
"P57","Muy mala",0.018,0.145,0.204,0.179,0.164,0.166
"P58","Muy buena",0.145,0.021,0.025,0.071,0.048,0.005
"P58","Buena",0.354,0.067,0.057,0.154,0.145,0.158
"P58","Regular",0.363,0.277,0.269,0.381,0.279,0.346
"P58","Mala",0.11,0.337,0.33,0.237,0.275,0.298
"P58","Muy mala",0.028,0.298,0.319,0.157,0.253,0.193
"P59","Muy buena",0.196,0.024,0.093,0.043,0.071,0.051
"P59","Buena",0.472,0.169,0.192,0.272,0.271,0.12
"P59","Regular",0.278,0.5,0.436,0.377,0.38,0.468
"P59","Mala",0.042,0.221,0.161,0.191,0.156,0.224
"P59","Muy mala",0.012,0.086,0.118,0.117,0.122,0.137
"P60","Ha aumentado significativamente",0.137,0.011,0.026,0.053,0.119,0.035
"P60","Ha aumentado ligeramente",0.308,0.111,0.163,0.246,0.108,0.105
"P60","Se mantiene igual",0.349,0.267,0.229,0.188,0.326,0.286
"P60","Ha disminuido ligeramente",0.142,0.262,0.242,0.238,0.071,0.227
"P60","Ha disminuido significativamente",0.064,0.349,0.34,0.275,0.376,0.347
"P61","Muy baja",0.046,0.024,0.046,0.079,0.141,0.041
"P61","Baja",0.092,0.068,0.018,0.051,0.102,0.028
"P61","Moderada",0.158,0.022,0.06,0.083,0.153,0.1
"P61","Alta",0.45,0.167,0.163,0.199,0.061,0.164
"P61","Muy alta",0.254,0.719,0.713,0.588,0.543,0.667
"P62","Muy bajas",0.026,0.049,0.104,0.003,0.057,0.002
"P62","Bajas",0.087,0.109,0.094,0.098,0.063,0.057
"P62","Adecuadas",0.385,0.25,0.181,0.088,0.176,0.202
"P62","Altas",0.352,0.293,0.296,0.433,0.189,0.452
"P62","Muy altas",0.15,0.299,0.325,0.378,0.515,0.287
"P63","No, ninguna dificultad",0.443,0.212,0.21,0.28,0.175,0.215
"P63","Alguna dificultad ocasional",0.3,0.388,0.311,0.242,0.246,0.253
"P63","Sí, dificultades frecuentes",0.257,0.4,0.479,0.478,0.579,0.532
"P64","Sí, absolutamente",0.763,0.219,0.207,0.447,0.329,0.37
"P64","Sí, en cierta medida",0.201,0.444,0.316,0.439,0.256,0.371
"P64","No, en absoluto",0.036,0.337,0.477,0.114,0.415,0.259
"P65","Reducir la inflación",0.549,0.409,0.343,0.49,0.388,0.321
"P65","Implementar reformas fiscales",0.108,0.104,0.099,0.162,0.085,0.087
"P65","Establecer políticas de control de precios",0.226,0.044,0.08,0.115,0.223,0.134
"P65","Reducir el gasto público",0.04,0.379,0.443,0.104,0.292,0.325
"P65","Estimular la inversión extranjera",0.065,0.062,0.024,0.053,0.012,0.078
"P65","Aumentar los subsidios a los servicios públicos",0.012,0.002,0.011,0.076,0,0.055
"P66","Fomentar la competencia entre proveedores",0.203,0.374,0.541,0.276,0.408,0.333
"P66","Incrementar la inversión en infraestructura",0.195,0.275,0.155,0.185,0.075,0.216
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.255,0.08,0.075,0.137,0.078,0.203
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.347,0.271,0.229,0.402,0.439,0.248
"P67","Muy positiva",0.436,0.106,0.193,0.215,0.161,0.147
"P67","Positiva",0.3,0.119,0.154,0.336,0.161,0.178
"P67","Neutral",0.146,0.339,0.315,0.308,0.314,0.36
"P67","Algo negativa",0.061,0.137,0.096,0.068,0.13,0.089
"P67","Negativa",0.005,0.207,0.164,0.031,0.068,0.067
"P67","No sabe",0.052,0.092,0.078,0.042,0.166,0.159
"P68","Muy positivo",0.376,0.021,0.04,0.146,0.063,0.156
"P68","Positivo",0.343,0.115,0.138,0.299,0.153,0.051
"P68","Neutral",0.178,0.384,0.382,0.288,0.365,0.457
"P68","Algo negativo",0.02,0.164,0.141,0.07,0.107,0.062
"P68","Negativo",0.008,0.193,0.21,0.073,0.061,0.061
"P68","No sabe",0.075,0.123,0.089,0.124,0.251,0.213
"P69","Muy positivo",0.28,0.023,0.034,0.125,0.043,0.075
"P69","Positivo",0.284,0.071,0.08,0.228,0.124,0.071
"P69","Neutral",0.311,0.514,0.505,0.364,0.455,0.539
"P69","Algo negativo",0.011,0.126,0.123,0.054,0.106,0.09
"P69","Negativo",0.008,0.129,0.17,0.062,0.074,0.027
"P69","No sabe",0.106,0.137,0.088,0.167,0.198,0.198
"P70","Muy positiva",0.691,0.103,0.111,0.476,0.296,0.138
"P70","Positiva",0.219,0.216,0.171,0.256,0.303,0.194
"P70","Neutral",0.052,0.333,0.33,0.114,0.236,0.352
"P70","Algo negativa",0.006,0.157,0.151,0.062,0.01,0.166
"P70","Negativa",0.013,0.149,0.185,0.025,0.117,0.102
"P70","No sabe",0.019,0.042,0.052,0.067,0.038,0.048
"P71","Muy positivo",0.695,0.075,0.1,0.274,0.294,0.119
"P71","Positivo",0.225,0.174,0.204,0.291,0.326,0.118
"P71","Neutral",0.054,0.351,0.301,0.141,0.237,0.389
"P71","Algo negativo",0.01,0.17,0.168,0.083,0.008,0.152
"P71","Negativo",0.003,0.195,0.188,0.114,0.101,0.127
"P71","No sabe",0.013,0.035,0.039,0.097,0.034,0.095
"P72","Muy positivo",0.641,0.095,0.091,0.209,0.29,0.136
"P72","Positivo",0.228,0.208,0.236,0.35,0.244,0.221
"P72","Neutral",0.107,0.401,0.352,0.341,0.298,0.425
"P72","Algo negativo",0.004,0.108,0.094,0.06,0.002,0.045
"P72","Negativo",0.008,0.148,0.194,0.034,0.08,0.088
"P72","No sabe",0.012,0.04,0.033,0.006,0.086,0.085
"P73","Muy positiva",0.519,0.039,0.039,0.14,0.239,0.033
"P73","Positiva",0.34,0.156,0.165,0.419,0.116,0.1
"P73","Neutral",0.092,0.286,0.336,0.295,0.268,0.446
"P73","Algo negativa",0.013,0.174,0.153,0.052,0.067,0.155
"P73","Negativa",0.008,0.257,0.264,0.04,0.154,0.159
"P73","No sabe",0.028,0.088,0.043,0.054,0.156,0.107
"P74","Muy positivo",0.452,0.022,0.053,0.146,0.133,0.028
"P74","Positivo",0.364,0.141,0.128,0.425,0.114,0.163
"P74","Neutral",0.135,0.277,0.348,0.251,0.307,0.463
"P74","Algo negativo",0.014,0.206,0.164,0.066,0.071,0.125
"P74","Negativo",0.002,0.261,0.26,0.073,0.2,0.069
"P74","No sabe",0.033,0.093,0.047,0.039,0.175,0.152
"P75","Muy positivo",0.379,0.038,0.053,0.156,0.128,0.05
"P75","Positivo",0.337,0.116,0.073,0.377,0.155,0.183
"P75","Neutral",0.222,0.346,0.475,0.3,0.328,0.482
"P75","Algo negativo",0.015,0.165,0.11,0.065,0.065,0.078
"P75","Negativo",0.008,0.204,0.231,0.069,0.163,0.095
"P75","No sabe",0.039,0.131,0.058,0.033,0.161,0.112
"P76","Muy positiva",0.648,0.129,0.232,0.38,0.323,0.309
"P76","Positiva",0.239,0.195,0.181,0.126,0.172,0.24
"P76","Neutral",0.079,0.213,0.306,0.354,0.292,0.245
"P76","Algo negativa",0.007,0.14,0.087,0.079,0.003,0.044
"P76","Negativa",0.01,0.228,0.152,0.047,0.198,0.048
"P76","No sabe",0.017,0.095,0.042,0.014,0.012,0.114
"P77","Muy positivo",0.624,0.094,0.267,0.283,0.378,0.371
"P77","Positivo",0.268,0.201,0.209,0.121,0.277,0.178
"P77","Neutral",0.078,0.236,0.275,0.188,0.194,0.219
"P77","Algo negativo",0.018,0.182,0.091,0.252,0.011,0.036
"P77","Negativo",0.004,0.233,0.122,0.045,0.132,0.076
"P77","No sabe",0.008,0.054,0.036,0.111,0.008,0.12
"P78","Muy positivo",0.536,0.096,0.234,0.166,0.349,0.336
"P78","Positivo",0.24,0.183,0.199,0.269,0.295,0.123
"P78","Neutral",0.196,0.34,0.326,0.387,0.171,0.379
"P78","Algo negativo",0.008,0.109,0.075,0.14,0.01,0.008
"P78","Negativo",0.007,0.171,0.12,0.028,0.133,0.018
"P78","No sabe",0.013,0.101,0.046,0.01,0.042,0.136
"P79","Si",0.605,0.515,0.543,0.511,0.676,0.535
"P79","No",0.395,0.485,0.457,0.489,0.324,0.465
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.828,0.153,0.067,0.203,0.168,0.188
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.051,0.665,0.219,0.274,0.09,0.103
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.07,0.137,0.691,0.115,0.483,0.204
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.034,0.011,0.019,0.164,0.029,0.044
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.002,0.01,0.002,0.148,0.128,0.036
"PRESIDENTE","En blanco",0.007,0.006,0.001,0.007,0.051,0.225
"PRESIDENTE","No sabe",0.008,0.018,0.001,0.089,0.051,0.2
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.845,0.167,0.163,0.264,0.181,0.24
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.056,0.738,0.343,0.312,0.131,0.151
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.05,0.052,0.457,0.096,0.474,0.128
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.029,0.013,0.016,0.185,0.11,0.06
"GOBERNADOR","En blanco",0.006,0.008,0.002,0.069,0.043,0.232
"GOBERNADOR","No sabe",0.014,0.022,0.019,0.074,0.061,0.189
"CORTA_PRESIDENTE","Si",0.115,0.262,0.247,0.464,0.217,0.382
"CORTA_PRESIDENTE","No",0.885,0.738,0.753,0.536,0.783,0.618
"CORTA_GOBERNADOR","Si",0.101,0.201,0.382,0.425,0.306,0.389
"CORTA_GOBERNADOR","No",0.899,0.799,0.618,0.575,0.694,0.611
