"var","categoria","No, ninguna dificultad","Alguna dificultad ocasional","Sí, dificultades frecuentes"
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.187,0.205,0.139
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.254,0.376,0.37
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.078,0.107,0.07
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.008,0.009,0.031
"P51","En blanco",0.014,0.002,0.023
"P51","No sabe",0.015,0.014,0.027
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.509,0.43,0.464
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.332,0.309,0.341
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.022,0.094,0.075
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.05,0.102,0.078
"P52","En blanco",0.032,0.026,0.008
"P52","No sabe",0.055,0.039,0.034
"P53","Sergio Massa y Javier Milei",0.635,0.416,0.432
"P53","Patricia Bullrich y Javier Milei",0.292,0.462,0.477
"P53","Sergio Massa y Patricia Bullrich",0.073,0.122,0.091
"P54","Muy buena",0.058,0.037,0.046
"P54","Buena",0.137,0.125,0.059
"P54","Regular",0.33,0.216,0.144
"P54","Mala",0.191,0.223,0.284
"P54","Muy mala",0.284,0.399,0.467
"P55","Muy buena",0.131,0.043,0.035
"P55","Buena",0.23,0.147,0.059
"P55","Regular",0.199,0.186,0.182
"P55","Mala",0.17,0.192,0.174
"P55","Muy mala",0.27,0.432,0.55
"P56","Muy buena",0.223,0.113,0.088
"P56","Buena",0.322,0.233,0.18
"P56","Regular",0.262,0.37,0.385
"P56","Mala",0.117,0.167,0.209
"P56","Muy mala",0.076,0.117,0.138
"P57","Muy buena",0.108,0.02,0.017
"P57","Buena",0.403,0.157,0.077
"P57","Regular",0.382,0.56,0.353
"P57","Mala",0.069,0.193,0.345
"P57","Muy mala",0.038,0.07,0.208
"P58","Muy buena",0.173,0.017,0.039
"P58","Buena",0.325,0.201,0.069
"P58","Regular",0.29,0.405,0.257
"P58","Mala",0.135,0.236,0.306
"P58","Muy mala",0.077,0.141,0.329
"P59","Muy buena",0.202,0.087,0.059
"P59","Buena",0.391,0.302,0.221
"P59","Regular",0.303,0.439,0.403
"P59","Mala",0.064,0.119,0.215
"P59","Muy mala",0.04,0.053,0.102
"P60","Ha aumentado significativamente",0.135,0.045,0.044
"P60","Ha aumentado ligeramente",0.303,0.218,0.112
"P60","Se mantiene igual",0.341,0.343,0.214
"P60","Ha disminuido ligeramente",0.116,0.206,0.252
"P60","Ha disminuido significativamente",0.105,0.188,0.378
"P61","Muy baja",0.043,0.029,0.062
"P61","Baja",0.053,0.069,0.082
"P61","Moderada",0.127,0.094,0.06
"P61","Alta",0.351,0.287,0.189
"P61","Muy alta",0.426,0.521,0.607
"P62","Muy bajas",0.098,0.014,0.033
"P62","Bajas",0.144,0.103,0.037
"P62","Adecuadas",0.389,0.263,0.202
"P62","Altas",0.241,0.44,0.305
"P62","Muy altas",0.128,0.18,0.423
"P64","Sí, absolutamente",0.6,0.339,0.434
"P64","Sí, en cierta medida",0.207,0.504,0.231
"P64","No, en absoluto",0.193,0.157,0.335
"P65","Reducir la inflación",0.511,0.403,0.436
"P65","Implementar reformas fiscales",0.099,0.131,0.087
"P65","Establecer políticas de control de precios",0.181,0.157,0.091
"P65","Reducir el gasto público",0.151,0.258,0.296
"P65","Estimular la inversión extranjera",0.052,0.042,0.067
"P65","Aumentar los subsidios a los servicios públicos",0.006,0.009,0.023
"P66","Fomentar la competencia entre proveedores",0.33,0.345,0.324
"P66","Incrementar la inversión en infraestructura",0.218,0.213,0.182
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.195,0.133,0.15
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.257,0.309,0.344
"P67","Muy positiva",0.368,0.236,0.193
"P67","Positiva",0.227,0.222,0.188
"P67","Neutral",0.197,0.26,0.308
"P67","Algo negativa",0.074,0.125,0.081
"P67","Negativa",0.081,0.057,0.146
"P67","No sabe",0.053,0.1,0.084
"P68","Muy positivo",0.249,0.158,0.14
"P68","Positivo",0.262,0.223,0.164
"P68","Neutral",0.248,0.312,0.34
"P68","Algo negativo",0.066,0.126,0.079
"P68","Negativo",0.091,0.08,0.136
"P68","No sabe",0.084,0.101,0.141
"P69","Muy positivo",0.181,0.122,0.111
"P69","Positivo",0.208,0.142,0.153
"P69","Neutral",0.401,0.465,0.406
"P69","Algo negativo",0.047,0.104,0.069
"P69","Negativo",0.051,0.05,0.121
"P69","No sabe",0.112,0.117,0.14
"P70","Muy positiva",0.477,0.333,0.305
"P70","Positiva",0.186,0.201,0.248
"P70","Neutral",0.17,0.258,0.193
"P70","Algo negativa",0.076,0.097,0.08
"P70","Negativa",0.058,0.076,0.135
"P70","No sabe",0.033,0.035,0.039
"P71","Muy positivo",0.456,0.323,0.286
"P71","Positivo",0.192,0.203,0.229
"P71","Neutral",0.171,0.235,0.221
"P71","Algo negativo",0.082,0.104,0.091
"P71","Negativo",0.078,0.094,0.137
"P71","No sabe",0.021,0.041,0.036
"P72","Muy positivo",0.419,0.285,0.304
"P72","Positivo",0.229,0.27,0.194
"P72","Neutral",0.227,0.274,0.29
"P72","Algo negativo",0.034,0.059,0.06
"P72","Negativo",0.07,0.082,0.111
"P72","No sabe",0.021,0.03,0.041
"P73","Muy positiva",0.353,0.19,0.22
"P73","Positiva",0.271,0.234,0.212
"P73","Neutral",0.161,0.281,0.224
"P73","Algo negativa",0.062,0.096,0.115
"P73","Negativa",0.102,0.137,0.166
"P73","No sabe",0.051,0.062,0.063
"P74","Muy positivo",0.275,0.201,0.189
"P74","Positivo",0.312,0.21,0.212
"P74","Neutral",0.189,0.278,0.252
"P74","Algo negativo",0.062,0.116,0.119
"P74","Negativo",0.113,0.116,0.162
"P74","No sabe",0.049,0.079,0.066
"P75","Muy positivo",0.256,0.167,0.166
"P75","Positivo",0.236,0.203,0.209
"P75","Neutral",0.313,0.361,0.299
"P75","Algo negativo",0.059,0.079,0.092
"P75","Negativo",0.089,0.087,0.159
"P75","No sabe",0.047,0.103,0.075
"P76","Muy positiva",0.451,0.385,0.358
"P76","Positiva",0.22,0.197,0.212
"P76","Neutral",0.176,0.194,0.188
"P76","Algo negativa",0.05,0.061,0.064
"P76","Negativa",0.071,0.103,0.134
"P76","No sabe",0.032,0.06,0.044
"P77","Muy positivo",0.453,0.367,0.347
"P77","Positivo",0.235,0.224,0.233
"P77","Neutral",0.172,0.17,0.177
"P77","Algo negativo",0.052,0.097,0.091
"P77","Negativo",0.069,0.102,0.111
"P77","No sabe",0.019,0.04,0.041
"P78","Muy positivo",0.392,0.291,0.326
"P78","Positivo",0.207,0.236,0.206
"P78","Neutral",0.299,0.272,0.251
"P78","Algo negativo",0.027,0.045,0.075
"P78","Negativo",0.048,0.087,0.094
"P78","No sabe",0.027,0.069,0.048
"P79","Si",0.554,0.53,0.612
"P79","No",0.446,0.47,0.388
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.546,0.37,0.348
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.2,0.314,0.257
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.179,0.255,0.297
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.034,0.039,0.034
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.004,0.007,0.024
"PRESIDENTE","En blanco",0.011,0.008,0.021
"PRESIDENTE","No sabe",0.026,0.007,0.019
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.577,0.41,0.377
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.262,0.373,0.378
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.09,0.138,0.164
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.022,0.041,0.043
"GOBERNADOR","En blanco",0.017,0.019,0.017
"GOBERNADOR","No sabe",0.032,0.019,0.021
"CORTA_PRESIDENTE","Si",0.197,0.205,0.253
"CORTA_PRESIDENTE","No",0.803,0.795,0.747
"CORTA_GOBERNADOR","Si",0.188,0.216,0.265
"CORTA_GOBERNADOR","No",0.812,0.784,0.735
