"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.491,0.578,0.597,0.611,0.239
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.242,0.256,0.125,0.166,0.34
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.18,0.15,0.214,0.14,0.333
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.009,0.009,0.038,0.041,0.035
"PRESIDENTE","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.061,0.003,0.004,0.004,0.015
"PRESIDENTE","En blanco",0,0,0.011,0.013,0.018
"PRESIDENTE","No sabe",0.017,0.004,0.011,0.025,0.02
"GOBERNADOR","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.52,0.558,0.649,0.649,0.284
"GOBERNADOR","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.256,0.294,0.154,0.197,0.465
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.179,0.124,0.153,0.065,0.168
"GOBERNADOR","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.018,0.011,0.038,0.046,0.032
"GOBERNADOR","En blanco",0.005,0,0,0.022,0.02
"GOBERNADOR","No sabe",0.022,0.013,0.006,0.021,0.031
"CORTA_PRESIDENTE","Si",0.254,0.079,0.186,0.162,0.266
"CORTA_PRESIDENTE","No",0.746,0.921,0.814,0.838,0.734
"CORTA_GOBERNADOR","Si",0.343,0.069,0.159,0.169,0.273
"CORTA_GOBERNADOR","No",0.657,0.931,0.841,0.831,0.727
