"var","categoria","El anterior gobierno de Alberto Fernández","El actual gobierno de Javier Milei","No sabe"
"P36","No sabe",0.072,0.042,0.115
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.569,0.879,0.646
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.218,0.083,0.29
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.119,0.002,0
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.072,0.005,0
"P37","No sabe",0.022,0.031,0.064
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.331,0.742,0.287
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.276,0.206,0.23
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.236,0.019,0.141
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.144,0,0.107
"P38","No sabe",0.013,0.033,0.235
"P39","Oponerse totalmente",0.373,0.8,0.39
"P39","Oponerse parcialmente",0.212,0.112,0.176
"P39","Apoyar parcialmente",0.247,0.064,0.183
"P39","Apoyar totalmente",0.125,0.001,0
"P39","No sabe",0.043,0.023,0.251
"P40","Inseguridad y narcotráfico",0.402,0.426,0.279
"P40","Altos impuestos y tarifas",0.203,0.164,0.091
"P40","Educación y estado de las escuelas",0.15,0.112,0.362
"P40","Inflación",0.16,0.141,0.082
"P40","Estado de la salud",0.042,0.099,0
"P40","Corrupción",0.011,0.016,0.144
"P40","Pobreza",0.026,0.018,0.042
"P40","Medio ambiente, incendios y contaminación",0,0.009,0
"P40","Falta de trabajo",0.006,0.012,0
"P40","No sabe",0,0.003,0
"P44","Muy buena",0.127,0.027,0.041
"P44","Buena",0.049,0.101,0.081
"P44","Ni buena ni mala",0.374,0.371,0.64
"P44","Mala",0.306,0.359,0.059
"P44","Muy mala",0.144,0.128,0.04
"P44","No sabe",0,0.014,0.139
"P45","Peor",0.558,0.756,0.749
"P45","Igual",0.3,0.135,0.031
"P45","Mejor",0.073,0.066,0.138
"P45","No sabe",0.069,0.043,0.082
"P46","Peor",0.543,0.75,0.51
"P46","Igual",0.242,0.18,0.103
"P46","Mejor",0.171,0.033,0.364
"P46","No sabe",0.044,0.037,0.023
"P47","Javier Milei",0.4,0.049,0.076
"P47","Los gobernadores",0.511,0.922,0.783
"P47","No sabe",0.089,0.029,0.141
"P48","Muy buena",0.326,0.16,0.336
"P48","Buena",0.227,0.327,0.238
"P48","Ni buena ni mala",0.325,0.283,0.376
"P48","Mala",0.092,0.124,0
"P48","Muy mala",0.027,0.092,0.05
"P48","No sabe",0.003,0.014,0
"P50","Muy buena",0.156,0.213,0.192
"P50","Buena",0.153,0.314,0.087
"P50","Ni buena ni mala",0.308,0.281,0.608
"P50","Mala",0.261,0.097,0.063
"P50","Muy mala",0.112,0.067,0.05
"P50","No sabe",0.01,0.028,0
"P51","Muy buena",0.154,0.03,0.072
"P51","Buena",0.2,0.09,0.078
"P51","Ni buena ni mala",0.379,0.345,0.413
"P51","Mala",0.148,0.282,0.228
"P51","Muy mala",0.103,0.205,0.2
"P51","No sabe",0.016,0.048,0.009
"P54","Muy buena",0.224,0.465,0.355
"P54","Buena",0.125,0.201,0.143
"P54","Ni buena ni mala",0.062,0.178,0.208
"P54","Mala",0.274,0.081,0.231
"P54","Muy mala",0.315,0.075,0.063
"P54","No sabe",0,0,0
"P55","Muy buena",0.134,0.007,0.008
"P55","Buena",0.142,0.035,0.094
"P55","Ni buena ni mala",0.134,0.043,0.023
"P55","Mala",0.296,0.291,0.759
"P55","Muy mala",0.291,0.615,0.116
"P55","No sabe",0.003,0.009,0
"P56","Muy buena",0.15,0.182,0.096
"P56","Buena",0.069,0.276,0.137
"P56","Ni buena ni mala",0.217,0.299,0.645
"P56","Mala",0.191,0.152,0.065
"P56","Muy mala",0.373,0.086,0.047
"P56","No sabe",0,0.005,0.01
"P57","Muy buena",0.204,0.515,0.096
"P57","Buena",0.062,0.177,0.142
"P57","Ni buena ni mala",0.125,0.139,0.472
"P57","Mala",0.276,0.076,0.217
"P57","Muy mala",0.333,0.072,0.064
"P57","No sabe",0,0.021,0.009
"P58","Muy buena",0.331,0.017,0
"P58","Buena",0.161,0.01,0.078
"P58","Ni buena ni mala",0.125,0.065,0.484
"P58","Mala",0.154,0.199,0.266
"P58","Muy mala",0.229,0.709,0.172
"P58","No sabe",0,0,0
"P59","Muy buena",0.297,0.004,0
"P59","Buena",0.114,0.039,0.094
"P59","Ni buena ni mala",0.183,0.066,0.386
"P59","Mala",0.189,0.184,0.363
"P59","Muy mala",0.217,0.707,0.157
"P59","No sabe",0,0,0
"P60","Muy buena",0.379,0.005,0
"P60","Buena",0.137,0.021,0.474
"P60","Ni buena ni mala",0.189,0.136,0.101
"P60","Mala",0.106,0.183,0.294
"P60","Muy mala",0.189,0.638,0.123
"P60","No sabe",0,0.017,0.008
"P61","Muy buena",0.19,0.012,0.016
"P61","Buena",0.21,0.069,0.086
"P61","Ni buena ni mala",0.347,0.344,0.658
"P61","Mala",0.122,0.21,0.16
"P61","Muy mala",0.125,0.328,0.062
"P61","No sabe",0.006,0.037,0.018
