"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P22","El anterior gobierno de Alberto Fernández",0.134,0.363,0.511,0.968,0.235
"P22","El actual gobierno de Javier Milei",0.825,0.549,0.378,0.032,0.365
"P22","No sabe",0.041,0.088,0.111,0,0.4
"P23","Empleado sector publico",0.209,0.226,0.215,0.168,0.097
"P23","Empleado sector privado",0.207,0.247,0.247,0.29,0.253
"P23","Changas o trabajos eventuales",0.22,0.204,0.191,0.125,0.218
"P23","Estudiante",0.017,0.041,0.026,0.098,0.116
"P23","Amas de casa",0.086,0.068,0.067,0.04,0.151
"P23","Profesional o independiente",0.086,0.077,0.093,0.157,0.022
"P23","Comerciante, emprendedor o empresario",0.053,0.035,0.074,0.058,0.011
"P23","Trabajador informal",0.01,0.008,0.012,0.006,0.079
"P23","No tengo trabajo",0.112,0.094,0.075,0.058,0.053
"P24","Muy de acuerdo",0.214,0.229,0.202,0.138,0.324
"P24","De acuerdo",0.201,0.244,0.206,0.157,0.137
"P24","Ni de acuerdo ni en desacuerdo",0.32,0.286,0.376,0.314,0.253
"P24","En desacuerdo",0.133,0.153,0.113,0.215,0.114
"P24","Muy en desacuerdo",0.108,0.054,0.077,0.156,0.071
"P24","No sabe",0.024,0.034,0.026,0.02,0.101
"P25","Muy de acuerdo",0.038,0.046,0.121,0.264,0.1
"P25","De acuerdo",0.036,0.116,0.237,0.298,0.095
"P25","Ni de acuerdo ni en desacuerdo",0.066,0.2,0.311,0.249,0.177
"P25","En desacuerdo",0.624,0.549,0.252,0.1,0.37
"P25","Muy en desacuerdo",0.233,0.081,0.077,0.083,0.189
"P25","No sabe",0.003,0.008,0.002,0.006,0.069
"P26","Si",0.663,0.545,0.645,0.848,0.265
"P26","No",0.337,0.455,0.355,0.152,0.735
"P27","Muy de acuerdo",0.097,0.106,0.186,0.396,0.093
"P27","De acuerdo",0.082,0.196,0.303,0.221,0.23
"P27","Ni de acuerdo ni en desacuerdo",0.141,0.214,0.277,0.245,0.3
"P27","En desacuerdo",0.454,0.377,0.129,0.096,0.093
"P27","Muy en desacuerdo",0.223,0.103,0.094,0.04,0.184
"P27","No sabe",0.003,0.004,0.011,0.002,0.1
"P28","Si",0.647,0.57,0.706,0.854,0.288
"P28","No",0.353,0.43,0.294,0.146,0.712
"P29","Muy de acuerdo",0.087,0.123,0.266,0.471,0.077
"P29","De acuerdo",0.099,0.174,0.287,0.275,0.135
"P29","Ni de acuerdo ni en desacuerdo",0.134,0.267,0.254,0.185,0.301
"P29","En desacuerdo",0.448,0.335,0.107,0.02,0.198
"P29","Muy en desacuerdo",0.215,0.085,0.05,0.036,0.167
"P29","No sabe",0.017,0.016,0.036,0.013,0.122
"P30","No estaba enterado",0.272,0.434,0.336,0.155,0.515
"P30","De acuerdo",0.047,0.236,0.493,0.772,0.164
"P30","En desacuerdo",0.608,0.298,0.101,0.022,0.054
"P30","No sabe",0.073,0.032,0.07,0.051,0.267
"P31","No tengo cable ni internet",0.227,0.249,0.151,0.182,0.178
"P31","Si tuve",0.525,0.49,0.615,0.524,0.654
"P31","No tuve",0.248,0.261,0.234,0.294,0.168
"P32","Reclamando directamente a la empresa",0.279,0.284,0.31,0.295,0.089
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.389,0.348,0.336,0.317,0.455
"P32","Nunca se pudo resolver",0.332,0.368,0.354,0.388,0.456
"P33","1-Excelente",0.161,0.208,0.132,0.168,0.115
"P33","2",0.086,0.142,0.145,0.057,0.103
"P33","3",0.041,0.061,0.066,0.063,0.038
"P33","4",0.059,0.063,0.044,0.064,0.004
"P33","5",0.178,0.173,0.191,0.124,0.158
"P33","6",0.062,0.076,0.041,0.028,0.24
"P33","7",0.053,0.06,0.03,0.031,0.014
"P33","8",0.08,0.066,0.083,0.089,0.023
"P33","9-Pésimo",0.226,0.076,0.213,0.332,0.186
"P33","No sabe",0.054,0.075,0.055,0.044,0.119
"P34","1-Excelente",0.16,0.177,0.177,0.172,0.054
"P34","2",0.079,0.176,0.11,0.061,0.15
"P34","3",0.077,0.065,0.097,0.066,0.046
"P34","4",0.082,0.053,0.048,0.065,0.194
"P34","5",0.115,0.184,0.141,0.126,0.149
"P34","6",0.06,0.053,0.042,0.009,0.08
"P34","7",0.033,0.045,0.034,0.037,0.029
"P34","8",0.051,0.057,0.074,0.076,0.008
"P34","9-Pésimo",0.294,0.158,0.223,0.344,0.172
"P34","No sabe",0.049,0.032,0.054,0.044,0.118
"P35","1-Excelente",0.136,0.217,0.138,0.197,0.071
"P35","2",0.085,0.193,0.098,0.046,0.105
"P35","3",0.098,0.059,0.098,0.073,0.062
"P35","4",0.095,0.081,0.08,0.058,0.182
"P35","5",0.128,0.124,0.167,0.117,0.247
"P35","6",0.086,0.074,0.035,0.032,0.078
"P35","7",0.04,0.049,0.028,0.053,0
"P35","8",0.051,0.047,0.041,0.063,0.008
"P35","9-Pésimo",0.225,0.111,0.267,0.323,0.107
"P35","No sabe",0.056,0.045,0.048,0.038,0.14
"P36","1-Excelente",0.142,0.174,0.096,0.156,0.082
"P36","2",0.117,0.199,0.171,0.054,0.168
"P36","3",0.066,0.095,0.087,0.047,0.08
"P36","4",0.076,0.055,0.042,0.062,0.066
"P36","5",0.117,0.163,0.193,0.198,0.202
"P36","6",0.058,0.072,0.046,0.033,0.154
"P36","7",0.064,0.051,0.051,0.041,0.021
"P36","8",0.043,0.064,0.06,0.061,0.087
"P36","9-Pésimo",0.257,0.091,0.192,0.284,0.062
"P36","No sabe",0.06,0.036,0.062,0.064,0.078
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.884,0.447,0.111,0.02,0.252
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.079,0.382,0.389,0.073,0.169
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.013,0.072,0.322,0.343,0.018
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.008,0.048,0.12,0.561,0.175
"P37","No sabe",0.016,0.051,0.058,0.003,0.386
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.821,0.362,0.036,0.003,0.08
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.141,0.49,0.218,0.011,0.19
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.021,0.096,0.598,0.335,0.042
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.007,0.03,0.101,0.65,0.116
"P38","No sabe",0.01,0.022,0.047,0.001,0.572
"P40","Inseguridad y narcotráfico",0.428,0.288,0.286,0.208,0.226
"P40","Altos impuestos y tarifas",0.127,0.317,0.183,0.14,0.147
"P40","Educación y estado de las escuelas",0.117,0.178,0.249,0.291,0.2
"P40","Inflación",0.153,0.132,0.165,0.185,0.187
"P40","Estado de la salud",0.101,0.042,0.071,0.07,0.11
"P40","Corrupción",0.027,0.032,0.032,0.098,0.071
"P40","Pobreza",0.023,0.003,0.005,0.004,0.04
"P40","Medio ambiente, incendios y contaminación",0.006,0.004,0,0,0
"P40","Falta de trabajo",0.011,0.004,0.003,0.003,0
"P40","No sabe",0.007,0,0.006,0.001,0.019
"P44","Muy buena",0.071,0.022,0.015,0.012,0.011
"P44","Buena",0.069,0.218,0.081,0.075,0.066
"P44","Ni buena ni mala",0.29,0.358,0.39,0.266,0.329
"P44","Mala",0.34,0.31,0.367,0.434,0.296
"P44","Muy mala",0.212,0.078,0.117,0.187,0.201
"P44","No sabe",0.018,0.014,0.03,0.026,0.097
"P45","Peor",0.741,0.486,0.509,0.461,0.422
"P45","Igual",0.148,0.315,0.286,0.363,0.263
"P45","Mejor",0.068,0.113,0.095,0.08,0.087
"P45","No sabe",0.043,0.086,0.11,0.096,0.228
"P46","Peor",0.775,0.49,0.369,0.325,0.348
"P46","Igual",0.162,0.389,0.298,0.306,0.289
"P46","Mejor",0.033,0.075,0.226,0.278,0.221
"P46","No sabe",0.03,0.046,0.107,0.091,0.142
"P47","Javier Milei",0.095,0.134,0.581,0.889,0.188
"P47","Los gobernadores",0.833,0.711,0.233,0.056,0.552
"P47","No sabe",0.072,0.155,0.186,0.055,0.26
"P48","Muy buena",0.144,0.088,0.131,0.03,0.12
"P48","Buena",0.268,0.351,0.184,0.074,0.234
"P48","Ni buena ni mala",0.271,0.311,0.294,0.218,0.401
"P48","Mala",0.185,0.193,0.245,0.345,0.104
"P48","Muy mala",0.121,0.051,0.143,0.314,0.076
"P48","No sabe",0.011,0.006,0.003,0.019,0.065
"P50","Muy buena",0.241,0.143,0.042,0.024,0.027
"P50","Buena",0.262,0.301,0.094,0.048,0.141
"P50","Ni buena ni mala",0.26,0.291,0.328,0.169,0.449
"P50","Mala",0.127,0.187,0.315,0.36,0.081
"P50","Muy mala",0.086,0.047,0.189,0.361,0.098
"P50","No sabe",0.024,0.031,0.032,0.038,0.204
"P51","Muy buena",0.056,0.083,0.144,0.22,0.034
"P51","Buena",0.089,0.179,0.25,0.198,0.244
"P51","Ni buena ni mala",0.32,0.394,0.335,0.279,0.235
"P51","Mala",0.24,0.19,0.141,0.192,0.067
"P51","Muy mala",0.254,0.107,0.07,0.092,0.06
"P51","No sabe",0.041,0.047,0.06,0.019,0.36
"P54","Muy buena",0.443,0.248,0.052,0.016,0.25
"P54","Buena",0.22,0.209,0.05,0.045,0.087
"P54","Ni buena ni mala",0.142,0.19,0.106,0.007,0.162
"P54","Mala",0.093,0.184,0.307,0.177,0.247
"P54","Muy mala",0.1,0.166,0.461,0.749,0.165
"P54","No sabe",0.002,0.003,0.024,0.006,0.089
"P55","Muy buena",0.043,0.042,0.116,0.154,0.081
"P55","Buena",0.068,0.135,0.214,0.271,0.132
"P55","Ni buena ni mala",0.043,0.124,0.253,0.3,0.225
"P55","Mala",0.273,0.338,0.24,0.139,0.39
"P55","Muy mala",0.57,0.352,0.173,0.136,0.109
"P55","No sabe",0.003,0.009,0.004,0,0.063
"P56","Muy buena",0.187,0.115,0.03,0.008,0.231
"P56","Buena",0.273,0.232,0.049,0.043,0.247
"P56","Ni buena ni mala",0.275,0.229,0.173,0.05,0.197
"P56","Mala",0.132,0.206,0.245,0.17,0.071
"P56","Muy mala",0.131,0.199,0.49,0.714,0.202
"P56","No sabe",0.002,0.019,0.013,0.015,0.052
"P57","Muy buena",0.5,0.183,0.034,0.023,0.101
"P57","Buena",0.198,0.292,0.032,0.018,0.039
"P57","Ni buena ni mala",0.119,0.147,0.113,0.042,0.146
"P57","Mala",0.073,0.182,0.284,0.171,0.311
"P57","Muy mala",0.083,0.184,0.522,0.738,0.313
"P57","No sabe",0.027,0.012,0.015,0.008,0.09
"P58","Muy buena",0.053,0.092,0.354,0.709,0.2
"P58","Buena",0.037,0.175,0.249,0.165,0.085
"P58","Ni buena ni mala",0.057,0.081,0.151,0.049,0.33
"P58","Mala",0.174,0.172,0.115,0.025,0.218
"P58","Muy mala",0.665,0.473,0.123,0.052,0.111
"P58","No sabe",0.014,0.007,0.008,0,0.056
"P59","Muy buena",0.033,0.091,0.323,0.541,0.083
"P59","Buena",0.048,0.19,0.346,0.309,0.25
"P59","Ni buena ni mala",0.041,0.148,0.157,0.107,0.351
"P59","Mala",0.161,0.124,0.079,0.016,0.168
"P59","Muy mala",0.714,0.447,0.089,0.027,0.092
"P59","No sabe",0.003,0,0.006,0,0.056
"P60","Muy buena",0.037,0.095,0.476,0.714,0.185
"P60","Buena",0.053,0.194,0.225,0.188,0.193
"P60","Ni buena ni mala",0.09,0.224,0.153,0.074,0.209
"P60","Mala",0.152,0.103,0.082,0.005,0.223
"P60","Muy mala",0.652,0.33,0.057,0.019,0.072
"P60","No sabe",0.016,0.054,0.007,0,0.118
"P61","Muy buena",0.032,0.054,0.141,0.107,0.08
"P61","Buena",0.062,0.208,0.244,0.291,0.106
"P61","Ni buena ni mala",0.327,0.371,0.461,0.477,0.281
"P61","Mala",0.204,0.147,0.067,0.076,0.25
"P61","Muy mala",0.329,0.156,0.064,0.042,0.051
"P61","No sabe",0.046,0.064,0.023,0.007,0.232
