"var","categoria","Oponerse totalmente y elevar un recurso de amparo ante la corte","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino","No sabe"
"P29","Ni de acuerdo ni en desacuerdo",0.143,0.317,0.225,0.171,0.311
"P29","En desacuerdo",0.462,0.158,0.019,0.045,0.133
"P29","Muy en desacuerdo",0.189,0.052,0.036,0.047,0.181
"P29","No sabe",0.021,0.025,0.031,0.008,0.131
"P30","No estaba enterado",0.287,0.376,0.26,0.21,0.676
"P30","De acuerdo",0.056,0.402,0.661,0.728,0.097
"P30","En desacuerdo",0.579,0.142,0.027,0.026,0.077
"P30","No sabe",0.078,0.08,0.052,0.036,0.15
"P31","No tengo cable ni internet",0.225,0.238,0.152,0.173,0.168
"P31","Si tuve",0.55,0.463,0.605,0.571,0.655
"P31","No tuve",0.225,0.299,0.243,0.256,0.177
"P32","Reclamando directamente a la empresa",0.286,0.291,0.283,0.284,0.126
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.392,0.3,0.313,0.375,0.461
"P32","Nunca se pudo resolver",0.322,0.409,0.404,0.341,0.413
"P33","1-Excelente",0.169,0.142,0.198,0.137,0.075
"P33","2",0.079,0.203,0.081,0.085,0.041
"P33","3",0.044,0.073,0.076,0.036,0.019
"P33","4",0.064,0.035,0.054,0.037,0.086
"P33","5",0.172,0.154,0.159,0.141,0.294
"P33","6",0.082,0.034,0.048,0.019,0.171
"P33","7",0.057,0.032,0.036,0.025,0.008
"P33","8",0.078,0.098,0.051,0.086,0.039
"P33","9-Pésimo",0.206,0.162,0.254,0.375,0.092
"P33","No sabe",0.049,0.067,0.043,0.059,0.175
"P34","1-Excelente",0.16,0.16,0.212,0.153,0.068
"P34","2",0.085,0.157,0.077,0.097,0.053
"P34","3",0.058,0.12,0.091,0.037,0.125
"P34","4",0.085,0.057,0.055,0.053,0.135
"P34","5",0.136,0.12,0.164,0.106,0.202
"P34","6",0.062,0.043,0.013,0.011,0.107
"P34","7",0.037,0.038,0.024,0.046,0.009
"P34","8",0.064,0.03,0.077,0.075,0.045
"P34","9-Pésimo",0.267,0.229,0.244,0.378,0.085
"P34","No sabe",0.046,0.046,0.043,0.044,0.171
"P35","1-Excelente",0.126,0.188,0.189,0.164,0.142
"P35","2",0.085,0.153,0.083,0.063,0.079
"P35","3",0.082,0.109,0.092,0.046,0.139
"P35","4",0.107,0.094,0.063,0.062,0.042
"P35","5",0.138,0.082,0.157,0.148,0.295
"P35","6",0.096,0.033,0.026,0.033,0.043
"P35","7",0.044,0.023,0.043,0.048,0.009
"P35","8",0.057,0.025,0.065,0.052,0.003
"P35","9-Pésimo",0.212,0.241,0.246,0.345,0.073
"P35","No sabe",0.053,0.052,0.036,0.039,0.175
"P36","1-Excelente",0.142,0.112,0.168,0.126,0.093
"P36","2",0.114,0.209,0.133,0.072,0.119
"P36","3",0.062,0.111,0.083,0.041,0.068
"P36","4",0.079,0.037,0.031,0.062,0.069
"P36","5",0.116,0.169,0.176,0.219,0.316
"P36","6",0.08,0.053,0.021,0.022,0.061
"P36","7",0.061,0.036,0.046,0.043,0.079
"P36","8",0.05,0.063,0.048,0.081,0.032
"P36","9-Pésimo",0.237,0.163,0.219,0.287,0.052
"P36","No sabe",0.059,0.047,0.075,0.047,0.111
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.755,0.143,0.004,0.005,0.145
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.17,0.448,0.041,0.024,0.229
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.037,0.346,0.69,0.23,0.139
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.013,0.05,0.24,0.699,0.029
"P38","No sabe",0.025,0.013,0.025,0.042,0.458
"P39","Oponerse totalmente",0.748,0.138,0.027,0.017,0.123
"P39","Oponerse parcialmente",0.146,0.258,0.059,0.042,0.147
"P39","Apoyar parcialmente",0.068,0.492,0.499,0.192,0.315
"P39","Apoyar totalmente",0.009,0.071,0.41,0.695,0.014
"P39","No sabe",0.029,0.041,0.005,0.054,0.401
"P40","Inseguridad y narcotráfico",0.425,0.282,0.217,0.246,0.155
"P40","Altos impuestos y tarifas",0.129,0.277,0.167,0.145,0.186
"P40","Educación y estado de las escuelas",0.12,0.227,0.311,0.253,0.169
"P40","Inflación",0.159,0.129,0.153,0.177,0.293
"P40","Estado de la salud",0.102,0.051,0.078,0.077,0.024
"P40","Corrupción",0.031,0.025,0.066,0.089,0.03
"P40","Pobreza",0.013,0.003,0.004,0.007,0.092
"P40","Medio ambiente, incendios y contaminación",0.004,0.003,0,0.004,0
"P40","Falta de trabajo",0.011,0.003,0.003,0.002,0
"P40","No sabe",0.006,0,0.001,0,0.051
"P44","Muy buena",0.069,0.019,0.012,0.003,0
"P44","Buena",0.086,0.13,0.09,0.061,0.125
"P44","Ni buena ni mala",0.297,0.356,0.331,0.341,0.303
"P44","Mala",0.346,0.352,0.405,0.362,0.351
"P44","Muy mala",0.179,0.124,0.144,0.199,0.144
"P44","No sabe",0.023,0.019,0.018,0.034,0.077
"P45","Peor",0.717,0.49,0.455,0.474,0.469
"P45","Igual",0.15,0.348,0.344,0.31,0.283
"P45","Mejor",0.082,0.069,0.123,0.09,0.017
"P45","No sabe",0.051,0.093,0.078,0.126,0.231
"P46","Peor",0.744,0.372,0.329,0.39,0.344
"P46","Igual",0.162,0.377,0.305,0.3,0.371
"P46","Mejor",0.05,0.206,0.29,0.185,0.098
"P46","No sabe",0.044,0.045,0.076,0.125,0.187
"P47","Javier Milei",0.099,0.399,0.823,0.764,0.076
"P47","Los gobernadores",0.832,0.452,0.079,0.103,0.512
"P47","No sabe",0.069,0.149,0.098,0.133,0.412
"P48","Muy buena",0.16,0.115,0.025,0.069,0.085
"P48","Buena",0.277,0.216,0.156,0.099,0.284
"P48","Ni buena ni mala",0.257,0.366,0.25,0.197,0.435
"P48","Mala",0.19,0.171,0.343,0.324,0.122
"P48","Muy mala",0.107,0.127,0.2,0.302,0.037
"P48","No sabe",0.009,0.005,0.026,0.009,0.037
"P50","Muy buena",0.229,0.061,0.047,0.037,0.041
"P50","Buena",0.278,0.167,0.073,0.045,0.109
"P50","Ni buena ni mala",0.265,0.352,0.208,0.191,0.48
"P50","Mala",0.132,0.275,0.376,0.307,0.096
"P50","Muy mala",0.075,0.123,0.252,0.38,0.069
"P50","No sabe",0.021,0.022,0.044,0.04,0.205
"P51","Muy buena",0.052,0.121,0.213,0.191,0.041
"P51","Buena",0.095,0.22,0.192,0.268,0.218
"P51","Ni buena ni mala",0.341,0.336,0.314,0.276,0.266
"P51","Mala",0.238,0.156,0.193,0.129,0.133
"P51","Muy mala",0.23,0.119,0.064,0.086,0.02
"P51","No sabe",0.044,0.048,0.024,0.05,0.322
"P54","Muy buena",0.408,0.091,0.022,0.106,0.237
"P54","Buena",0.22,0.142,0.013,0.064,0
"P54","Ni buena ni mala",0.149,0.115,0.088,0.013,0.2
"P54","Mala",0.108,0.273,0.286,0.163,0.188
"P54","Muy mala",0.115,0.369,0.573,0.647,0.256
"P54","No sabe",0,0.01,0.018,0.007,0.119
"P55","Muy buena",0.044,0.096,0.129,0.161,0.003
"P55","Buena",0.059,0.198,0.255,0.294,0.059
"P55","Ni buena ni mala",0.058,0.23,0.249,0.307,0.115
"P55","Mala",0.282,0.293,0.215,0.121,0.355
"P55","Muy mala",0.551,0.179,0.146,0.111,0.454
"P55","No sabe",0.006,0.004,0.006,0.006,0.014
"P56","Muy buena",0.17,0.068,0.022,0.046,0.126
"P56","Buena",0.268,0.113,0.031,0.09,0.14
"P56","Ni buena ni mala",0.272,0.185,0.073,0.083,0.355
"P56","Mala",0.146,0.234,0.241,0.15,0.058
"P56","Muy mala",0.14,0.378,0.619,0.624,0.278
"P56","No sabe",0.004,0.022,0.014,0.007,0.043
"P57","Muy buena",0.468,0.068,0.03,0.02,0.142
"P57","Buena",0.208,0.112,0.023,0.049,0.034
"P57","Ni buena ni mala",0.117,0.141,0.044,0.065,0.234
"P57","Mala",0.084,0.242,0.295,0.168,0.226
"P57","Muy mala",0.103,0.417,0.592,0.68,0.303
"P57","No sabe",0.02,0.02,0.016,0.018,0.061
"P58","Muy buena",0.058,0.265,0.627,0.534,0.093
"P58","Buena",0.045,0.204,0.19,0.239,0.138
"P58","Ni buena ni mala",0.062,0.136,0.085,0.071,0.315
"P58","Mala",0.193,0.146,0.042,0.047,0.118
"P58","Muy mala",0.632,0.246,0.049,0.103,0.266
"P58","No sabe",0.01,0.003,0.007,0.006,0.07
"P59","Muy buena",0.038,0.281,0.441,0.45,0.019
"P59","Buena",0.046,0.291,0.329,0.341,0.328
"P59","Ni buena ni mala",0.061,0.154,0.147,0.095,0.302
"P59","Mala",0.181,0.079,0.037,0.044,0.022
"P59","Muy mala",0.673,0.195,0.04,0.064,0.278
"P59","No sabe",0.001,0,0.006,0.006,0.051
"P60","Muy buena",0.057,0.339,0.63,0.624,0.038
"P60","Buena",0.05,0.228,0.188,0.204,0.362
"P60","Ni buena ni mala",0.11,0.182,0.137,0.077,0.147
"P60","Mala",0.164,0.088,0.027,0.011,0.164
"P60","Muy mala",0.607,0.146,0.011,0.057,0.184
"P60","No sabe",0.012,0.017,0.007,0.027,0.105
"P61","Muy buena",0.042,0.11,0.156,0.085,0.009
"P61","Buena",0.082,0.224,0.261,0.253,0.241
"P61","Ni buena ni mala",0.356,0.405,0.452,0.461,0.29
"P61","Mala",0.199,0.102,0.087,0.089,0.083
"P61","Muy mala",0.287,0.104,0.033,0.077,0.181
"P61","No sabe",0.034,0.055,0.011,0.035,0.196
