"var","categoria","El anterior gobierno de Arabela Carreras","El actual gobierno de Alberto Weretilneck","No sabe"
"P39","Buena",0.056,0,0.112
"P39","Ni buena ni mala",0.064,0,0.148
"P39","Mala",0.156,0,0.199
"P39","Muy mala",0.56,0,0.435
"P39","No sabe",0.002,0,0
"P40","Muy buena",0.392,0,0.211
"P40","Buena",0.179,0,0.407
"P40","Ni buena ni mala",0.042,0,0.143
"P40","Mala",0.115,0,0.112
"P40","Muy mala",0.272,0,0.127
"P40","No sabe",0,0,0
"P41","Muy buena",0.385,0,0.212
"P41","Buena",0.227,0,0.35
"P41","Ni buena ni mala",0.084,0,0.104
"P41","Mala",0.09,0,0.15
"P41","Muy mala",0.214,0,0.184
"P41","No sabe",0,0,0
"P42","Muy buena",0.462,0,0.369
"P42","Buena",0.138,0,0.162
"P42","Ni buena ni mala",0.162,0,0.218
"P42","Mala",0.074,0,0.112
"P42","Muy mala",0.153,0,0.124
"P42","No sabe",0.011,0,0.015
"P43","Muy buena",0.126,0,0.094
"P43","Buena",0.218,0,0.105
"P43","Ni buena ni mala",0.314,0,0.635
"P43","Mala",0.145,0,0.143
"P43","Muy mala",0.186,0,0.009
"P43","No sabe",0.011,0,0.014
