"var","categoria","Son lo mismo, ambos son de Massa","Son aliados en el Frente de Todos pero compiten","Son enemigos porque Zamora traicionó a Massa","No sabe"
"P30","A Alberto Fernández",0.144,0.139,0.01,0.266
"P30","A Sergio Massa",0.163,0.267,0.329,0.19
"P30","A algún candidato del peronismo",0.408,0.351,0.463,0.48
"P30","A algún candidato del kirchnerismo",0.285,0.243,0.198,0.064
"P31","A Alberto Fernández",0.241,0.02,0.011,0.058
"P31","A Sergio Massa",0.267,0.216,0.301,0.082
"P31","A algún candidato del peronismo",0.327,0.409,0.436,0.521
"P31","A Cristina Fernández de Kirchner",0.165,0.355,0.252,0.339
"P32","A Horacio Rodriguez Larreta",0.237,0.336,0.261,0.2
"P32","A Mauricio Macri",0.331,0.118,0.196,0.161
"P32","A Patricia Bullrich",0.213,0.192,0.27,0.348
"P32","A Facundo Manes",0.172,0.249,0.173,0.177
"P32","A Gerardo Morales",0.047,0.105,0.1,0.114
"P33","Seguro lo votaria",0.395,0.251,0.168,0.197
"P33","Quizás lo votaría",0.186,0.238,0.379,0.269
"P33","Nunca lo votaría",0.419,0.511,0.453,0.534
"P34","Muy buena",0.121,0.158,0.103,0.048
"P34","Buena",0.133,0.131,0.094,0.109
"P34","Ni buena ni mala",0.084,0.165,0.15,0.24
"P34","Mala",0.067,0.131,0.106,0.167
"P34","Muy mala",0.591,0.393,0.547,0.392
"P34","No sabe",0.004,0.022,0,0.044
"P35","Muy buena",0.279,0.128,0.156,0.126
"P35","Buena",0.142,0.118,0.22,0.151
"P35","Ni buena ni mala",0.159,0.155,0.173,0.167
"P35","Mala",0.152,0.155,0.114,0.343
"P35","Muy mala",0.252,0.444,0.337,0.184
"P35","No sabe",0.016,0,0,0.029
"P36","Muy buena",0.107,0.365,0.123,0.146
"P36","Buena",0.01,0.105,0.085,0.102
"P36","Ni buena ni mala",0.096,0.062,0.029,0.079
"P36","Mala",0.08,0.02,0.105,0.173
"P36","Muy mala",0.707,0.422,0.658,0.44
"P36","No sabe",0,0.026,0,0.06
"P37","Muy buena",0.161,0.106,0.163,0.118
"P37","Buena",0.217,0.187,0.325,0.143
"P37","Ni buena ni mala",0.25,0.147,0.183,0.252
"P37","Mala",0.155,0.201,0.114,0.161
"P37","Muy mala",0.198,0.32,0.207,0.255
"P37","No sabe",0.019,0.039,0.008,0.071
"P38","Muy buena",0.022,0.099,0.072,0.072
"P38","Buena",0.118,0.236,0.152,0.118
"P38","Ni buena ni mala",0.066,0.191,0.171,0.233
"P38","Mala",0.18,0.169,0.143,0.252
"P38","Muy mala",0.595,0.283,0.455,0.273
"P38","No sabe",0.019,0.022,0.007,0.052
"P39","Muy buena",0.434,0.161,0.301,0.195
"P39","Buena",0.215,0.201,0.187,0.183
"P39","Ni buena ni mala",0.051,0.054,0.174,0.186
"P39","Mala",0.085,0.161,0.033,0.165
"P39","Muy mala",0.18,0.373,0.305,0.194
"P39","No sabe",0.035,0.05,0,0.077
"P40","Muy buena",0.245,0.121,0.203,0.184
"P40","Buena",0.22,0.098,0.202,0.11
"P40","Ni buena ni mala",0.24,0.239,0.242,0.199
"P40","Mala",0.126,0.129,0.06,0.14
"P40","Muy mala",0.143,0.383,0.262,0.252
"P40","No sabe",0.026,0.03,0.031,0.115
