"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P32","A Mauricio Macri",0.079,0.355,0.052,0.029,0.256,0.13
"P32","A Patricia Bullrich",0.025,0.273,0.626,0,0.209,0.176
"P32","A Facundo Manes",0.414,0.092,0.108,0.569,0.167,0.061
"P32","A Gerardo Morales",0.124,0.018,0.105,0.109,0.259,0.164
"P33","Seguro lo votaria",0.13,0.257,0.588,0.105,0.025,0.264
"P33","Quizás lo votaría",0.109,0.322,0.328,0.086,0.46,0.328
"P33","Nunca lo votaría",0.761,0.421,0.084,0.809,0.515,0.408
"P34","Muy buena",0.177,0.108,0.067,0,0.057,0.08
"P34","Buena",0.206,0.092,0.025,0.235,0.088,0.06
"P34","Ni buena ni mala",0.328,0.038,0.017,0.33,0.231,0.182
"P34","Mala",0.156,0.089,0.021,0.118,0.262,0.187
"P34","Muy mala",0.097,0.673,0.87,0.284,0.362,0.442
"P34","No sabe",0.036,0,0,0.033,0,0.049
"P35","Muy buena",0.049,0.327,0.167,0,0.04,0.108
"P35","Buena",0.043,0.283,0.113,0.012,0.182,0.153
"P35","Ni buena ni mala",0.081,0.192,0.265,0.073,0.267,0.12
"P35","Mala",0.207,0.105,0.22,0.033,0.295,0.293
"P35","Muy mala",0.61,0.093,0.235,0.882,0.176,0.281
"P35","No sabe",0.01,0,0,0,0.04,0.045
"P36","Muy buena",0.45,0.111,0.012,0.189,0.075,0.145
"P36","Buena",0.177,0.015,0.013,0.334,0.053,0.021
"P36","Ni buena ni mala",0.101,0.021,0.014,0.2,0.083,0.152
"P36","Mala",0.067,0.072,0.056,0.066,0.296,0.122
"P36","Muy mala",0.195,0.754,0.905,0.211,0.453,0.491
"P36","No sabe",0.01,0.027,0,0,0.04,0.069
"P37","Muy buena",0.053,0.243,0.096,0.02,0.114,0.127
"P37","Buena",0.052,0.362,0.328,0.085,0.131,0.138
"P37","Ni buena ni mala",0.202,0.22,0.133,0.05,0.379,0.172
"P37","Mala",0.24,0.08,0.121,0.285,0.173,0.235
"P37","Muy mala",0.426,0.078,0.316,0.56,0.123,0.175
"P37","No sabe",0.027,0.017,0.006,0,0.08,0.153
"P38","Muy buena",0.102,0.084,0.012,0,0.043,0.046
"P38","Buena",0.302,0.086,0.101,0.094,0.083,0.192
"P38","Ni buena ni mala",0.275,0.081,0.126,0.069,0.227,0.175
"P38","Mala",0.162,0.164,0.184,0.286,0.294,0.212
"P38","Muy mala",0.142,0.576,0.577,0.551,0.274,0.245
"P38","No sabe",0.017,0.009,0,0,0.079,0.13
"P39","Muy buena",0.034,0.513,0.296,0,0.054,0.249
"P39","Buena",0.024,0.298,0.399,0.012,0.201,0.104
"P39","Ni buena ni mala",0.101,0.07,0.144,0.04,0.245,0.147
"P39","Mala",0.232,0.02,0.044,0.106,0.186,0.146
"P39","Muy mala",0.574,0.082,0.102,0.823,0.235,0.17
"P39","No sabe",0.035,0.017,0.015,0.019,0.079,0.184
"P40","Muy buena",0.058,0.146,0.599,0,0,0.124
"P40","Buena",0.032,0.255,0.189,0.012,0.198,0.143
"P40","Ni buena ni mala",0.092,0.4,0.144,0,0.324,0.273
"P40","Mala",0.197,0.098,0.014,0.072,0.035,0.128
"P40","Muy mala",0.573,0.075,0.054,0.897,0.347,0.154
"P40","No sabe",0.048,0.026,0,0.019,0.096,0.178
