"var","categoria","Florencio Randazzo","Cristian Ritondo","Algun diputado del bloque de Milei","No sabe"
"P52","Buena",0.155,0.182,0.146,0.048
"P52","Ni buena ni mala",0.236,0.201,0.165,0.2
"P52","Mala",0.109,0.107,0.086,0.198
"P52","Muy mala",0.215,0.149,0.154,0.343
"P52","No sabe",0.013,0.036,0.03,0.118
"P53","Muy buena",0.203,0.189,0.238,0.079
"P53","Buena",0.283,0.248,0.202,0.133
"P53","Ni buena ni mala",0.329,0.302,0.255,0.353
"P53","Mala",0.116,0.123,0.149,0.173
"P53","Muy mala",0.052,0.088,0.106,0.149
"P53","No sabe",0.017,0.05,0.05,0.113
"P54","Radio",0.159,0.17,0.109,0.119
"P54","Televisión",0.476,0.42,0.287,0.39
"P54","Diario",0.066,0.084,0.052,0.055
"P54","Medio digital",0.177,0.163,0.277,0.182
"P54","Redes Sociales",0.097,0.114,0.229,0.186
"P54","Ninguno en particular",0.025,0.049,0.045,0.067
"P54","No sabe",0,0,0.001,0.001
"P55","Muy buena",0.08,0.046,0.042,0.079
"P55","Buena",0.205,0.136,0.05,0.127
"P55","Ni buena ni mala",0.237,0.253,0.348,0.472
"P55","Mala",0.301,0.329,0.244,0.177
"P55","Muy mala",0.166,0.213,0.293,0.091
"P55","No sabe",0.011,0.023,0.023,0.054
"P56","Muy buena",0.039,0.072,0.038,0.035
"P56","Buena",0.15,0.108,0.034,0.061
"P56","Ni buena ni mala",0.233,0.26,0.194,0.296
"P56","Mala",0.322,0.32,0.317,0.277
"P56","Muy mala",0.246,0.217,0.381,0.274
"P56","No sabe",0.01,0.023,0.036,0.057
