"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Cambiemos","Javier Milei por los liberales","Nicolás del Caño por la izquierda","Otro candidato"
"P13","Nunca lo votaría",0.444,0.321,0.343,0.398,0.282
"P13","No sabe",0.299,0.081,0.098,0.056,0.071
"P14","La votaría",0.199,0.623,0.498,0.616,0.38
"P14","Puede que la vote",0.081,0.26,0.216,0.208,0.277
"P14","Nunca la votaría",0.492,0.084,0.202,0.125,0.268
"P14","No sabe",0.228,0.033,0.084,0.051,0.075
"P15","Lo votaría",0.12,0.166,0.646,0.352,0.059
"P15","Puede que lo vote",0.094,0.296,0.191,0.301,0.211
"P15","Nunca lo votaría",0.647,0.488,0.07,0.347,0.671
"P15","No sabe",0.139,0.05,0.093,0,0.059
"P16","Sí, lo votaría",0.036,0.83,0.4,0.039,0.141
"P16","Puede que lo vote",0.018,0.134,0.221,0.066,0.186
"P16","Nunca lo votaría",0.916,0.023,0.311,0.857,0.552
"P16","No sabe",0.03,0.013,0.068,0.038,0.121
"P17","Sí, la votaría",0.766,0.129,0.072,0.183,0.057
"P17","Puede que la vote",0.112,0.045,0.055,0.204,0.133
"P17","Nunca la votaría",0.109,0.82,0.841,0.551,0.706
"P17","No sabe",0.013,0.006,0.032,0.062,0.104
"P19","Horacio Rodríguez Larreta por Cambiemos",0.182,0.616,0.082,0.077,0.173
"P19","Alberto Fernández por el Frente de Todos",0.606,0.18,0.009,0.162,0.111
"P19","Javier Milei por los liberales",0.018,0.08,0.884,0.039,0.042
"P19","Nicolás del Caño por la izquierda",0.033,0.005,0.005,0.623,0.009
"P19","Otro candidato",0.161,0.119,0.02,0.099,0.665
"P20","Mauricio Macri presidente Javier Milei vice",0.035,0.741,0.623,0.041,0.144
"P20","Sergio Massa presidente Gerardo Morales vice",0.349,0.022,0.044,0.075,0.162
"P20","Nicolas del Caño presidente Myriam Bregman vice",0.104,0.013,0.047,0.676,0.043
"P20","No sabe",0.512,0.224,0.286,0.208,0.651
"P21","Mauricio Macri presidente Patricia Bullrich vice",0.021,0.84,0.201,0.063,0.105
"P21","Alberto Fernández presidente Sergio Massa vice",0.389,0.01,0.012,0.177,0.155
"P21","Javier Milei presidente José Luis Espert vice",0.01,0.015,0.68,0.074,0.082
"P21","Horacio Rodríguez Larreta presidente Gerardo Morales vice",0.076,0.118,0.08,0.114,0.259
"P21","Cristina Fernández de Kirchner presidenta Jorge Capitanich vice",0.48,0.002,0.002,0.133,0.028
"P21","Otros candidatos",0.024,0.015,0.025,0.439,0.371
"P22","Muy buena",0.158,0.061,0.017,0.086,0.047
"P22","Buena",0.408,0.01,0.015,0.133,0.071
"P22","Ni buena ni mala",0.271,0.032,0.123,0.199,0.174
"P22","Mala",0.095,0.168,0.155,0.257,0.24
"P22","Muy mala",0.057,0.726,0.687,0.268,0.424
"P22","No sabe",0.011,0.003,0.003,0.057,0.044
"P23","Si",0.855,0.508,0.498,0.712,0.589
"P23","No",0.062,0.246,0.296,0.135,0.171
"P23","No sabe",0.083,0.246,0.206,0.153,0.24
"P24","El kirchnerismo",0.12,0.716,0.613,0.37,0.453
"P24","Cambiemos",0.364,0.074,0.067,0.19,0.12
"P24","Los medios de comunicación",0.369,0.048,0.074,0.285,0.138
"P24","Otros",0.06,0.074,0.128,0.077,0.123
"P24","No sabe",0.087,0.088,0.118,0.078,0.166
"P25","Sin deuda",0.34,0.302,0.198,0.272,0.236
"P25","Menos de 10%",0.177,0.176,0.144,0.163,0.14
"P25","Entre 10 y 20%",0.132,0.153,0.134,0.184,0.16
"P25","Entre 20 y 30%",0.074,0.114,0.12,0.086,0.096
"P25","Entre 30 y 40%",0.083,0.082,0.121,0.073,0.138
"P25","Mas del 40%",0.147,0.145,0.241,0.186,0.178
"P25","No sabe",0.047,0.028,0.042,0.036,0.052
"P26","Gran excedente habitual",0.008,0.007,0.009,0.027,0.009
"P26","Gran excedente excepcional",0.014,0.006,0.007,0,0.011
"P26","Pequeño excedente habitual",0.081,0.056,0.063,0.05,0.064
"P26","Pequeño excedente excepcional",0.08,0.064,0.06,0.059,0.061
"P26","Alcanza gastos familia",0.208,0.137,0.129,0.134,0.146
"P26","No alcanza gastos familia",0.165,0.161,0.162,0.142,0.193
"P26","Solo NBFamiliares",0.226,0.281,0.269,0.202,0.237
"P26","No alcanza NBFamiliares",0.209,0.279,0.288,0.369,0.262
"P26","No sabe",0.009,0.009,0.013,0.017,0.017
"P27","Muy buena",0.057,0.034,0.041,0.072,0.041
"P27","Buena",0.229,0.126,0.105,0.125,0.134
"P27","Ni buena ni mala",0.407,0.414,0.374,0.347,0.394
"P27","Mala",0.222,0.309,0.318,0.287,0.31
"P27","Muy mala",0.068,0.108,0.156,0.131,0.102
"P27","No sabe",0.017,0.009,0.006,0.038,0.019
"P28","Mejor",0.243,0.054,0.057,0.129,0.096
"P28","Igual",0.461,0.134,0.168,0.278,0.235
"P28","Peor",0.261,0.782,0.736,0.551,0.62
"P28","No sabe",0.035,0.03,0.039,0.042,0.049
"P29","Mejor",0.31,0.026,0.043,0.116,0.082
"P29","Igual",0.358,0.155,0.192,0.216,0.241
"P29","Peor",0.202,0.764,0.688,0.47,0.561
"P29","No sabe",0.13,0.055,0.077,0.198,0.116
"P30","Muy buena",0.038,0.055,0.053,0.067,0.033
"P30","Buena",0.184,0.019,0.019,0.056,0.036
"P30","Ni buena ni mala",0.337,0.034,0.035,0.102,0.116
"P30","Mala",0.336,0.23,0.237,0.376,0.325
"P30","Muy mala",0.083,0.66,0.649,0.387,0.482
"P30","No sabe",0.022,0.002,0.007,0.012,0.008
"P31","Muy buena",0.627,0.02,0.015,0.066,0.034
"P31","Buena",0.202,0.022,0.017,0.235,0.067
"P31","Ni buena ni mala",0.097,0.026,0.077,0.218,0.15
"P31","Mala",0.023,0.063,0.089,0.25,0.153
"P31","Muy mala",0.047,0.867,0.794,0.224,0.58
"P31","No sabe",0.004,0.002,0.008,0.007,0.016
"P32","Muy buena",0.225,0.007,0.007,0.053,0.044
"P32","Buena",0.373,0.024,0.037,0.168,0.098
"P32","Ni buena ni mala",0.243,0.056,0.094,0.305,0.208
"P32","Mala",0.096,0.16,0.163,0.248,0.208
"P32","Muy mala",0.058,0.751,0.693,0.223,0.429
"P32","No sabe",0.005,0.002,0.006,0.003,0.013
"P33","Muy buena",0.117,0.017,0.017,0.076,0.043
"P33","Buena",0.262,0.01,0.029,0.065,0.093
"P33","Ni buena ni mala",0.369,0.076,0.127,0.288,0.221
"P33","Mala",0.125,0.223,0.209,0.242,0.206
"P33","Muy mala",0.079,0.654,0.591,0.25,0.389
"P33","No sabe",0.048,0.02,0.027,0.079,0.048
"P34","Muy buena",0.473,0.042,0.022,0.107,0.043
"P34","Buena",0.245,0.037,0.046,0.146,0.082
"P34","Ni buena ni mala",0.155,0.042,0.09,0.279,0.176
"P34","Mala",0.044,0.115,0.113,0.169,0.168
"P34","Muy mala",0.061,0.75,0.703,0.294,0.478
"P34","No sabe",0.022,0.014,0.026,0.005,0.053
"P35","Muy buena",0.036,0.351,0.066,0.026,0.031
"P35","Buena",0.023,0.334,0.147,0.027,0.104
"P35","Ni buena ni mala",0.042,0.192,0.308,0.141,0.246
"P35","Mala",0.177,0.047,0.239,0.157,0.238
"P35","Muy mala",0.712,0.073,0.224,0.639,0.36
"P35","No sabe",0.01,0.003,0.016,0.01,0.021
"P36","Muy buena",0.035,0.277,0.085,0.057,0.088
"P36","Buena",0.043,0.368,0.183,0.094,0.226
"P36","Ni buena ni mala",0.152,0.22,0.349,0.185,0.295
"P36","Mala",0.237,0.057,0.164,0.259,0.152
"P36","Muy mala",0.478,0.058,0.177,0.361,0.172
"P36","No sabe",0.055,0.02,0.042,0.044,0.067
"P37","Muy buena",0.038,0.301,0.106,0.038,0.085
"P37","Buena",0.025,0.356,0.191,0.107,0.198
"P37","Ni buena ni mala",0.082,0.216,0.288,0.14,0.247
"P37","Mala",0.202,0.044,0.176,0.271,0.155
"P37","Muy mala",0.638,0.067,0.205,0.438,0.257
"P37","No sabe",0.015,0.016,0.034,0.006,0.058
"P38","Muy buena",0.043,0.076,0.516,0.062,0.053
"P38","Buena",0.045,0.199,0.207,0.089,0.1
"P38","Ni buena ni mala",0.121,0.423,0.14,0.115,0.313
"P38","Mala",0.117,0.121,0.032,0.201,0.158
"P38","Muy mala",0.602,0.142,0.088,0.459,0.274
"P38","No sabe",0.072,0.039,0.017,0.074,0.102
"P39","Muy buena",0.017,0.576,0.31,0.039,0.15
"P39","Buena",0.022,0.243,0.271,0.073,0.163
"P39","Ni buena ni mala",0.086,0.101,0.215,0.127,0.219
"P39","Mala",0.125,0.029,0.069,0.139,0.126
"P39","Muy mala",0.709,0.025,0.103,0.58,0.28
"P39","No sabe",0.041,0.026,0.032,0.042,0.062
"P40","Muy buena",0.108,0.028,0.019,0.011,0.023
"P40","Buena",0.282,0.104,0.072,0.086,0.087
"P40","Ni buena ni mala",0.352,0.262,0.163,0.353,0.278
"P40","Mala",0.149,0.369,0.273,0.302,0.314
"P40","Muy mala",0.073,0.216,0.429,0.196,0.245
"P40","No sabe",0.036,0.021,0.044,0.052,0.053
"P41","Muy buena",0.024,0.034,0.021,0.005,0.012
"P41","Buena",0.055,0.095,0.047,0.112,0.066
"P41","Ni buena ni mala",0.141,0.255,0.164,0.212,0.191
"P41","Mala",0.205,0.333,0.234,0.301,0.333
"P41","Muy mala",0.53,0.263,0.493,0.345,0.359
"P41","No sabe",0.045,0.02,0.041,0.025,0.039
