"var","categoria","Sí, lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P23","No sabe",0.228,0.227,0.125,0.326
"P24","El kirchnerismo",0.703,0.617,0.229,0.439
"P24","Cambiemos",0.068,0.049,0.291,0.077
"P24","Los medios de comunicación",0.047,0.098,0.294,0.106
"P24","Otros",0.097,0.123,0.074,0.141
"P24","No sabe",0.085,0.113,0.112,0.237
"P25","Sin deuda",0.271,0.206,0.309,0.178
"P25","Menos de 10%",0.16,0.181,0.161,0.088
"P25","Entre 10 y 20%",0.143,0.145,0.144,0.148
"P25","Entre 20 y 30%",0.112,0.136,0.082,0.098
"P25","Entre 30 y 40%",0.106,0.103,0.095,0.121
"P25","Mas del 40%",0.174,0.191,0.168,0.264
"P25","No sabe",0.034,0.038,0.041,0.103
"P26","Gran excedente habitual",0.008,0.012,0.009,0.016
"P26","Gran excedente excepcional",0.011,0.001,0.011,0.008
"P26","Pequeño excedente habitual",0.064,0.065,0.071,0.038
"P26","Pequeño excedente excepcional",0.055,0.064,0.076,0.042
"P26","Alcanza gastos familia",0.135,0.136,0.187,0.112
"P26","No alcanza gastos familia",0.168,0.179,0.161,0.179
"P26","Solo NBFamiliares",0.259,0.296,0.244,0.234
"P26","No alcanza NBFamiliares",0.29,0.229,0.231,0.356
"P26","No sabe",0.01,0.018,0.01,0.015
"P27","Muy buena",0.033,0.038,0.052,0.053
"P27","Buena",0.129,0.104,0.195,0.077
"P27","Ni buena ni mala",0.384,0.412,0.397,0.405
"P27","Mala",0.322,0.332,0.248,0.265
"P27","Muy mala",0.124,0.104,0.094,0.157
"P27","No sabe",0.008,0.01,0.014,0.043
"P28","Mejor",0.054,0.066,0.187,0.076
"P28","Igual",0.143,0.202,0.361,0.287
"P28","Peor",0.769,0.701,0.408,0.589
"P28","No sabe",0.034,0.031,0.044,0.048
"P29","Mejor",0.024,0.037,0.231,0.093
"P29","Igual",0.158,0.208,0.308,0.226
"P29","Peor",0.76,0.676,0.339,0.528
"P29","No sabe",0.058,0.079,0.122,0.153
"P30","Muy buena",0.051,0.052,0.04,0.053
"P30","Buena",0.023,0.018,0.125,0.039
"P30","Ni buena ni mala",0.037,0.043,0.238,0.2
"P30","Mala",0.217,0.27,0.335,0.245
"P30","Muy mala",0.668,0.604,0.249,0.433
"P30","No sabe",0.004,0.013,0.013,0.03
"P31","Muy buena",0.025,0.022,0.396,0.089
"P31","Buena",0.02,0.034,0.148,0.11
"P31","Ni buena ni mala",0.027,0.078,0.126,0.166
"P31","Mala",0.064,0.111,0.073,0.112
"P31","Muy mala",0.859,0.744,0.251,0.494
"P31","No sabe",0.005,0.011,0.006,0.029
"P32","Muy buena",0.014,0.015,0.144,0.1
"P32","Buena",0.019,0.057,0.269,0.109
"P32","Ni buena ni mala",0.057,0.122,0.231,0.202
"P32","Mala",0.144,0.217,0.135,0.185
"P32","Muy mala",0.762,0.585,0.215,0.357
"P32","No sabe",0.004,0.004,0.006,0.047
"P33","Muy buena",0.016,0.023,0.087,0.047
"P33","Buena",0.021,0.033,0.191,0.075
"P33","Ni buena ni mala",0.085,0.159,0.307,0.256
"P33","Mala",0.199,0.239,0.173,0.148
"P33","Muy mala",0.659,0.505,0.206,0.337
"P33","No sabe",0.02,0.041,0.036,0.137
"P34","Muy buena",0.039,0.029,0.306,0.081
"P34","Buena",0.041,0.024,0.19,0.076
"P34","Ni buena ni mala",0.048,0.106,0.159,0.208
"P34","Mala",0.103,0.151,0.092,0.132
"P34","Muy mala",0.754,0.652,0.23,0.384
"P34","No sabe",0.015,0.038,0.023,0.119
"P35","Muy buena",0.284,0.067,0.024,0.027
"P35","Buena",0.302,0.194,0.025,0.1
"P35","Ni buena ni mala",0.236,0.398,0.073,0.358
"P35","Mala",0.083,0.217,0.212,0.25
"P35","Muy mala",0.088,0.111,0.653,0.232
"P35","No sabe",0.007,0.013,0.013,0.033
"P36","Muy buena",0.232,0.128,0.043,0.064
"P36","Buena",0.299,0.294,0.087,0.206
"P36","Ni buena ni mala",0.272,0.328,0.192,0.33
"P36","Mala",0.089,0.099,0.231,0.121
"P36","Muy mala",0.084,0.092,0.403,0.133
"P36","No sabe",0.024,0.059,0.044,0.146
"P37","Muy buena",0.262,0.143,0.034,0.086
"P37","Buena",0.306,0.289,0.061,0.181
"P37","Ni buena ni mala",0.235,0.289,0.132,0.312
"P37","Mala",0.08,0.138,0.207,0.148
"P37","Muy mala",0.101,0.098,0.54,0.178
"P37","No sabe",0.016,0.043,0.026,0.095
"P38","Muy buena",0.224,0.243,0.109,0.174
"P38","Buena",0.205,0.202,0.064,0.13
"P38","Ni buena ni mala",0.32,0.257,0.163,0.323
"P38","Mala",0.094,0.117,0.118,0.056
"P38","Muy mala",0.128,0.13,0.477,0.16
"P38","No sabe",0.029,0.051,0.069,0.157
"P39","Muy buena",0.526,0.323,0.053,0.11
"P39","Buena",0.258,0.265,0.07,0.133
"P39","Ni buena ni mala",0.13,0.225,0.123,0.313
"P39","Mala",0.027,0.064,0.137,0.133
"P39","Muy mala",0.04,0.056,0.579,0.195
"P39","No sabe",0.019,0.067,0.038,0.116
"P40","Muy buena",0.028,0.025,0.069,0.036
"P40","Buena",0.086,0.102,0.202,0.074
"P40","Ni buena ni mala",0.233,0.227,0.299,0.327
"P40","Mala",0.335,0.367,0.204,0.201
"P40","Muy mala",0.291,0.25,0.181,0.254
"P40","No sabe",0.027,0.029,0.045,0.108
"P41","Muy buena",0.038,0.011,0.014,0.031
"P41","Buena",0.08,0.068,0.058,0.055
"P41","Ni buena ni mala",0.219,0.262,0.134,0.275
"P41","Mala",0.28,0.35,0.246,0.244
"P41","Muy mala",0.356,0.289,0.507,0.293
"P41","No sabe",0.027,0.02,0.041,0.102
